経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.76,-0.76,,,0.08463147,1.545187,0.9274572,,,0.08478628,1.542773,0.9304199,,44.7500116682395,6.26985350952185,50.6151564170195
0.01, 1,-1,,,0.08353554,1.547522,0.9281336,,,0.08371695,1.544385,0.932032,,44.7500116682395,6.51926767852122,50.961692885106
0.023, 1.04,-1.04,,,0.08250387,1.551532,0.9318616,,,0.08266342,1.548303,0.9359493,,44.7500116682395,6.92064544147496,51.4670517375432
0.033, 1.12,-1.12,,,0.08299126,1.554517,0.9343206,,,0.08316907,1.551089,0.938736,,44.7500116682395,7.40967928847645,51.9560898534128
0.043, 0.89,-0.89,,,0.08317795,1.557158,0.9385645,,,0.08332816,1.554449,0.9420952,,44.7500116682395,7.73753433592918,52.2688817728439
0.055, 0.46,-0.46,,,0.08514546,1.554703,0.9391049,,,0.08522806,1.553293,0.9409392,,44.7500116682395,7.72285967490577,52.2272620162946
0.065, 0.5,-0.5,,,0.0830387,1.553747,0.9378784,,,0.08311892,1.552215,0.9398618,,44.7500116682395,7.53879547340609,52.086631840292
0.077, 0.57,-0.57,,,0.08313715,1.553933,0.9375875,,,0.08322892,1.55219,0.939837,,44.7500116682395,7.47451485736858,52.0171995542163
0.088, 0.67,-0.67,,,0.08274332,1.553645,0.9366232,,,0.08284738,1.551605,0.939252,,44.7500116682395,7.41515880758561,51.968595929435
0.1, 0.69,-0.69,,,0.08297019,1.553838,0.9366409,,,0.08307487,1.551723,0.9393694,,44.7500116682395,7.41457653397507,51.9800535714489
0.11, 0.76,-0.76,,,0.08215836,1.554638,0.936973,,,0.08226557,1.552325,0.9399718,,44.7500116682395,7.5302782277481,52.1225449739485
0.122, 0.78,-0.78,,,0.08203036,1.555984,0.938199,,,0.08213292,1.553635,0.9412814,,44.7500116682395,7.82779442952554,52.4459305164875
0.133, 0.65,-0.65,,,0.08280792,1.55638,0.9394656,,,0.08289547,1.554419,0.9420658,,44.7500116682395,8.12463017372586,52.744102416407
0.143, 0.61,-0.61,,,0.08341496,1.556408,0.9397796,,,0.08349706,1.554579,0.9422259,,44.7500116682395,8.35653643393557,52.9800888607586
