経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.57,-0.57,,,0.3435699,1.758039,1.549694,,,0.34247,1.755418,1.549426,,45.049891115404,26.9366585349472,23.4180559460779
0.01, 0.06,-0.06,,,0.3450565,1.753529,1.550012,,,0.3449403,1.75325,1.549981,,45.487361304475,27.0198587744592,23.3534918771978
0.022, 0.2,0.2,,,0.3466714,1.749505,1.551655,,,0.3470576,1.750435,1.551758,,46.0517603104549,27.4099086689897,23.3443325937757
0.032, 0.13,0.13,,,0.3483191,1.74727,1.553663,,,0.3485721,1.747877,1.55373,,46.5602303139724,27.9507879192171,23.3715423591245
0.044, 0.04,0.04,,,0.3495958,1.745865,1.555082,,,0.3496681,1.746037,1.555101,,46.9231319148549,28.2314591674227,23.4914070530808
0.055, 0.01,-0.01,,,0.3496376,1.746128,1.555085,,,0.3496209,1.746089,1.555081,,46.9130881219599,28.1146987943578,23.6998217320676
0.066, 0.04,0.04,,,0.3485826,1.74729,1.554177,,,0.3486596,1.747469,1.554198,,46.6409699779043,27.6380250280892,23.9961904620964
0.077, 0.12,0.12,,,0.3471489,1.748726,1.552936,,,0.347395,1.74929,1.553001,,46.2802130563616,27.0177004347415,24.3636614594065
0.087, 0.13,0.13,,,0.3447777,1.751667,1.551191,,,0.3450455,1.75227,1.551262,,45.6851089358224,26.2188859278755,24.7755372228224
0.098, 0.27,0.27,,,0.3421461,1.75436,1.548777,,,0.3427038,1.755596,1.548929,,45.0133871704007,25.3528743142775,25.1326673140168
0.11, 0.05,0.05,,,0.3403854,1.758151,1.547129,,,0.3404885,1.758376,1.547157,,44.4458940888129,24.7194425882773,25.4300964308847
0.121, 0.16,-0.16,,,0.3377455,1.762309,1.54566,,,0.3374046,1.761572,1.545568,,43.7868389088545,24.1356543833307,25.6523046765166
0.132, 0.24,-0.24,,,0.3355351,1.765536,1.543758,,,0.3350307,1.764453,1.543624,,43.1854066182255,23.6112939451513,25.7952861450755
0.144, 0.54,-0.54,,,0.3341861,1.768735,1.543095,,,0.3330506,1.766298,1.542799,,42.7972606388731,23.4488327776216,25.7722427950044
0.155, 0.7,-0.7,,,0.3325579,1.771663,1.541748,,,0.3310844,1.768492,1.541368,,42.3312607504329,23.1999748421373,25.6948311406529
0.165, 0.9,-0.9,,,0.3310668,1.774508,1.540711,,,0.3291769,1.770427,1.540234,,41.9170063737047,23.0567252886609,25.5875954661206
0.176, 1.11,-1.11,,,0.3296345,1.777311,1.53969,,,0.3273195,1.77229,1.539119,,41.5148243559986,22.9320436039264,25.4685623476726
0.188, 1.22,-1.22,,,0.327502,1.780149,1.538241,,,0.3249776,1.774654,1.537626,,40.9999954465407,22.6767465077813,25.3651464563272
0.198, 1.16,-1.16,,,0.3254055,1.782298,1.536207,,,0.3230086,1.777058,1.535623,,40.4704748005869,22.2863277830459,25.2694094049426
