1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane2, 4.88,4.88,,,-0.1055478,1.792065,1.291595,,,-0.1003257,1.814889,1.284811,,29.7499911776726,18.192587423573,20.3638208304827, 1.632
PointBall1, 0.45,0.45,,,0.2547598,1.774919,1.072172,,,0.2555296,1.776939,1.0716,,39.0519674928539,14.3268285269673,25.2523868664573, 1.389
PointPlane1, 0.27,0.27,,,0.08394331,1.656123,1.037575,,,0.08425389,1.657328,1.037022,,44.750001422956,24.0951667306048,27.5438128163943, 1.689
PointPlane3, 2.52,2.52,,,0.1570787,1.636387,0.971956,,,0.1600591,1.647351,0.9664857,,59.7499809323891,35.8649978997169,29.3833363879456, 1.534
PointPyramid, 0.67,0.67,,,0.07083308,1.839581,1.289966,,,0.07172369,1.842799,1.289494,,48.7770808455319,58.1851231653828,17.2657802978645, 1.312
PointBall2, 6.75,6.75,,,-0.1304162,1.670173,0.9912256,,,-0.1252565,1.698044,0.9729412,,53.8602782391317,38.6740053252707,34.0403197439135, 1.702
PointBall3, 6.35,6.35,,,0.07417534,1.84101,1.27143,,,0.08364309,1.870965,1.266752,,3.22555418445836,17.8653872204887,19.3109642746965, 1.535
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane3, 8.67,8.67,,,0.1579105,1.609181,0.9820921,,,0.1690464,1.648304,0.9670358,,59.7499809323891,41.2692244206577,25.3787590229642, 1.523
PointBall3, 4.87,4.87,,,0.08148447,1.84743,1.268001,,,0.08696774,1.870855,1.264251,,3.45745660268677,14.1731484211449,15.6928338795587, 1.422
PointPlane1, 5.49,5.49,,,0.08000882,1.633931,1.048324,,,0.08650082,1.658636,1.038331,,44.750001422956,26.5546648483186,25.5418451527856, 1.621
PointPlane2, 5.05,5.05,,,-0.09880871,1.789067,1.287872,,,-0.09207423,1.81205,1.279892,,29.7499911776726,18.8230889985008,24.2430454446624, 1.622
PointBall1, 2.45,2.45,,,0.2541122,1.764362,1.075394,,,0.2583411,1.775194,1.071471,,39.4282221131922,11.5672187356637,27.8674596136617, 1.39
PointPyramid, 1.57,1.57,,,0.07113426,1.835816,1.290711,,,0.07296021,1.843263,1.289084,,48.7770808455319,61.7233727928529,18.0106448495252, 1.267
PointBall2, 10.95,10.95,,,-0.1243147,1.659496,0.9994522,,,-0.11351,1.705657,0.9720643,,52.5628667669187,40.1568154471554,32.2982868747673, 1.812
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 5.95,5.95,,,-0.1318728,1.677827,0.993533,,,-0.1272561,1.703395,0.979071,,52.955612878549,40.0924477462084,30.461153869359, 1.656
PointPyramid, 2.99,2.99,,,0.07408218,1.829593,1.291879,,,0.07717822,1.843827,1.288585,,48.7770808455319,62.2288204377468,17.4367245601074, 1.533
PointBall1, 2.85,-2.85,,,0.2595738,1.788995,1.065233,,,0.2545387,1.776376,1.069586,,39.1718987811528,11.6900528542791,27.6455109152112, 1.512
PointPlane1, 3.13,3.13,,,0.06890815,1.647437,1.047026,,,0.07242139,1.661512,1.041206,,44.750001422956,25.8382360809286,25.5691027294574, 1.356
PointPlane2, 5.57,5.57,,,-0.1070345,1.786231,1.289029,,,-0.1013678,1.811619,1.279146,,29.7499911776726,14.6009718220554,23.951468092203, 1.511
PointPlane3, 0.45,-0.45,,,0.1682844,1.650597,0.9663405,,,0.1677481,1.648623,0.9672199,,59.7499809323891,38.2482147593554,27.3429028075492, 1.5
PointBall3, 2.39,2.39,,,0.07790179,1.859863,1.273128,,,0.07989746,1.871043,1.269442,,3.05902286462679,21.35846539314,20.3284011779799, 1.49
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 2.3,2.3,,,0.2567771,1.766704,1.079982,,,0.2590607,1.777092,1.075627,,39.0225669443897,17.2298449660938,25.1061917939833, 1.177
PointPlane2, 8.25,8.25,,,-0.0882884,1.778841,1.304247,,,-0.08473295,1.816211,1.287099,,29.7499911776726,7.27931061764261,24.8644270097547, 1.589
PointBall3, 3.37,3.37,,,0.08039866,1.854699,1.270426,,,0.08239955,1.871021,1.266756,,3.08559358041921,14.7925091040727,14.1452684435024, 1.277
PointPlane1, 5.05,5.05,,,0.08189762,1.642916,1.056267,,,0.0860659,1.664921,1.044615,,44.750001422956,19.4918328015272,29.1179937913582, 1.7
PointPlane3, 1.87,1.87,,,0.1747193,1.641548,0.9731286,,,0.1759325,1.648781,0.967311,,59.7499809323891,22.4028439768548,39.1628965920772, 1.579
PointPyramid, 0.76,0.76,,,0.08232035,1.83613,1.288402,,,0.08327699,1.839668,1.287386,,48.527550136433,36.4433919629166,21.3402014678076, 1.323
PointBall2, 9.87,9.87,,,-0.1277586,1.652936,1.001671,,,-0.1288019,1.687124,0.9661063,,55.6791507343022,26.4958825344099,45.8939590393567, 1.856
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall2, 12.07,12.07,,,-0.1262997,1.640729,1.005934,,,-0.1286066,1.681535,0.9615181,,56.5940511330714,25.4706267722917,47.2144189842826, 1.801
PointBall1, 1.96,1.96,,,0.2534205,1.770619,1.080331,,,0.2563024,1.778922,1.075976,,38.6249099268828,10.2199844499364,31.9614287844654, 1.389
PointPlane3, 5.09,5.09,,,0.1660943,1.62721,0.9819834,,,0.1681509,1.647265,0.9664357,,59.7499809323891,22.6684461206234,37.7787314745353, 1.933
PointBall3, 1.9,1.9,,,0.06409619,1.862051,1.267174,,,0.06478445,1.871451,1.265814,,1.6563487887229,10.4350158744976,8.98775859380069, 1.623
PointPlane2, 8.13,8.13,,,-0.1011915,1.776939,1.299649,,,-0.09674455,1.813449,1.282315,,29.7499911776726,7.7799062670399,25.8696327521222, 1.711
PointPlane1, 5.88,5.88,,,0.08715257,1.633816,1.054598,,,0.09060878,1.65635,1.036044,,44.750001422956,8.72082456318096,39.7032294271862, 1.645
PointPyramid, 0.37,0.37,,,0.0735922,1.838682,1.292265,,,0.07409243,1.840375,1.291637,,48.7770808455319,69.696990049553,25.1850668163237, 1.356
