経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.13,-0.13,,,0.4022266,1.624474,1.264056,,,0.4019447,1.623909,1.264035,,45.0005395849294,18.601138592503,26.5869904252134
0.011, 0.91,0.91,,,0.399403,1.620345,1.262745,,,0.4014421,1.624411,1.262923,,45.0005395849294,18.4967459841335,26.744320413272
0.022, 1.86,1.86,,,0.3972999,1.616098,1.262061,,,0.4014517,1.624402,1.262455,,45.0005395849294,18.5883610164687,26.6927678543986
0.035, 2.55,2.55,,,0.3964175,1.61238,1.261984,,,0.4020767,1.623777,1.262527,,45.0005395849294,18.7473251272407,26.5361635739192
0.044, 3.07,3.07,,,0.396174,1.60911,1.263612,,,0.4029712,1.622882,1.264204,,45.0005395849294,18.8570572358453,26.3771994631471
0.055, 3.89,3.89,,,0.3963555,1.60358,1.262447,,,0.4047754,1.621078,1.263252,,45.0005395849294,19.4436509409155,25.823141363283
0.066, 4.62,4.62,,,0.3958603,1.599254,1.263075,,,0.4057571,1.620096,1.264037,,45.0005395849294,19.7386997369239,25.5304301994529
0.077, 4.99,4.99,,,0.3965647,1.596147,1.265226,,,0.4071414,1.618712,1.266132,,45.0005395849294,19.9910922952053,25.2162671195841
0.088, 5.27,5.27,,,0.3947669,1.596,1.265713,,,0.4060279,1.619826,1.266591,,45.0005395849294,19.7912358430104,25.3850137685226
0.101, 5.32,5.32,,,0.3935919,1.596801,1.265829,,,0.4050463,1.620807,1.26671,,45.0005395849294,19.5804988997704,25.5940397494231
0.111, 5.64,5.64,,,0.39296,1.595271,1.267459,,,0.4051326,1.620721,1.26833,,45.0005395849294,19.5154413497364,25.6376112324735
0.123, 5.8,5.8,,,0.3915629,1.595599,1.267517,,,0.4041645,1.621689,1.268403,,45.0005395849294,19.295466575901,25.8550076099689
0.133, 5.96,5.96,,,0.3900935,1.595903,1.269216,,,0.4032205,1.622633,1.270094,,45.0005395849294,18.9165276912937,26.2246591451108
0.144, 6.03,6.03,,,0.3890457,1.596437,1.269295,,,0.4024555,1.623398,1.270178,,45.0005395849294,18.6288162257969,26.5112863181069
0.154, 5.55,5.55,,,0.3903534,1.598226,1.272561,,,0.4028698,1.622984,1.273242,,45.0005395849294,18.233201434795,26.8680134281515
0.165, 5.72,5.72,,,0.3903466,1.597083,1.270723,,,0.4032297,1.622624,1.271552,,45.0005395849294,18.305493862506,26.8320132095855
0.177, 5.4,5.4,,,0.3917202,1.597821,1.272783,,,0.4039411,1.621912,1.273474,,45.0005395849294,18.159228780595,26.9500149694975
0.187, 5.14,5.14,,,0.3949226,1.59641,1.275277,,,0.4064604,1.619393,1.275828,,45.0005395849294,18.3823966677785,26.6963861470107
0.199, 4.98,4.98,,,0.3966276,1.595835,1.275066,,,0.4077623,1.618091,1.275655,,45.0005395849294,18.4688463696976,26.6254751250209
0.21, 4.86,4.86,,,0.3972821,1.59594,1.27678,,,0.4082074,1.617646,1.277292,,45.0005395849294,18.3206995707226,26.755807083589
0.221, 5.05,5.05,,,0.3959261,1.595967,1.275189,,,0.4073575,1.618496,1.275777,,45.0005395849294,18.1439479402996,26.9479642052563
0.233, 4.77,4.77,,,0.3974678,1.596327,1.276948,,,0.4082969,1.617557,1.277484,,45.0005395849294,18.0185200574191,27.0677486444921
0.243, 4.69,4.69,,,0.3988558,1.595485,1.277956,,,0.4094726,1.616381,1.278428,,45.0005395849294,18.1011943723796,26.9694639326179
0.255, 4.81,4.81,,,0.3987426,1.594792,1.278035,,,0.4096352,1.616218,1.278552,,45.0005395849294,18.0929264286194,26.9866350277135
0.266, 4.85,4.85,,,0.39805,1.595154,1.277651,,,0.4090851,1.616768,1.278194,,45.0005395849294,17.9981268206723,27.0873307962976
0.277, 4.98,4.98,,,0.3977212,1.594641,1.277843,,,0.4090973,1.616756,1.278389,,45.0005395849294,17.8214861808201,27.2613913322625
0.288, 5.02,5.02,,,0.3975546,1.594456,1.277456,,,0.4090921,1.616761,1.278033,,45.0005395849294,17.6968710904283,27.3930859135321
0.3, 5.13,5.13,,,0.3976858,1.593628,1.277039,,,0.4094537,1.6164,1.277656,,45.0005395849294,17.7224228274023,27.3758004127711
0.311, 5.3,5.3,,,0.3975423,1.592652,1.276903,,,0.409666,1.616187,1.277551,,45.0005395849294,17.7988099534067,27.3024424755792
0.321, 5.28,5.28,,,0.3971618,1.593161,1.277095,,,0.4092258,1.616628,1.277726,,45.0005395849294,17.8439131063358,27.252897992266
0.333, 5.45,5.45,,,0.3964929,1.592671,1.276752,,,0.4089523,1.616901,1.277383,,45.0005395849294,17.8352951153904,27.2559920678739
0.343, 5.7,5.7,,,0.395605,1.591901,1.276998,,,0.4086439,1.617209,1.277591,,45.0005395849294,17.7813844337716,27.2940293903032
0.355, 5.77,5.77,,,0.3949212,1.592075,1.276792,,,0.408141,1.617712,1.277364,,45.0005395849294,17.7574138855465,27.3114583250328
0.367, 5.96,5.96,,,0.394102,1.591576,1.276678,,,0.4077834,1.61807,1.277277,,45.0005395849294,17.7249687803445,27.3457441661648
0.377, 6.37,6.37,,,0.3915983,1.59132,1.275688,,,0.4062542,1.619599,1.276352,,45.0005395849294,17.6431465314593,27.4324226794148
0.388, 6.91,6.91,,,0.3885129,1.590727,1.274235,,,0.4044994,1.621354,1.275018,,45.0005395849294,17.4835728263208,27.6046646775639
0.4, 7.34,7.34,,,0.3866274,1.589715,1.273365,,,0.4036539,1.6222,1.274276,,45.0005395849294,17.3953745960228,27.7091887670712
0.411, 7.66,7.66,,,0.384762,1.589379,1.272751,,,0.4025957,1.623258,1.273762,,45.0005395849294,17.3014253466036,27.8157175170442
0.421, 7.8,7.8,,,0.3793633,1.593678,1.27237,,,0.3979059,1.627947,1.273349,,45.0005395849294,16.6432751666851,28.4648638003399
0.434, 8.28,8.28,,,0.3793353,1.590482,1.271305,,,0.3989106,1.626943,1.272538,,45.0005395849294,16.8533000627239,28.2948177079479
0.445, 7.72,7.72,,,0.3754282,1.598009,1.274622,,,0.3940943,1.631759,1.275438,,45.0005395849294,16.0988100672432,28.980823106074
0.456, 7.71,7.71,,,0.3708532,1.602402,1.270958,,,0.3899716,1.635882,1.27198,,45.0005395849294,15.3448989302786,29.7782237638212
0.467, 7.31,7.31,,,0.3698744,1.606041,1.274358,,,0.3881586,1.637695,1.275028,,45.0005395849294,15.0235248783942,30.0390823413432
0.478, 7.12,7.12,,,0.3672601,1.609896,1.273272,,,0.3852403,1.640613,1.273961,,45.0005395849294,14.6984386187992,30.3712446767215
