経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.07803077,1.793547,1.039758,,,0.07613443,1.790205,1.041099,,45.8734855478893,12.8797624915619,34.6528271859735
0.01, 0.73,-0.73,,,0.07794283,1.792871,1.039589,,,0.07625048,1.789889,1.040783,,45.8734855478893,12.9010410915553,34.6429131666691
0.021, 0.66,-0.66,,,0.07728443,1.7929,1.039573,,,0.07573843,1.790177,1.040664,,45.8734855478893,12.8988383556092,34.6478752989631
0.033, 0.51,-0.51,,,0.07663824,1.792331,1.039585,,,0.07544126,1.790223,1.04043,,45.8734855478893,12.8927022845844,34.654196638864
0.044, 0.43,-0.43,,,0.07666983,1.791663,1.039551,,,0.07567878,1.789917,1.04025,,45.8734855478893,12.9017147189434,34.6435381289608
0.056, 0.12,-0.12,,,0.07567698,1.790231,1.039537,,,0.07540004,1.789742,1.039733,,45.8734855478893,12.9254154747038,34.6018364101437
0.067, 0.13,0.13,,,0.07560346,1.788523,1.039519,,,0.07590508,1.789058,1.039306,,45.8734855478893,12.9798845242716,34.5074329531574
0.08, 0.36,0.36,,,0.07549213,1.78742,1.040061,,,0.07631429,1.788884,1.039477,,45.8734855478893,13.0393225363224,34.4108062696581
0.093, 0.58,0.58,,,0.07451776,1.786357,1.03978,,,0.07585471,1.788746,1.03883,,45.8734855478893,13.1114185961002,34.3250908130543
0.099, 0.64,0.64,,,0.07382985,1.786292,1.039621,,,0.0753163,1.788948,1.038566,,45.8734855478893,13.1311262526282,34.3138346616154
0.111, 0.64,0.64,,,0.07380493,1.786334,1.039645,,,0.07528965,1.788986,1.038592,,45.8734855478893,13.1244796249771,34.3217030393203
0.122, 0.64,0.64,,,0.07371552,1.786476,1.039722,,,0.07519451,1.789115,1.038673,,45.8734855478893,13.1026238740149,34.3486583801296
0.133, 0.64,0.64,,,0.07376879,1.786517,1.039826,,,0.0752462,1.789154,1.038777,,45.8734855478893,13.089646514953,34.3546826068099
0.144, 0.79,0.79,,,0.07327367,1.785949,1.039996,,,0.07509749,1.789206,1.038699,,45.8734855478893,13.0710564480968,34.3598667202457
0.155, 0.79,0.79,,,0.07338651,1.785931,1.040092,,,0.07521076,1.789191,1.038792,,45.8734855478893,13.0647427921585,34.3528589463523
0.166, 0.86,0.86,,,0.07285284,1.785822,1.040041,,,0.07482811,1.789355,1.038633,,45.8734855478893,13.0801286466094,34.3302134547893
0.177, 0.95,0.95,,,0.07288516,1.785132,1.03998,,,0.07506353,1.789031,1.038427,,45.8734855478893,13.0934159254963,34.3139132087886
0.188, 1.01,1.01,,,0.07238816,1.785031,1.039976,,,0.07471713,1.789203,1.038315,,45.8734855478893,13.104973459024,34.293856358849
0.199, 1.17,1.17,,,0.07261811,1.784314,1.040697,,,0.07529702,1.789121,1.038782,,45.8734855478893,13.1080308223661,34.2705824898999
0.21, 1.17,1.17,,,0.07293407,1.784226,1.04092,,,0.07561438,1.789045,1.038997,,45.8734855478893,13.1000471852222,34.2485243945891
0.222, 1.23,1.23,,,0.07328343,1.784119,1.041761,,,0.07611215,1.789214,1.039726,,45.8734855478893,13.0944566755421,34.2237069029305
0.232, 1.32,1.32,,,0.0741658,1.783391,1.042512,,,0.07719648,1.78886,1.040326,,45.8734855478893,13.0978623785222,34.2006516000287
0.244, 1.33,1.33,,,0.07414885,1.783318,1.042407,,,0.07718301,1.788793,1.040221,,45.8734855478893,13.1154825585433,34.1911542222521
0.255, 1.41,1.41,,,0.0746344,1.78266,1.042832,,,0.07787216,1.788496,1.040506,,45.8734855478893,13.1373630689405,34.1906180524172
0.266, 1.5,1.5,,,0.0750968,1.782047,1.043288,,,0.07853725,1.788241,1.040823,,45.8734855478893,13.1519446686391,34.1994289962013
0.277, 1.44,1.44,,,0.07638358,1.781984,1.043891,,,0.07968129,1.78792,1.04153,,45.8734855478893,13.1619969992703,34.1939375242614
0.288, 1.46,1.46,,,0.07789358,1.781299,1.04471,,,0.08124559,1.787341,1.042305,,45.8734855478893,13.156146942409,34.1810284670893
0.299, 1.49,1.49,,,0.08002616,1.780541,1.046078,,,0.08342818,1.786701,1.043615,,45.8734855478893,13.1163858510359,34.1433838805263
0.31, 1.52,1.52,,,0.08292917,1.779743,1.048164,,,0.08637808,1.786022,1.04564,,45.8734855478893,13.075117849219,34.0953744821863
0.321, 1.48,1.48,,,0.08477714,1.778909,1.048532,,,0.08813511,1.785043,1.046062,,45.8734855478893,13.0768236889168,34.0512685368483
0.333, 1.63,1.63,,,0.08467512,1.778329,1.049075,,,0.08837518,1.785083,1.046356,,45.8734855478893,13.0784228069117,34.0594579334353
0.344, 1.57,1.57,,,0.08510184,1.778329,1.04889,,,0.08866103,1.784819,1.046282,,45.8734855478893,13.09273802924,34.0656460846511
0.355, 1.66,1.66,,,0.08562617,1.777618,1.049293,,,0.08938879,1.784476,1.046542,,45.8734855478893,13.121035502184,34.0532185558021
0.365, 1.75,1.75,,,0.08637331,1.776776,1.049767,,,0.09034176,1.784017,1.046869,,45.8734855478893,13.1607521973287,34.0174351957361
0.377, 1.78,1.78,,,0.08786149,1.775771,1.050179,,,0.09189565,1.783146,1.047236,,45.8734855478893,13.2255126341421,33.9538154004824
0.388, 1.83,1.83,,,0.08935776,1.774244,1.050092,,,0.09350573,1.781841,1.047067,,45.8734855478893,13.2707105559432,33.9026231340778
0.399, 1.77,1.77,,,0.09081399,1.774232,1.050926,,,0.09481509,1.781566,1.048002,,45.8734855478893,13.256793192123,33.8998910584858
0.411, 1.79,1.79,,,0.09172227,1.773616,1.05122,,,0.09577183,1.781048,1.048251,,45.8734855478893,13.2370761440851,33.8976268508389
0.421, 1.82,1.82,,,0.09325694,1.773038,1.052184,,,0.09735327,1.780563,1.049172,,45.8734855478893,13.2089186900153,33.9027699831408
0.433, 1.78,1.78,,,0.09460401,1.772444,1.05233,,,0.09860714,1.779798,1.049383,,45.8734855478893,13.1975549630999,33.9077287003403
0.444, 1.86,1.86,,,0.09523331,1.771798,1.052917,,,0.09943527,1.779515,1.049826,,45.8734855478893,13.2047326379442,33.9061065304575
0.455, 1.89,1.89,,,0.09578232,1.771061,1.052706,,,0.1000445,1.778887,1.049579,,45.8734855478893,13.2365690025534,33.8912133033867
0.466, 1.98,1.98,,,0.09643964,1.770238,1.053109,,,0.1009072,1.778445,1.049839,,45.8734855478893,13.2791133959358,33.8602930378745
0.477, 2.03,2.03,,,0.09798609,1.768678,1.053031,,,0.1025667,1.77711,1.049678,,45.8734855478893,13.3284743179203,33.8048797146802
