経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.2,0.2,,,-0.1088353,1.574173,0.9784364,,,-0.1088105,1.57515,0.9784635,,45.8734855478893,48.2061385185092,2.34943730626454
0.011, 1.71,-1.71,,,-0.1152633,1.58009,0.9805648,,,-0.1156297,1.571541,0.9803628,,45.8734855478893,48.746713825327,2.93097837903678
0.022, 3.18,-3.18,,,-0.1186009,1.582498,0.9779382,,,-0.119459,1.566643,0.9775146,,45.8734855478893,49.3305413038603,3.57144135770497
0.033, 2.22,-2.22,,,-0.115552,1.579725,0.9772,,,-0.1160882,1.568634,0.9768586,,45.8734855478893,49.2564269232389,3.42119470250543
0.044, 2.06,-2.06,,,-0.1154884,1.578656,0.9767008,,,-0.1159513,1.568378,0.9763722,,45.8734855478893,49.1686726552246,3.31203910453946
0.055, 0.04,-0.04,,,-0.110839,1.572469,0.9765594,,,-0.1108462,1.572255,0.9765527,,45.8734855478893,48.6675451048605,2.79533360065934
0.066, 2.19,2.19,,,-0.1065946,1.566463,0.9788411,,,-0.1063784,1.577402,0.9791024,,45.8734855478893,47.8185082184249,1.97516408106068
0.077, 5.12,5.12,,,-0.1008671,1.560821,0.9854667,,,-0.1007381,1.586406,0.985737,,45.8734855478893,46.6827502438947,0.902439679470615
0.088, 5.52,5.52,,,-0.1013032,1.558439,0.985499,,,-0.1011996,1.586049,0.9857113,,45.8734855478893,46.5135732930504,0.7225343160078
0.099, 1.91,1.91,,,-0.1122011,1.568258,0.9851701,,,-0.1119108,1.577824,0.9852093,,45.8734855478893,47.4547221080695,1.80482706530685
0.111, 0.08,-0.08,,,-0.1169164,1.571993,0.9817671,,,-0.1169337,1.571611,0.9817629,,45.8734855478893,48.3486060153474,2.74188267613634
0.121, 0.77,0.77,,,-0.1145503,1.567719,0.9790593,,,-0.1143989,1.571543,0.9791353,,45.8734855478893,48.4617651712727,2.65726495896764
0.133, 2.71,2.71,,,-0.111011,1.560714,0.9787565,,,-0.1106354,1.574249,0.9790605,,45.8734855478893,48.0839054565241,2.21054263859307
0.143, 5.02,5.02,,,-0.1062037,1.553069,0.9790115,,,-0.105857,1.57814,0.9795867,,45.8734855478893,47.5404683005238,1.75312306833718
0.155, 6.87,6.87,,,-0.102174,1.547887,0.9806225,,,-0.1020476,1.582207,0.981322,,45.8734855478893,47.0286105232722,1.4331310625042
0.166, 7.64,7.64,,,-0.1019669,1.545593,0.9825668,,,-0.1018356,1.583764,0.9832329,,45.8734855478893,46.8988130269918,1.26516785758601
0.178, 4.9,4.9,,,-0.1096855,1.554966,0.9842434,,,-0.1090575,1.579438,0.9845569,,45.8734855478893,47.6102694168043,1.76846100474357
0.187, 2.76,2.76,,,-0.1143394,1.559408,0.9804529,,,-0.1137595,1.57319,0.9807404,,45.8734855478893,48.6042702341503,2.8093041118876
0.2, 2.61,2.61,,,-0.1142402,1.55993,0.9800334,,,-0.1136715,1.572978,0.9803637,,45.8734855478893,48.8431424333459,3.01837171425221
0.21, 4.56,4.56,,,-0.1100653,1.556188,0.9836826,,,-0.1092719,1.578967,0.9841291,,45.8734855478893,48.2569482943311,2.42091139195836
0.222, 7.69,7.69,,,-0.1022192,1.548087,0.9861777,,,-0.1016288,1.586552,0.986826,,45.8734855478893,47.3544754244109,1.50011312500498
0.232, 9.51,9.51,,,-0.09793496,1.544228,0.9894471,,,-0.09770089,1.591781,0.9900277,,45.8734855478893,46.7447205485097,0.990513152098063
0.244, 6.93,6.93,,,-0.105283,1.552801,0.9904771,,,-0.1043842,1.587432,0.9907815,,45.8734855478893,47.4613508064746,1.66683099437306
0.255, 5.19,5.19,,,-0.1081714,1.554899,0.9839978,,,-0.1072322,1.580813,0.984606,,45.8734855478893,48.4699511527651,2.61673632510789
0.266, 4.61,4.61,,,-0.1100098,1.555503,0.9826773,,,-0.1091006,1.578536,0.9833699,,45.8734855478893,48.8661943211532,2.99865594687479
0.277, 5.24,5.24,,,-0.1088111,1.555085,0.9852093,,,-0.1078161,1.581282,0.9858295,,45.8734855478893,48.5488842317119,2.70305710721006
0.288, 6.41,6.41,,,-0.1057197,1.552368,0.9864199,,,-0.104803,1.584409,0.9870797,,45.8734855478893,48.0432180207706,2.17411873486686
0.299, 7.59,7.59,,,-0.1027431,1.549673,0.9879211,,,-0.1019992,1.587596,0.9886199,,45.8734855478893,47.5910902461486,1.72249223208299
0.311, 6.42,6.42,,,-0.105462,1.553029,0.9872379,,,-0.1045696,1.585127,0.9878251,,45.8734855478893,47.9178191661933,2.05385618240247
0.322, 6.25,6.25,,,-0.1056434,1.55368,0.9871703,,,-0.1047639,1.584924,0.9877421,,45.8734855478893,47.9324528460828,2.0698029661234
0.333, 6.1,6.1,,,-0.1055987,1.554222,0.9868011,,,-0.1047432,1.58468,0.9873892,,45.8734855478893,47.9704082062444,2.10375412799546
0.344, 6.22,6.22,,,-0.1052686,1.554083,0.9871093,,,-0.1044217,1.585168,0.9877327,,45.8734855478893,47.9663374136123,2.0954580097057
0.356, 6.15,6.15,,,-0.1050519,1.554645,0.9871916,,,-0.1042314,1.585358,0.9878019,,45.8734855478893,47.9372373934633,2.06582779613707
0.366, 6.18,6.18,,,-0.1050124,1.554665,0.9873991,,,-0.1041933,1.585526,0.9879929,,45.8734855478893,47.9049886561945,2.03442023932982
0.378, 6.09,6.09,,,-0.1048502,1.555239,0.9874623,,,-0.1040579,1.58566,0.9880389,,45.8734855478893,47.8733478057449,2.00242272494943
0.388, 6.12,6.12,,,-0.1052877,1.555192,0.9880772,,,-0.1045052,1.585783,0.9886552,,45.8734855478893,47.851846370836,1.98021095038665
0.4, 6.01,6.01,,,-0.1051985,1.555774,0.9880553,,,-0.1044372,1.585811,0.9886242,,45.8734855478893,47.8439882384146,1.97189156676567
0.41, 6.01,6.01,,,-0.1051804,1.55577,0.9880662,,,-0.104421,1.585829,0.9886328,,45.8734855478893,47.8372229362299,1.96513096033595
0.422, 6.01,6.01,,,-0.1051988,1.555768,0.988019,,,-0.1044403,1.585781,0.9885867,,45.8734855478893,47.840269200515,1.96811660669381
0.432, 5.97,5.97,,,-0.1051815,1.55637,0.9886018,,,-0.1044289,1.586215,0.989168,,45.8734855478893,47.8402248042866,1.96781821281275
0.445, 5.88,5.88,,,-0.1057539,1.55635,0.9885374,,,-0.1050159,1.585735,0.9890994,,45.8734855478893,47.8423353326814,1.96960750888209
0.455, 5.98,5.98,,,-0.1056236,1.556285,0.9889597,,,-0.1048825,1.58616,0.989546,,45.8734855478893,47.8496128990396,1.97615467190618
0.466, 6.03,6.03,,,-0.1056171,1.556227,0.9892013,,,-0.1048701,1.58637,0.9898205,,45.8734855478893,47.8857787496884,2.01217260627489
0.478, 6.11,6.11,,,-0.1060682,1.556121,0.9900026,,,-0.1053227,1.586657,0.9906636,,45.8734855478893,47.9156061849638,2.04325146023749
0.488, 6.22,6.22,,,-0.1057919,1.555995,0.990281,,,-0.1050537,1.587087,0.9909813,,45.8734855478893,47.9236623928656,2.05442778384273
0.5, 6.09,6.09,,,-0.1061298,1.556445,0.9903147,,,-0.105431,1.586854,0.9910406,,45.8734855478893,47.9475236580671,2.08506480995568
0.511, 6.19,6.19,,,-0.1058931,1.556336,0.9906292,,,-0.1052029,1.587276,0.9913871,,45.8734855478893,47.9456658466645,2.08919088442979
0.521, 6.2,6.2,,,-0.1058949,1.556351,0.9907286,,,-0.1052033,1.587343,0.9914802,,45.8734855478893,47.9359772235965,2.07838979433163
0.533, 6.19,6.19,,,-0.1064806,1.556327,0.9912179,,,-0.1057925,1.587276,0.9919769,,45.8734855478893,47.9437226578997,2.08778514616035
0.544, 6.16,6.16,,,-0.1063964,1.556896,0.9917054,,,-0.1057196,1.58769,0.9924682,,45.8734855478893,47.9435723937422,2.09040836561546
0.555, 6.19,6.19,,,-0.1067737,1.556811,0.9921706,,,-0.1061142,1.58775,0.9929448,,45.8734855478893,47.9270569967887,2.07942542173571
0.566, 6.34,6.34,,,-0.1064192,1.556697,0.9926639,,,-0.1057752,1.588377,0.9934614,,45.8734855478893,47.8931655990702,2.05385618240247
0.577, 6.3,6.3,,,-0.1067186,1.556603,0.9926076,,,-0.1061058,1.58809,0.9934006,,45.8734855478893,47.858662899438,2.02651643001959
0.588, 6.19,6.19,,,-0.1071945,1.557165,0.9931384,,,-0.1066042,1.588107,0.993922,,45.8734855478893,47.8490186725983,2.02139144040717
0.6, 6.33,6.33,,,-0.1071012,1.557181,0.9940344,,,-0.1065033,1.588836,0.9948154,,45.8734855478893,47.8146594069347,1.9839630720141
0.61, 6.38,6.38,,,-0.1073017,1.558455,0.9963882,,,-0.1067261,1.590344,0.9970933,,45.8734855478893,47.6768740046423,1.83525705131635
0.622, 6.23,6.23,,,-0.1079612,1.558411,0.995996,,,-0.1073981,1.58957,0.9967109,,45.8734855478893,47.7114211005028,1.87544545638754
0.632, 6.22,6.22,,,-0.107659,1.558891,0.9962747,,,-0.1071264,1.589986,0.9970055,,45.8734855478893,47.6961385526602,1.87346171337567
0.644, 6.22,6.22,,,-0.1079713,1.559383,0.9972389,,,-0.1074654,1.590455,0.9979845,,45.8734855478893,47.6819761558103,1.87293920391871
0.655, 6.14,6.14,,,-0.1083588,1.559943,0.9979132,,,-0.1078764,1.590638,0.9986448,,45.8734855478893,47.6526951356532,1.84896182550461
0.667, 6.15,6.15,,,-0.108695,1.560471,0.9990762,,,-0.1082334,1.591233,0.9998127,,45.8734855478893,47.628263549672,1.8347238696891
0.677, 6.38,6.38,,,-0.1087901,1.561689,1.002453,,,-0.1083476,1.593597,1.00315,,45.8734855478893,47.496963411816,1.69788946449042
0.689, 6.77,6.77,,,-0.1092452,1.562995,1.007444,,,-0.1088266,1.596832,1.008039,,45.8734855478893,47.2640368921274,1.44347143501132
0.699, 6.61,6.61,,,-0.1087858,1.562861,1.005671,,,-0.1083711,1.595919,1.006339,,45.8734855478893,47.3779883499743,1.58102930663337
0.71, 6.79,6.79,,,-0.1087416,1.563284,1.007416,,,-0.1083695,1.597221,1.008112,,45.8734855478893,47.326847309987,1.55808787578846
0.721, 6.7,6.7,,,-0.109285,1.563785,1.008014,,,-0.1089242,1.597283,1.008752,,45.8734855478893,47.3809048406688,1.63362635081217
0.732, 6.49,6.49,,,-0.1098661,1.564916,1.008676,,,-0.109524,1.59734,1.009429,,45.8734855478893,47.420489200902,1.69234794007192
0.744, 6.68,6.68,,,-0.1098432,1.56615,1.011733,,,-0.1095388,1.599519,1.012414,,45.8734855478893,47.2475078347959,1.51167876938208
0.755, 6.64,6.64,,,-0.1106107,1.5673,1.013884,,,-0.1103479,1.600477,1.01453,,45.8734855478893,47.1623968499168,1.4402140751981
0.766, 6.8,6.8,,,-0.1108627,1.569126,1.017962,,,-0.1106766,1.603137,1.018485,,45.8734855478893,46.8954696494861,1.17269787768953
0.777, 6.96,6.96,,,-0.1109119,1.570368,1.020869,,,-0.1107647,1.60515,1.021318,,45.8734855478893,46.7455299259038,1.01875598353014
0.789, 7.22,7.22,,,-0.1103337,1.570783,1.022786,,,-0.1102887,1.606872,1.023189,,45.8734855478893,46.5541855967252,0.892409653675268
0.8, 6.89,6.89,,,-0.1114478,1.572818,1.024483,,,-0.1113673,1.607275,1.024817,,45.8734855478893,46.5386503318903,0.817091825772124
0.81, 6.7,6.7,,,-0.1123408,1.574137,1.025865,,,-0.1122392,1.607632,1.026176,,45.8734855478893,46.5493259172659,0.800397189718744
0.823, 6.7,6.7,,,-0.1130149,1.575501,1.028482,,,-0.112903,1.609022,1.028734,,45.8734855478893,46.4902721033453,0.707205877832963
0.833, 6.38,6.38,,,-0.113742,1.576203,1.02789,,,-0.1135801,1.608114,1.028174,,45.8734855478893,46.6154626371587,0.812047197601921
0.844, 6.29,6.29,,,-0.1138083,1.576762,1.02807,,,-0.1136446,1.608219,1.028381,,45.8734855478893,46.6622016203485,0.869756691593062
0.855, 6.18,6.18,,,-0.1143242,1.577993,1.029508,,,-0.1141688,1.608875,1.0298,,45.8734855478893,46.6371348267921,0.842326545927898
0.866, 5.93,5.93,,,-0.1155066,1.581828,1.034305,,,-0.1153555,1.611458,1.034508,,45.8734855478893,46.5341287467855,0.705543794033375
0.877, 5.61,5.61,,,-0.1163493,1.584398,1.036552,,,-0.1161872,1.61247,1.036719,,45.8734855478893,46.5249421426075,0.676953209932688
0.888, 5.77,5.77,,,-0.1163958,1.586974,1.041294,,,-0.1162583,1.615822,1.041361,,45.8734855478893,46.3365040588398,0.46938920963899
0.9, 6.21,6.21,,,-0.115644,1.588111,1.045306,,,-0.1155925,1.619178,1.04527,,45.8734855478893,46.0696178395429,0.205584219325052
0.914, 6.15,6.15,,,-0.115833,1.589258,1.046718,,,-0.1158188,1.620032,1.04666,,45.8734855478893,45.9932392512747,0.144017656251957
0.921, 5.77,5.77,,,-0.1168406,1.590659,1.046883,,,-0.116759,1.619485,1.046854,,45.8734855478893,46.1250209174538,0.252564220140406
0.932, 5.63,5.63,,,-0.1171591,1.590622,1.046186,,,-0.1170624,1.618782,1.046199,,45.8734855478893,46.2084072796154,0.339196976460323
0.944, 5.34,5.34,,,-0.1185535,1.593185,1.04908,,,-0.1184511,1.619862,1.049061,,45.8734855478893,46.1766639763311,0.302611976323719
0.955, 5,5,,,-0.1195256,1.596451,1.052227,,,-0.119407,1.621438,1.052165,,45.8734855478893,46.1420963899036,0.292083079928579
0.966, 4.92,4.92,,,-0.1199211,1.598338,1.054699,,,-0.1198158,1.622924,1.054601,,45.8734855478893,46.0624222354526,0.245492573307849
0.977, 4.78,4.78,,,-0.1200485,1.599509,1.055442,,,-0.1199447,1.623392,1.055366,,45.8734855478893,46.0984207464714,0.257930374120755
0.988, 4.94,4.94,,,-0.1206205,1.602078,1.060792,,,-0.12055,1.626797,1.060614,,45.8734855478893,45.8750906422996,0.229850186563766
0.999, 4.9,4.9,,,-0.1213523,1.604065,1.063932,,,-0.1212704,1.628546,1.06372,,45.8734855478893,45.8355472632002,0.313411598998467
1.011, 4.98,4.98,,,-0.1210774,1.603894,1.063981,,,-0.1210103,1.628797,1.063801,,45.8734855478893,45.8677550193351,0.225553517447718
1.021, 5.05,5.05,,,-0.1215476,1.605778,1.067527,,,-0.1214883,1.631022,1.067313,,45.8734855478893,45.8041318089869,0.269795399554672
1.033, 4.84,4.84,,,-0.1218501,1.605745,1.066298,,,-0.1217776,1.62994,1.066127,,45.8734855478893,45.8864799824236,0.229850186563766
1.043, 4.85,4.85,,,-0.1218042,1.606916,1.067912,,,-0.1217342,1.631166,1.067754,,45.8734855478893,45.9047609832285,0.204630234023619
1.055, 4.91,4.91,,,-0.1229089,1.610127,1.073858,,,-0.1228407,1.634671,1.073639,,45.8734855478893,45.8031175259234,0.305187437816821
1.066, 5,5,,,-0.1233408,1.612023,1.077523,,,-0.1232781,1.637012,1.077268,,45.8734855478893,45.7408022967649,0.363694516453925
1.077, 5.17,5.17,,,-0.1233706,1.614492,1.08215,,,-0.1233357,1.640319,1.081835,,45.8734855478893,45.6141603477932,0.453703040316329
1.088, 5.49,5.49,,,-0.1233097,1.615688,1.085995,,,-0.1233118,1.643111,1.085617,,45.8734855478893,45.4910393612407,0.539229546145326
1.1, 5.4,5.4,,,-0.1232827,1.615527,1.085157,,,-0.123295,1.642545,1.084829,,45.8734855478893,45.542033552165,0.445433362328434
1.11, 5.55,5.55,,,-0.1242374,1.616821,1.088973,,,-0.1242679,1.644586,1.088584,,45.8734855478893,45.4400690759779,0.556375028032234
1.122, 5.43,5.43,,,-0.1247672,1.618048,1.090333,,,-0.1248033,1.645189,1.089942,,45.8734855478893,45.4148281126025,0.580134587450894
1.133, 5.32,5.32,,,-0.1250463,1.618008,1.089734,,,-0.1250682,1.644585,1.089383,,45.8734855478893,45.4843116250955,0.507834048890493
1.144, 5.1,5.1,,,-0.1265714,1.620627,1.093334,,,-0.1265736,1.646106,1.092961,,45.8734855478893,45.4574143408925,0.586841619585795
1.155, 5.03,5.03,,,-0.1280449,1.622662,1.097135,,,-0.1280302,1.647795,1.096721,,45.8734855478893,45.4113481313172,0.692951113349263
1.166, 4.83,4.83,,,-0.1288973,1.623941,1.098339,,,-0.1288725,1.648069,1.097937,,45.8734855478893,45.4214636411965,0.706098266640332
1.178, 4.91,4.91,,,-0.1301511,1.625298,1.102066,,,-0.1301233,1.64985,1.101616,,45.8734855478893,45.3584414874786,0.802594429497082
1.189, 5.03,5.03,,,-0.1297825,1.625136,1.10232,,,-0.1297761,1.650301,1.101883,,45.8734855478893,45.3615082423306,0.744147381817809
1.199, 4.94,4.94,,,-0.1310955,1.627503,1.106281,,,-0.1311231,1.652209,1.105831,,45.8734855478893,45.2713668232677,0.795000540011816
1.211, 5.15,5.15,,,-0.1323879,1.629416,1.111693,,,-0.1324502,1.655139,1.111153,,45.8734855478893,45.1058064574883,0.963067958672803
1.222, 5.46,5.46,,,-0.1322432,1.629895,1.114438,,,-0.1323583,1.657184,1.113849,,45.8734855478893,45.008175736209,1.01664086610211
1.233, 5.69,5.69,,,-0.1325999,1.631004,1.118024,,,-0.1327791,1.659461,1.117375,,45.8734855478893,44.8748572775094,1.11644999077924
1.245, 5.79,5.79,,,-0.1336128,1.631572,1.12051,,,-0.1338108,1.660517,1.119845,,45.8734855478893,44.8468774083531,1.13435938661488
1.256, 5.63,5.63,,,-0.1342214,1.632976,1.121902,,,-0.1343702,1.661133,1.121245,,45.8734855478893,44.8951805048193,1.12830549130119
1.266, 5.63,5.63,,,-0.134541,1.632992,1.122183,,,-0.1346699,1.661134,1.121545,,45.8734855478893,44.9508226393444,1.08082724687604
1.278, 5.62,5.62,,,-0.1360323,1.634993,1.126373,,,-0.1361388,1.663105,1.125703,,45.8734855478893,44.9369334500537,1.13591090673035
1.288, 5.89,5.89,,,-0.1372502,1.637017,1.132242,,,-0.1373557,1.666448,1.131477,,45.8734855478893,44.8581950314929,1.25694345628053
