経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.81,-0.81,,,-0.1197988,1.777239,1.120009,,,-0.1205083,1.773236,1.120074,,45.7999961295596,45.9939188550782,10.0723388160778
0.01, 0.18,-0.18,,,-0.1193804,1.77458,1.120494,,,-0.1195377,1.773687,1.120509,,45.7999961295596,45.9901349303833,10.0017966242929
0.021, 0.32,0.32,,,-0.1196782,1.77258,1.120966,,,-0.1194058,1.774136,1.120941,,45.7999961295596,46.0053935725645,9.95362500896462
0.033, 0.74,0.74,,,-0.1198241,1.770425,1.120933,,,-0.1191894,1.774075,1.120883,,45.7999961295596,46.0901971989395,9.87699028860964
0.042, 1.16,1.16,,,-0.1201072,1.768341,1.120936,,,-0.119119,1.774057,1.120865,,45.7999961295596,46.1630070134657,9.81786390393112
0.054, 1.5,1.5,,,-0.1197988,1.766317,1.120637,,,-0.1185251,1.773729,1.120549,,45.7999961295596,46.182315957712,9.76053812782243
0.065, 1.92,1.92,,,-0.1194498,1.76495,1.121331,,,-0.1178313,1.774421,1.121216,,45.7999961295596,46.1594997114245,9.70695017263303
0.076, 2.46,2.46,,,-0.119637,1.762934,1.122002,,,-0.117575,1.775082,1.121854,,45.7999961295596,46.1430389559828,9.64403986325962
0.087, 3.1,3.1,,,-0.1189805,1.760755,1.122935,,,-0.1164152,1.776024,1.122762,,45.7999961295596,46.1764556555672,9.5447664815306
0.098, 3.86,3.86,,,-0.1181936,1.758509,1.124424,,,-0.1150347,1.777546,1.124229,,45.7999961295596,46.2181539592898,9.42712757540813
0.11, 4.48,4.48,,,-0.1181509,1.75632,1.125265,,,-0.1145226,1.778413,1.125064,,45.7999961295596,46.2693257351275,9.33041295322573
0.121, 4.82,4.82,,,-0.1177401,1.755458,1.126076,,,-0.1138554,1.779267,1.125888,,45.7999961295596,46.3257772470468,9.2687243939061
0.131, 4.93,4.93,,,-0.1178715,1.755505,1.126606,,,-0.1138974,1.779816,1.126417,,45.7999961295596,46.3344515870513,9.28541822954671
0.143, 4.93,4.93,,,-0.1180553,1.755606,1.126721,,,-0.1140688,1.779925,1.126522,,45.7999961295596,46.3166589447586,9.31141563635163
0.154, 4.81,4.81,,,-0.1183255,1.756367,1.126896,,,-0.1144181,1.780099,1.12669,,45.7999961295596,46.2955843966609,9.3525675249558
0.165, 5.03,5.03,,,-0.1184976,1.755817,1.127401,,,-0.1144027,1.78062,1.127192,,45.7999961295596,46.3132404351741,9.37741660623847
0.176, 5.48,5.48,,,-0.1189879,1.754692,1.128441,,,-0.11449,1.781733,1.128265,,45.7999961295596,46.4306479686449,9.44423036861392
0.188, 5.81,5.81,,,-0.120728,1.753064,1.128285,,,-0.1158864,1.781699,1.128232,,45.7999961295596,46.715664924589,9.5980846442553
0.199, 5.65,5.65,,,-0.1213631,1.753146,1.12752,,,-0.1166106,1.781002,1.12756,,45.7999961295596,46.9116332917071,9.68774965763678
0.21, 5.83,5.83,,,-0.1217035,1.752533,1.127677,,,-0.1167846,1.78124,1.127789,,45.7999961295596,47.0560200716487,9.73455865026359
0.221, 6.25,6.25,,,-0.1222214,1.751186,1.128331,,,-0.1169569,1.78197,1.128493,,45.7999961295596,47.1288503767418,9.71994460716737
0.232, 6.61,6.61,,,-0.1216061,1.75034,1.129263,,,-0.116082,1.782929,1.129418,,45.7999961295596,47.0868754503656,9.63476019775674
0.243, 6.84,6.84,,,-0.1212043,1.750212,1.130251,,,-0.1155213,1.783932,1.130385,,45.7999961295596,47.0352528820552,9.5782788037607
0.254, 7.26,7.26,,,-0.1208809,1.748851,1.130913,,,-0.1148809,1.784627,1.131055,,45.7999961295596,47.0264829194049,9.53229797154771
0.266, 7.75,7.75,,,-0.1209982,1.747353,1.13177,,,-0.1146445,1.785559,1.131953,,45.7999961295596,47.0615525247224,9.45608672290948
0.277, 8.59,8.59,,,-0.1201802,1.74444,1.13291,,,-0.1132332,1.786829,1.133178,,45.7999961295596,47.1251347539367,9.32700042005662
0.287, 9.17,9.17,,,-0.1199456,1.741512,1.132784,,,-0.1126382,1.786792,1.133142,,45.7999961295596,47.192326738027,9.19389625853631
0.299, 9.43,9.43,,,-0.1196416,1.740743,1.133237,,,-0.1121692,1.78729,1.133622,,45.7999961295596,47.2064379084595,9.14827828011288
0.31, 9.43,9.43,,,-0.1197912,1.740822,1.133322,,,-0.1122986,1.787369,1.133698,,45.7999961295596,47.2000926628972,9.17153251226873
0.321, 9.49,9.49,,,-0.1199533,1.74024,1.133014,,,-0.112393,1.787089,1.133428,,45.7999961295596,47.2456910045273,9.1976571313434
0.332, 9.48,9.48,,,-0.1201861,1.73963,1.132271,,,-0.1126162,1.786399,1.132763,,45.7999961295596,47.3436051786493,9.23248170363127
0.343, 9.57,9.57,,,-0.1203901,1.73838,1.131403,,,-0.1127301,1.785599,1.131992,,45.7999961295596,47.4557739571724,9.26371957293105
0.354, 9.49,9.49,,,-0.1199502,1.737685,1.130216,,,-0.1123463,1.784493,1.130926,,45.7999961295596,47.6079198317952,9.29288618742266
0.366, 9.39,9.39,,,-0.1198715,1.736963,1.129037,,,-0.1123575,1.783322,1.129797,,45.7999961295596,47.6730251931521,9.28112033313108
0.377, 9.49,9.49,,,-0.1188276,1.736106,1.128645,,,-0.1112911,1.782967,1.129455,,45.7999961295596,47.7125173458341,9.21814513696236
0.388, 9.65,9.65,,,-0.1183764,1.735283,1.128564,,,-0.1107734,1.78291,1.1294,,45.7999961295596,47.7184391196797,9.15439812943891
0.398, 9.55,9.55,,,-0.1167175,1.73508,1.127893,,,-0.1092386,1.782229,1.128743,,45.7999961295596,47.737065045028,9.10187226863589
0.41, 9.54,9.54,,,-0.1167151,1.73507,1.127827,,,-0.1092377,1.782179,1.128695,,45.7999961295596,47.7594441592208,9.11082664638859
0.421, 9.31,9.31,,,-0.115645,1.735069,1.126691,,,-0.1083284,1.781045,1.127602,,45.7999961295596,47.8408770873342,9.14509882714272
0.432, 8.86,8.86,,,-0.1149581,1.735193,1.124577,,,-0.1079426,1.778904,1.125538,,45.7999961295596,47.9737276780886,9.23892940202834
0.443, 8.42,8.42,,,-0.1150007,1.736004,1.123236,,,-0.1082647,1.777539,1.124222,,45.7999961295596,48.0852134377138,9.34764893511662
0.455, 8.01,8.01,,,-0.114421,1.73623,1.121509,,,-0.1079474,1.775745,1.122493,,45.7999961295596,48.1633405543609,9.44934874148076
0.465, 7.86,7.86,,,-0.1139237,1.736277,1.120872,,,-0.1075591,1.775065,1.121837,,45.7999961295596,48.1650959129287,9.46385777042141
0.477, 7.84,7.84,,,-0.1129842,1.73679,1.121281,,,-0.1066755,1.775445,1.122203,,45.7999961295596,48.0991811741778,9.40537769237512
0.488, 7.78,7.78,,,-0.1122207,1.736764,1.121011,,,-0.1059724,1.775127,1.121897,,45.7999961295596,48.0550410778949,9.38001549314534
0.499, 7.47,7.47,,,-0.1103483,1.737418,1.120285,,,-0.1043412,1.774297,1.121097,,45.7999961295596,47.9953588865881,9.37093817199099
0.51, 7.39,7.39,,,-0.1091572,1.73747,1.119979,,,-0.1032101,1.773946,1.120758,,45.7999961295596,47.9600126586169,9.37391613438625
0.521, 7.12,7.12,,,-0.1086604,1.738126,1.119324,,,-0.1029224,1.773244,1.120082,,45.7999961295596,47.9734613007184,9.39473455039712
0.533, 6.95,6.95,,,-0.1070174,1.738195,1.11859,,,-0.1013946,1.772481,1.119346,,45.7999961295596,48.0065091700979,9.43250549545622
0.544, 6.66,6.66,,,-0.1054349,1.738909,1.117912,,,-0.1000197,1.771761,1.118652,,45.7999961295596,48.0398507376035,9.48267750238203
0.554, 6.51,6.51,,,-0.1037374,1.738963,1.117255,,,-0.09842828,1.771075,1.117991,,45.7999961295596,48.0647433613409,9.51345177260479
0.566, 6.23,6.23,,,-0.102597,1.739599,1.116555,,,-0.09750965,1.770325,1.117267,,45.7999961295596,48.0820408149326,9.52912193367204
0.577, 6.05,6.05,,,-0.1016093,1.739683,1.115778,,,-0.09665255,1.76951,1.116482,,45.7999961295596,48.1099592123881,9.56683994476654
0.588, 5.85,5.85,,,-0.1006725,1.739782,1.114931,,,-0.09585679,1.768625,1.115629,,45.7999961295596,48.1514935915752,9.61525403180364
0.599, 5.55,5.55,,,-0.09913774,1.740517,1.114242,,,-0.09454589,1.767881,1.114912,,45.7999961295596,48.1735926680198,9.66401731225233
0.611, 5.66,5.66,,,-0.09805415,1.739965,1.114207,,,-0.09335928,1.767866,1.114897,,45.7999961295596,48.1917541405175,9.69178800687117
0.621, 5.53,5.53,,,-0.09687731,1.739985,1.113597,,,-0.09228602,1.767225,1.114279,,45.7999961295596,48.2107454809762,9.71014926239651
0.633, 5.42,5.42,,,-0.09509838,1.740028,1.113137,,,-0.09058797,1.766733,1.113805,,45.7999961295596,48.2128286886151,9.7291235273828
0.643, 5.56,5.56,,,-0.09453064,1.739452,1.113257,,,-0.08989343,1.766873,1.11394,,45.7999961295596,48.207426009132,9.7398691221955
0.655, 5.42,5.42,,,-0.09401211,1.739488,1.112598,,,-0.08949068,1.766177,1.113269,,45.7999961295596,48.2219845569427,9.75836271263232
0.666, 5.51,5.51,,,-0.09341646,1.738862,1.112419,,,-0.08881629,1.766014,1.113112,,45.7999961295596,48.2452584258919,9.7628142883
0.677, 5.47,5.47,,,-0.09215577,1.738206,1.111586,,,-0.08759177,1.765161,1.11229,,45.7999961295596,48.2770222197431,9.76255303357152
0.688, 5.33,5.33,,,-0.09146973,1.738163,1.110909,,,-0.08702426,1.764447,1.111601,,45.7999961295596,48.2876943900243,9.75471539171703
0.699, 5.61,5.61,,,-0.09012708,1.736897,1.11099,,,-0.08545355,1.764567,1.111717,,45.7999961295596,48.2839343709908,9.74160484397003
0.71, 5.64,5.64,,,-0.08821195,1.736266,1.110522,,,-0.08351648,1.764083,1.11125,,45.7999961295596,48.2754683517502,9.73488137669289
0.721, 5.78,5.78,,,-0.08760888,1.735665,1.110565,,,-0.08279929,1.764145,1.11131,,45.7999961295596,48.2753385781596,9.73881898063983
0.732, 5.87,5.87,,,-0.08638515,1.734422,1.109795,,,-0.08149476,1.763374,1.110567,,45.7999961295596,48.3040287869698,9.7461247215275
0.744, 5.94,5.94,,,-0.08571468,1.733126,1.108799,,,-0.08077667,1.762383,1.109611,,45.7999961295596,48.3631577329692,9.75015880189378
