経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.82,-0.82,,,0.3988172,1.794669,1.310789,,,0.396704,1.791229,1.309997,,37.0427683666628,12.6107554985867,33.356590506265
0.01, 0.55,-0.55,,,0.3978926,1.793675,1.309951,,,0.3964858,1.791389,1.309419,,37.0039558177842,12.7510638019336,33.437651189079
0.022, 0.35,-0.35,,,0.397519,1.792765,1.309604,,,0.3966112,1.791294,1.30926,,37.0265569131189,12.7970138982962,33.514285909434
0.032, 0.08,-0.08,,,0.3965228,1.791876,1.310019,,,0.3963072,1.791528,1.309937,,36.9715909673027,12.6850278273283,33.6024636491651
0.044, 0.12,0.12,,,0.3964332,1.790723,1.309808,,,0.3967329,1.791207,1.309923,,37.0479593102875,12.7414981222672,33.6403951036652
0.055, 0.4,0.4,,,0.3959609,1.789364,1.309543,,,0.3969842,1.791017,1.309934,,37.0930727085001,12.8043358608827,33.6335171033624
0.066, 0.78,0.78,,,0.3957948,1.787117,1.309783,,,0.3978148,1.79039,1.310561,,37.242278186767,12.8669635711871,33.5716970629049
0.077, 1.18,1.18,,,0.3961779,1.784401,1.310266,,,0.3992016,1.789333,1.311438,,37.4925568015591,12.9623574055755,33.4141963201219
0.089, 1.39,1.39,,,0.3968112,1.782651,1.310776,,,0.4003501,1.788449,1.312145,,37.700846829597,12.961413131949,33.2913314656561
0.1, 1.38,1.38,,,0.3968505,1.782662,1.311554,,,0.4003721,1.788431,1.312903,,37.7059455656706,12.7764917417323,33.2611556907427
0.11, 1.37,1.37,,,0.3965354,1.782946,1.312275,,,0.4000444,1.788681,1.313615,,37.6481348461443,12.6170264658439,33.3109750891624
0.122, 1.37,1.37,,,0.396266,1.783174,1.312128,,,0.3997712,1.788893,1.313467,,37.5983564288585,12.6060930408343,33.3622288272679
0.132, 1.64,1.64,,,0.3951649,1.782363,1.311724,,,0.3993714,1.7892,1.313336,,37.5258778784978,12.5973743046014,33.467106379055
0.144, 2.01,2.01,,,0.3941109,1.780872,1.310785,,,0.3992902,1.789264,1.312788,,37.5101821042219,12.7412044241411,33.5824477803593
0.154, 2.3,2.3,,,0.3935171,1.779578,1.310299,,,0.3994277,1.78916,1.312617,,37.5347058977544,12.9133183562467,33.6213491216946
0.166, 2.49,2.49,,,0.3934203,1.778501,1.310062,,,0.3997972,1.788875,1.312577,,37.6014163535215,13.0219345827267,33.5478699486484
0.177, 2.49,2.49,,,0.3937896,1.778198,1.310499,,,0.4001635,1.788592,1.313004,,37.6683795262809,12.9756113872911,33.47222902079
0.188, 2.59,2.59,,,0.3940951,1.777343,1.310969,,,0.4007161,1.788162,1.313561,,37.7695960967747,12.9216597245385,33.4049243385816
0.199, 2.66,2.66,,,0.3934695,1.777373,1.311277,,,0.4002793,1.788498,1.313932,,37.6913699423874,12.7977848558773,33.3965744325536
0.21, 2.66,2.66,,,0.3933404,1.777491,1.311365,,,0.4001459,1.7886,1.314014,,37.66748135643,12.7534005803384,33.4116793954827
0.222, 2.66,2.66,,,0.3932546,1.777563,1.311297,,,0.4000605,1.788666,1.313947,,37.6518572991384,12.755178990794,33.4271566037113
0.232, 2.84,2.84,,,0.3926173,1.776954,1.311502,,,0.3998798,1.788803,1.314343,,37.6202096184998,12.7369919050877,33.4418278496402
0.244, 3.02,3.02,,,0.3922083,1.776145,1.311086,,,0.3999313,1.788765,1.314126,,37.6289351849217,12.837870381227,33.4229765280556
0.255, 3.03,3.03,,,0.3925952,1.7758,1.310982,,,0.4003245,1.788462,1.314035,,37.6998257163445,12.930849743811,33.3689907143581
0.266, 3.03,3.03,,,0.3927121,1.775714,1.311928,,,0.4004323,1.788371,1.314967,,37.7221296984585,12.7929892094398,33.3378587129875
0.277, 3,3,,,0.3920861,1.776365,1.312431,,,0.3997352,1.788904,1.315423,,37.5976324288266,12.611161894831,33.3184097498671
0.288, 2.79,2.79,,,0.3918645,1.77781,1.312983,,,0.39899,1.789473,1.315746,,37.4642559135207,12.4175729947988,33.3295566182824
0.3, 2.79,2.79,,,0.3917411,1.777923,1.313057,,,0.3988629,1.789569,1.315815,,37.4416138370522,12.3777273798371,33.3458944303224
0.311, 2.76,2.76,,,0.3911358,1.778523,1.312953,,,0.3982002,1.790077,1.315692,,37.3216996242258,12.3499430248403,33.3474653737878
0.322, 2.76,2.76,,,0.3911349,1.778522,1.312915,,,0.3981999,1.790077,1.315656,,37.3215015487454,12.3586737139039,33.3461744680706
0.333, 2.64,2.64,,,0.390555,1.779713,1.312875,,,0.3973057,1.790759,1.315495,,37.1600768623933,12.3115949288124,33.3394125809804
0.344, 2.62,2.62,,,0.3899755,1.780297,1.312891,,,0.3966639,1.791245,1.315486,,37.0447696120339,12.2604146152384,33.330027901322
