経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.74,-0.74,,,0.4106569,1.620069,1.285254,,,0.4090368,1.616817,1.284488,,45.0005395849294,21.9078926248758,28.9632626902065
0.01, 0.3,-0.3,,,0.4089285,1.618922,1.284356,,,0.4082674,1.617586,1.284041,,45.0005395849294,22.0474094800746,28.8267784389148
0.021, 0.02,0.02,,,0.4081938,1.617513,1.283845,,,0.4082421,1.617611,1.283868,,45.0005395849294,22.2025281944509,28.6377871098397
0.032, 0.35,0.35,,,0.4074613,1.616118,1.283603,,,0.4082049,1.617648,1.283959,,45.0005395849294,22.3406824269483,28.4292751006599
0.044, 0.58,0.58,,,0.4072236,1.614815,1.284037,,,0.408464,1.617389,1.284632,,45.0005395849294,22.4605983473219,28.2294801201658
0.054, 0.74,0.74,,,0.4067788,1.614274,1.283816,,,0.4083332,1.61752,1.284562,,45.0005395849294,22.5480828228716,28.0801107173634
0.067, 0.99,0.99,,,0.4060846,1.613291,1.283893,,,0.4081765,1.617677,1.284898,,45.0005395849294,22.618949448633,27.994496006047
0.076, 1.37,1.37,,,0.4043732,1.612569,1.282661,,,0.4072476,1.618606,1.284054,,45.0005395849294,22.688419300748,27.9907564775805
0.088, 1.67,1.67,,,0.4022747,1.612713,1.280871,,,0.4057804,1.620073,1.282589,,45.0005395849294,22.7504220487607,28.0572347069223
0.098, 2.07,2.07,,,0.3999339,1.612424,1.279027,,,0.4042941,1.621559,1.281188,,45.0005395849294,22.7854728710586,28.1552205980286
0.11, 2.27,2.27,,,0.3991747,1.611903,1.27851,,,0.4039506,1.621903,1.280888,,45.0005395849294,22.8067779380342,28.1941543827615
0.121, 2.25,2.25,,,0.3994107,1.611753,1.279082,,,0.4041567,1.621696,1.281434,,45.0005395849294,22.7874399654848,28.1557345697493
0.132, 2.24,2.24,,,0.399693,1.611572,1.279681,,,0.4044017,1.621452,1.282003,,45.0005395849294,22.7775447292001,28.0970478784864
0.143, 2.41,2.41,,,0.3987361,1.611395,1.280011,,,0.4038035,1.62205,1.282504,,45.0005395849294,22.7931346355468,28.0346097059262
0.155, 2.6,2.6,,,0.3981889,1.610739,1.280001,,,0.4036409,1.622212,1.282684,,45.0005395849294,22.8061085795142,28.0174847146062
0.166, 2.88,2.88,,,0.3971122,1.610008,1.279511,,,0.4031399,1.622713,1.282496,,45.0005395849294,22.8672370633375,28.0099014972913
0.177, 3.24,3.24,,,0.3956187,1.609126,1.279207,,,0.4023964,1.623457,1.282608,,45.0005395849294,22.9860430780019,27.9985189873562
0.187, 3.78,3.78,,,0.3945871,1.606682,1.278313,,,0.4024459,1.623407,1.282347,,45.0005395849294,23.2121940502224,27.9553197496053
0.199, 3.86,3.86,,,0.3944182,1.606353,1.277709,,,0.4024172,1.623436,1.281855,,45.0005395849294,23.3191616398373,27.9230368613916
0.21, 3.86,3.86,,,0.3944989,1.606312,1.278262,,,0.4024833,1.62337,1.282376,,45.0005395849294,23.2882738177227,27.8847843880094
0.221, 3.86,3.86,,,0.3944339,1.606371,1.278728,,,0.4024241,1.623429,1.282821,,45.0005395849294,23.2432287214,27.8731064724009
0.232, 3.85,3.85,,,0.3943882,1.606416,1.279134,,,0.4023826,1.623471,1.283209,,45.0005395849294,23.2040746630725,27.8652893211134
0.243, 3.86,3.86,,,0.3942557,1.606516,1.279962,,,0.4022672,1.623586,1.284033,,45.0005395849294,23.1673231237186,27.8782052084744
0.254, 3.96,3.96,,,0.3934092,1.606685,1.280005,,,0.4016474,1.624206,1.284182,,45.0005395849294,23.1302795937859,27.9120966061929
0.266, 4.16,4.16,,,0.3925013,1.606283,1.279908,,,0.4011714,1.624682,1.284301,,45.0005395849294,23.0957068847167,27.9602221177456
0.276, 4.36,4.36,,,0.391731,1.60578,1.280313,,,0.4008163,1.625037,1.284924,,45.0005395849294,23.088000724,27.9954044211813
0.288, 4.36,4.36,,,0.3917747,1.605741,1.280056,,,0.4008571,1.624996,1.284681,,45.0005395849294,23.1114863288076,28.007020865089
0.299, 4.63,4.63,,,0.3913255,1.604398,1.279777,,,0.4009762,1.624877,1.284713,,45.0005395849294,23.1515368494387,28.0069201198015
0.31, 4.72,4.72,,,0.3915954,1.60359,1.280156,,,0.4014075,1.624446,1.285198,,45.0005395849294,23.2021673327998,27.9914838927068
0.321, 4.99,4.99,,,0.3912767,1.602158,1.279975,,,0.401635,1.624218,1.285319,,45.0005395849294,23.2536550048779,27.9660277783786
0.332, 5.08,5.08,,,0.391418,1.601448,1.2806,,,0.4019505,1.623903,1.286038,,45.0005395849294,23.27227239249,27.9450317774542
0.344, 5.17,5.17,,,0.3909121,1.601378,1.280093,,,0.401622,1.624231,1.28562,,45.0005395849294,23.2809228268331,27.9197925216261
0.355, 5.26,5.26,,,0.3909238,1.600762,1.280221,,,0.4018247,1.624028,1.285838,,45.0005395849294,23.2743556001289,27.9079455588404
0.366, 5.35,5.35,,,0.3903053,1.60078,1.280621,,,0.4013988,1.624455,1.28631,,45.0005395849294,23.2444240044715,27.8858072088091
0.377, 5.35,5.35,,,0.390163,1.600888,1.280893,,,0.4012761,1.624577,1.286569,,45.0005395849294,23.2040131913717,27.8927654638324
0.387, 5.36,5.36,,,0.3899485,1.601048,1.281163,,,0.4010913,1.624762,1.286828,,45.0005395849294,23.1544021137158,27.908514172073
0.399, 5.37,5.37,,,0.3897825,1.601166,1.280577,,,0.4009505,1.624903,1.286247,,45.0005395849294,23.1286813295646,27.9329764939046
0.409, 5.37,5.37,,,0.3896537,1.601251,1.280383,,,0.4008439,1.62501,1.286073,,45.0005395849294,23.1232205934751,27.9664205142449
0.422, 5.38,5.38,,,0.3889531,1.601915,1.279408,,,0.4001597,1.625694,1.285128,,45.0005395849294,23.1377466978882,27.9984455628246
0.432, 5.47,5.47,,,0.3884903,1.601798,1.278966,,,0.3998717,1.625982,1.28481,,45.0005395849294,23.193323945618,27.9951568268308
0.444, 5.47,5.47,,,0.3880568,1.602283,1.278961,,,0.3994108,1.626443,1.284797,,45.0005395849294,23.2195757769625,27.9671274388044
0.455, 5.45,5.45,,,0.3876824,1.602731,1.278529,,,0.398997,1.626856,1.284341,,45.0005395849294,23.2423288440019,27.9158310120177
0.466, 5.35,5.35,,,0.3872958,1.60381,1.279066,,,0.3983734,1.62748,1.284727,,45.0005395849294,23.2401312306976,27.8392731312888
0.477, 5.16,5.16,,,0.3872301,1.605095,1.279011,,,0.397921,1.627932,1.284435,,45.0005395849294,23.1937576626183,27.8099562526396
0.488, 4.98,4.98,,,0.3862877,1.607179,1.279595,,,0.3966331,1.62922,1.284796,,45.0005395849294,23.1036367341224,27.8289680836653
0.499, 4.62,4.62,,,0.3858124,1.60998,1.280227,,,0.3954377,1.630416,1.285015,,45.0005395849294,22.9929859651,27.8584061981688
0.51, 4.53,4.53,,,0.3849922,1.611356,1.279799,,,0.3944485,1.631405,1.284485,,45.0005395849294,22.9520526425432,27.8744725101969
0.521, 4.35,4.35,,,0.3849813,1.612576,1.27957,,,0.3940501,1.631803,1.284076,,45.0005395849294,22.9674974073741,27.887472067373
0.533, 4.25,4.25,,,0.3843932,1.613777,1.279463,,,0.3932636,1.63259,1.283876,,45.0005395849294,22.979868587164,27.8863689918527
0.543, 4.16,4.16,,,0.3831753,1.615604,1.27879,,,0.3918478,1.634006,1.283108,,45.0005395849294,22.9892959555036,27.8779132178956
0.555, 3.78,3.78,,,0.3825656,1.618655,1.278775,,,0.3904526,1.635401,1.2827,,45.0005395849294,22.9977858804057,27.8602759624021
0.566, 3.5,3.5,,,0.3807148,1.622335,1.278281,,,0.3880115,1.637842,1.281905,,45.0005395849294,22.9975058426575,27.8291883572599
0.577, 3.04,3.04,,,0.3787252,1.627347,1.277493,,,0.3850543,1.640799,1.280614,,45.0005395849294,22.9590928598343,27.7908897801021
0.588, 2.67,2.67,,,0.3772752,1.631204,1.277738,,,0.3828369,1.643017,1.280446,,45.0005395849294,22.8766029599762,27.7505916651204
0.6, 2.29,2.29,,,0.3758449,1.635052,1.278021,,,0.3806357,1.645218,1.280324,,45.0005395849294,22.791275116597,27.7140808899281
0.61, 1.83,1.83,,,0.3751087,1.638838,1.278801,,,0.3789247,1.646929,1.280616,,45.0005395849294,22.7216430474937,27.6831708696993
0.622, 1.64,1.64,,,0.3732028,1.641957,1.278511,,,0.3766307,1.649223,1.280133,,45.0005395849294,22.6908815838753,27.6715612559807
0.632, 1.55,1.55,,,0.3719193,1.643819,1.277583,,,0.3751619,1.650691,1.279123,,45.0005395849294,22.7080321884039,27.6879485868908
