経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.38,-0.38,,,-0.06986202,1.798887,1.544324,,,-0.06951807,1.797101,1.543755,,46.050527461344,38.7024052510493,20.6223605588461
0.011, 0.04,-0.04,,,-0.06919901,1.797629,1.544436,,,-0.06916723,1.797465,1.544383,,46.050527461344,38.6232775117166,20.6587586359202
0.021, 0.12,0.12,,,-0.0689565,1.797012,1.544413,,,-0.0690653,1.79757,1.54459,,46.050527461344,38.5920703782673,20.6778490141191
0.033, 0.02,-0.02,,,-0.06914347,1.797626,1.543825,,,-0.06912127,1.797512,1.543789,,46.050527461344,38.6086130959767,20.659921475594
0.044, 0.08,0.08,,,-0.06914713,1.797021,1.543783,,,-0.06922235,1.797407,1.543906,,46.050527461344,38.6109387753244,20.6646155229705
0.055, 0.08,0.08,,,-0.0691718,1.797028,1.543729,,,-0.06924164,1.797387,1.543843,,46.050527461344,38.6172498699418,20.6696083911148
0.066, 0.06,0.06,,,-0.06985691,1.796426,1.543069,,,-0.06990913,1.796695,1.543154,,46.050527461344,38.6273414741597,20.6697245043275
0.078, 0.04,0.04,,,-0.0699432,1.796429,1.542463,,,-0.0699805,1.796621,1.542524,,46.050527461344,38.6369583802434,20.6627952776073
0.089, 0.02,0.02,,,-0.07008633,1.796412,1.542055,,,-0.07010227,1.796495,1.542081,,46.050527461344,38.6504411732899,20.6303877384447
0.101, 0.11,0.11,,,-0.07023129,1.795768,1.5418,,,-0.0703266,1.796262,1.541957,,46.050527461344,38.6628652870444,20.5818028966831
0.111, 0.06,-0.06,,,-0.07113999,1.795761,1.541359,,,-0.07108502,1.795475,1.541269,,46.050527461344,38.7011587415604,20.5438731497303
0.121, 0.11,-0.11,,,-0.07196743,1.795189,1.540485,,,-0.071867,1.794664,1.540318,,46.050527461344,38.7475459700177,20.562703980748
0.132, 0.14,-0.14,,,-0.07268306,1.794619,1.538933,,,-0.07255523,1.79395,1.53872,,46.050527461344,38.7768304052693,20.5951849444421
0.144, 0.28,-0.28,,,-0.07396504,1.794078,1.536512,,,-0.07371148,1.792751,1.536087,,46.050527461344,38.8069173877259,20.6597080321884
0.155, 0.44,-0.44,,,-0.07531555,1.793547,1.533418,,,-0.07492298,1.791494,1.532758,,46.050527461344,38.8314002001245,20.7206794216651
0.166, 0.75,-0.75,,,-0.07755075,1.793,1.530576,,,-0.07687734,1.789467,1.529439,,46.050527461344,38.8746079756117,20.7312371862809
0.177, 0.92,-0.92,,,-0.07904421,1.792396,1.528789,,,-0.07822223,1.788072,1.527398,,46.050527461344,38.8938110519288,20.7024684302974
0.19, 1.15,-1.15,,,-0.08028226,1.792392,1.527613,,,-0.07925725,1.786998,1.525879,,46.050527461344,38.8935993160704,20.695781675286
0.199, 1.23,-1.23,,,-0.08191818,1.791141,1.525973,,,-0.08081955,1.785377,1.524123,,46.050527461344,38.8513955783633,20.6829750709486
0.21, 1.2,-1.2,,,-0.08296734,1.789896,1.524294,,,-0.08189079,1.784266,1.522491,,46.050527461344,38.8081468217423,20.6710785892928
0.221, 1.32,-1.32,,,-0.08545228,1.788015,1.521479,,,-0.08425575,1.781813,1.519499,,46.050527461344,38.7028594586165,20.6735169667586
0.232, 1.43,-1.43,,,-0.0872297,1.786771,1.519008,,,-0.08592597,1.78008,1.516873,,46.050527461344,38.604405699565,20.7173497045374
0.244, 1.33,-1.33,,,-0.08847047,1.78493,1.517071,,,-0.08724812,1.778709,1.515084,,46.050527461344,38.5289116207697,20.7692249898401
0.255, 1.3,-1.3,,,-0.09008431,1.783087,1.515071,,,-0.08887872,1.777017,1.513129,,46.050527461344,38.4332411637276,20.8478626631135
0.266, 1.3,-1.3,,,-0.09130914,1.781866,1.512455,,,-0.09008682,1.775764,1.510501,,46.050527461344,38.3591780095236,20.9094487695984
0.277, 1.38,-1.38,,,-0.09347326,1.780041,1.509089,,,-0.09216759,1.773605,1.507024,,46.050527461344,38.2436487780223,21.0034629058128
0.288, 1.63,-1.63,,,-0.09486234,1.78006,1.506977,,,-0.09330377,1.772427,1.504522,,46.050527461344,38.1925760399247,21.0652897764593
0.299, 1.89,-1.89,,,-0.09625255,1.780052,1.504496,,,-0.09444383,1.771244,1.501663,,46.050527461344,38.1362645468796,21.1008050516078
0.311, 2.1,-2.1,,,-0.0974147,1.780053,1.502641,,,-0.09539996,1.770252,1.499488,,46.050527461344,38.1261422068113,21.1065526556344
0.322, 2.49,-2.49,,,-0.09837679,1.781271,1.499543,,,-0.09597895,1.769652,1.495805,,46.050527461344,38.0873399032162,21.1277860056258
0.333, 2.87,-2.87,,,-0.09990107,1.781859,1.49783,,,-0.0971244,1.768464,1.493527,,46.050527461344,38.0321758819197,21.1324373643211
0.344, 3.07,-3.07,,,-0.1016503,1.781222,1.494848,,,-0.09864846,1.766883,1.490248,,46.050527461344,37.9209974807986,21.1678740922963
0.355, 3.35,-3.35,,,-0.103221,1.781187,1.491906,,,-0.09991413,1.76557,1.486904,,46.050527461344,37.7938193619921,21.2151116792816
0.366, 3.38,-3.38,,,-0.1046403,1.779952,1.488772,,,-0.1012553,1.764178,1.483718,,46.050527461344,37.6549479596518,21.2961347960563
0.377, 3.37,-3.37,,,-0.1052269,1.779304,1.487048,,,-0.1018073,1.763606,1.482021,,46.050527461344,37.4914161599995,21.3768078656456
0.388, 3.28,-3.28,,,-0.1059828,1.77804,1.484812,,,-0.1026128,1.76277,1.479932,,46.050527461344,37.3399601344637,21.4328512737733
0.4, 3.31,-3.31,,,-0.1074281,1.776792,1.483086,,,-0.1039793,1.761353,1.478157,,46.050527461344,37.2013346189267,21.4947754746128
0.411, 3.43,-3.43,,,-0.1092694,1.775559,1.481299,,,-0.1056743,1.759594,1.476208,,46.050527461344,37.1039258787892,21.5302309856077
0.422, 3.6,-3.6,,,-0.1114148,1.774349,1.479337,,,-0.1076193,1.757577,1.473988,,46.050527461344,37.0510670462734,21.5615320341555
0.433, 3.68,-3.68,,,-0.1129689,1.773172,1.476496,,,-0.1090796,1.756062,1.471026,,46.050527461344,37.0171824787439,21.6230225179947
0.444, 3.82,-3.82,,,-0.1148984,1.771993,1.47426,,,-0.1108348,1.754241,1.468569,,46.050527461344,36.9580057214216,21.7046347385688
0.455, 3.95,-3.95,,,-0.1162075,1.771406,1.472188,,,-0.1119792,1.753054,1.466294,,46.050527461344,36.8983747565322,21.771164194328
0.466, 3.99,-3.99,,,-0.1176748,1.770177,1.470397,,,-0.1133753,1.751606,1.464438,,46.050527461344,36.8388872256114,21.7916411008899
0.477, 4.09,-4.09,,,-0.1194097,1.768964,1.468462,,,-0.1149688,1.749953,1.462361,,46.050527461344,36.7385995608188,21.8542858866667
0.489, 4.19,-4.19,,,-0.1211888,1.767744,1.466593,,,-0.1166002,1.74826,1.46034,,46.050527461344,36.6446708019666,21.9075442852378
0.5, 4.29,-4.29,,,-0.1229219,1.766515,1.464813,,,-0.1181937,1.746608,1.45843,,46.050527461344,36.5414837219521,21.9550465420461
0.511, 4.26,-4.26,,,-0.1239422,1.76531,1.462836,,,-0.1192057,1.745558,1.456496,,46.050527461344,36.4377229060633,22.0339864511818
0.522, 4.34,-4.34,,,-0.1256079,1.764125,1.46071,,,-0.1207319,1.743975,1.454228,,46.050527461344,36.3474517134098,22.1275412571874
0.533, 4.23,-4.23,,,-0.1267488,1.762315,1.45871,,,-0.1219633,1.742697,1.452391,,46.050527461344,36.262070936066,22.2004227886979
0.544, 4.13,-4.13,,,-0.127944,1.760488,1.456866,,,-0.1232458,1.741367,1.450708,,46.050527461344,36.1753104605483,22.2516133475553
0.555, 4.22,-4.22,,,-0.129702,1.759269,1.455049,,,-0.1248553,1.739697,1.448749,,46.050527461344,36.0792301921674,22.3035210762556
0.566, 4.2,-4.2,,,-0.1313639,1.757439,1.45325,,,-0.1265022,1.737989,1.446995,,46.050527461344,35.96116354546,22.3593083522966
0.577, 3.96,-3.96,,,-0.132405,1.755014,1.451949,,,-0.127777,1.736666,1.446048,,46.050527461344,35.851839540647,22.429917138424
0.589, 3.83,-3.83,,,-0.133433,1.753216,1.449923,,,-0.1289206,1.73548,1.444208,,46.050527461344,35.7600930271739,22.518219529104
0.6, 3.5,-3.5,,,-0.1338342,1.750847,1.44819,,,-0.1296858,1.734686,1.442959,,46.050527461344,35.6825703822515,22.6428141289289
0.611, 3.38,-3.38,,,-0.1349162,1.749074,1.445967,,,-0.1308722,1.733456,1.440897,,46.050527461344,35.5972715671755,22.7457058032701
0.622, 3.2,-3.2,,,-0.1362003,1.746684,1.444398,,,-0.132352,1.73192,1.439595,,46.050527461344,35.5299703000616,22.8257129294339
0.633, 3,-3,,,-0.1368396,1.744882,1.442414,,,-0.133206,1.731035,1.437906,,46.050527461344,35.4525637683519,22.8883730831359
0.644, 2.89,-2.89,,,-0.1379752,1.743079,1.441076,,,-0.1344503,1.729744,1.43673,,46.050527461344,35.368381689174,22.9594172938108
