経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.91,-0.91,,,-0.1104055,1.785275,1.545594,,,-0.1095028,1.781316,1.543517,,39.5269764005587,14.0876899504014,30.0066252833105
0.011, 0.54,-0.54,,,-0.1077167,1.783161,1.547658,,,-0.1071698,1.780799,1.546423,,39.6460641605185,13.6974675935992,29.9871592447177
0.023, 0.26,-0.26,,,-0.1061425,1.781163,1.549385,,,-0.1058754,1.780019,1.548788,,39.8229899607606,13.5216653594444,29.9829484332116
0.033, 0.17,-0.17,,,-0.1042862,1.780347,1.551272,,,-0.1041169,1.779626,1.550897,,39.9130050213273,13.3254519592966,29.9432957710885
0.045, 0.19,-0.19,,,-0.1038208,1.779549,1.553148,,,-0.1036267,1.77872,1.552718,,40.1166095397249,13.4252196759531,29.8594722768321
0.055, 0.28,-0.28,,,-0.1043776,1.778894,1.554559,,,-0.1040961,1.777682,1.553932,,40.3478729083969,13.6672209554751,29.8077814066319
0.067, 0.41,-0.41,,,-0.1057727,1.779661,1.553462,,,-0.1053659,1.777897,1.552546,,40.2989482647336,13.8433928736085,29.8200211052839
0.078, 0.34,-0.34,,,-0.1067415,1.778565,1.553717,,,-0.1064021,1.777077,1.552944,,40.4805698198993,14.1394115564521,29.8117702369962
0.089, 0.09,-0.09,,,-0.1068208,1.776487,1.554414,,,-0.106729,1.776079,1.5542,,40.7015161881171,14.3843899445958,29.8948663161262
0.1, 0.2,0.2,,,-0.1068163,1.775002,1.553854,,,-0.1070088,1.775857,1.554305,,40.7503452091347,14.3814615010706,30.0547473797688
0.111, 0.52,0.52,,,-0.1053659,1.773805,1.553701,,,-0.105883,1.77608,1.554903,,40.7019294145503,14.1284328814404,30.124323099813
0.122, 0.9,0.9,,,-0.1037135,1.771994,1.554162,,,-0.1046115,1.775897,1.556227,,40.7433715861862,13.8761547288244,30.202477537216
0.133, 1.33,1.33,,,-0.1020844,1.770133,1.554192,,,-0.10342,1.775873,1.55723,,40.7495255864571,13.6338657275916,30.2590929736708
0.144, 1.78,1.78,,,-0.1006785,1.767774,1.554476,,,-0.1024874,1.775481,1.558566,,40.8369656657784,13.4714463949693,30.353677430665
0.156, 2.01,2.01,,,-0.100007,1.76723,1.553639,,,-0.1020478,1.775921,1.558259,,40.7401170011372,13.3614393712583,30.3916293757321
0.168, 1.99,1.99,,,-0.1002986,1.767238,1.553628,,,-0.1023085,1.775826,1.558193,,40.7608671152583,13.4333518697073,30.3765141675195
0.177, 2.01,2.01,,,-0.1007767,1.767239,1.553046,,,-0.102797,1.775921,1.55766,,40.7394305671447,13.534571001522,30.3479605624888
0.188, 2.17,2.17,,,-0.1008955,1.7667,1.552206,,,-0.1030752,1.77608,1.557198,,40.7042175278586,13.5506424361918,30.3743455825184
0.199, 2.35,2.35,,,-0.09970598,1.766801,1.55126,,,-0.1020665,1.776962,1.55668,,40.5095468966467,13.3409419741295,30.4199234335815
0.21, 2.55,2.55,,,-0.09884939,1.766815,1.54998,,,-0.1014199,1.777843,1.555863,,40.3141864163478,13.1452340079663,30.4378526796539
0.222, 2.58,2.58,,,-0.09813324,1.767409,1.549417,,,-0.1007314,1.778539,1.555353,,40.1592572397157,12.9881840576559,30.4349805851878
0.233, 2.64,2.64,,,-0.09764604,1.767997,1.548277,,,-0.1003065,1.779409,1.554359,,39.9647607783228,12.8727128827609,30.4151423012956
0.244, 2.57,2.57,,,-0.09595482,1.770406,1.546605,,,-0.09852231,1.781516,1.552517,,39.4907285876421,12.5727822091791,30.3514337135851
0.255, 2.3,2.3,,,-0.09568046,1.774055,1.543771,,,-0.09791967,1.784004,1.549056,,38.9234574871962,12.5701781996305,30.2100727073617
0.266, 2.04,2.04,,,-0.09548648,1.776539,1.542565,,,-0.09743135,1.785365,1.547253,,38.6104504168123,12.6229192113864,30.1323861379038
0.277, 1.68,1.68,,,-0.09548783,1.778888,1.542394,,,-0.09706433,1.786163,1.546248,,38.4258611445348,12.6995146581547,30.0193123593408
0.288, 1.51,1.51,,,-0.09442773,1.781181,1.541152,,,-0.09583661,1.787756,1.544623,,38.0556546565383,12.5591261000873,29.9079939393456
0.3, 1.46,1.46,,,-0.09206527,1.783486,1.539793,,,-0.09342071,1.789825,1.543131,,37.5706907483952,12.1437396195357,29.8454977101791
0.311, 1.46,1.46,,,-0.09013756,1.785178,1.538422,,,-0.09149998,1.791546,1.541766,,37.163085560639,11.7891665803407,29.7893842926144
0.322, 1.53,1.53,,,-0.08881446,1.786334,1.536802,,,-0.09024088,1.792994,1.540295,,36.8168769416235,11.5315514888104,29.7668207633192
0.332, 1.4,1.4,,,-0.08728155,1.788657,1.535412,,,-0.08857757,1.79474,1.538595,,36.3955977155295,11.2750830152552,29.7011041000486
0.344, 1.43,1.43,,,-0.08605452,1.789725,1.53418,,,-0.08736902,1.795953,1.537429,,36.1004276836666,11.1536371325501,29.598460020058
0.355, 1.53,1.53,,,-0.08548737,1.790326,1.532468,,,-0.08688287,1.797003,1.53595,,35.8429978610125,11.1396463441983,29.5593230372029
0.366, 1.51,1.51,,,-0.08529513,1.791602,1.530504,,,-0.0866677,1.798205,1.53395,,35.5456080177312,11.1210357867752,29.5585512258482
0.377, 1.68,1.68,,,-0.0848112,1.791709,1.528933,,,-0.08632807,1.799012,1.532751,,35.3449473107838,11.0572034018895,29.5956869633321
0.388, 1.75,1.75,,,-0.08460928,1.791754,1.528142,,,-0.08620238,1.799399,1.532143,,35.2485596838989,10.9964249652514,29.6258217571116
0.399, 1.73,1.73,,,-0.08433071,1.792328,1.527618,,,-0.08590414,1.79985,1.531553,,35.1356498298714,10.9048466451819,29.6260437382535
0.41, 1.88,1.88,,,-0.08299652,1.792884,1.52596,,,-0.08471337,1.801079,1.530242,,34.8271916653481,10.6924030084706,29.6067279638182
0.422, 2.2,2.2,,,-0.0807308,1.793389,1.523214,,,-0.08275528,1.802998,1.528224,,34.3408275684641,10.3196505675318,29.5834848307195
0.433, 2.5,2.5,,,-0.07877596,1.793842,1.520609,,,-0.08108865,1.804725,1.526269,,33.8975346432877,9.97129214653487,29.5622429429918
0.444, 2.66,2.66,,,-0.07703748,1.794324,1.519159,,,-0.07951988,1.805939,1.525189,,33.5832571577535,9.67314756737128,29.5408610363901
0.455, 2.76,2.76,,,-0.07563699,1.794884,1.518091,,,-0.07821244,1.806916,1.524333,,33.3284193918172,9.46458433177415,29.5341469606228
0.466, 2.73,2.73,,,-0.07521816,1.795484,1.517544,,,-0.07776266,1.807406,1.523728,,33.1997044804901,9.43379725494705,29.5198240543319
0.477, 2.7,2.7,,,-0.074848,1.796067,1.517058,,,-0.07735357,1.807854,1.52317,,33.0816753998222,9.42034946661916,29.4980528269583
0.488, 2.72,2.72,,,-0.07376295,1.796666,1.516503,,,-0.07628138,1.808544,1.522663,,32.8996713540736,9.29368958840143,29.4895833926232
0.499, 2.7,2.7,,,-0.07252736,1.797859,1.515377,,,-0.0750227,1.809636,1.521482,,32.6092653790243,9.13310074642582,29.4834293923522
0.51, 2.78,2.78,,,-0.07044946,1.798395,1.514996,,,-0.07302608,1.810527,1.521279,,32.3713903874197,8.81365110028653,29.4697655992979
0.522, 2.93,2.93,,,-0.06800133,1.798857,1.514221,,,-0.07073413,1.811639,1.520827,,32.0719890534838,8.40735133239911,29.4469800888608
