経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.55,-0.55,,,-0.131786,1.652421,1.150407,,,-0.1320572,1.649674,1.150452,,44.8234874261913,48.495383361432,5.67243352803166
0.011, 0.08,0.08,,,-0.1315719,1.650244,1.151335,,,-0.1315315,1.650666,1.151328,,44.8234874261913,48.4383103023156,5.54969631272248
0.022, 0.42,0.42,,,-0.131753,1.648839,1.151767,,,-0.1315531,1.650938,1.151735,,44.8234874261913,48.4032885083209,5.48122665640621
0.033, 0.39,0.39,,,-0.1322819,1.648203,1.15117,,,-0.1320988,1.650132,1.15114,,44.8234874261913,48.3899935454714,5.46787491761085
0.045, 0.31,0.31,,,-0.1328936,1.648233,1.151308,,,-0.1327472,1.649775,1.151284,,44.8234874261913,48.3780816958904,5.47113547907515
0.055, 0.33,0.33,,,-0.1328339,1.648228,1.15138,,,-0.1326779,1.649873,1.151353,,44.8234874261913,48.3643496009462,5.463500608456
0.066, 0.4,0.4,,,-0.1333277,1.647588,1.151431,,,-0.1331396,1.649579,1.151399,,44.8234874261913,48.3450748076448,5.44658052280543
0.089, 0.54,0.54,,,-0.1338863,1.64695,1.15199,,,-0.1336347,1.649616,1.151947,,44.8234874261913,48.3391222979488,5.43527101051508
0.1, 0.79,0.79,,,-0.1350688,1.6449,1.151994,,,-0.1347031,1.648849,1.151931,,44.8234874261913,48.2580786906072,5.33560788112739
0.111, 1.21,1.21,,,-0.1354714,1.642855,1.152294,,,-0.1349263,1.648877,1.152194,,44.8234874261913,48.1403637986324,5.22262204124751
0.122, 1.54,1.54,,,-0.1353864,1.64142,1.152383,,,-0.1347071,1.649074,1.152253,,44.8234874261913,48.0555772477298,5.123155279793
0.133, 1.74,1.74,,,-0.1361013,1.640058,1.152513,,,-0.135345,1.648702,1.152364,,44.8234874261913,47.9924867921221,5.05477825791477
0.144, 2.2,2.2,,,-0.1355176,1.638625,1.153038,,,-0.1345737,1.649593,1.152853,,44.8234874261913,47.9419775446154,4.97074729666812
0.155, 2.51,2.51,,,-0.1357403,1.637212,1.153343,,,-0.1346755,1.649726,1.153143,,44.8234874261913,47.9314385630193,4.90927644962223
0.167, 2.64,2.64,,,-0.1362265,1.635802,1.152642,,,-0.1351137,1.64893,1.152456,,44.8234874261913,47.9864147541189,4.87853248836307
0.178, 2.64,2.64,,,-0.1370904,1.634435,1.151533,,,-0.1359715,1.647564,1.151381,,44.8234874261913,48.105085872551,4.8900840454754
0.188, 2.55,2.55,,,-0.1379551,1.633775,1.150882,,,-0.1368657,1.646487,1.150753,,44.8234874261913,48.1793846682748,4.91051356760123
0.199, 2.54,2.54,,,-0.13736,1.63446,1.151219,,,-0.1362728,1.647137,1.15108,,44.8234874261913,48.1492840254402,4.9168929641085
0.21, 2.47,2.47,,,-0.1373326,1.635158,1.15169,,,-0.1362771,1.647461,1.151542,,44.8234874261913,48.1095357406714,4.92374108233451
0.221, 2.48,2.48,,,-0.1373401,1.635194,1.151853,,,-0.1362781,1.647571,1.151698,,44.8234874261913,48.0946220230337,4.92704262493269
0.232, 2.4,2.4,,,-0.1370296,1.636633,1.153036,,,-0.1359932,1.648601,1.152869,,44.8234874261913,48.0734860032352,4.98043335841531
0.243, 2.03,2.03,,,-0.1376279,1.638765,1.15413,,,-0.1367379,1.648857,1.153977,,44.8234874261913,48.0965174004756,5.07832874951762
0.254, 1.47,1.47,,,-0.1368794,1.642293,1.154664,,,-0.1362122,1.649629,1.154542,,44.8234874261913,48.1620325731712,5.24545792432834
0.265, 0.82,0.82,,,-0.1365812,1.646375,1.155777,,,-0.1361999,1.650459,1.155704,,44.8234874261913,48.2191875945554,5.39237827749464
0.276, 0.18,0.18,,,-0.1350173,1.651637,1.157372,,,-0.1349328,1.652522,1.157355,,44.8234874261913,48.2881622579694,5.53261358319682
0.287, 0.52,-0.52,,,-0.1341352,1.656362,1.158565,,,-0.1343879,1.653799,1.158616,,44.8234874261913,48.3555693930125,5.69353966575332
0.299, 1.2,-1.2,,,-0.1323135,1.66252,1.160882,,,-0.1329245,1.656531,1.161017,,44.8234874261913,48.4130386030898,5.91267816832545
0.309, 1.98,-1.98,,,-0.1310795,1.668692,1.163251,,,-0.1321166,1.658857,1.163498,,44.8234874261913,48.464367473274,6.1325799445161
0.32, 2.75,-2.75,,,-0.1290492,1.675417,1.16563,,,-0.1305303,1.661756,1.16601,,44.8234874261913,48.4931874556749,6.32747170309624
0.332, 3.33,-3.33,,,-0.1263115,1.682079,1.168463,,,-0.1281518,1.665524,1.168961,,44.8234874261913,48.5317131366163,6.50761665678187
0.343, 3.86,-3.86,,,-0.1229951,1.688704,1.171061,,,-0.1251819,1.669537,1.171667,,44.8234874261913,48.6035769699688,6.68850140531138
0.354, 4.49,-4.49,,,-0.1206125,1.695401,1.17405,,,-0.1232398,1.67311,1.174777,,44.8234874261913,48.7323362775242,6.90873145745988
0.365, 5.16,-5.16,,,-0.1179898,1.702169,1.176733,,,-0.1211258,1.676582,1.177574,,44.8234874261913,48.9281304748234,7.1704194760562
0.376, 5.81,-5.81,,,-0.1152835,1.708924,1.179458,,,-0.1189418,1.680135,1.180414,,44.8234874261913,49.1125592376598,7.42259090696941
0.387, 6.28,-6.28,,,-0.1120439,1.715583,1.182598,,,-0.1160969,1.684453,1.183677,,44.8234874261913,49.1986298640906,7.61202875964907
0.398, 6.49,-6.49,,,-0.1077664,1.721526,1.185349,,,-0.1120195,1.689353,1.186528,,44.8234874261913,49.2152272233119,7.74734504862525
0.409, 6.65,-6.65,,,-0.103859,1.727379,1.188704,,,-0.1082582,1.694449,1.189974,,44.8234874261913,49.2076559588276,7.84967920879091
0.421, 6.67,-6.67,,,-0.09986018,1.732537,1.191845,,,-0.1043116,1.699496,1.193165,,44.8234874261913,49.2084038645209,7.93095418878415
0.432, 6.6,-6.6,,,-0.09609637,1.737031,1.195001,,,-0.1005536,1.70437,1.1963,,44.8234874261913,49.2914760379895,8.02357838154119
0.443, 6.81,-6.81,,,-0.09291948,1.741663,1.19718,,,-0.09762217,1.707989,1.198487,,44.8234874261913,49.4655468192379,8.18357299707554
0.454, 7.24,-7.24,,,-0.09041712,1.746439,1.19885,,,-0.0955908,1.710615,1.200168,,44.8234874261913,49.74666032218,8.41785616305027
0.465, 7.71,-7.71,,,-0.08802414,1.751289,1.2006,,,-0.09371999,1.713186,1.201933,,44.8234874261913,50.0328452404397,8.6742341366015
0.476, 8.28,-8.28,,,-0.08587812,1.756196,1.20212,,,-0.09222108,1.715321,1.203454,,44.8234874261913,50.3659433117082,8.96232040871851
0.487, 9,-9,,,-0.08453727,1.760514,1.202719,,,-0.09170009,1.716101,1.204036,,44.8234874261913,50.7392165545567,9.27025094114312
0.498, 9.62,-9.62,,,-0.08195508,1.765391,1.203662,,,-0.08989283,1.717981,1.204887,,44.8234874261913,51.1430651383739,9.57987962930288
0.51, 9.79,-9.79,,,-0.07836594,1.77019,1.206025,,,-0.08662593,1.721958,1.207245,,44.8234874261913,51.329157052227,9.78771630354726
0.521, 8.99,-8.99,,,-0.07288065,1.774166,1.210872,,,-0.08043779,1.729858,1.212229,,44.8234874261913,51.1121858539956,9.78950410551276
0.532, 8.29,-8.29,,,-0.0673514,1.778633,1.215667,,,-0.07422471,1.737762,1.217194,,44.8234874261913,50.7729576881176,9.72269546577905
0.543, 7.14,-7.14,,,-0.06063998,1.782272,1.221037,,,-0.06641376,1.747098,1.222587,,44.8234874261913,50.362944858746,9.58373612475568
0.554, 6.64,-6.64,,,-0.05624177,1.786014,1.224965,,,-0.06156925,1.753299,1.226511,,44.8234874261913,50.1948231720991,9.55629327920788
0.565, 6.65,-6.65,,,-0.05263694,1.790013,1.227031,,,-0.05804035,1.757262,1.228588,,44.8234874261913,50.2800127041515,9.67599234108142
0.576, 7.25,-7.25,,,-0.05062276,1.794795,1.228181,,,-0.05667679,1.759092,1.229812,,44.8234874261913,50.5471857913855,9.89769429895509
0.588, 8.13,-8.13,,,-0.04970944,1.799208,1.22841,,,-0.05678506,1.759204,1.230078,,44.8234874261913,51.0070111889879,10.2448420689553
0.598, 9.04,-9.04,,,-0.0492049,1.802949,1.228016,,,-0.05735992,1.758527,1.229695,,44.8234874261913,51.4378663400319,10.5677529133602
0.61, 9.43,-9.43,,,-0.04656967,1.807643,1.229742,,,-0.05521573,1.7613,1.231473,,44.8234874261913,51.5841587426988,10.7264933354431
0.621, 9.09,-9.09,,,-0.04289413,1.8115,1.233413,,,-0.05118685,1.766829,1.235264,,44.8234874261913,51.4041525272268,10.717682391659
0.632, 8.42,-8.42,,,-0.03853958,1.814468,1.23711,,,-0.04609913,1.773073,1.239006,,44.8234874261913,51.1209455713624,10.6041885564737
0.644, 8.09,-8.09,,,-0.03501508,1.817369,1.239536,,,-0.04217761,1.777587,1.241468,,44.8234874261913,50.912143279151,10.5003363868073
0.654, 7.77,-7.77,,,-0.0318579,1.820438,1.242582,,,-0.03867652,1.782238,1.244544,,44.8234874261913,50.7483826681678,10.4555670593646
0.665, 7.82,-7.82,,,-0.02938757,1.823594,1.244236,,,-0.03625685,1.785151,1.246244,,44.8234874261913,50.7269358747708,10.4781442490378
0.677, 8.33,-8.33,,,-0.02797123,1.827739,1.245613,,,-0.03540472,1.786826,1.247761,,44.8234874261913,50.8512555594892,10.6429413411987
0.688, 9.09,-9.09,,,-0.02754256,1.831932,1.246549,,,-0.03582057,1.787311,1.248863,,44.8234874261913,51.04342292644,10.8387030951001
0.698, 9.88,-9.88,,,-0.02754848,1.835619,1.247137,,,-0.0367803,1.787141,1.249582,,44.8234874261913,51.3101759570518,11.0827978275446
0.71, 10.42,-10.42,,,-0.02674339,1.839028,1.247991,,,-0.03661907,1.78792,1.250523,,44.8234874261913,51.4648046053688,11.2217554610207
0.721, 10.44,-10.44,,,-0.02507225,1.841546,1.249843,,,-0.03499039,1.790379,1.252372,,44.8234874261913,51.4956497388022,11.252878924655
0.732, 10.46,-10.46,,,-0.0237688,1.843997,1.251848,,,-0.0337103,1.792714,1.254393,,44.8234874261913,51.4895879460825,11.2562214483871
0.744, 10.39,-10.39,,,-0.02241796,1.845892,1.253523,,,-0.03228842,1.794929,1.256104,,44.8234874261913,51.4470802649658,11.2597722928831
0.754, 10.36,-10.36,,,-0.02151651,1.847772,1.255406,,,-0.03132103,1.796995,1.258058,,44.8234874261913,51.368174506775,11.2483453867196
0.765, 9.99,-9.99,,,-0.01920698,1.850245,1.25874,,,-0.02862053,1.801263,1.261394,,44.8234874261913,51.2623373134362,11.2263521782042
0.776, 9.44,-9.44,,,-0.01640247,1.852615,1.262483,,,-0.02520341,1.806316,1.265123,,44.8234874261913,51.0734962485187,11.1553318731907
0.788, 9.19,-9.19,,,-0.01410415,1.85506,1.265067,,,-0.02263565,1.809962,1.267711,,44.8234874261913,50.9782902443272,11.1308755277744
0.799, 9.22,-9.22,,,-0.0132863,1.857112,1.267056,,,-0.02189523,1.811906,1.26972,,44.8234874261913,51.0245818501388,11.2023824837527
0.811, 9.56,-9.56,,,-0.01405746,1.858777,1.26829,,,-0.02315918,1.811906,1.270984,,44.8234874261913,51.240456803039,11.3796668689162
0.822, 9.88,-9.88,,,-0.01355816,1.861671,1.270218,,,-0.02313008,1.813305,1.272933,,44.8234874261913,51.4512159443932,11.5585119522615
0.833, 9.82,-9.82,,,-0.0129983,1.863028,1.272079,,,-0.02260952,1.814924,1.274703,,44.8234874261913,51.5892574787723,11.6374330783776
0.844, 9.51,-9.51,,,-0.01164598,1.864114,1.274248,,,-0.02093815,1.81755,1.276745,,44.8234874261913,51.608450309806,11.6125703367169
0.855, 8.91,-8.91,,,-0.00987649,1.864,1.275949,,,-0.01852843,1.820376,1.278331,,44.8234874261913,51.5214849286188,11.5596875985397
0.866, 8.2,-8.2,,,-0.007573552,1.865914,1.280668,,,-0.01551285,1.825768,1.282942,,44.8234874261913,51.4275186037272,11.5580346928066
0.877, 7.71,-7.71,,,-0.005644113,1.867222,1.283578,,,-0.01312132,1.829444,1.285749,,44.8234874261913,51.4077827726697,11.5782494908663
0.894, 7.41,-7.41,,,-0.004590005,1.868121,1.285808,,,-0.0118566,1.831836,1.287867,,44.8234874261913,51.5357087971696,11.6922940100381
0.9, 7.41,-7.41,,,-0.00432305,1.868974,1.286968,,,-0.01167637,1.832737,1.28896,,44.8234874261913,51.7132698049867,11.8095751850127
0.911, 7.13,-7.13,,,-0.003231149,1.869757,1.288824,,,-0.01038374,1.834871,1.290686,,44.8234874261913,51.8604159812762,11.9009699437534
0.921, 6.86,-6.86,,,-0.002033338,1.870678,1.290736,,,-0.008979738,1.837159,1.292518,,44.8234874261913,51.9652935330632,12.0162430431679
0.933, 6.65,-6.65,,,-0.001074579,1.871696,1.292596,,,-0.00789842,1.839197,1.294318,,44.8234874261913,52.0918466895782,12.1597854409968
0.943, 6.57,-6.57,,,-0.0005391613,1.872179,1.2934,,,-0.007403225,1.840073,1.295062,,44.8234874261913,52.3035142460667,12.3488092134696
0.954, 6.63,-6.63,,,-0.0005974807,1.872583,1.293926,,,-0.007630274,1.840248,1.295537,,44.8234874261913,52.5322333693436,12.5245585136598
0.966, 6.78,-6.78,,,-0.0005676597,1.872895,1.293639,,,-0.007863954,1.83985,1.295208,,44.8234874261913,52.7556556810666,12.6758335391876
