経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.97,-0.97,,,0.07709898,1.792656,1.03734,,,0.07469045,1.788455,1.037268,,45.8734855478893,32.0426875427598,29.8413108043344
0.009, 0.73,-0.73,,,0.07773431,1.79157,1.038491,,,0.07592863,1.788407,1.038441,,45.8734855478893,31.9960954086331,29.7342202713179
0.021, 0.7,-0.7,,,0.07843079,1.790879,1.03849,,,0.07669894,1.787843,1.038442,,45.8734855478893,32.0004189182574,29.7188489310185
0.032, 0.87,-0.87,,,0.07831939,1.791365,1.037635,,,0.07615978,1.787596,1.037567,,45.8734855478893,32.0868754503656,29.8367858041352
0.044, 0.93,-0.93,,,0.0779686,1.791555,1.037007,,,0.07564287,1.787506,1.036927,,45.8734855478893,32.162509548035,29.8948389953703
0.054, 0.86,-0.86,,,0.07795678,1.790881,1.03667,,,0.07580768,1.787139,1.036592,,45.8734855478893,32.2134149465025,29.8962596746781
0.066, 0.61,-0.61,,,0.07797439,1.789577,1.036979,,,0.07644489,1.786913,1.036922,,45.8734855478893,32.2606354580154,29.8930802217079
0.077, 0.58,-0.58,,,0.07875085,1.788807,1.036965,,,0.07730041,1.786278,1.03691,,45.8734855478893,32.2715705905723,29.8642055977952
0.088, 0.29,-0.29,,,0.07911681,1.787262,1.037671,,,0.07840031,1.786009,1.037644,,45.8734855478893,32.2744904963612,29.7988406892571
0.098, 0.05,-0.05,,,0.07961898,1.785634,1.037966,,,0.07950412,1.785433,1.037962,,45.8734855478893,32.2553386464615,29.7111478929436
0.109, 0.19,0.19,,,0.08005816,1.784056,1.038214,,,0.08052609,1.78488,1.03823,,45.8734855478893,32.2398887589888,29.6341716631396
0.12, 0.11,0.11,,,0.08012619,1.783976,1.037528,,,0.08040257,1.784462,1.037538,,45.8734855478893,32.2516708349792,29.6189608322813
0.131, 0.17,0.17,,,0.07940631,1.78404,1.037355,,,0.07981951,1.784767,1.03737,,45.8734855478893,32.269617156524,29.6353464556442
0.143, 0.33,0.33,,,0.0787707,1.783431,1.037254,,,0.07959008,1.784873,1.037285,,45.8734855478893,32.2820685910345,29.6380477953858
0.154, 0.32,0.32,,,0.07876545,1.783411,1.037143,,,0.07956118,1.784812,1.037172,,45.8734855478893,32.2961592709001,29.636251455684
0.165, 0.34,0.34,,,0.07868983,1.782854,1.036451,,,0.07952884,1.78433,1.036483,,45.8734855478893,32.3033753655574,29.6482589279108
0.176, 0.43,0.43,,,0.07793408,1.782374,1.035815,,,0.0790041,1.784254,1.035856,,45.8734855478893,32.300277874855,29.6741043630109
0.187, 0.43,0.43,,,0.07777885,1.782516,1.035795,,,0.07883252,1.784365,1.035836,,45.8734855478893,32.2970745162234,29.7030711944748
0.198, 0.34,0.34,,,0.07760456,1.782663,1.035109,,,0.07844669,1.784139,1.035141,,45.8734855478893,32.3004178937291,29.7342202713179
