経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.71,-0.71,,,0.1149876,1.779512,1.630923,,,0.1138188,1.776844,1.628931,,40.590156786988,17.7933560475062,41.0963830734257
0.011, 0.19,-0.19,,,0.114151,1.771271,1.636725,,,0.1138391,1.770538,1.636186,,41.9661769041713,17.8123012841894,40.594770579644
0.022, 0.9,0.9,,,0.1140664,1.762774,1.638375,,,0.1154624,1.766195,1.640901,,42.8927159449623,17.1386192545304,40.3798211173506
0.034, 2.59,2.59,,,0.113994,1.753999,1.635818,,,0.1178581,1.763913,1.643221,,43.372867984969,16.1130407659829,40.3309750208605
0.045, 4.01,4.01,,,0.1119891,1.746555,1.633802,,,0.1177733,1.761883,1.645382,,43.7966607206077,15.6271838106307,40.4065100807898
0.055, 4.8,4.8,,,0.1071225,1.74681,1.628246,,,0.1140529,1.764894,1.642382,,43.1671495230821,15.6248769143028,41.2674451564284
0.066, 5.71,5.71,,,0.1051489,1.74389,1.624917,,,0.1133095,1.765281,1.642,,43.0855834062835,15.3431555245414,41.7364503280198
0.077, 6.23,6.23,,,0.1032838,1.741134,1.624257,,,0.1121363,1.764421,1.642979,,43.2666483010474,15.4129293200661,41.8739932586035
0.088, 6.32,6.32,,,0.100609,1.740697,1.624224,,,0.1095826,1.764316,1.643187,,43.2886141888069,15.7847050439807,41.8373117286867
0.1, 6.23,6.23,,,0.0993661,1.739746,1.625878,,,0.1081733,1.763122,1.644504,,43.5388586526542,16.0258004696893,41.6191554926672
0.112, 6.4,6.4,,,0.09948179,1.739845,1.624571,,,0.108385,1.76387,1.6437,,43.3821570419818,15.7174874466818,41.5179320919844
0.121, 6.82,6.82,,,0.1007007,1.736202,1.625331,,,0.1099223,1.762086,1.645546,,43.7546857942314,15.3390249677558,40.8696993464647
0.133, 7.41,7.41,,,0.1036273,1.730536,1.626907,,,0.1132173,1.759018,1.648614,,44.3892171806574,14.7923212738758,40.0305491585776
0.144, 7.78,7.78,,,0.1059896,1.726845,1.627951,,,0.1156414,1.757062,1.650498,,44.7899136322604,14.4167701630025,39.2936878808542
0.155, 8.09,8.09,,,0.1060072,1.726801,1.625865,,,0.1158399,1.758397,1.649123,,44.516702657968,14.2028401064143,38.8608553901006
0.166, 8.34,8.34,,,0.1050463,1.728155,1.622781,,,0.1150606,1.760874,1.646597,,44.0061118807722,14.0467754108643,38.5252882055158
0.177, 8.59,8.59,,,0.1020517,1.731888,1.617204,,,0.1123663,1.765677,1.641615,,43.0022619309172,13.9783992427597,38.3384927821978
0.188, 8.05,8.05,,,0.09924537,1.735035,1.617894,,,0.1090966,1.766913,1.640394,,42.7409389005445,14.8094462651957,37.8434201943644
0.199, 8.5,8.5,,,0.09896947,1.738279,1.611043,,,0.1092786,1.772039,1.63468,,41.6422483616084,14.2710634490405,37.603120485672
0.211, 9.39,9.39,,,0.09458677,1.744944,1.596503,,,0.1058936,1.782105,1.622888,,39.4120004143648,13.6953621878461,37.915584556032
0.222, 9.95,9.95,,,0.09295641,1.74466,1.592563,,,0.104788,1.784395,1.62007,,38.8895797498557,13.7230005475535,37.2311757145801
0.233, 9.94,9.94,,,0.09170318,1.748299,1.588119,,,0.1035528,1.788286,1.61514,,37.9880426158258,13.8611231904268,36.6517263871829
0.244, 9.74,9.74,,,0.08354053,1.763632,1.56884,,,0.09573178,1.802282,1.595867,,34.5796280506754,15.2036489146261,37.7202616417725
0.255, 10.99,10.99,,,0.0830492,1.766497,1.55316,,,0.09619629,1.810483,1.583369,,32.4374553903282,14.6494747015492,37.0622480656336
0.266, 11.13,11.13,,,0.08271864,1.76676,1.551274,,,0.09572481,1.812029,1.580883,,32.0194956360784,14.287927185632,35.7710418201088
0.277, 11.1,11.1,,,0.07838129,1.777083,1.533796,,,0.09145065,1.822119,1.563482,,29.157588396875,15.5856613842744,35.990973905263
0.288, 11.98,11.98,,,0.08081214,1.777486,1.523621,,,0.09425406,1.826754,1.554947,,27.7529975991886,14.7207784594053,34.9089763481939
0.3, 12.26,12.26,,,0.07994512,1.77971,1.515802,,,0.09332293,1.830834,1.546849,,26.4591463629813,14.5505718575723,33.7043803140293
0.313, 12.74,12.74,,,0.08073808,1.781727,1.505651,,,0.09409525,1.835547,1.536958,,24.8867702654553,14.1625436989799,32.540372677878
0.323, 12.84,12.84,,,0.08075044,1.786507,1.493065,,,0.09392662,1.841224,1.52396,,22.8573213364858,14.5002333647901,31.7727892101228
0.334, 13.03,13.03,,,0.08043848,1.789081,1.483651,,,0.09351213,1.845098,1.514274,,21.3669211670972,14.6647657871281,30.9576027402718
0.344, 13.07,13.07,,,0.0796341,1.792435,1.473461,,,0.09253755,1.849098,1.503386,,19.7145601415215,15.0693042200323,30.1341551568496
0.355, 13.02,13.02,,,0.07931095,1.796052,1.462903,,,0.09196657,1.852922,1.491964,,17.9973430564868,15.5400032784907,29.3627467832656
0.367, 12.88,12.88,,,0.07947937,1.799631,1.452832,,,0.09184176,1.856307,1.480794,,16.3308742755731,15.9759725335334,28.5724341541323
0.378, 12.78,12.78,,,0.07993683,1.802531,1.443344,,,0.09200478,1.859168,1.470316,,14.7779351883368,16.3187233693778,27.780267128691
0.389, 12.51,12.51,,,0.08106613,1.806093,1.433213,,,0.09268488,1.861956,1.458884,,13.0900990149729,16.7307989158213,26.9947544148634
0.4, 12.32,12.32,,,0.08195868,1.809055,1.422493,,,0.09322935,1.86449,1.446923,,11.3387813576822,17.1794706148195,26.1159447346642
0.411, 11.84,11.84,,,0.08238903,1.812918,1.412436,,,0.09301752,1.866646,1.434874,,9.5975723800818,17.5478431970749,25.0285222999978
0.422, 11.16,11.16,,,0.0813229,1.817406,1.402111,,,0.09127051,1.868459,1.422312,,7.83203085424035,18.2250803400979,24.0245681897609
0.433, 10.52,10.52,,,0.08020408,1.821311,1.392273,,,0.08952048,1.869799,1.410348,,6.19874953469338,18.7935467236153,22.9745939737243
0.444, 10.19,10.19,,,0.08032531,1.823462,1.382414,,,0.08922219,1.870757,1.399164,,4.67688268467408,19.2507595739328,22.0727511887375
0.455, 9.8,9.8,,,0.08066984,1.825715,1.371921,,,0.08906896,1.871431,1.387364,,3.15672103402231,19.844169807605,21.2526316148957
0.466, 9.27,9.27,,,0.08113522,1.828271,1.361414,,,0.08900832,1.871759,1.375428,,1.92752436669919,20.5389673664954,20.5038379970243
0.477, 8.72,8.72,,,0.08189358,1.830639,1.352204,,,0.08919519,1.871758,1.364745,,1.72396862011969,20.9763760838656,19.6551272521125
0.489, 8.22,8.22,,,0.08305732,1.832506,1.342263,,,0.08986486,1.871458,1.353431,,2.66182816553646,21.4297486604292,18.7744665906998
0.5, 7.32,7.32,,,0.0829893,1.835963,1.333072,,,0.08904779,1.870818,1.342431,,4.10026062862783,22.0100961576772,17.9483022996108
0.511, 6.55,6.55,,,0.08313201,1.838673,1.325105,,,0.08853027,1.870016,1.332849,,5.41279926188424,22.2236488463242,16.9670107564093
0.522, 5.54,5.54,,,0.08311181,1.842188,1.316187,,,0.08767048,1.86884,1.322182,,6.91934172915341,22.5670809935193,15.9792356563186
0.533, 4.55,4.55,,,0.08298598,1.845506,1.308354,,,0.0866846,1.86754,1.312698,,8.28195077027456,22.446944799551,14.7067680342602
0.544, 3.6,3.6,,,0.08279154,1.848728,1.301807,,,0.08571677,1.866266,1.304757,,9.43475604272511,22.1278042194631,13.5056921087412
0.555, 2.75,2.75,,,0.08332655,1.850974,1.292412,,,0.08554932,1.86439,1.294366,,10.9189006127818,22.338220143821,12.6049353238022
