経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.43,-0.43,,,-0.1623415,1.668409,1.364995,,,-0.161377,1.666601,1.364345,,45.0005395849294,24.2186138586811,32.879105655055
0.01, 0.99,0.99,,,-0.1606463,1.660953,1.36462,,,-0.1628904,1.665087,1.366105,,45.0005395849294,23.8958276652251,33.2004523861834
0.021, 2.14,2.14,,,-0.15942,1.654691,1.363484,,,-0.1643455,1.663632,1.366701,,45.0005395849294,23.6333776536707,33.4798276060301
0.034, 3.27,3.27,,,-0.1583798,1.648367,1.361874,,,-0.1659865,1.661991,1.366776,,45.0005395849294,23.3828258313194,33.7288870320894
0.044, 4.24,4.24,,,-0.1577945,1.64264,1.36064,,,-0.1677314,1.660246,1.366988,,45.0005395849294,23.2045510687538,33.9474735700146
0.055, 5.45,5.45,,,-0.1560504,1.636436,1.358775,,,-0.1689704,1.659008,1.366937,,45.0005395849294,22.9742866152202,34.2342800354715
0.066, 6.69,6.69,,,-0.1547254,1.629584,1.357229,,,-0.1707722,1.657206,1.367214,,45.0005395849294,22.6911633291707,34.514372425161
0.077, 7.96,7.96,,,-0.1527293,1.623198,1.35628,,,-0.1720328,1.655945,1.368048,,45.0005395849294,22.3439165214303,34.7511375110564
0.088, 9.13,9.13,,,-0.1506724,1.617444,1.355375,,,-0.1730798,1.654898,1.368749,,45.0005395849294,21.9861085339796,34.9940736726951
0.099, 10.25,10.25,,,-0.1488821,1.611726,1.354192,,,-0.1743117,1.653666,1.369094,,45.0005395849294,21.6724286899811,35.2255419470364
0.111, 11.32,11.32,,,-0.1468956,1.606553,1.352936,,,-0.1752209,1.652757,1.369274,,45.0005395849294,21.4046186876247,35.4129725779296
