経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.34,0.34,,,0.06262557,1.807675,1.053817,,,0.06261797,1.809358,1.053693,,45.8734855478893,43.3394512853846,3.97739363972802
0.011, 1.52,1.52,,,0.05939887,1.803845,1.053839,,,0.05942456,1.811413,1.053301,,45.8734855478893,43.1051279920497,3.82080045830568
0.022, 2.54,2.54,,,0.06125297,1.794714,1.050373,,,0.06119172,1.8074,1.049598,,45.8734855478893,43.8356337789273,3.25888550668049
0.033, 3.63,3.63,,,0.06024722,1.790439,1.051224,,,0.06018314,1.808538,1.050141,,45.8734855478893,43.8305828541766,3.18020023552768
0.044, 4.78,4.78,,,0.06088816,1.784508,1.051871,,,0.06074127,1.808387,1.050493,,45.8734855478893,44.0236996173956,3.07122158214498
0.055, 5.9,5.9,,,0.05974136,1.781287,1.054324,,,0.05960564,1.810722,1.05254,,45.8734855478893,43.8458278359798,3.22895134970226
0.066, 6.45,6.45,,,0.05616993,1.780969,1.054539,,,0.05630217,1.813156,1.052556,,45.8734855478893,43.4393359690274,3.28366244409206
0.077, 5.83,5.83,,,0.04797663,1.791582,1.057275,,,0.04881403,1.820629,1.055255,,45.8734855478893,42.0980029665787,4.07414753549706
0.088, 5.85,5.85,,,0.04593698,1.793983,1.058951,,,0.04704769,1.823114,1.056876,,45.8734855478893,41.6452194938147,4.4008183989354
0.1, 5.89,5.89,,,0.04531495,1.793849,1.058418,,,0.04652498,1.823191,1.056459,,45.8734855478893,41.692638080808,4.27695377555771
0.111, 6.11,6.11,,,0.04493859,1.792339,1.057551,,,0.04621875,1.822805,1.055626,,45.8734855478893,41.8032120102043,4.13284874091158
0.122, 6.29,6.29,,,0.0453745,1.791349,1.057831,,,0.04661009,1.822704,1.05588,,45.8734855478893,41.9485072052802,4.00252275875886
0.134, 6.37,6.37,,,0.04643245,1.792345,1.060961,,,0.04766803,1.824108,1.058852,,45.8734855478893,41.8041170102441,4.18633381637948
