経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.67,-0.67,,,-0.2709145,1.591899,1.2362,,,-0.2705246,1.588588,1.236292,,46.050527461344,39.3588034874945,6.846790181148
0.011, 0.09,-0.09,,,-0.2684783,1.591204,1.241538,,,-0.2684243,1.590767,1.241556,,46.050527461344,39.045980832213,7.32796034619951
0.023, 0.19,0.19,,,-0.2675375,1.590602,1.242248,,,-0.2676588,1.591561,1.242208,,46.050527461344,38.9063102977621,7.50129688213257
0.033, 0.38,-0.38,,,-0.269268,1.592037,1.24214,,,-0.2690355,1.590133,1.242218,,46.050527461344,39.1453293460208,7.2693581785252
0.044, 1.31,-1.31,,,-0.2724667,1.593872,1.239733,,,-0.2717229,1.587345,1.239961,,46.050527461344,39.5906815731747,6.72861040943568
0.055, 1.64,-1.64,,,-0.2735575,1.594491,1.239014,,,-0.2726683,1.586365,1.239268,,46.050527461344,39.8375792444217,6.42879670284011
0.068, 1.34,-1.34,,,-0.2728462,1.593612,1.238213,,,-0.2721141,1.58694,1.238398,,46.050527461344,39.814851790591,6.40110370162092
0.078, 1.25,-1.25,,,-0.2724072,1.593571,1.238959,,,-0.271717,1.587352,1.239136,,46.050527461344,39.7458942026494,6.47656661767903
0.09, 1.33,-1.33,,,-0.2721718,1.59425,1.239539,,,-0.2714352,1.587644,1.239736,,46.050527461344,39.7170742202485,6.52413888392435
0.1, 1.22,-1.22,,,-0.2716153,1.59424,1.24005,,,-0.2709381,1.58816,1.24023,,46.050527461344,39.7237609752599,6.51427267594282
0.11, 1.21,-1.21,,,-0.2715454,1.594213,1.240565,,,-0.2708773,1.588223,1.240741,,46.050527461344,39.7145880314598,6.51938806060199
0.121, 1.03,-1.03,,,-0.2706747,1.594165,1.241734,,,-0.2700988,1.58903,1.241883,,46.050527461344,39.6799862940874,6.55029594639668
0.132, 0.82,-0.82,,,-0.2690201,1.594727,1.243039,,,-0.2685562,1.59063,1.243159,,46.050527461344,39.6181355177796,6.6141710199635
0.143, 0.66,-0.66,,,-0.2681214,1.594742,1.244578,,,-0.2677481,1.591469,1.244677,,46.050527461344,39.5767514027501,6.66679805294079
0.155, 0.37,-0.37,,,-0.2660149,1.595334,1.248237,,,-0.2658004,1.593489,1.248295,,46.050527461344,39.4541051143317,6.80878572900315
0.166, 0.25,0.25,,,-0.2628349,1.595178,1.251481,,,-0.2629822,1.596412,1.251441,,46.050527461344,39.2701373892513,6.99268685974093
0.177, 0.52,0.52,,,-0.2613317,1.595225,1.254395,,,-0.2616411,1.597804,1.254311,,46.050527461344,39.2482261430037,7.02400711819528
0.188, 0.57,0.57,,,-0.2610862,1.595203,1.255827,,,-0.2614222,1.598031,1.255738,,46.050527461344,39.3068872210579,6.94777281766924
0.199, 0.77,0.77,,,-0.2600585,1.595159,1.257875,,,-0.2605096,1.598977,1.25776,,46.050527461344,39.3432169962423,6.89335499451877
0.21, 0.97,0.97,,,-0.2589965,1.595128,1.260017,,,-0.2595641,1.599958,1.259877,,46.050527461344,39.3758550542829,6.84615966932778
0.221, 1.11,1.11,,,-0.2582889,1.595083,1.261676,,,-0.2589393,1.600606,1.261519,,46.050527461344,39.3613613932675,6.85474905885688
0.232, 1.17,1.17,,,-0.2579236,1.595128,1.262341,,,-0.2586066,1.600951,1.262173,,46.050527461344,39.3898125454634,6.83130358140959
0.244, 0.39,-0.39,,,-0.260783,1.600826,1.267387,,,-0.2605827,1.598902,1.267444,,46.050527461344,40.1342416725767,6.11195832332521
0.254, 0.35,0.35,,,-0.2573076,1.600393,1.269427,,,-0.2574923,1.602107,1.269382,,46.050527461344,39.9263751162555,6.26763284432975
0.266, 0.49,-0.49,,,-0.258181,1.604085,1.273726,,,-0.2579352,1.601648,1.273796,,46.050527461344,40.3177756806568,5.92651954629331
0.277, 0.71,0.71,,,-0.2524765,1.603402,1.275763,,,-0.2528578,1.606915,1.275673,,46.050527461344,39.8763883782058,6.31292211990852
0.288, 0.05,-0.05,,,-0.2524054,1.60768,1.281353,,,-0.2523777,1.607413,1.281361,,46.050527461344,40.1418197672499,6.11673561362987
0.299, 0.93,0.93,,,-0.2472496,1.607586,1.282659,,,-0.2477665,1.612196,1.282534,,46.050527461344,39.6781933694802,6.52473994055459
0.31, 0.05,0.05,,,-0.2475789,1.612104,1.289232,,,-0.2476065,1.612362,1.289223,,46.050527461344,40.0041812140206,6.31301518123337
0.322, 0.63,0.63,,,-0.2437145,1.61288,1.291383,,,-0.2440704,1.61603,1.29128,,46.050527461344,39.6420104433589,6.64493547178961
