経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.52,-0.52,,,-0.1140019,1.793427,1.522919,,,-0.1141,1.791131,1.52172,,37.2405842998999,27.9630122499439,27.8991670584539
0.01, 0.15,0.15,,,-0.1108152,1.792089,1.521694,,,-0.1107931,1.792747,1.522036,,36.8565808301639,26.9781536405476,27.7109594935643
0.021, 0.56,0.56,,,-0.1080914,1.79157,1.521021,,,-0.1080266,1.794064,1.522307,,36.5413744389284,26.1529968023332,27.5649266380785
0.032, 0.68,0.68,,,-0.1061682,1.791943,1.520967,,,-0.1061064,1.794952,1.522511,,36.3273675427143,25.5760883052366,27.4362322173184
0.043, 0.51,0.51,,,-0.1050599,1.793245,1.521314,,,-0.1050159,1.795527,1.522479,,36.187994121484,25.3425129175949,27.3003729283183
0.055, 0.26,0.26,,,-0.104559,1.794779,1.521576,,,-0.1045362,1.795935,1.522162,,36.0886763435266,25.2898419152761,27.1862763289556
0.066, 0.24,-0.24,,,-0.1056102,1.796771,1.522055,,,-0.1056343,1.795708,1.521517,,36.1430822138464,25.614941835249,27.1422318553184
0.077, 0.71,-0.71,,,-0.1057186,1.799584,1.52162,,,-0.1058029,1.796396,1.520005,,35.9740896781046,25.831825948571,27.1523729784064
0.088, 1.02,-1.02,,,-0.1066631,1.800569,1.52207,,,-0.1067959,1.796013,1.519757,,36.0671373425784,26.1251740275234,27.2045317165517
0.099, 1.65,-1.65,,,-0.1065257,1.803681,1.522871,,,-0.1067636,1.796336,1.519154,,35.9878866598441,26.2863494119776,27.1381883834423
0.111, 1.97,-1.97,,,-0.1056383,1.805574,1.523554,,,-0.1059482,1.796774,1.519113,,35.8808029570165,26.3034795259394,27.0848702207176
0.121, 2.33,-2.33,,,-0.1051845,1.807407,1.524248,,,-0.1055747,1.797013,1.519017,,35.8223297091592,26.3647736418454,27.0253229256431
0.133, 2.6,-2.6,,,-0.1045377,1.809151,1.524399,,,-0.104993,1.797531,1.518576,,35.6949774205336,26.3588450378108,26.9323316102284
0.144, 2.6,-2.6,,,-0.103511,1.809401,1.524942,,,-0.1039743,1.797757,1.519148,,35.6400251350954,26.2343341078009,26.7767228297928
