経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.71,-0.71,,,0.3803301,1.650532,1.265379,,,0.377838,1.648015,1.265517,,45.0005395849294,2.23773383436564,44.7475528002067
0.011, 0.34,-0.34,,,0.3784677,1.649796,1.265666,,,0.3772689,1.648584,1.265731,,45.0005395849294,2.19695440450428,44.7285956106929
0.022, 0.01,0.01,,,0.3770486,1.648708,1.265433,,,0.3770967,1.648757,1.26543,,45.0005395849294,2.16238425675591,44.7553767816833
0.033, 0.28,0.28,,,0.3757334,1.648117,1.265234,,,0.3767302,1.649123,1.265182,,45.0005395849294,2.13239865991692,44.7661001783818
0.044, 0.82,0.82,,,0.3738908,1.646159,1.265568,,,0.376779,1.649074,1.265419,,45.0005395849294,2.08975288091679,44.7604345366229
0.055, 1.09,1.09,,,0.3733112,1.644805,1.265383,,,0.3771611,1.648692,1.265188,,45.0005395849294,2.0598507404494,44.7516543286892
0.066, 1.46,1.46,,,0.37209,1.643457,1.265741,,,0.3772183,1.648635,1.265486,,45.0005395849294,2.02081044745706,44.7452646868984
0.077, 1.64,1.64,,,0.3713822,1.642886,1.265574,,,0.3771484,1.648705,1.265292,,45.0005395849294,1.99223208299135,44.7631836876873
0.089, 1.99,1.99,,,0.3700235,1.641789,1.26547,,,0.3770159,1.648837,1.265131,,45.0005395849294,1.9720900691329,44.7929872173013
0.1, 2.41,2.41,,,0.3685779,1.640217,1.265414,,,0.3770818,1.648772,1.265005,,45.0005395849294,1.95414545513533,44.8512179934499
0.112, 2.75,2.75,,,0.3670387,1.639382,1.265371,,,0.37674,1.649113,1.264907,,45.0005395849294,1.93815598273328,44.9327636196814
0.124, 3.27,3.27,,,0.3646198,1.638152,1.265679,,,0.3761682,1.649685,1.26514,,45.0005395849294,1.89072288158843,45.0570662289274
0.133, 3.81,3.81,,,0.3622343,1.636667,1.264952,,,0.3757399,1.650113,1.264358,,45.0005395849294,1.79078441020749,45.1437037610436
0.144, 4.22,4.22,,,0.3604659,1.635583,1.263207,,,0.3754191,1.650434,1.26261,,45.0005395849294,1.63410542453609,45.2083822355892
0.155, 4.71,4.71,,,0.3589503,1.633608,1.262155,,,0.3756592,1.650194,1.261551,,45.0005395849294,1.48450817089816,45.221380085218
0.166, 4.93,4.93,,,0.358026,1.632947,1.26123,,,0.3755405,1.650313,1.260656,,45.0005395849294,1.35494140693924,45.2517505205173
0.177, 5.04,5.04,,,0.3569107,1.633298,1.260002,,,0.3748359,1.651017,1.259455,,45.0005395849294,1.28679191573141,45.3365507317978
0.188, 5.02,5.02,,,0.3555515,1.634818,1.259258,,,0.3734429,1.65241,1.258718,,45.0005395849294,1.32322990672239,45.4887136818931
0.2, 4.88,4.88,,,0.3547857,1.636541,1.258867,,,0.3722486,1.653605,1.258326,,45.0005395849294,1.43203823226741,45.6689418785069
0.211, 4.66,4.66,,,0.3535473,1.639359,1.258573,,,0.3702601,1.655593,1.258039,,45.0005395849294,1.55507053308487,45.8393926595959
0.222, 4.55,4.55,,,0.3523907,1.641307,1.258577,,,0.3687388,1.657115,1.258055,,45.0005395849294,1.62942823918866,45.9704639861211
0.233, 4.37,4.37,,,0.3504795,1.644461,1.258161,,,0.3662317,1.659622,1.25768,,45.0005395849294,1.66917748445278,46.1030721051667
0.244, 4.29,4.29,,,0.3477415,1.647781,1.256871,,,0.363239,1.662614,1.256433,,45.0005395849294,1.71566182965964,46.2586262440905
0.255, 4.13,4.13,,,0.3442421,1.652425,1.255363,,,0.3591961,1.666657,1.25498,,45.0005395849294,1.76989897296725,46.4190571379459
0.266, 3.79,3.79,,,0.3410155,1.658043,1.254082,,,0.3547674,1.671086,1.253754,,45.0005395849294,1.81002419879037,46.5174186894461
