経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.01,-0.01,,,0.4141629,1.611721,1.281566,,,0.4141594,1.611694,1.281566,,45.0005395849294,37.5321275014144,7.46871090428287
0.01, 1.83,1.83,,,0.4127275,1.602928,1.281565,,,0.4138367,1.612017,1.281537,,45.0005395849294,38.0416527691294,6.9589721931623
0.022, 2.93,2.93,,,0.4099634,1.599579,1.282624,,,0.4117486,1.614105,1.282538,,45.0005395849294,37.994449333089,7.00717497122783
0.032, 4.34,4.34,,,0.4036804,1.597863,1.282339,,,0.4064919,1.619362,1.282171,,45.0005395849294,37.5514125399993,7.45324564888503
0.044, 5.92,5.92,,,0.4020883,1.590798,1.278823,,,0.4056885,1.620165,1.278769,,45.0005395849294,38.0107837300345,6.99080727711101
0.055, 6.47,6.47,,,0.4053122,1.584909,1.285706,,,0.4087844,1.617069,1.285371,,45.0005395849294,38.8416659741614,6.17152141321163
0.067, 7.29,7.29,,,0.4036417,1.58225,1.285214,,,0.4073588,1.618495,1.284873,,45.0005395849294,39.147477440455,5.86240541611219
0.077, 7.79,7.79,,,0.3989395,1.584021,1.281766,,,0.4030886,1.622765,1.281481,,45.0005395849294,38.8895695045722,6.11458794608249
0.088, 7.96,7.96,,,0.3975734,1.584529,1.282169,,,0.4017602,1.624093,1.281833,,45.0005395849294,38.961853394547,6.04503741236014
0.099, 7.41,7.41,,,0.3937888,1.591026,1.28257,,,0.3980428,1.627811,1.282151,,45.0005395849294,38.407907992801,6.60847592301466
0.11, 6.88,6.88,,,0.3917397,1.59591,1.282876,,,0.3958133,1.63004,1.282455,,45.0005395849294,38.1991022854951,6.82110354794167
0.122, 6.58,6.58,,,0.3889578,1.600231,1.283141,,,0.3929847,1.632869,1.282709,,45.0005395849294,37.9726678604319,7.05129543071741
0.135, 5.82,5.82,,,0.3871548,1.606155,1.283528,,,0.3908112,1.635042,1.283163,,45.0005395849294,37.7918761732273,7.22873392201973
0.146, 4.72,4.72,,,0.385076,1.614309,1.285455,,,0.3881377,1.637716,1.285089,,45.0005395849294,37.5569142572226,7.4787401830263
0.156, 3.91,3.91,,,0.3825817,1.621287,1.286054,,,0.3852087,1.640645,1.285717,,45.0005395849294,37.2829041508197,7.76298532761571
0.166, 3.04,3.04,,,0.3795833,1.629069,1.286506,,,0.3817201,1.644133,1.286219,,45.0005395849294,36.939823758357,8.11575690446728
0.178, 2.3,2.3,,,0.3764836,1.636332,1.28661,,,0.378136,1.647717,1.286387,,45.0005395849294,36.7559892219618,8.30217325229694
0.188, 1.3,1.3,,,0.3734311,1.64506,1.286716,,,0.3743907,1.651463,1.286586,,45.0005395849294,36.4919887575089,8.56955722161573
0.2, 0.57,0.57,,,0.3701541,1.652441,1.286974,,,0.3705878,1.655265,1.286914,,45.0005395849294,36.2874314277486,8.78107195262581
0.211, 0.47,0.47,,,0.3685454,1.654665,1.288038,,,0.3688762,1.656977,1.287983,,45.0005395849294,36.8807767746254,8.21587381453532
0.222, 0.32,-0.32,,,0.3641257,1.663524,1.288592,,,0.3638965,1.661957,1.288638,,45.0005395849294,36.708901899134,8.44303650849846
0.232, 0.42,-0.42,,,0.3630469,1.665142,1.290575,,,0.3627695,1.663084,1.290645,,45.0005395849294,37.3697192678493,7.85595359114261
0.244, 0.48,-0.48,,,0.3551295,1.67345,1.289269,,,0.3547948,1.671059,1.289356,,45.0005395849294,37.0793850097842,8.1667374350136
0.254, 0.35,-0.35,,,0.3510849,1.676724,1.289083,,,0.3508508,1.675003,1.28915,,45.0005395849294,37.3127008502447,7.98581085157658
0.266, 0.11,0.11,,,0.3429803,1.68226,1.288842,,,0.3430552,1.682798,1.28882,,45.0005395849294,37.127329521329,8.19237284180258
0.277, 0.75,0.75,,,0.3360513,1.685583,1.286167,,,0.3365602,1.689293,1.286018,,45.0005395849294,37.2481692247622,8.06783971367848
