経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,-0.2890899,1.574982,1.238075,,,-0.2879402,1.570523,1.238186,,46.050527461344,31.6213946562878,14.4980357514859
0.01, 0.7,-0.7,,,-0.2889627,1.573733,1.238586,,,-0.2880881,1.570369,1.238671,,46.050527461344,31.5056878398731,14.6155833038307
0.022, 0.22,-0.22,,,-0.287897,1.571897,1.239282,,,-0.2876223,1.570852,1.239309,,46.050527461344,31.3575922673154,14.7648485462512
0.032, 0.31,0.31,,,-0.2860603,1.570585,1.239366,,,-0.2864537,1.572065,1.239331,,46.050527461344,31.1903585052359,14.9222861097862
0.044, 0.56,0.56,,,-0.2852328,1.569901,1.238915,,,-0.2859517,1.572585,1.238854,,46.050527461344,31.0767451417435,15.0285689729559
0.055, 0.56,0.56,,,-0.2851999,1.569923,1.239066,,,-0.2859216,1.572617,1.239004,,46.050527461344,31.0766461040033,15.0297540107439
0.066, 0.08,-0.08,,,-0.2866387,1.572382,1.238463,,,-0.286533,1.571982,1.238472,,46.050527461344,31.2736594900353,14.8338898040077
0.077, 0.24,-0.24,,,-0.2869898,1.572995,1.237837,,,-0.2866822,1.571828,1.237864,,46.050527461344,31.3201901524612,14.7877467548065
0.088, 0.13,-0.13,,,-0.2869467,1.572383,1.237825,,,-0.2867751,1.571731,1.23784,,46.050527461344,31.3123695860792,14.7958388212005
0.099, 0.12,0.12,,,-0.2860237,1.571789,1.237361,,,-0.2861735,1.572355,1.237348,,46.050527461344,31.2656852444012,14.8455438139548
0.111, 0.66,0.66,,,-0.2839389,1.570618,1.23779,,,-0.2847859,1.573795,1.237711,,46.050527461344,31.1474546731584,14.9699010647126
0.122, 1.26,1.26,,,-0.2808162,1.570147,1.238849,,,-0.2824531,1.576215,1.238685,,46.050527461344,30.9834174395215,15.1472247234627
0.133, 1.61,1.61,,,-0.2785574,1.570293,1.23989,,,-0.2806728,1.578061,1.239665,,46.050527461344,30.854337113084,15.2907184561952
0.144, 1.83,1.83,,,-0.276566,1.571018,1.241282,,,-0.2789684,1.579829,1.241012,,46.050527461344,30.8416158861089,15.3159252686256
