経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.79,-0.79,,,-0.0977497,1.794898,1.538412,,,-0.09743337,1.791028,1.537704,,37.2813502828267,26.3986445489969,11.5715430990616
0.009, 0.27,-0.27,,,-0.09796554,1.791888,1.538397,,,-0.09785765,1.79056,1.538154,,37.3923989103572,26.5301632529003,11.560693343867
0.022, 0.13,-0.13,,,-0.09825522,1.790698,1.538822,,,-0.09820461,1.790069,1.538708,,37.5086999532132,26.714593723284,11.488627166166
0.031, 0.16,0.16,,,-0.09745492,1.788795,1.540019,,,-0.0975175,1.789568,1.540159,,37.627961882992,26.8450930214821,11.4213566349025
0.043, 0.6,0.6,,,-0.09697858,1.786231,1.540546,,,-0.09722061,1.789179,1.541075,,37.7200601511976,26.924557147622,11.3839587889164
0.055, 1.17,1.17,,,-0.09417683,1.783558,1.541969,,,-0.09466215,1.789307,1.542988,,37.691994904679,26.8274967471225,11.3411437492956
0.066, 1.46,1.46,,,-0.09264056,1.78215,1.542823,,,-0.09326241,1.789329,1.544094,,37.68807096111,26.7278101389602,11.3728452176724
0.077, 1.49,1.49,,,-0.0920288,1.782174,1.542984,,,-0.09266332,1.7895,1.544289,,37.6479709216088,26.6317845120911,11.4326990174773
0.088, 1.25,1.25,,,-0.09243778,1.783486,1.542731,,,-0.09296326,1.78963,1.54383,,37.6171804296872,26.6180609548832,11.4479883955089
0.099, 1.2,1.2,,,-0.09188934,1.783646,1.543373,,,-0.09238335,1.789546,1.544439,,37.6375582985089,26.6234636343663,11.4966833740678
0.11, 1.33,1.33,,,-0.09139481,1.783349,1.543032,,,-0.09192005,1.78989,1.544233,,37.5563883326712,26.5619133863735,11.5619202165625
0.121, 1.06,1.06,,,-0.09171065,1.784927,1.542706,,,-0.09210822,1.790131,1.543675,,37.4990625565625,26.5628525373583,11.6147927094563
0.133, 0.73,0.73,,,-0.09247914,1.786423,1.542693,,,-0.0927409,1.790014,1.543363,,37.5263833124823,26.732645912758,11.5565004616069
0.144, 0.2,0.2,,,-0.09298973,1.788402,1.543964,,,-0.09305918,1.789395,1.544146,,37.6725083755192,27.1044626178065,11.344338570191
0.155, 0.13,-0.13,,,-0.09221838,1.79025,1.544636,,,-0.09217364,1.789599,1.544518,,37.6251205243764,27.2073320940335,11.1622141423616
0.165, 0.5,-0.5,,,-0.09186178,1.7921,1.545221,,,-0.09169653,1.789668,1.544785,,37.6092198444311,27.2571856433981,11.087930714563
0.177, 0.65,-0.65,,,-0.09134682,1.793354,1.544989,,,-0.09113067,1.790158,1.544414,,37.4935437638667,27.1207321279568,11.1215139000038
0.187, 0.96,-0.96,,,-0.09090714,1.79599,1.543772,,,-0.09059915,1.791295,1.542919,,37.2235907897178,26.8729994661069,11.1782215440098
0.199, 1.45,-1.45,,,-0.09127916,1.799284,1.54253,,,-0.09083089,1.792178,1.541225,,37.0123774407965,26.7199041952159,11.2286846877408
0.209, 1.93,-1.93,,,-0.09159496,1.802677,1.541048,,,-0.09103307,1.793196,1.539299,,36.767491260204,26.6364085500306,11.2006595685825
0.221, 2.52,-2.52,,,-0.09187334,1.806645,1.539514,,,-0.09118727,1.794293,1.537246,,36.5017730032227,26.5891795007815,11.1000346632091
0.231, 3.25,-3.25,,,-0.09181695,1.811111,1.538754,,,-0.09097685,1.795166,1.535871,,36.2897502769072,26.6214214078613,10.9045034281857
0.243, 3.65,-3.65,,,-0.09082574,1.814299,1.537837,,,-0.08991688,1.796346,1.534635,,36.0017280378119,26.5121827804106,10.7441485201826
0.254, 4.04,-4.04,,,-0.08961911,1.818075,1.535873,,,-0.0886427,1.798185,1.532351,,35.5487806405124,26.1884745114423,10.6539379454564
0.265, 4.5,-4.5,,,-0.08851349,1.821887,1.534301,,,-0.08746722,1.79977,1.5304,,35.1542552646527,25.9093895746272,10.5909670181558
0.276, 4.94,-4.94,,,-0.08790008,1.825824,1.531919,,,-0.08682288,1.801522,1.527638,,34.7130592074932,25.6442723742761,10.5372450205076
0.287, 5.5,-5.5,,,-0.08759595,1.829833,1.530229,,,-0.08649756,1.802788,1.52548,,34.3908621178367,25.5380834262049,10.4606657954381
0.298, 5.94,-5.94,,,-0.08710627,1.833823,1.527545,,,-0.08601164,1.804573,1.522399,,33.9322695693452,25.2636959518608,10.4401812049136
0.309, 5.94,-5.94,,,-0.0855321,1.835752,1.525041,,,-0.08445358,1.806519,1.519855,,33.4267399621835,24.75610192008,10.5150178780197
0.32, 5.98,-5.98,,,-0.08304237,1.838047,1.523018,,,-0.08190903,1.808617,1.517781,,32.8747001831629,24.1094418255729,10.562705403704
0.332, 5.72,-5.72,,,-0.08169965,1.836462,1.524551,,,-0.0805278,1.808313,1.519596,,32.9569288282925,24.0517062381254,10.4972252357269
0.343, 5.77,-5.77,,,-0.07640113,1.840409,1.52142,,,-0.07515103,1.811983,1.516531,,31.974173917102,23.0694362703525,10.3079769207914
0.353, 5.67,-5.67,,,-0.07365823,1.841382,1.520431,,,-0.0723697,1.813473,1.515687,,31.5677093709054,22.6049595140548,10.2296807569671
0.365, 5.48,-5.48,,,-0.07045761,1.842401,1.518649,,,-0.06915939,1.815432,1.514117,,31.0256621583625,22.0183606863429,10.1564252726099
0.376, 5.54,-5.54,,,-0.06819353,1.844107,1.517465,,,-0.06684901,1.816837,1.512933,,30.6316148957315,21.6238831218062,10.0733735897083
0.387, 5.31,-5.31,,,-0.0657759,1.844707,1.515383,,,-0.06448863,1.818547,1.511058,,30.1451176101624,21.162804384526,10.0270521018199
0.398, 5.23,-5.23,,,-0.06564996,1.844841,1.514197,,,-0.06441509,1.819093,1.509899,,29.9874734334108,21.0185883593089,10.0930940528406
0.409, 5.35,-5.35,,,-0.06655712,1.84494,1.514684,,,-0.06531313,1.818616,1.510242,,30.1242616281121,21.1291981471974,10.1802003066755
0.421, 5.03,-5.03,,,-0.06343023,1.846163,1.510601,,,-0.06225459,1.821399,1.506397,,29.315451139674,20.2904321574404,10.2379657761998
0.431, 4.7,-4.7,,,-0.06000863,1.846695,1.508063,,,-0.05888766,1.823531,1.504125,,28.6824906967134,19.5869670887344,10.2643328669832
0.443, 4.32,-4.32,,,-0.05630095,1.847126,1.505098,,,-0.05523901,1.825838,1.501511,,27.9828163828913,18.856148820711,10.2071385720124
0.454, 3.95,-3.95,,,-0.05115696,1.84808,1.501921,,,-0.05014642,1.828595,1.498715,,27.1251358923016,18.0137269723024,10.0263067574475
0.465, 3.89,-3.89,,,-0.04918145,1.84924,1.499596,,,-0.04818171,1.830088,1.49648,,26.6493637109783,17.5953198406745,9.93469940907482
0.476, 3.66,-3.66,,,-0.04826672,1.849315,1.496971,,,-0.04733791,1.831298,1.494036,,26.2568839767182,17.251829636873,9.93572906006354
0.487, 3.6,-3.6,,,-0.04869259,1.849443,1.49551,,,-0.04779484,1.831718,1.492589,,26.118403602697,17.1235006312233,10.0195371863947
0.498, 3.28,-3.28,,,-0.04695952,1.8501,1.490658,,,-0.04614267,1.833939,1.487976,,25.3796520701734,16.4138286282818,10.0805171136077
0.509, 2.97,-2.97,,,-0.04493336,1.850041,1.487973,,,-0.0441852,1.835386,1.485556,,24.8879057843732,15.9468861737623,10.0352082012356
0.52, 2.41,-2.41,,,-0.04073452,1.849866,1.483268,,,-0.04011362,1.838007,1.481354,,23.9739189233801,15.1048877970705,9.86820666558143
0.531, 2.07,-2.07,,,-0.03766337,1.849653,1.481076,,,-0.03711453,1.839454,1.479481,,23.4556458911291,14.68020372177,9.62271345194336
0.543, 1.66,-1.66,,,-0.03544895,1.848921,1.478617,,,-0.03499964,1.840718,1.47736,,22.993327474549,14.2891728413472,9.47531541243527
0.554, 1.31,-1.31,,,-0.0335275,1.848267,1.476393,,,-0.03317316,1.841821,1.475419,,22.5820169092712,13.9460574441661,9.3698265587345
0.564, 0.86,-0.86,,,-0.03222559,1.847009,1.474055,,,-0.03199105,1.842762,1.473421,,22.2253546860219,13.6654570591711,9.27326134693603
0.576, 0.41,-0.41,,,-0.03092956,1.845742,1.471565,,,-0.03081803,1.84373,1.471271,,21.8519550846773,13.4143605292486,9.11658364192507
0.587, 0.08,0.08,,,-0.02878463,1.844423,1.469327,,,-0.02880593,1.844801,1.469381,,21.4327488209386,13.0962350859978,8.9329412045949
