経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.94,-0.94,,,0.2242534,1.804041,1.303438,,,0.2234266,1.7994,1.30339,,45.0005634905908,34.9015211969223,10.1370787623242
0.01, 0.64,-0.64,,,0.2258196,1.800705,1.304767,,,0.2252673,1.797559,1.304741,,45.0005634905908,35.0448185617216,9.98457686410087
0.022, 0.31,-0.31,,,0.226893,1.797709,1.304719,,,0.2266276,1.796199,1.304707,,45.0005634905908,35.0297682403043,9.99937788362041
0.034, 0.07,-0.07,,,0.227329,1.795914,1.303665,,,0.2272663,1.79556,1.303661,,45.0005634905908,34.9528090859727,10.0949450340542
0.048, 0.1,-0.1,,,0.2293945,1.794016,1.302989,,,0.2293062,1.79352,1.302982,,45.0005634905908,34.907938159469,10.1609562492245
0.057, 0.07,-0.07,,,0.231069,1.792151,1.303022,,,0.2310094,1.791817,1.303017,,45.0005634905908,34.8679405728024,10.2157497327689
0.065, 0.25,-0.25,,,0.2333827,1.790916,1.303231,,,0.2331589,1.789668,1.303209,,45.0005634905908,34.8421258735527,10.2516953098231
0.077, 0.58,-0.58,,,0.2353401,1.790862,1.30324,,,0.2348273,1.787999,1.303187,,45.0005634905908,34.8549973646854,10.2400216630827
0.088, 0.96,-0.96,,,0.2375941,1.790817,1.304034,,,0.2367495,1.786077,1.303956,,45.0005634905908,34.9070980462244,10.1729133488075
0.099, 1.4,-1.4,,,0.2415595,1.789382,1.305062,,,0.2403449,1.782482,1.304963,,45.0005634905908,35.0242221268526,10.0395189042556
0.109, 2.08,-2.08,,,0.2468739,1.787998,1.307254,,,0.2450917,1.777735,1.307144,,45.0005634905908,35.1531931702664,9.88825241646394
0.121, 2.44,-2.44,,,0.2501419,1.786765,1.307691,,,0.248063,1.774764,1.307573,,45.0005634905908,35.1762143222233,9.86009325484687
0.133, 2.69,-2.69,,,0.2508943,1.787499,1.306653,,,0.2485817,1.774245,1.306509,,45.0005634905908,35.1069903569115,9.93519459777586
0.144, 2.83,-2.83,,,0.2522132,1.787003,1.30607,,,0.2497615,1.773065,1.305896,,45.0005634905908,35.0290613157448,10.0223828138785
0.155, 3.19,-3.19,,,0.2554325,1.78589,1.306215,,,0.2526464,1.77018,1.305995,,45.0005634905908,34.9515728217674,10.1094113743137
0.166, 3.57,-3.57,,,0.2595052,1.784049,1.306288,,,0.2563719,1.766455,1.306012,,45.0005634905908,34.911834782282,10.1609758860178
0.177, 3.71,-3.71,,,0.2629428,1.781371,1.306518,,,0.2597083,1.763118,1.30621,,45.0005634905908,34.9620230109067,10.1206897238668
0.188, 3.76,-3.76,,,0.2659832,1.778607,1.306786,,,0.2627292,1.760097,1.306451,,45.0005634905908,35.0422196748147,10.0508749472083
0.199, 3.95,-3.95,,,0.2699432,1.775703,1.307,,,0.2665703,1.756256,1.306625,,45.0005634905908,35.174588737246,9.93026405510597
0.211, 4.02,-4.02,,,0.2729797,1.773077,1.308011,,,0.2695689,1.753258,1.307643,,45.0005634905908,35.2490753631668,9.84989663647344
0.221, 4.23,-4.23,,,0.2767494,1.770465,1.309378,,,0.2731972,1.749629,1.309023,,45.0005634905908,35.3359656122752,9.75046103775615
0.233, 4.24,-4.24,,,0.2801328,1.767144,1.310102,,,0.2766095,1.746217,1.309774,,45.0005634905908,35.4521300513516,9.62422548502879
0.244, 4.23,-4.23,,,0.2834247,1.763756,1.310843,,,0.2799514,1.742875,1.310516,,45.0005634905908,35.5654121506785,9.51173654139721
0.255, 3.96,-3.96,,,0.2859289,1.759637,1.311101,,,0.2827149,1.740112,1.310743,,45.0005634905908,35.6654129475339,9.43508901443788
