経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.59,-0.59,,,0.07440064,1.789991,1.033534,,,0.07358449,1.787415,1.034745,,45.8734855478893,17.7649373387079,29.3567635377192
0.011, 0.22,-0.22,,,0.07495822,1.78661,1.033002,,,0.07466079,1.785669,1.033441,,45.8734855478893,17.8837126175219,29.1760708882547
0.023, 0.43,0.43,,,0.07429998,1.782981,1.033391,,,0.07488614,1.78484,1.032536,,45.8734855478893,18.0359558223377,28.9467268026861
0.033, 0.79,0.79,,,0.07503513,1.779685,1.033072,,,0.07612778,1.78316,1.031487,,45.8734855478893,18.1535631388361,28.781063984072
0.044, 1.13,1.13,,,0.07587454,1.77729,1.033782,,,0.07742716,1.782242,1.031536,,45.8734855478893,18.2397174350819,28.671579469818
0.055, 1.4,1.4,,,0.07672425,1.775248,1.034313,,,0.07863768,1.781361,1.031544,,45.8734855478893,18.2772476159795,28.6300485057254
0.066, 1.79,1.79,,,0.07694425,1.773323,1.03558,,,0.07939455,1.781163,1.032031,,45.8734855478893,18.2999477490543,28.6116189483103
0.077, 1.97,1.97,,,0.07758725,1.772175,1.036302,,,0.08027888,1.780785,1.032401,,45.8734855478893,18.2901020316397,28.6254791092978
0.088, 2.06,2.06,,,0.07805558,1.771641,1.036901,,,0.08087734,1.780652,1.032818,,45.8734855478893,18.2685544929552,28.6396824872816
0.099, 2.41,2.41,,,0.07834755,1.769521,1.037542,,,0.08165651,1.78006,1.03279,,45.8734855478893,18.2815250218281,28.5823020696611
0.11, 2.59,2.59,,,0.07868271,1.768101,1.037709,,,0.08226251,1.779475,1.032599,,45.8734855478893,18.2871855409453,28.5423881528095
0.121, 2.62,2.62,,,0.07972874,1.767422,1.038108,,,0.08335827,1.778928,1.032948,,45.8734855478893,18.2789346726575,28.527831312546
0.133, 2.64,2.64,,,0.08042131,1.766975,1.038366,,,0.08407759,1.778559,1.033164,,45.8734855478893,18.2551058508537,28.5588728139126
0.143, 2.75,2.75,,,0.0816326,1.765969,1.039229,,,0.08544436,1.778026,1.033805,,45.8734855478893,18.2186582549095,28.5995431741937
0.155, 2.84,2.84,,,0.08234492,1.765416,1.039983,,,0.08627389,1.777845,1.034388,,45.8734855478893,18.2129669999419,28.6102290048529
0.166, 3.01,3.01,,,0.08322553,1.764082,1.040654,,,0.08738758,1.777272,1.034719,,45.8734855478893,18.2397942747079,28.5879762491562
0.177, 3.04,3.04,,,0.08385185,1.763376,1.04055,,,0.08804854,1.776678,1.034571,,45.8734855478893,18.2525769733839,28.5693349558827
0.188, 3.15,3.15,,,0.08510094,1.761947,1.04093,,,0.08945778,1.775764,1.034734,,45.8734855478893,18.2804595123473,28.5288251050426
0.2, 3.18,3.18,,,0.08632915,1.761199,1.04138,,,0.09072476,1.775134,1.035142,,45.8734855478893,18.2943469940907,28.5016426604497
0.211, 3.36,3.36,,,0.08700995,1.759887,1.041931,,,0.09165247,1.774606,1.03535,,45.8734855478893,18.3059736832819,28.4834231313457
0.221, 3.38,3.38,,,0.08831812,1.759232,1.042551,,,0.09299169,1.774049,1.03593,,45.8734855478893,18.311473692958,28.4742194516952
0.233, 3.4,3.4,,,0.08900624,1.758623,1.042609,,,0.09370817,1.773534,1.035944,,45.8734855478893,18.3137122873961,28.4742262818842
0.244, 3.57,3.57,,,0.08986293,1.75731,1.043288,,,0.09479649,1.772984,1.036283,,45.8734855478893,18.3384341564091,28.4563636301544
0.255, 3.68,3.68,,,0.09140432,1.755878,1.043875,,,0.09647359,1.772033,1.036663,,45.8734855478893,18.3863393943671,28.4155839868496
0.266, 3.76,3.76,,,0.09237146,1.755028,1.044455,,,0.09753867,1.771559,1.037082,,45.8734855478893,18.4429667836526,28.3697995225698
0.278, 4.02,4.02,,,0.09427674,1.752896,1.045806,,,0.09976082,1.770553,1.037934,,45.8734855478893,18.5263804665702,28.3119666049293
0.288, 4.07,4.07,,,0.09778894,1.750781,1.046843,,,0.1032879,1.768651,1.038867,,45.8734855478893,18.6291150465648,28.2577263666924
0.299, 4.17,4.17,,,0.1003283,1.749189,1.048121,,,0.1059303,1.767511,1.039955,,45.8734855478893,18.7203595411479,28.1860298729699
0.311, 4.28,4.28,,,0.1019022,1.747558,1.048483,,,0.1076368,1.766381,1.040121,,45.8734855478893,18.7952628085965,28.1059441996328
0.321, 4.39,4.39,,,0.1039427,1.745811,1.049211,,,0.1098268,1.765167,1.040657,,45.8734855478893,18.8738714535667,28.0026939403702
0.333, 4.35,4.35,,,0.1058173,1.745089,1.049716,,,0.1116475,1.764269,1.041252,,45.8734855478893,18.8872961900068,27.9805231469413
0.344, 4.3,4.3,,,0.10779,1.744623,1.050604,,,0.1135548,1.763583,1.042224,,45.8734855478893,18.8687710099459,28.0081341858927
0.356, 4.21,4.21,,,0.1104533,1.743527,1.050914,,,0.1160913,1.762074,1.042703,,45.8734855478893,18.8564237358174,28.031701752968
0.365, 4.03,4.03,,,0.1143913,1.742939,1.052359,,,0.1197834,1.760684,1.044501,,45.8734855478893,18.8570247924476,28.0351971021785
0.377, 4,4,,,0.1172472,1.741614,1.053136,,,0.1225906,1.759236,1.045334,,45.8734855478893,18.8856706050295,28.0141481672895
0.388, 3.82,3.82,,,0.1205273,1.740973,1.053871,,,0.1256275,1.757804,1.046419,,45.8734855478893,18.8947530488256,28.0075519122822
0.399, 3.8,3.8,,,0.1230994,1.739604,1.054392,,,0.1281756,1.756354,1.04699,,45.8734855478893,18.9117670495746,27.9777500902154
0.41, 3.7,3.7,,,0.125448,1.738769,1.054663,,,0.1304013,1.755082,1.047481,,45.8734855478893,18.9241228614394,27.9330567486251
0.422, 3.76,3.76,,,0.1269735,1.737333,1.054794,,,0.1320281,1.75392,1.047524,,45.8734855478893,18.9236379180218,27.8904585675045
0.433, 3.6,3.6,,,0.1290983,1.736714,1.054558,,,0.1339514,1.752578,1.047619,,45.8734855478893,18.8970411621339,27.888238756086
0.443, 3.49,3.49,,,0.1315544,1.736268,1.05538,,,0.1362643,1.751638,1.048649,,45.8734855478893,18.8651595475227,27.9197839838899
0.455, 3.3,3.3,,,0.1342769,1.735828,1.055788,,,0.1387331,1.750378,1.049401,,45.8734855478893,18.8493203392783,27.9525654758991
