経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.66,-0.66,,,0.5156583,1.511279,1.283014,,,0.5146722,1.508154,1.283187,,45.0005634905908,27.6316405089401,17.729230818268
0.011, 0.3,-0.3,,,0.5158865,1.508815,1.283596,,,0.5154395,1.507387,1.283672,,45.0005634905908,27.7582397692307,17.5794174531819
0.022, 0.19,0.19,,,0.5143433,1.507277,1.283701,,,0.5146298,1.508197,1.283653,,45.0005634905908,27.8263640741167,17.4965945816111
0.033, 0.58,0.58,,,0.5131898,1.505991,1.284828,,,0.5140547,1.508772,1.284683,,45.0005634905908,27.858003217019,17.4644773254801
0.044, 0.49,0.49,,,0.512839,1.506922,1.285256,,,0.5135679,1.509259,1.285131,,45.0005634905908,27.8154528472212,17.52351918657
0.055, 0.7,0.7,,,0.5111115,1.507365,1.286426,,,0.5121493,1.510677,1.286243,,45.0005634905908,27.7535474294015,17.6076858978226
0.066, 0.9,0.9,,,0.5100899,1.507077,1.287991,,,0.5114442,1.511382,1.287748,,45.0005634905908,27.6984722005617,17.676523957457
0.078, 1.03,1.03,,,0.509224,1.507181,1.288547,,,0.5107635,1.512063,1.288273,,45.0005634905908,27.6553276043226,17.7170594215058
0.09, 1.12,1.12,,,0.5093164,1.506513,1.289122,,,0.510993,1.511834,1.288824,,45.0005634905908,27.6641043971618,17.706236987067
0.1, 1.28,1.28,,,0.5090957,1.505739,1.290412,,,0.511006,1.511821,1.290071,,45.0005634905908,27.7201085317029,17.6523826545074
0.112, 1.93,1.93,,,0.5081216,1.502666,1.292241,,,0.5109802,1.511846,1.291743,,45.0005634905908,27.850343160078,17.4996391383489
0.123, 2.35,2.35,,,0.5077285,1.500414,1.292882,,,0.5111906,1.511636,1.292328,,45.0005634905908,27.9752895146354,17.3121811866998
0.134, 2.37,2.37,,,0.5069137,1.501101,1.293433,,,0.5104104,1.512416,1.292876,,45.0005634905908,27.947065466223,17.3388103859854
0.145, 2.08,2.08,,,0.506824,1.502983,1.29253,,,0.5099156,1.512911,1.292016,,45.0005634905908,27.8371967538389,17.4795720431258
0.156, 2.26,2.26,,,0.5043522,1.504342,1.295383,,,0.5077383,1.515088,1.294813,,45.0005634905908,27.6506113588319,17.6810677406759
0.167, 2.16,2.16,,,0.501877,1.507385,1.297452,,,0.5051714,1.517655,1.296881,,45.0005634905908,27.3707716861346,17.9920923487085
0.178, 2.21,2.21,,,0.5004305,1.508519,1.297764,,,0.5038235,1.519003,1.297172,,45.0005634905908,27.2279558496584,18.1444089780557
0.189, 2.27,2.27,,,0.4985317,1.510021,1.298222,,,0.5020393,1.520787,1.297619,,45.0005634905908,27.1132923446104,18.2520544639269
0.2, 2.23,2.23,,,0.4967936,1.511978,1.297855,,,0.5002565,1.52257,1.29727,,45.0005634905908,27.050490464487,18.3036787397846
0.211, 2.09,2.09,,,0.4950241,1.514623,1.297661,,,0.4982805,1.524546,1.297116,,45.0005634905908,26.9858837069257,18.363902223568
0.222, 1.93,1.93,,,0.4923568,1.518322,1.298291,,,0.495375,1.527452,1.297772,,45.0005634905908,26.8718297962441,18.503043418373
0.233, 1.66,1.66,,,0.4893808,1.522973,1.299422,,,0.4920031,1.530823,1.298949,,45.0005634905908,26.7158931667374,18.705158955573
0.244, 1.52,1.52,,,0.4856329,1.527566,1.30075,,,0.4880641,1.534762,1.3003,,45.0005634905908,26.5367304796045,18.9164013327975
0.255, 1.29,1.29,,,0.4819486,1.53268,1.300683,,,0.4840347,1.538792,1.300289,,45.0005634905908,26.3703112175609,19.1092226903431
0.266, 1.06,1.06,,,0.4784417,1.537677,1.300533,,,0.4801594,1.542667,1.300203,,45.0005634905908,26.2349898059429,19.2687332162335
0.277, 0.9,0.9,,,0.4739369,1.543157,1.300341,,,0.4754117,1.547415,1.300053,,45.0005634905908,26.1365889808561,19.3904386461199
0.289, 0.75,0.75,,,0.4693878,1.548689,1.300824,,,0.4706157,1.552211,1.30058,,45.0005634905908,26.0302548912691,19.523321680272
0.299, 0.48,0.48,,,0.4649068,1.554867,1.300878,,,0.4656995,1.557127,1.300716,,45.0005634905908,25.9432348685701,19.6472981479943
0.311, 0.3,0.3,,,0.4599427,1.560966,1.300888,,,0.4604424,1.562384,1.300783,,45.0005634905908,25.8811979696125,19.7462931995223
0.322, 0.2,0.2,,,0.4546282,1.566932,1.300909,,,0.4549586,1.567868,1.300838,,45.0005634905908,25.8587744591913,19.8070955418218
0.333, 0.01,0.01,,,0.4494361,1.573347,1.300675,,,0.4494475,1.573379,1.300672,,45.0005634905908,25.8597614214989,19.8337247411074
0.344, 0.01,-0.01,,,0.4428304,1.580033,1.30087,,,0.4428208,1.580006,1.300872,,45.0005634905908,25.8415435999422,19.9040329989197
0.355, 0.21,-0.21,,,0.4365346,1.587644,1.300832,,,0.4361798,1.586647,1.300916,,45.0005634905908,25.782932040758,20.0378790897179
0.366, 0.28,-0.28,,,0.4294413,1.595172,1.300303,,,0.4289705,1.593856,1.300418,,45.0005634905908,25.7117922074374,20.1643161330202
0.377, 0.46,-0.46,,,0.4233441,1.602395,1.300139,,,0.4225751,1.600252,1.30033,,45.0005634905908,25.6788297154202,20.2355174380416
0.389, 0.59,-0.59,,,0.4170161,1.609589,1.30103,,,0.4160177,1.606809,1.301286,,45.0005634905908,25.6922715273327,20.2836549024251
0.4, 0.63,-0.63,,,0.4105951,1.616257,1.301997,,,0.4095306,1.613296,1.30228,,45.0005634905908,25.7096202073418,20.3386328010719
0.41, 0.78,-0.78,,,0.4043196,1.6235,1.303063,,,0.4029996,1.619827,1.303426,,45.0005634905908,25.7481441807359,20.3805069821607
0.422, 0.88,-0.88,,,0.3976519,1.630802,1.303732,,,0.3961614,1.626665,1.304152,,45.0005634905908,25.7307647648764,20.4574063723386
0.433, 0.85,-0.85,,,0.3899456,1.638326,1.303738,,,0.3884967,1.63433,1.304153,,45.0005634905908,25.6462616668166,20.5996023691649
0.444, 0.92,-0.92,,,0.3827331,1.645956,1.304436,,,0.3811651,1.641662,1.304895,,45.0005634905908,25.5498518418174,20.7621642819821
