経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.53,-0.53,,,0.0331193,1.833686,1.246368,,,0.03289445,1.831046,1.246279,,44.8235181620417,49.838266816779,5.33208094229287
0.011, 0.44,0.44,,,0.03340345,1.832029,1.249959,,,0.03359235,1.834195,1.250035,,44.8235181620417,49.971267671691,5.46550868401611
0.023, 1.51,1.51,,,0.03375109,1.829673,1.253139,,,0.03441776,1.837171,1.253418,,44.8235181620417,50.1292396975137,5.60724150865214
0.033, 2.58,2.58,,,0.03482016,1.827137,1.255359,,,0.03596369,1.839992,1.255861,,44.8235181620417,50.2002804930941,5.65339821823137
0.044, 3.93,3.93,,,0.03692198,1.825118,1.259024,,,0.03865064,1.84469,1.259818,,44.8235181620417,50.2358008908843,5.66098527752765
0.055, 5.36,5.36,,,0.03883041,1.821747,1.261467,,,0.04114797,1.848423,1.2626,,44.8235181620417,50.2505848349314,5.63868044164002
0.066, 6.51,6.51,,,0.03995591,1.819024,1.263793,,,0.04274207,1.851421,1.265246,,44.8235181620417,50.3053766109285,5.65928882933976
0.077, 7.77,7.77,,,0.04151101,1.815761,1.26558,,,0.04482342,1.854416,1.2674,,44.8235181620417,50.3807853123616,5.70873470179964
0.089, 8.6,8.6,,,0.04213967,1.813168,1.266508,,,0.04580496,1.855973,1.26862,,44.8235181620417,50.4674501652337,5.77312374708721
0.106, 8.76,8.76,,,0.04166051,1.811946,1.266173,,,0.04541629,1.85554,1.268396,,44.8235181620417,50.5537564331842,5.8484795145557
0.112, 9.36,9.36,,,0.04229756,1.810768,1.267715,,,0.04629116,1.857318,1.270036,,44.8235181620417,50.4945045437832,5.79663795331111
0.121, 9.18,9.18,,,0.04233811,1.811445,1.267599,,,0.04625937,1.857147,1.269826,,44.8235181620417,50.4503405418389,5.76292969003464
0.132, 9.14,9.14,,,0.04238579,1.811494,1.267389,,,0.04628836,1.856982,1.269565,,44.8235181620417,50.4148303893322,5.73596453082863
