経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.85,-0.85,,,-0.2806774,1.549724,1.311171,,,-0.2791497,1.545801,1.310791,,45.0005634905908,24.244708595679,21.9287708050402
0.006, 0.41,-0.41,,,-0.2790627,1.548541,1.311045,,,-0.2783178,1.546633,1.310856,,45.0005634905908,24.2100709998144,22.0069713462189
0.012, 0.17,0.17,,,-0.277712,1.54617,1.310926,,,-0.2780135,1.546938,1.311004,,45.0005634905908,24.1329735341561,22.1310861252679
0.022, 0.75,0.75,,,-0.2757142,1.544414,1.311665,,,-0.2770794,1.547872,1.312019,,45.0005634905908,24.043165086806,22.2517311683152
0.033, 1.42,1.42,,,-0.2736243,1.542117,1.311922,,,-0.2762506,1.5487,1.312604,,45.0005634905908,23.8575820220319,22.4614026020743
0.044, 2.17,2.17,,,-0.2710054,1.539875,1.313357,,,-0.2750575,1.549894,1.314393,,45.0005634905908,23.5886125950962,22.7214398493716
0.054, 3.32,3.32,,,-0.266835,1.53652,1.314764,,,-0.2731432,1.551808,1.316322,,45.0005634905908,23.1772251901923,23.0879751107914
0.066, 4.28,4.28,,,-0.2626039,1.534416,1.31637,,,-0.2708801,1.554071,1.318331,,45.0005634905908,22.7483473788581,23.4585555516345
0.077, 5.09,5.09,,,-0.259358,1.532289,1.317447,,,-0.2693496,1.555601,1.31971,,45.0005634905908,22.3593185975801,23.7799432638969
0.088, 5.65,5.65,,,-0.2566829,1.531251,1.318192,,,-0.2678642,1.557087,1.320651,,45.0005634905908,22.1400131822647,23.9539662338224
0.099, 5.75,5.75,,,-0.2566496,1.530645,1.317403,,,-0.2680264,1.556925,1.319914,,45.0005634905908,22.1386812954136,23.9641841965364
0.111, 5.89,5.89,,,-0.256418,1.529987,1.316398,,,-0.268045,1.556906,1.319036,,45.0005634905908,22.2130722986887,23.9447369409633
0.122, 5.98,5.98,,,-0.2565596,1.52929,1.313852,,,-0.2683154,1.556636,1.316665,,45.0005634905908,22.3667225224343,23.9058919486871
0.132, 6.13,6.13,,,-0.2556231,1.529266,1.311805,,,-0.2676542,1.557297,1.314789,,45.0005634905908,22.4425615257731,23.9163984868855
0.143, 6.46,6.46,,,-0.2540477,1.528705,1.311258,,,-0.2667426,1.558208,1.314438,,45.0005634905908,22.4080058921764,23.9831379709558
0.154, 6.86,6.86,,,-0.2512125,1.528827,1.311632,,,-0.2647845,1.560167,1.314991,,45.0005634905908,22.2693906219229,24.1043413819521
0.165, 7.38,7.38,,,-0.2468985,1.529668,1.31368,,,-0.2616392,1.563312,1.317192,,45.0005634905908,21.9959047325241,24.3055314285454
0.176, 7.98,7.98,,,-0.242638,1.529904,1.315873,,,-0.2587305,1.566221,1.319542,,45.0005634905908,21.7216658147903,24.497683427571
0.187, 8.35,8.35,,,-0.2386879,1.531332,1.317264,,,-0.2556641,1.569287,1.320985,,45.0005634905908,21.491877766938,24.6566321704178
0.199, 8.54,8.54,,,-0.2354199,1.533279,1.316811,,,-0.2528659,1.572085,1.320613,,45.0005634905908,21.3836944036847,24.7624539958313
0.211, 8.66,8.66,,,-0.2322079,1.535743,1.316572,,,-0.249896,1.575055,1.32046,,45.0005634905908,21.3772962241577,24.7898106102432
0.221, 8.58,8.58,,,-0.2297526,1.538711,1.315678,,,-0.2472323,1.577719,1.319577,,45.0005634905908,21.4755502001815,24.7158652767991
0.232, 8.5,8.5,,,-0.2268046,1.542274,1.315655,,,-0.2440351,1.580916,1.319531,,45.0005634905908,21.5830624973675,24.6179886687165
0.243, 8.29,8.29,,,-0.2241038,1.546414,1.315639,,,-0.2408132,1.584138,1.319439,,45.0005634905908,21.726786748978,24.4860430780019
0.254, 8.18,8.18,,,-0.2206948,1.55057,1.317035,,,-0.2371021,1.587849,1.320739,,45.0005634905908,21.8425669899243,24.3408691187804
0.265, 7.98,7.98,,,-0.2172487,1.555346,1.318741,,,-0.233181,1.59177,1.322281,,45.0005634905908,21.9446492868714,24.19131871597
0.276, 7.89,7.89,,,-0.2137209,1.559524,1.320047,,,-0.2293949,1.595556,1.323504,,45.0005634905908,22.0444434705101,24.0657047104398
0.287, 7.8,7.8,,,-0.2095381,1.564319,1.320568,,,-0.2249693,1.599982,1.323965,,45.0005634905908,22.1451426541887,23.9510309601083
0.298, 7.63,7.63,,,-0.2053086,1.569734,1.321159,,,-0.2203285,1.604623,1.324455,,45.0005634905908,22.2402735263014,23.8399362288022
0.309, 7.55,7.55,,,-0.2003974,1.575159,1.321722,,,-0.2152144,1.609737,1.324964,,45.0005634905908,22.3274352754217,23.7391550828559
0.321, 7.31,7.31,,,-0.195351,1.581826,1.322634,,,-0.2096436,1.615307,1.325721,,45.0005634905908,22.3875084950475,23.6461091259293
0.332, 7.18,7.18,,,-0.1901114,1.587925,1.324447,,,-0.2041175,1.620834,1.327369,,45.0005634905908,22.4127528735174,23.5498205367846
0.343, 7.15,7.15,,,-0.1841509,1.594038,1.32654,,,-0.1980902,1.626861,1.329368,,45.0005634905908,22.4301408271131,23.4793415242477
0.354, 7.05,7.05,,,-0.1787673,1.600146,1.327373,,,-0.192473,1.632478,1.330125,,45.0005634905908,22.4569766396153,23.4322985976484
0.365, 7.14,7.14,,,-0.1726823,1.605644,1.327729,,,-0.1865534,1.638398,1.330515,,45.0005634905908,22.475556461188,23.4128308515083
0.376, 7.24,7.24,,,-0.1664744,1.611156,1.327384,,,-0.1805523,1.644399,1.330215,,45.0005634905908,22.4769498197399,23.4132184647329
0.387, 7.36,7.36,,,-0.1595336,1.617298,1.327193,,,-0.1738579,1.651093,1.330058,,45.0005634905908,22.4558769791896,23.4265697766414
0.398, 7.47,7.47,,,-0.1527153,1.623443,1.327679,,,-0.1672399,1.657711,1.330511,,45.0005634905908,22.4345616669304,23.4053091058941
0.41, 7.52,7.52,,,-0.1462551,1.629546,1.32873,,,-0.1608602,1.664091,1.331517,,45.0005634905908,22.4671587438372,23.335866574535
0.421, 7.58,7.58,,,-0.1397776,1.635635,1.328612,,,-0.1544731,1.670478,1.331407,,45.0005634905908,22.5118964816558,23.2829360250349
0.432, 7.67,7.67,,,-0.1331091,1.641745,1.328988,,,-0.1479577,1.676993,1.331813,,45.0005634905908,22.5357184732706,23.2581270711125
0.443, 7.78,7.78,,,-0.1262294,1.647882,1.328777,,,-0.1413015,1.68365,1.331635,,45.0005634905908,22.5267692181597,23.2625291279101
0.454, 8.13,8.13,,,-0.1183385,1.653473,1.329554,,,-0.1341231,1.690828,1.332505,,45.0005634905908,22.46278742289,23.308885620517
0.465, 8.53,8.53,,,-0.1093908,1.65974,1.330549,,,-0.1260349,1.698916,1.3336,,45.0005634905908,22.342227757205,23.40729498334
0.476, 8.92,8.92,,,-0.1005436,1.665995,1.332026,,,-0.1180186,1.706933,1.335181,,45.0005634905908,22.238451573391,23.4952370815513
0.487, 9.09,9.09,,,-0.09198397,1.673431,1.333395,,,-0.1098278,1.715123,1.336591,,45.0005634905908,22.1808286840616,23.5447252158055
0.499, 9.25,9.25,,,-0.08421466,1.68016,1.334865,,,-0.1023371,1.722614,1.338086,,45.0005634905908,22.2272227427079,23.4843804961677
0.51, 9.18,9.18,,,-0.07742665,1.687458,1.335839,,,-0.09533665,1.729614,1.338974,,45.0005634905908,22.3111145388541,23.3749164724806
0.521, 9.02,9.02,,,-0.07131985,1.69469,1.337181,,,-0.08877861,1.736173,1.340162,,45.0005634905908,22.4807644802852,23.1638670480948
0.532, 8.85,8.85,,,-0.06532051,1.701893,1.338688,,,-0.08229974,1.742651,1.341564,,45.0005634905908,22.6765347719229,22.9478930574544
0.543, 8.66,8.66,,,-0.05948529,1.70907,1.339349,,,-0.07593501,1.749016,1.342143,,45.0005634905908,22.9030221309507,22.7133836414697
0.554, 8.58,8.58,,,-0.05349253,1.715656,1.339886,,,-0.06964821,1.755303,1.342647,,45.0005634905908,23.1104413098936,22.5032255567458
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.51,-0.51,,,-0.2779323,1.550346,1.312096,,,-0.276844,1.548107,1.311656,,45.0005634905908,21.4707912660097,27.7691646565041
0.011, 0.23,0.23,,,-0.2752937,1.548143,1.313791,,,-0.2757933,1.549158,1.313989,,45.0005634905908,21.1584535541458,27.9733241277564
0.023, 0.93,0.93,,,-0.2729021,1.545932,1.314628,,,-0.274934,1.550017,1.315413,,45.0005634905908,20.8839994854591,28.1598958623854
0.032, 1.45,1.45,,,-0.2704864,1.54487,1.315814,,,-0.2736889,1.551262,1.317034,,45.0005634905908,20.7044867511409,28.2859538301992
0.044, 1.92,1.92,,,-0.2685039,1.54376,1.316715,,,-0.2727509,1.5522,1.318323,,45.0005634905908,20.6065401336213,28.3721713056931
0.055, 2.14,2.14,,,-0.2675087,1.543246,1.317024,,,-0.2722676,1.552683,1.318836,,45.0005634905908,20.5943601991228,28.4403485445436
0.066, 2.49,2.49,,,-0.266334,1.542117,1.316553,,,-0.2718645,1.553086,1.318697,,45.0005634905908,20.675074249846,28.4926438864686
0.078, 2.82,2.82,,,-0.2647069,1.54157,1.316111,,,-0.2709621,1.553989,1.318577,,45.0005634905908,20.7690610653046,28.5231116519609
0.089, 3.18,3.18,,,-0.2635093,1.54044,1.315131,,,-0.2705449,1.554406,1.317942,,45.0005634905908,20.8270954735199,28.5728200598097
0.101, 3.82,3.82,,,-0.260876,1.538841,1.314272,,,-0.2693602,1.555591,1.317679,,45.0005634905908,20.7652754330624,28.7220409060018
0.112, 4.6,4.6,,,-0.2565791,1.537899,1.314924,,,-0.2669005,1.55805,1.318994,,45.0005634905908,20.4956759211933,28.9278549905345
0.122, 5.47,5.47,,,-0.2517296,1.536902,1.316737,,,-0.2641155,1.560835,1.321504,,45.0005634905908,20.2121820973917,29.0999176962228
0.133, 6.24,6.24,,,-0.2469591,1.536509,1.31919,,,-0.2611963,1.563755,1.324546,,45.0005634905908,19.9449304629844,29.2630738354812
