経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.75,-0.75,,,-0.2076656,1.788655,1.314187,,,-0.2068914,1.784984,1.314007,,38.5038516574023,26.7474998662421,12.2735149177019
0.01, 0.25,0.25,,,-0.2052422,1.784849,1.313691,,,-0.2055071,1.786079,1.313753,,38.2508853632465,26.2631284769931,12.5314544432087
0.021, 0.99,0.99,,,-0.2039399,1.781664,1.312843,,,-0.204993,1.78648,1.313096,,38.1573766610166,26.0160105321514,12.7346218295117
0.032, 1.62,1.62,,,-0.2025555,1.779106,1.311149,,,-0.2043003,1.787009,1.311583,,38.0329579385579,25.8231328255467,12.8792109538017
0.043, 2,2,,,-0.2021885,1.777202,1.309121,,,-0.2043507,1.786942,1.30967,,38.0465909957619,25.8212835518804,12.9625853631327
0.054, 2.08,2.08,,,-0.2023231,1.776624,1.307806,,,-0.2045563,1.786756,1.308371,,38.0886410542169,25.9691383602765,12.8738168120548
0.066, 1.94,1.94,,,-0.2024903,1.777308,1.307668,,,-0.2045545,1.786753,1.308182,,38.0890918466896,26.0627887889278,12.7553958492942
0.078, 1.57,1.57,,,-0.2027588,1.779231,1.309402,,,-0.2044249,1.786886,1.309801,,38.0597322793593,26.0338817216174,12.6751641806676
0.088, 2.23,2.23,,,-0.1993467,1.7781,1.310761,,,-0.2017413,1.78899,1.311281,,37.5696081634419,25.3671562394346,12.7361859427881
0.099, 2.44,2.44,,,-0.1969542,1.778771,1.312345,,,-0.1995977,1.790644,1.312871,,37.1811411652075,24.7825193835071,12.84109764552
0.11, 2.54,2.54,,,-0.1944521,1.780066,1.314039,,,-0.1972414,1.792425,1.314541,,36.7585846937742,24.1501907330273,12.9617486649826
0.121, 2.64,2.64,,,-0.1918474,1.781364,1.315382,,,-0.1947794,1.79425,1.315865,,36.3210837688527,23.5795899154536,13.0295707340063
0.132, 2.6,2.6,,,-0.1904134,1.782673,1.316499,,,-0.1932992,1.795328,1.31694,,36.0605188894568,23.2682255055194,13.030464634989
0.143, 2.44,2.44,,,-0.1890919,1.784549,1.316744,,,-0.1917847,1.796424,1.31715,,35.7931921229707,23.0655823362206,12.9562051128518
0.154, 2.12,2.12,,,-0.1890414,1.786379,1.315485,,,-0.1913591,1.796736,1.315857,,35.7153518742608,23.175124907081,12.8104983988899
0.165, 1.8,1.8,,,-0.1890838,1.788208,1.314733,,,-0.1910185,1.796981,1.315064,,35.654317305536,23.3105760922895,12.6558817034036
0.176, 1.29,1.29,,,-0.1878828,1.791928,1.313624,,,-0.1892452,1.798244,1.313872,,35.3416927257349,23.2859600912058,12.4140947210608
0.188, 0.96,0.96,,,-0.1869118,1.794502,1.314178,,,-0.1879053,1.799191,1.314356,,35.1068844889823,23.2486467688083,12.1959521454193
0.199, 0.58,0.58,,,-0.1853547,1.797726,1.31552,,,-0.185948,1.800559,1.315619,,34.766071719261,23.0110603526882,12.034487331707
0.21, 0.55,0.55,,,-0.1818804,1.800294,1.31678,,,-0.1824376,1.802964,1.316868,,34.1586698434635,22.4202848644151,11.9688919042908
0.221, 0.54,0.54,,,-0.1790059,1.802226,1.31774,,,-0.1795604,1.804892,1.317823,,33.6647993688905,21.948870343661,11.9132190339153
0.232, 0.52,0.52,,,-0.1754439,1.804734,1.31776,,,-0.1759673,1.807257,1.317836,,33.0488017002617,21.3558579684969,11.878029046517
0.244, 0.58,0.58,,,-0.171968,1.806608,1.318084,,,-0.1725556,1.809449,1.318167,,32.4689459766203,20.8074638028443,11.8390747712171
0.254, 0.52,0.52,,,-0.1685752,1.809081,1.317002,,,-0.1691003,1.81163,1.317077,,31.8809691582817,20.2789454871234,11.7939630805518
0.265, 0.49,0.49,,,-0.164774,1.811563,1.316496,,,-0.16527,1.813984,1.316567,,31.2359022053542,19.7094460375228,11.7253111435672
0.276, 0.39,0.39,,,-0.1605026,1.814682,1.316159,,,-0.1608925,1.816602,1.316215,,30.5046860788227,19.07998265132,11.6281687807999
0.288, 0.27,0.27,,,-0.1562242,1.81782,1.315398,,,-0.1564934,1.819158,1.315436,,29.77471646178,18.4579214824242,11.5262034508391
0.299, 0.2,0.2,,,-0.1500831,1.821637,1.315931,,,-0.1502825,1.822637,1.315957,,28.7558571716415,17.5275114320288,11.4090708324748
0.31, 0.02,0.02,,,-0.1446831,1.825541,1.317761,,,-0.1447013,1.825634,1.317763,,27.8529966884967,16.7150963113564,11.2586350664179
0.321, 0.04,-0.04,,,-0.138927,1.828807,1.318482,,,-0.1388936,1.828635,1.318478,,26.9192398455011,15.920426021654,11.088889502341
0.332, 0.25,-0.25,,,-0.133487,1.832688,1.318965,,,-0.1332489,1.83144,1.318942,,26.0185257492433,15.20877838655,10.8800692808836
0.343, 0.29,-0.29,,,-0.1272542,1.835865,1.318098,,,-0.1269861,1.834436,1.318072,,25.0210125072144,14.3927876619466,10.7075224855513
0.354, 0.21,-0.21,,,-0.120871,1.83835,1.31659,,,-0.1206806,1.837321,1.31657,,24.0232670387602,13.5686169322662,10.5671945454111
0.365, 0.17,-0.17,,,-0.1133433,1.841421,1.315239,,,-0.1131873,1.840572,1.315222,,22.8505065154311,12.500015083334,10.4981063301053
0.377, 0.1,-0.1,,,-0.1047758,1.844553,1.314744,,,-0.1046818,1.844041,1.314734,,21.5340832121923,11.2106939699677,10.4721900317945
0.388, 0.11,-0.11,,,-0.09639659,1.847802,1.315096,,,-0.09629439,1.847243,1.315087,,20.2486638442808,9.94728061717588,10.4107208922959
0.399, 0.34,-0.34,,,-0.08872488,1.851735,1.315312,,,-0.08842009,1.850054,1.315291,,19.0514922255374,8.7995757883461,10.3211369874085
0.41, 0.48,-0.48,,,-0.08081374,1.855075,1.315957,,,-0.08039345,1.85273,1.315936,,17.8412493326336,7.68712241861545,10.1883897032624
0.421, 0.66,-0.66,,,-0.07331666,1.858355,1.315795,,,-0.07274438,1.855107,1.315772,,16.6936512255067,6.70528147208786,10.0134899078266
0.432, 0.86,-0.86,,,-0.06579376,1.861585,1.314622,,,-0.0650567,1.857329,1.314595,,15.5449227221035,5.73791156157472,9.8422280417962
0.443, 0.9,-0.9,,,-0.05697637,1.864125,1.313482,,,-0.05621816,1.859675,1.313452,,14.2340685842043,4.60785167220102,9.69130050213273
