経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.009, 0.46,-0.46,,,-0.0522236,1.612668,0.9696231,,,-0.05200499,1.610386,0.9696959,,45.8734855478893,40.9563129729194,5.69195591568359
0.016, 0.84,-0.84,,,-0.05798279,1.619267,0.9815433,,,-0.05763453,1.615085,0.9817318,,45.8734855478893,40.8878949699073,5.29542587935837
0.022, 3.7,-3.7,,,-0.05993251,1.627691,0.9742484,,,-0.05873096,1.609263,0.9748915,,45.8734855478893,42.0159928874965,4.11722895248807
0.033, 4.15,-4.15,,,-0.06281138,1.628336,0.9748216,,,-0.06179554,1.607614,0.9757077,,45.8734855478893,42.3371688639005,3.56265880189378
0.043, 2.14,-2.14,,,-0.06323187,1.624504,0.9844087,,,-0.06275474,1.613816,0.9851221,,45.8734855478893,41.5547331502084,4.384990289748
0.055, 1.77,-1.77,,,-0.06704777,1.626569,0.9937218,,,-0.06674457,1.617731,0.9944485,,45.8734855478893,41.3763115385798,4.86163758903436
0.066, 0.71,-0.71,,,-0.06525902,1.621752,0.9931967,,,-0.06512162,1.618213,0.9934834,,45.8734855478893,41.235240815388,4.90919662178853
0.077, 2.29,-2.29,,,-0.07150915,1.623831,0.9908733,,,-0.07126445,1.612417,0.9917247,,45.8734855478893,42.2105166696454,4.19731334516474
0.088, 3.12,-3.12,,,-0.07432701,1.621156,0.9843512,,,-0.07414915,1.605599,0.9853142,,45.8734855478893,43.1200178040259,3.35678025745259
0.099, 1.57,-1.57,,,-0.07423788,1.613207,0.984475,,,-0.07413524,1.605367,0.9849835,,45.8734855478893,42.9365418525522,3.54060753677203
0.11, 2.22,-2.22,,,-0.07981814,1.614494,0.9871727,,,-0.07976572,1.603411,0.9879478,,45.8734855478893,43.0923931046966,3.76062094386382
0.121, 3.74,-3.74,,,-0.08208909,1.613988,0.9781491,,,-0.0821248,1.5953,0.9792495,,45.8734855478893,43.7981804376557,3.12186145701591
0.133, 4.47,-4.47,,,-0.08544981,1.612266,0.9742275,,,-0.0856462,1.589965,0.9754972,,45.8734855478893,44.1647635103984,3.05017862367139
0.144, 1.94,-1.94,,,-0.08057687,1.59973,0.9698939,,,-0.08049479,1.590026,0.9704283,,45.8734855478893,43.5105372740488,2.94211094674388
