経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.97,-0.97,,,-0.07662164,1.793947,1.530773,,,-0.07716614,1.789167,1.530066,,46.050527461344,53.0126108055866,10.7714650072343
0.011, 0.43,0.43,,,-0.07504757,1.78948,1.528022,,,-0.07480603,1.791615,1.52835,,46.050527461344,53.0059240505753,10.9996829653948
0.022, 1.48,1.48,,,-0.07385623,1.786171,1.526221,,,-0.07304284,1.793444,1.527373,,46.050527461344,52.9649941431129,11.1776221949268
0.033, 2.59,2.59,,,-0.07244235,1.782814,1.525521,,,-0.07104684,1.795515,1.527557,,46.050527461344,52.8699315728901,11.2058274603194
0.044, 3.43,3.43,,,-0.07137886,1.780222,1.526083,,,-0.06954637,1.797071,1.528761,,46.050527461344,52.7985117018213,11.107606781467
0.055, 4.27,4.27,,,-0.07030268,1.777652,1.527023,,,-0.06803939,1.798635,1.530283,,46.050527461344,52.7253501325626,10.9166278673987
0.066, 4.79,4.79,,,-0.06935019,1.776339,1.528087,,,-0.06682464,1.799895,1.53169,,46.050527461344,52.6738880736932,10.7864017767598
0.077, 4.87,4.87,,,-0.06893747,1.776438,1.528407,,,-0.06635407,1.800383,1.532018,,46.050527461344,52.697452225674,10.7095075092236
0.089, 4.78,4.78,,,-0.06922201,1.776551,1.528135,,,-0.06666851,1.800057,1.53166,,46.050527461344,52.7333243781967,10.6948687066923
0.099, 4.81,4.81,,,-0.06956574,1.776074,1.528435,,,-0.06697294,1.799741,1.531968,,46.050527461344,52.7799233425123,10.6921818811023
0.11, 4.85,4.85,,,-0.06987685,1.775596,1.52843,,,-0.0672431,1.799461,1.531956,,46.050527461344,52.8155905893656,10.6500771811355
0.121, 4.99,4.99,,,-0.07030325,1.774569,1.528917,,,-0.06756571,1.799126,1.532477,,46.050527461344,52.8606015347435,10.5632270593874
0.133, 4.78,4.78,,,-0.07109001,1.774681,1.528914,,,-0.06845579,1.798203,1.532253,,46.050527461344,52.870822912552,10.4463420353735
0.144, 4.64,4.64,,,-0.071668,1.774696,1.52895,,,-0.06911476,1.797519,1.532151,,46.050527461344,52.8544372891891,10.3680176970196
0.155, 4.55,4.55,,,-0.07147883,1.775271,1.529094,,,-0.0689857,1.797653,1.53219,,46.050527461344,52.8161779856179,10.2671306831441
0.166, 4.2,4.2,,,-0.07235624,1.775823,1.529272,,,-0.07006712,1.796531,1.532063,,46.050527461344,52.7483132279132,10.083442995812
0.177, 3.95,3.95,,,-0.07234863,1.776911,1.530454,,,-0.07022849,1.796364,1.532988,,46.050527461344,52.6366498833745,9.83319340932298
0.188, 3.71,3.71,,,-0.07224819,1.777994,1.53255,,,-0.07028455,1.796306,1.534839,,46.050527461344,52.5097074060877,9.54410736829404
0.202, 3.54,3.54,,,-0.07188912,1.779042,1.535946,,,-0.07005289,1.796546,1.538014,,46.050527461344,52.343426455371,9.16591724315359
0.21, 3.58,3.58,,,-0.07126539,1.779447,1.540484,,,-0.06945872,1.797162,1.542433,,46.050527461344,52.1392072199651,8.71537151105409
0.223, 3.55,3.55,,,-0.07087685,1.779939,1.544081,,,-0.06912613,1.797507,1.545885,,46.050527461344,51.9746782127217,8.32524904576568
0.234, 3.74,3.74,,,-0.06961372,1.780323,1.548413,,,-0.06781933,1.798863,1.550208,,46.050527461344,51.7876915441122,7.97481510109249
0.245, 3.99,3.99,,,-0.0686902,1.780147,1.55121,,,-0.06681997,1.7999,1.55305,,46.050527461344,51.6535773683965,7.7439495909286
0.256, 3.94,3.94,,,-0.0689137,1.780095,1.553916,,,-0.06708205,1.799628,1.555694,,46.050527461344,51.5938097997275,7.62310647240091
0.267, 3.95,3.95,,,-0.06948823,1.779471,1.555727,,,-0.06765488,1.799033,1.55751,,46.050527461344,51.5911494411198,7.62498562814402
0.277, 4.17,4.17,,,-0.06922946,1.778735,1.557151,,,-0.06730667,1.799395,1.559056,,46.050527461344,51.5583167226932,7.64108096847526
0.289, 4.22,4.22,,,-0.0696636,1.778045,1.559381,,,-0.0677273,1.798958,1.561319,,46.050527461344,51.5334753253731,7.64290377515929
0.3, 4.44,4.44,,,-0.06990758,1.776776,1.562648,,,-0.06789148,1.798788,1.56464,,46.050527461344,51.468458756473,7.51556685445892
0.311, 4.69,4.69,,,-0.06998606,1.775518,1.566572,,,-0.06788287,1.798797,1.568595,,46.050527461344,51.3840410357754,7.32113015721957
