経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.95,-0.95,,,-0.3035186,1.527945,1.329334,,,-0.3002971,1.524654,1.328194,,45.0005634905908,13.9168370419362,46.161705862465
0.011, 0.72,-0.72,,,-0.3019177,1.527982,1.330401,,,-0.2994676,1.525483,1.329537,,45.0005634905908,13.8731639598248,46.2000027320756
0.022, 0.39,-0.39,,,-0.3003409,1.527286,1.333014,,,-0.2990153,1.525936,1.332549,,45.0005634905908,13.7947380224099,46.218092487589
0.033, 0.29,0.29,,,-0.2969964,1.525956,1.336535,,,-0.2979886,1.526962,1.336877,,45.0005634905908,13.6028114196206,46.2680587350718
0.044, 0.77,0.77,,,-0.2944088,1.525248,1.338603,,,-0.29704,1.527911,1.339495,,45.0005634905908,13.4155523972256,46.2986340760405
0.055, 1.15,1.15,,,-0.2924095,1.524615,1.340502,,,-0.2963547,1.528596,1.34182,,45.0005634905908,13.2319748466907,46.3353907380361
0.066, 1.39,1.39,,,-0.2908104,1.524595,1.341162,,,-0.2955645,1.529386,1.342736,,45.0005634905908,13.1265551486534,46.3463497762544
0.077, 1.13,1.13,,,-0.2920375,1.525115,1.33985,,,-0.2959161,1.529035,1.341145,,45.0005634905908,13.2131320628423,46.2900656039652
0.088, 0.78,0.78,,,-0.2938926,1.525713,1.338282,,,-0.2965477,1.528403,1.339178,,45.0005634905908,13.3507210972016,46.2544529986237
0.099, 0.85,0.85,,,-0.2929722,1.526161,1.33797,,,-0.2958566,1.529094,1.338957,,45.0005634905908,13.503220434104,46.1832687690747
0.11, 0.79,0.79,,,-0.2926811,1.526818,1.336412,,,-0.2953794,1.529572,1.337354,,45.0005634905908,13.7429532371111,46.1505931449947
0.121, 0.8,0.8,,,-0.2917913,1.527668,1.335521,,,-0.2945122,1.530439,1.336473,,45.0005634905908,13.782043262417,46.2123858646962
0.133, 0.97,0.97,,,-0.2903588,1.52792,1.335413,,,-0.2936708,1.53128,1.336563,,45.0005634905908,13.6999623201241,46.3014003025774
0.144, 1.13,1.13,,,-0.287625,1.529585,1.334872,,,-0.2914771,1.533474,1.336203,,45.0005634905908,13.6746769605204,46.429254610093
0.155, 1.51,1.51,,,-0.2831002,1.531504,1.333253,,,-0.2882698,1.536681,1.335026,,45.0005634905908,13.6196452741353,46.6306905434895
0.166, 1.46,1.46,,,-0.2812762,1.533616,1.33214,,,-0.2863098,1.538641,1.333859,,45.0005634905908,13.5910600794806,46.7101632073657
0.177, 1.27,1.27,,,-0.281561,1.534633,1.3323,,,-0.2859397,1.539011,1.333796,,45.0005634905908,13.5814935460406,46.6620001297736
0.188, 1.05,1.05,,,-0.2827774,1.534959,1.3322,,,-0.2863789,1.538572,1.333434,,45.0005634905908,13.6043072310072,46.5793787487777
0.199, 0.83,0.83,,,-0.2819827,1.537268,1.331322,,,-0.2848252,1.540126,1.332301,,45.0005634905908,13.6488964122156,46.5344395203841
0.211, 0.3,0.3,,,-0.2815709,1.541321,1.328898,,,-0.2825958,1.542355,1.329254,,45.0005634905908,13.728556052515,46.4468799127557
0.222, 0.04,-0.04,,,-0.2811646,1.544058,1.32675,,,-0.2810296,1.543921,1.326703,,45.0005634905908,13.7664226202199,46.3388092476205
0.233, 0.59,-0.59,,,-0.2816806,1.547298,1.325068,,,-0.2796866,1.545264,1.324368,,45.0005634905908,13.8186932027098,46.1888626938493
0.244, 0.96,-0.96,,,-0.2823217,1.549252,1.324622,,,-0.2790532,1.545898,1.323464,,45.0005634905908,13.900271272339,46.032649441689
0.255, 1.47,-1.47,,,-0.2838864,1.551169,1.323844,,,-0.2789192,1.546032,1.32206,,45.0005634905908,14.0483233024419,45.8588450378108
0.266, 1.93,-1.93,,,-0.2850428,1.553119,1.322703,,,-0.2785755,1.546375,1.320336,,45.0005634905908,14.2687770432795,45.6882644831311
0.277, 2.15,-2.15,,,-0.2847212,1.554919,1.322125,,,-0.2775427,1.547408,1.319453,,45.0005634905908,14.4781069675896,45.6497558776622
0.289, 2.07,-2.07,,,-0.2833898,1.555758,1.321021,,,-0.2764469,1.548504,1.318422,,45.0005634905908,14.5641997921346,45.7099093520086
0.299, 1.85,-1.85,,,-0.2809436,1.556693,1.321836,,,-0.2747212,1.55023,1.319534,,45.0005634905908,14.4312740693014,45.8365752066417
0.311, 1.76,-1.76,,,-0.2809347,1.556105,1.32327,,,-0.2749979,1.549953,1.321098,,45.0005634905908,14.2913448414429,45.865077585255
0.322, 1.6,-1.6,,,-0.2781352,1.557785,1.324226,,,-0.2727457,1.552205,1.322273,,45.0005634905908,14.1620135055603,45.8580561509836
0.333, 1.39,-1.39,,,-0.2762561,1.558256,1.324701,,,-0.2715591,1.553392,1.323007,,45.0005634905908,14.1000039273587,45.8354687160269
0.343, 1.41,-1.41,,,-0.2756569,1.558965,1.324398,,,-0.270905,1.554046,1.322678,,45.0005634905908,14.1491240851816,45.8574550943534
0.355, 1.44,-1.44,,,-0.2745579,1.56024,1.324675,,,-0.2697201,1.555231,1.322916,,45.0005634905908,14.2125381209922,45.869001528824
0.366, 1.4,-1.4,,,-0.2729535,1.561613,1.323906,,,-0.2682297,1.556721,1.322172,,45.0005634905908,14.3437110465785,45.8972614357285
0.377, 1.17,-1.17,,,-0.2710727,1.561896,1.322559,,,-0.2671315,1.557819,1.321101,,45.0005634905908,14.4518295230365,45.9581320799178
0.388, 0.98,-0.98,,,-0.2687365,1.562917,1.321503,,,-0.2654361,1.559515,1.32028,,45.0005634905908,14.4975730061825,46.0597891976008
0.399, 0.66,-0.66,,,-0.2663953,1.563107,1.321699,,,-0.2641515,1.560799,1.32087,,45.0005634905908,14.4602972498244,46.1210389172784
0.411, 0.54,-0.54,,,-0.2649012,1.563744,1.321407,,,-0.2630788,1.561872,1.320736,,45.0005634905908,14.4179637385267,46.1427555031402
0.422, 0.42,-0.42,,,-0.2628049,1.565018,1.32103,,,-0.2613872,1.563564,1.320509,,45.0005634905908,14.3952738507353,46.1726785610613
0.433, 0.33,-0.33,,,-0.261561,1.565622,1.32108,,,-0.2604589,1.564492,1.320675,,45.0005634905908,14.4012485585455,46.1789828254898
0.444, 0.44,-0.44,,,-0.2606622,1.567296,1.320453,,,-0.2591789,1.565772,1.319908,,45.0005634905908,14.4150694459465,46.1355120877269
0.455, 0.55,-0.55,,,-0.2598193,1.56891,1.319304,,,-0.2579575,1.566993,1.318619,,45.0005634905908,14.4184572196805,46.0781282550119
0.466, 0.67,-0.67,,,-0.2584985,1.571056,1.318192,,,-0.2562335,1.568717,1.317357,,45.0005634905908,14.4094567381522,45.9940725343302
0.477, 0.8,-0.8,,,-0.2573566,1.573103,1.317111,,,-0.2546523,1.570299,1.316114,,45.0005634905908,14.3957400111332,45.8795746613649
0.489, 1.16,-1.16,,,-0.2561301,1.576766,1.315287,,,-0.2522427,1.572708,1.313848,,45.0005634905908,14.410020228743,45.6958459928989
0.499, 1.46,-1.46,,,-0.2552292,1.579698,1.31309,,,-0.2503583,1.574593,1.311266,,45.0005634905908,14.5553564049528,45.6215369518916
0.51, 1.65,-1.65,,,-0.2538711,1.582345,1.311233,,,-0.2483741,1.576577,1.309147,,45.0005634905908,14.7296867333824,45.6345655373708
0.521, 1.72,-1.72,,,-0.2521416,1.584545,1.308835,,,-0.2464129,1.578538,1.306638,,45.0005634905908,14.8867281459566,45.69834925716
0.533, 1.73,-1.73,,,-0.2501382,1.586665,1.307046,,,-0.2443478,1.580603,1.304815,,45.0005634905908,14.9574428000132,45.7616787693821
0.544, 1.69,-1.69,,,-0.2486041,1.587894,1.308065,,,-0.2429588,1.581992,1.3059,,45.0005634905908,14.8975061841669,45.7803866569982
0.555, 1.65,-1.65,,,-0.249045,1.587154,1.309274,,,-0.2435455,1.581406,1.307178,,45.0005634905908,14.8151238597853,45.7651485053839
0.566, 1.64,-1.64,,,-0.2474351,1.588708,1.309746,,,-0.2419676,1.582983,1.307667,,45.0005634905908,14.7691908388952,45.7067708801723
0.577, 1.55,-1.55,,,-0.2448434,1.590725,1.310913,,,-0.2396646,1.585286,1.308948,,45.0005634905908,14.7335270071364,45.6155502912506
0.588, 1.36,-1.36,,,-0.2423413,1.591916,1.311081,,,-0.237801,1.58715,1.309357,,45.0005634905908,14.744989771792,45.6300849334
0.599, 1.14,-1.14,,,-0.2399639,1.59278,1.311737,,,-0.2361559,1.588795,1.310293,,45.0005634905908,14.7383200922531,45.7126106917502
0.61, 0.81,-0.81,,,-0.2370581,1.593458,1.3122,,,-0.234336,1.590615,1.311173,,45.0005634905908,14.6703358062412,45.751474467046
