経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.74,-0.74,,,0.3938451,1.636546,1.282835,,,0.3928409,1.633012,1.283056,,45.0005395849294,29.3210143285981,16.1729073723921
0.01, 0.44,-0.44,,,0.3926235,1.635919,1.282158,,,0.3920288,1.633824,1.282289,,45.0005395849294,29.3350845178968,16.1615880417051
0.022, 0.12,-0.12,,,0.3909937,1.635573,1.282261,,,0.3908355,1.635018,1.282296,,45.0005395849294,29.2728102698721,16.2288705257993
0.032, 0.63,-0.63,,,0.391528,1.638229,1.281908,,,0.390652,1.635201,1.2821,,45.0005395849294,29.056440128271,16.4509148468956
0.044, 0.2,-0.2,,,0.3899224,1.637162,1.281639,,,0.3896452,1.636208,1.281699,,45.0005395849294,28.9911059555833,16.5032426322182
0.055, 0.6,0.6,,,0.3872886,1.63483,1.280257,,,0.3881342,1.637719,1.280085,,45.0005395849294,28.8585012516321,16.5781441921196
0.066, 1.18,1.18,,,0.3858474,1.632674,1.278503,,,0.3875081,1.638345,1.278191,,45.0005395849294,28.8238482878424,16.5468277756465
0.078, 1.47,1.47,,,0.3857243,1.631022,1.277937,,,0.387778,1.638075,1.27756,,45.0005395849294,28.9024979139464,16.4483706015006
0.088, 1.09,1.09,,,0.3868875,1.632203,1.279049,,,0.3884068,1.637447,1.278754,,45.0005395849294,28.9924719933793,16.3996576936956
0.099, 1.04,1.04,,,0.3872265,1.63218,1.27973,,,0.3886715,1.637182,1.27944,,45.0005395849294,29.0466866184076,16.3714268150943
0.111, 1.16,1.16,,,0.3871533,1.631557,1.281491,,,0.3887494,1.637104,1.281154,,45.0005395849294,29.1240077727551,16.3365808984658
0.122, 1.06,1.06,,,0.3869333,1.632383,1.281826,,,0.3883971,1.637456,1.281513,,45.0005395849294,29.084522450262,16.3877390139256
