経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.2183093,1.808857,1.311428,,,0.2180256,1.804801,1.311355,,45.0005634905908,41.0098343337663,4.20071819437124
0.011, 0.19,0.19,,,0.2187044,1.803088,1.314229,,,0.218767,1.80406,1.314239,,45.0005634905908,41.3215914795669,3.78687619030273
0.022, 1.16,1.16,,,0.2193912,1.797292,1.316688,,,0.2197374,1.803089,1.316727,,45.0005634905908,41.5842259062238,3.47553056338814
0.033, 2.24,2.24,,,0.2195011,1.791494,1.31736,,,0.2201337,1.802693,1.317419,,45.0005634905908,41.7679648199733,3.27948621041763
0.044, 3.64,3.64,,,0.2187707,1.784912,1.316554,,,0.2197438,1.803083,1.316684,,45.0005634905908,41.9362401858722,3.13531479487235
0.056, 5.01,5.01,,,0.2177693,1.778787,1.314873,,,0.2190463,1.80378,1.315184,,45.0005634905908,42.0803230224042,3.07898814734539
0.067, 6.58,6.58,,,0.2171856,1.771207,1.311771,,,0.2187484,1.804078,1.312422,,45.0005634905908,42.2904879373171,3.05248829476364
0.078, 7.77,7.77,,,0.2167238,1.765588,1.31022,,,0.2184226,1.804404,1.311183,,45.0005634905908,42.51324089052,3.01142413139918
0.089, 8.82,8.82,,,0.2158361,1.761079,1.309283,,,0.2177081,1.805119,1.310453,,45.0005634905908,42.5880656107953,3.00966855938792
0.099, 9.4,9.4,,,0.2137057,1.760001,1.311302,,,0.215886,1.806941,1.312316,,45.0005634905908,42.355398638288,3.04568265177534
0.11, 9.73,9.73,,,0.2090313,1.762389,1.312865,,,0.2118616,1.810965,1.313639,,45.0005634905908,41.6735750233649,3.530805788699
0.123, 9.63,9.63,,,0.2057097,1.765761,1.312749,,,0.2090629,1.813764,1.31345,,45.0005634905908,41.011295994208,4.14009258321162
0.133, 9.37,9.37,,,0.1997221,1.772316,1.31112,,,0.2038256,1.819001,1.311885,,45.0005634905908,39.9860231566174,5.16080285456365
0.144, 9.25,9.25,,,0.1980574,1.774341,1.309121,,,0.2024338,1.820393,1.310016,,45.0005634905908,39.5846095351715,5.59524043972757
0.155, 8.95,8.95,,,0.1980893,1.775862,1.308292,,,0.2024527,1.820374,1.309246,,45.0005634905908,39.4171128108163,5.78848313455586
0.166, 8.81,8.81,,,0.196674,1.777872,1.303864,,,0.2011503,1.821676,1.305159,,45.0005634905908,39.1956883293699,6.14621513615413
0.177, 8.09,8.09,,,0.1977371,1.780663,1.304951,,,0.2019381,1.820889,1.306105,,45.0005634905908,39.0667992482239,6.25228626346543
0.188, 7.1,7.1,,,0.2005944,1.783236,1.308134,,,0.2042803,1.818546,1.309024,,45.0005634905908,39.0628445688045,6.19305358397091
0.199, 6.34,6.34,,,0.2023499,1.785641,1.308918,,,0.205657,1.81717,1.309763,,45.0005634905908,39.0373235676809,6.2452895886291
0.21, 5.77,5.77,,,0.2036925,1.787466,1.309794,,,0.2066959,1.816131,1.310551,,45.0005634905908,39.0430199452902,6.23306568478906
0.222, 5.73,5.73,,,0.2069712,1.784589,1.311365,,,0.2097225,1.813104,1.312058,,45.0005634905908,39.5092520601558,5.74849109741785
0.233, 5.08,5.08,,,0.2111707,1.784064,1.316641,,,0.2134446,1.809382,1.317072,,45.0005634905908,39.8777851518522,5.27525761196103
0.244, 5,5,,,0.2130537,1.782686,1.318421,,,0.2152141,1.807613,1.318737,,45.0005634905908,40.0521496312267,5.04795191091612
0.255, 5.31,5.31,,,0.213733,1.780421,1.317179,,,0.2159639,1.806863,1.317577,,45.0005634905908,40.185229033312,4.94842837351571
0.266, 5.54,5.54,,,0.2160608,1.776938,1.319372,,,0.2182842,1.804542,1.319744,,45.0005634905908,40.4010493447003,4.71658828076175
0.277, 5.55,5.55,,,0.2205574,1.772579,1.322413,,,0.2225717,1.800255,1.322642,,45.0005634905908,40.8398582508114,4.22433570720346
0.289, 5.91,5.91,,,0.2244203,1.767019,1.322251,,,0.2263204,1.796506,1.322599,,45.0005634905908,41.317834875628,3.80091478997738
0.3, 6.47,6.47,,,0.2273149,1.761329,1.322358,,,0.2292055,1.793621,1.322779,,45.0005634905908,41.6549422678277,3.49507984490918
0.311, 7.15,7.15,,,0.2303287,1.754901,1.319985,,,0.2322375,1.790589,1.32064,,45.0005634905908,41.9491663185168,3.32596009689761
0.322, 7.68,7.68,,,0.2324389,1.750084,1.318212,,,0.23439,1.788437,1.319069,,45.0005634905908,42.1036037215423,3.28860728747013
0.333, 7.91,7.91,,,0.2357887,1.745633,1.31825,,,0.2377145,1.785112,1.31908,,45.0005634905908,42.2212810474778,3.14771585673906
0.345, 7.77,7.77,,,0.238259,1.74375,1.319516,,,0.2402873,1.782539,1.320234,,45.0005634905908,42.0174477177493,3.26692570632692
0.356, 7.26,7.26,,,0.238578,1.745704,1.317726,,,0.2408855,1.781941,1.318435,,45.0005634905908,41.3690066514657,3.89173880105139
0.367, 7.13,7.13,,,0.239009,1.745603,1.314314,,,0.2416711,1.781156,1.315197,,45.0005634905908,40.7383684727584,4.59537932023683
0.378, 6.66,6.66,,,0.240889,1.745975,1.311486,,,0.243682,1.779145,1.312448,,45.0005634905908,40.2152340535009,5.17555051323178
0.389, 5.95,5.95,,,0.2444512,1.746117,1.311458,,,0.2471056,1.775721,1.312293,,45.0005634905908,39.9035042284562,5.44956574227648
0.4, 5.08,5.08,,,0.247932,1.747133,1.310003,,,0.250415,1.772412,1.310777,,45.0005634905908,39.4226999054019,5.95341512294909
0.411, 4.41,4.41,,,0.2551323,1.743703,1.303885,,,0.2572122,1.765614,1.304782,,45.0005634905908,39.6351973298515,6.00531175259234
0.422, 3.53,3.53,,,0.2615249,1.742049,1.303748,,,0.2632101,1.759616,1.304451,,45.0005634905908,39.5753785347651,6.0340664213111
0.433, 2.87,2.87,,,0.2714308,1.735874,1.301823,,,0.2726886,1.750138,1.302451,,45.0005634905908,40.0271887055995,5.74467131423081
0.444, 2.11,2.11,,,0.2848005,1.726763,1.30636,,,0.2855684,1.737258,1.306765,,45.0005634905908,40.8644435160447,4.84997802955878
0.456, 1.28,1.28,,,0.2977777,1.718258,1.311883,,,0.2981654,1.724661,1.312076,,45.0005634905908,41.5648691506546,3.98781778877185
0.467, 0.45,0.45,,,0.3099363,1.710517,1.314789,,,0.3100483,1.712778,1.314845,,45.0005634905908,42.1846370836004,3.2821117777502
0.478, 0.13,0.13,,,0.3203143,1.701861,1.315908,,,0.3203411,1.702485,1.315923,,45.0005634905908,42.5702012515183,2.90569003122535
0.489, 0.06,-0.06,,,0.3283976,1.694716,1.313959,,,0.3283862,1.69444,1.313951,,45.0005634905908,42.6627400669131,2.9639865479428
0.5, 0.04,-0.04,,,0.3343138,1.68872,1.31078,,,0.334305,1.688522,1.310774,,45.0005634905908,42.4638961902344,3.30612266677899
0.511, 0.07,0.07,,,0.3401657,1.682279,1.307264,,,0.340184,1.682642,1.307277,,45.0005634905908,42.1735141208465,3.75264584445611
0.522, 0.26,0.26,,,0.3457046,1.675764,1.301746,,,0.3457765,1.67705,1.301806,,45.0005634905908,41.8680988055138,4.33603106825294
0.534, 0.42,0.42,,,0.3513933,1.669232,1.298137,,,0.3515181,1.671309,1.298246,,45.0005634905908,41.652777097921,4.74049223464431
0.545, 0.78,0.78,,,0.3580244,1.66066,1.292885,,,0.3582697,1.664557,1.293123,,45.0005634905908,41.5173037145983,5.18277642628575
0.556, 1.02,1.02,,,0.3639946,1.653411,1.288101,,,0.3643316,1.658495,1.288448,,45.0005634905908,41.3602674246659,5.61293575182736
0.567, 1.2,1.2,,,0.371193,1.645279,1.284755,,,0.3715913,1.651235,1.285196,,45.0005634905908,41.3519994809056,5.88173271649138
0.578, 1.13,1.13,,,0.3802179,1.636611,1.286106,,,0.3805866,1.64224,1.286505,,45.0005634905908,41.4149430874503,5.69866657635639
0.589, 0.8,0.8,,,0.3912272,1.627362,1.286589,,,0.3914692,1.631357,1.286874,,45.0005634905908,41.6993077603469,5.53749972963835
0.6, 0.66,0.66,,,0.4017344,1.617621,1.288214,,,0.4019171,1.620909,1.288441,,45.0005634905908,41.97308222523,5.26778623899059
0.611, 0.53,0.53,,,0.4121399,1.607887,1.28796,,,0.4122778,1.610549,1.288149,,45.0005634905908,42.1945681783772,5.22813400375433
