経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.66,-0.66,,,0.2817776,1.616927,1.051752,,,0.2817408,1.613665,1.051336,,44.8234874261913,49.9304743680083,7.55234486079506
0.01, 1.02,-1.02,,,0.2799464,1.619826,1.051684,,,0.2798675,1.61477,1.051024,,44.8234874261913,49.8953262155175,7.73347549612785
0.022, 0.81,-0.81,,,0.2697427,1.619597,1.042469,,,0.2695842,1.615594,1.041906,,44.8234874261913,49.4731180837222,8.54858427257918
0.032, 0.03,0.03,,,0.2718898,1.614535,1.042906,,,0.271895,1.614681,1.042925,,44.8234874261913,49.5244981803238,8.1987693137823
0.043, 1.68,1.68,,,0.275133,1.608836,1.048866,,,0.2753449,1.617182,1.049913,,44.8234874261913,49.3259719074327,7.53663457236756
0.055, 3.14,3.14,,,0.2787992,1.603066,1.053904,,,0.2790676,1.618667,1.055735,,44.8234874261913,49.2762891127926,7.01450547155056
0.066, 5,5,,,0.2824478,1.596698,1.060807,,,0.2826456,1.621575,1.063427,,44.8234874261913,49.0979597087152,6.27888430001377
0.077, 6.18,6.18,,,0.2855687,1.590918,1.063239,,,0.2855529,1.621637,1.066421,,44.8234874261913,49.3402845684402,6.16398814165357
0.089, 7.35,7.35,,,0.2865124,1.585541,1.064087,,,0.2862995,1.622083,1.067798,,44.8234874261913,49.4540037998618,6.05767155442579
0.1, 8.42,8.42,,,0.2872904,1.580118,1.063863,,,0.2868474,1.621991,1.068216,,44.8234874261913,49.7360530386942,6.2146694245452
0.11, 9.14,9.14,,,0.2859369,1.577033,1.0627,,,0.2854456,1.622488,1.067518,,44.8234874261913,49.8306409107829,6.3304765593606
0.121, 9.05,9.05,,,0.2832069,1.578237,1.061191,,,0.2830059,1.623209,1.066097,,44.8234874261913,49.7234069437978,6.48101563202585
0.133, 9.34,9.34,,,0.2793344,1.577578,1.058283,,,0.279395,1.623961,1.063551,,44.8234874261913,49.6982069615563,6.72960164061139
0.144, 9.21,9.21,,,0.2758484,1.57952,1.057018,,,0.2761978,1.625288,1.06223,,44.8234874261913,49.4761609329127,6.7603357834739
0.155, 8.7,8.7,,,0.2716598,1.585332,1.058472,,,0.2725614,1.628558,1.063218,,44.8234874261913,48.812287054629,6.62300074676733
0.166, 8.09,8.09,,,0.2690336,1.589961,1.058825,,,0.2701916,1.630174,1.063133,,44.8234874261913,48.4050609423612,6.57181573743843
0.176, 7.82,7.82,,,0.2653717,1.594759,1.060609,,,0.2668523,1.633619,1.064666,,44.8234874261913,47.9463283749956,6.57697594521278
0.188, 6.93,6.93,,,0.2622407,1.600097,1.059277,,,0.2638583,1.634528,1.062957,,44.8234874261913,47.7342236864124,6.88959796369299
0.199, 6.37,6.37,,,0.2613341,1.603571,1.059514,,,0.2629364,1.635185,1.062965,,44.8234874261913,47.7019681189546,7.09146419899528
0.211, 5.92,5.92,,,0.2599373,1.606821,1.05967,,,0.2614912,1.636209,1.062968,,44.8234874261913,47.7579141968893,7.29925562323767
0.222, 5.66,5.66,,,0.2598768,1.609273,1.061324,,,0.2613744,1.637377,1.064503,,44.8234874261913,47.7818984054924,7.35367344638814
0.232, 6.31,6.31,,,0.2641725,1.604775,1.063357,,,0.2654625,1.636111,1.0668,,44.8234874261913,48.0746163995114,6.92648141107151
0.243, 7.25,7.25,,,0.2696585,1.603911,1.073912,,,0.2706293,1.639966,1.077419,,44.8234874261913,48.0464555303471,6.00482211341984
0.255, 8.01,8.01,,,0.2728652,1.602934,1.080832,,,0.2735355,1.642838,1.084386,,44.8234874261913,48.0693366634299,5.42451645107934
0.265, 7.92,7.92,,,0.2720286,1.604584,1.081581,,,0.2726309,1.644028,1.085165,,44.8234874261913,48.2038196693506,5.51082186525631
0.277, 8.48,8.48,,,0.2710909,1.605214,1.085395,,,0.2717021,1.647454,1.089081,,44.8234874261913,48.079701475207,5.30163879000926
0.288, 9.18,9.18,,,0.2698355,1.606321,1.090556,,,0.2703703,1.652049,1.094248,,44.8234874261913,47.905675090187,4.91147107471885
0.299, 8.43,8.43,,,0.2623089,1.615249,1.091139,,,0.2634329,1.65726,1.094679,,44.8234874261913,47.4910757889153,5.29161335324713
0.31, 7.67,7.67,,,0.2573108,1.620952,1.089019,,,0.2586603,1.659137,1.092561,,44.8234874261913,47.5406493005317,5.90368707830698
0.321, 7.18,7.18,,,0.2513754,1.628426,1.090616,,,0.2530414,1.664108,1.093972,,44.8234874261913,47.1819960771948,6.2199986794968
0.332, 6.62,6.62,,,0.2461811,1.635507,1.091846,,,0.2479892,1.668428,1.09503,,44.8234874261913,46.9999032389895,6.56444084088733
0.344, 6,6,,,0.2410803,1.642341,1.092139,,,0.2429047,1.672117,1.095162,,44.8234874261913,46.9845250685011,6.97735393925458
0.355, 5.75,5.75,,,0.236838,1.648408,1.094907,,,0.2387138,1.676959,1.097819,,44.8234874261913,46.8489765530996,7.12975765351134
0.366, 5.43,5.43,,,0.2338041,1.654083,1.0977,,,0.2356079,1.681019,1.100455,,44.8234874261913,46.8153481176568,7.17963425476377
0.377, 5.28,5.28,,,0.2323514,1.658478,1.101446,,,0.2339931,1.684715,1.104068,,44.8234874261913,46.867749327511,6.93681036435643
