経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.52,-0.52,,,0.09537257,1.532298,0.9167324,,,0.09512813,1.529802,0.9174492,,44.7500116682395,29.4248127105263,16.6472571668604
0.01, 0.23,0.23,,,0.09700121,1.530191,0.9192288,,,0.09710303,1.531271,0.9189177,,44.7500116682395,29.3583242359011,16.6165452221121
0.022, 0.75,0.75,,,0.09817831,1.528723,0.9209697,,,0.09851012,1.532287,0.9199336,,44.7500116682395,29.1976918514707,16.7415667087482
0.033, 0.58,0.58,,,0.09734297,1.529597,0.9208444,,,0.09760842,1.532378,0.9200252,,44.7500116682395,29.0251578627428,16.9632421996396
0.044, 0.23,0.23,,,0.09645189,1.531116,0.9201617,,,0.09655745,1.532197,0.9198432,,44.7500116682395,29.0324900706128,17.0132921169374
0.055, 0.41,0.41,,,0.0960331,1.52938,0.9195874,,,0.09623124,1.531359,0.919006,,44.7500116682395,29.1076972814709,17.0042096731413
0.066, 0.36,0.36,,,0.09444492,1.52714,0.9169809,,,0.0946215,1.528842,0.9164891,,44.7500116682395,29.3968021055196,16.8257385426426
0.076, 0.48,0.48,,,0.09405145,1.525103,0.9156696,,,0.09428898,1.527378,0.9150249,,44.7500116682395,29.6896840240741,16.5683377482916
0.088, 0.63,0.63,,,0.09371379,1.523987,0.915477,,,0.09402497,1.526988,0.9146348,,44.7500116682395,29.8235625582701,16.4229981569873
0.099, 0.76,0.76,,,0.0944635,1.524216,0.9165119,,,0.09483409,1.52784,0.9154867,,44.7500116682395,29.6933723261233,16.5065245380231
0.11, 0.84,0.84,,,0.09472892,1.524528,0.9173356,,,0.09513728,1.528544,0.9161904,,44.7500116682395,29.5669762639549,16.6108488445028
0.121, 0.79,0.79,,,0.09478843,1.524814,0.9173365,,,0.09517375,1.528603,0.9162493,,44.7500116682395,29.4777466751209,16.6951367916098
0.132, 1.06,1.06,,,0.09486746,1.523998,0.9181945,,,0.09538468,1.529078,0.9167252,,44.7500116682395,29.360547462414,16.8089533532244
0.143, 1.16,1.16,,,0.09483933,1.523417,0.9182305,,,0.09540576,1.528976,0.9166224,,44.7500116682395,29.3563332358134,16.8154710610585
0.155, 1.24,1.24,,,0.09486943,1.523221,0.9184788,,,0.09547061,1.529129,0.916776,,44.7500116682395,29.4107971627395,16.7599211340846
0.166, 1.67,1.67,,,0.09451356,1.520174,0.918081,,,0.09531908,1.528158,0.9158044,,44.7500116682395,29.5623727165824,16.5936367682733
0.177, 2.04,2.04,,,0.0943819,1.516541,0.9166715,,,0.09534804,1.526299,0.9139452,,44.7500116682395,29.8455796724469,16.2760449335366
0.188, 2.31,2.31,,,0.09429574,1.514802,0.9166341,,,0.09537621,1.525905,0.9135517,,44.7500116682395,29.9244546947873,16.1566412773364
0.199, 2.4,2.4,,,0.09541343,1.51498,0.9173787,,,0.09652279,1.52651,0.9141566,,44.7500116682395,29.8190238976929,16.2279296672673
0.21, 2.57,2.57,,,0.09603076,1.515596,0.9190769,,,0.0972033,1.527929,0.9155756,,44.7500116682395,29.5755037548964,16.4299905629556
0.221, 3.08,3.08,,,0.09686533,1.515074,0.9216872,,,0.09823997,1.529786,0.9174332,,44.7500116682395,29.2869009497378,16.6639621015581
0.233, 3.05,3.05,,,0.09649636,1.515215,0.9216951,,,0.09787624,1.529823,0.9174701,,44.7500116682395,29.2911049310549,16.6854925647701
0.244, 2.63,2.63,,,0.09587491,1.516064,0.9198927,,,0.09707996,1.528646,0.9162927,,44.7500116682395,29.4648478632323,16.5531935117758
0.255, 2.77,2.77,,,0.0951995,1.514338,0.9189923,,,0.0964903,1.527605,0.9152516,,44.7500116682395,29.6963024771957,16.3723710887207
0.266, 2.57,2.57,,,0.09361698,1.513831,0.9172337,,,0.09484442,1.526167,0.9138135,,44.7500116682395,29.9620651304054,16.1790374670016
0.277, 2.68,2.68,,,0.09346047,1.514017,0.9181002,,,0.09474798,1.526879,0.9145261,,44.7500116682395,29.9351951669583,16.2202644876846
0.288, 2.73,2.73,,,0.09366998,1.514168,0.9185631,,,0.09497526,1.527262,0.9149086,,44.7500116682395,29.8686554659156,16.2718887635423
0.299, 2.74,2.74,,,0.09380277,1.514131,0.9185916,,,0.09510804,1.527276,0.9149223,,44.7500116682395,29.861207144833,16.2689022634108
0.31, 2.65,2.65,,,0.09393288,1.514074,0.9179637,,,0.09518827,1.526772,0.9144186,,44.7500116682395,29.8556917672317,16.2624648102972
0.322, 2.78,2.78,,,0.09358481,1.513475,0.9181869,,,0.09489266,1.526808,0.9144549,,44.7500116682395,29.8110018407359,16.2843521508834
0.333, 2.91,2.91,,,0.09494103,1.513721,0.9192418,,,0.09628075,1.527653,0.9153001,,44.7500116682395,29.6363675688967,16.3998147880422
0.344, 3.11,3.11,,,0.09525906,1.514117,0.9208782,,,0.09667929,1.528983,0.91663,,44.7500116682395,29.4825824489187,16.5300425862283
0.355, 3.07,3.07,,,0.09500644,1.514072,0.920602,,,0.09642097,1.528769,0.9164152,,44.7500116682395,29.5337098285281,16.4997933867834
0.366, 3.01,3.01,,,0.09471902,1.513897,0.9200366,,,0.09611612,1.528307,0.9159541,,44.7500116682395,29.6233833796458,16.4324904121222
0.377, 3.08,3.08,,,0.09472461,1.513508,0.9200211,,,0.09617556,1.52825,0.9158964,,44.7500116682395,29.8203762751109,16.2842070093676
0.388, 3.2,3.2,,,0.09474531,1.512229,0.9194392,,,0.09627627,1.527577,0.9152241,,44.7500116682395,30.1023777026204,16.0531912350462
0.399, 3.41,3.41,,,0.09499429,1.511526,0.9200524,,,0.09661856,1.527909,0.9155556,,44.7500116682395,30.1051200234959,16.0343843096899
0.41, 3.61,3.61,,,0.09556893,1.511071,0.9208078,,,0.09726185,1.528378,0.9160245,,44.7500116682395,29.9934225280123,16.1046345108959
0.422, 3.76,3.76,,,0.09596349,1.511092,0.9217598,,,0.09771021,1.529117,0.9167642,,44.7500116682395,29.9456282806251,16.1258456627731
0.432, 4.11,4.11,,,0.0969957,1.509876,0.9226993,,,0.09888461,1.529578,0.9172244,,44.7500116682395,29.8968607313083,16.1454705032597
0.443, 4.35,4.35,,,0.09800605,1.50925,0.9235795,,,0.09998617,1.53012,0.9177669,,44.7500116682395,29.8554663709954,16.1591206359361
0.455, 4.71,4.71,,,0.09920007,1.508613,0.9251831,,,0.1013153,1.531223,0.91887,,44.7500116682395,29.8074433122774,16.1710683440093
0.466, 4.86,4.86,,,0.09966268,1.508545,0.926001,,,0.1018209,1.531846,0.919493,,44.7500116682395,29.7951011607906,16.1594775133103
0.477, 4.95,4.95,,,0.09966984,1.508465,0.9264551,,,0.10187,1.532196,0.9198424,,44.7500116682395,29.8295867849504,16.1288953421526
0.488, 4.9,4.9,,,0.09946199,1.50892,0.9266002,,,0.1016513,1.532431,0.9200772,,44.7500116682395,29.8961640520324,16.0759357643494
0.499, 4.95,4.95,,,0.09927906,1.508711,0.926649,,,0.1014986,1.532452,0.9200984,,44.7500116682395,29.980093414218,16.0054516291708
0.511, 4.9,4.9,,,0.09969234,1.509803,0.9274625,,,0.101901,1.533343,0.9209899,,44.7500116682395,30.0329590769227,15.9637704009207
0.521, 4.83,4.83,,,0.09978907,1.510511,0.9277322,,,0.1019546,1.533689,0.9213357,,44.7500116682395,29.9767432065233,16.0070737990536
0.533, 4.88,4.88,,,0.101559,1.514144,0.9317558,,,0.1037124,1.537542,0.9251888,,44.7500116682395,29.7180361385299,16.2182359215576
0.544, 4.87,4.87,,,0.1033036,1.518104,0.9357812,,,0.1054338,1.541446,0.9290924,,44.7500116682395,29.4025906906801,16.5002851603899
0.555, 4.97,4.97,,,0.1045539,1.52181,0.94014,,,0.1067374,1.545598,0.9332445,,44.7500116682395,29.2343392304426,16.6739512529413
0.566, 4.84,4.84,,,0.1047091,1.525576,0.9430658,,,0.1068692,1.548724,0.9363711,,44.7500116682395,29.2824886476567,16.6652615450115
0.578, 4.72,4.72,,,0.1051859,1.528396,0.9451184,,,0.107344,1.551004,0.9386511,,44.7500116682395,29.4651005802246,16.544788964236
0.589, 4.63,4.63,,,0.1048243,1.531513,0.9475896,,,0.1069987,1.55371,0.9413566,,44.7500116682395,29.7626201970965,16.326817143319
0.599, 4.68,4.68,,,0.1046714,1.533552,0.9498708,,,0.1069149,1.556008,0.9436545,,44.7500116682395,29.9889555844194,16.1643713437145
0.61, 4.5,4.5,,,0.1046771,1.537117,0.9522665,,,0.1068664,1.558688,0.9463346,,44.7500116682395,30.0994748723039,16.1031318693203
0.622, 4.51,4.51,,,0.1047668,1.541272,0.9565246,,,0.1069926,1.562891,0.9505373,,44.7500116682395,30.0104092080054,16.2269273370345
0.633, 4.54,4.54,,,0.104967,1.546134,0.9616578,,,0.1072388,1.567862,0.9555083,,44.7500116682395,29.7083338550839,16.5550871816705
0.644, 4.45,4.45,,,0.1059571,1.551368,0.9664307,,,0.1082046,1.572653,0.9602998,,44.7500116682395,29.4570170515668,16.8203222027815
0.655, 4.62,4.62,,,0.1066856,1.555448,0.9716072,,,0.1090167,1.577541,0.9651877,,44.7500116682395,29.3243918570487,16.943262189326
0.666, 4.81,4.81,,,0.1067297,1.558387,0.9756916,,,0.1091571,1.581382,0.9690291,,44.7500116682395,29.368730028812,16.9027147724466
0.677, 4.98,4.98,,,0.1068959,1.561651,0.9799217,,,0.1093982,1.585437,0.973084,,44.7500116682395,29.4828693168559,16.785057937078
0.689, 5.05,5.05,,,0.1071494,1.564951,0.9836752,,,0.10968,1.589126,0.9767731,,44.7500116682395,29.5801790192532,16.6790568192038
0.699, 5.08,5.08,,,0.1071203,1.569443,0.9883559,,,0.1096755,1.59375,0.9813964,,44.7500116682395,29.5420460741781,16.7273103967998
0.711, 4.98,4.98,,,0.1061216,1.574487,0.9927768,,,0.1086894,1.598263,0.9859095,,44.7500116682395,29.4391356168173,16.9040773951481
0.721, 4.67,4.67,,,0.1044775,1.579379,0.9957888,,,0.1069809,1.601684,0.9893303,,44.7500116682395,29.4449651831117,17.0191626643657
0.733, 4.32,4.32,,,0.1019483,1.584169,0.9983746,,,0.104361,1.604771,0.9924172,,44.7500116682395,29.5166855824956,17.0955258847087
0.745, 4.18,4.18,,,0.09988575,1.588128,1.001485,,,0.1022926,1.608082,0.9957285,,44.7500116682395,29.5903184347939,17.1335785750632
0.755, 4.22,4.22,,,0.09894253,1.591684,1.005288,,,0.1013841,1.611843,0.9994897,,44.7500116682395,29.6394070029928,17.1033310831655
0.767, 4.78,4.78,,,0.09929559,1.59388,1.010923,,,0.1019651,1.616682,1.004328,,44.7500116682395,29.5147150729749,17.0963164790831
0.778, 5.22,5.22,,,0.1006231,1.59762,1.017444,,,0.1034208,1.622506,1.010153,,44.7500116682395,29.2684867602478,17.1899310492422
0.789, 5.7,5.7,,,0.1022166,1.601539,1.024465,,,0.1051285,1.628714,1.016361,,44.7500116682395,28.9443259912596,17.3470817448401
0.8, 5.74,5.74,,,0.1027237,1.605935,1.02918,,,0.1055815,1.633301,1.020947,,44.7500116682395,28.7820543614741,17.4272852389371
0.811, 5.67,5.67,,,0.1015208,1.610356,1.033137,,,0.1043415,1.637349,1.024996,,44.7500116682395,28.7415923219569,17.4675389576904
0.822, 5.24,5.24,,,0.09900342,1.614719,1.034802,,,0.1016879,1.639668,1.027314,,44.7500116682395,28.850882175825,17.4477997115384
0.833, 4.9,4.9,,,0.09601671,1.618963,1.036944,,,0.09858628,1.642323,1.02997,,44.7500116682395,28.9557699728955,17.4152282478402
0.844, 4.56,4.56,,,0.09403821,1.624154,1.040015,,,0.09646068,1.645865,1.033512,,44.7500116682395,28.9209633298537,17.4924025531246
0.855, 4.22,4.22,,,0.09259346,1.62963,1.043418,,,0.09484426,1.649696,1.037342,,44.7500116682395,28.7603650963683,17.6606369378897
0.866, 4.01,4.01,,,0.09134926,1.635168,1.047687,,,0.09349029,1.654206,1.041852,,44.7500116682395,28.573463805121,17.8451937667695
0.878, 3.87,3.87,,,0.0901487,1.640487,1.05218,,,0.09221716,1.658857,1.046504,,44.7500116682395,28.4481212996028,17.9673431589396
0.889, 3.58,3.58,,,0.08905844,1.645348,1.055288,,,0.09096498,1.662373,1.05002,,44.7500116682395,28.4165538736848,17.9801036595014
0.899, 3.51,3.51,,,0.08807969,1.64958,1.059053,,,0.08993309,1.666244,1.05389,,44.7500116682395,28.3885313158473,17.9854346220003
0.911, 3.39,3.39,,,0.08704834,1.654359,1.063107,,,0.08880341,1.670456,1.058103,,44.7500116682395,28.312507897406,17.9969008017504
0.922, 3.31,3.31,,,0.08675176,1.659349,1.067639,,,0.08842639,1.675067,1.062714,,44.7500116682395,28.1586647208217,18.0760182957995
0.933, 3.17,3.17,,,0.0870226,1.664646,1.072086,,,0.08859227,1.679673,1.06732,,44.7500116682395,27.9402284470541,18.2294909346317
0.944, 2.98,2.98,,,0.08662365,1.670189,1.076495,,,0.08809393,1.684311,1.071958,,44.7500116682395,27.7267679659583,18.4246055281273
0.955, 2.61,2.61,,,0.08550372,1.676281,1.080274,,,0.0868055,1.688627,1.076274,,44.7500116682395,27.6026292812478,18.5777947141167
0.966, 2.06,2.06,,,0.08372131,1.682303,1.082842,,,0.08477595,1.692032,1.079678,,44.7500116682395,27.5732423931616,18.6840195206801
0.977, 1.68,1.68,,,0.08148827,1.68744,1.085629,,,0.08236964,1.695395,1.083042,,44.7500116682395,27.5970797527016,18.7254241262765
0.988, 1.46,1.46,,,0.08047075,1.692482,1.089285,,,0.08124251,1.699389,1.087036,,44.7500116682395,27.5871691484917,18.7602102787514
1, 1.32,1.32,,,0.08008906,1.697582,1.093504,,,0.0807827,1.703817,1.091464,,44.7500116682395,27.5019027768133,18.8284233760941
1.011, 1.35,1.35,,,0.08043151,1.702062,1.098217,,,0.0811289,1.70846,1.096107,,44.7500116682395,27.3423154112969,18.920405531087
1.022, 1.29,1.29,,,0.08075626,1.707168,1.102934,,,0.08140805,1.713262,1.100909,,44.7500116682395,27.1941003104321,19.0081837047628
1.033, 1.3,1.3,,,0.08026673,1.711655,1.107485,,,0.08091182,1.717786,1.105433,,44.7500116682395,27.0562790496475,19.0953761897335
1.043, 1.14,1.14,,,0.07997394,1.715953,1.110804,,,0.08053554,1.721346,1.108993,,44.7500116682395,26.9918652449249,19.1301077006966
1.055, 0.99,0.99,,,0.07982911,1.720169,1.114075,,,0.08030893,1.724851,1.112498,,44.7500116682395,26.9184253454653,19.1588166925265
1.066, 0.91,0.91,,,0.08070664,1.724578,1.117967,,,0.0811343,1.728864,1.116511,,44.7500116682395,26.7438354698544,19.2609399706074
1.078, 0.88,0.88,,,0.08217655,1.730122,1.123363,,,0.082583,1.734282,1.121928,,44.7500116682395,26.4624487593531,19.4832950653023
1.089, 0.75,0.75,,,0.0832421,1.735994,1.128425,,,0.08358617,1.739536,1.127183,,44.7500116682395,26.167946378463,19.7552373319916
1.1, 0.61,0.61,,,0.08418502,1.741543,1.133042,,,0.08446531,1.744389,1.132036,,44.7500116682395,26.0505986091459,19.9001910176185
1.111, 0.3,0.3,,,0.08352663,1.746572,1.136115,,,0.08366992,1.747975,1.135622,,44.7500116682395,26.1762843316603,19.8663406010339
1.129, 0.16,-0.16,,,0.08267768,1.751354,1.138013,,,0.08260013,1.750622,1.138268,,44.7500116682395,26.3671744532718,19.7753334555178
1.135, 0.49,-0.49,,,0.08161536,1.755402,1.139953,,,0.08136573,1.753102,1.140748,,44.7500116682395,26.5460997913377,19.6707581395931
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.65,-0.65,,,0.1138809,1.529928,0.9134215,,,0.1136674,1.526869,0.9145159,,44.7500116682395,25.5728371352821,19.7836184747505
0.011, 0.05,0.05,,,0.1141815,1.525363,0.9133105,,,0.1141957,1.525585,0.9132321,,44.7500116682395,25.784298078554,19.4772127820157
0.022, 0.74,0.74,,,0.1150801,1.522112,0.9144871,,,0.1152825,1.525609,0.9132553,,44.7500116682395,25.7717407761144,19.3995398729357
0.033, 1.52,1.52,,,0.1164082,1.519894,0.9172745,,,0.1167741,1.52706,0.9147063,,44.7500116682395,25.4212667040809,19.6543861766082
0.044, 2.11,2.11,,,0.11721,1.51939,0.9205704,,,0.1176641,1.529297,0.9169436,,44.7500116682395,25.0059263273049,20.0042830976728
