経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.37,-0.37,,,0.3183473,1.804954,1.489552,,,0.318045,1.803176,1.489252,,34.2548047533562,20.8030600384995,13.6422660062633
0.011, 0.22,0.22,,,0.3176866,1.802263,1.488975,,,0.3178636,1.803314,1.489153,,34.2194995065188,20.8068098122495,13.6276485480726
0.022, 0.55,0.55,,,0.3183312,1.799374,1.490577,,,0.3187727,1.802047,1.491024,,34.5430728792548,21.3366719676522,13.409648552626
0.033, 0.57,0.57,,,0.3189791,1.797794,1.493154,,,0.3194335,1.800593,1.493605,,34.911506933211,21.9998337987348,13.0618263014641
0.044, 0.5,0.5,,,0.3197815,1.796407,1.496268,,,0.3201762,1.798862,1.496649,,35.3457737636504,22.6714411584911,12.7722911755097
0.055, 0.59,0.59,,,0.3200833,1.795157,1.497658,,,0.3205419,1.798019,1.498092,,35.5553307917441,23.0042540693697,12.624575532214
0.066, 1.02,1.02,,,0.3191766,1.793413,1.497221,,,0.3199759,1.798382,1.497981,,35.4658997123352,22.8547890439215,12.6852301716768
0.078, 0.88,0.88,,,0.3188185,1.795501,1.494656,,,0.3195195,1.799799,1.495334,,35.1117646590085,22.2647853670031,12.9533560702735
0.088, 2.14,2.14,,,0.3165565,1.790868,1.491793,,,0.3182771,1.801263,1.493506,,34.7432998692019,21.5731723837246,13.3209021996624
0.099, 2.64,2.64,,,0.3148034,1.789976,1.489268,,,0.3169649,1.802833,1.491465,,34.3444407384345,20.8798313626341,13.6595583372133
0.111, 2.99,2.99,,,0.313614,1.788955,1.488581,,,0.3160742,1.803467,1.491085,,34.1828828633974,20.600843756012,13.778802337746
0.121, 3.06,3.06,,,0.3133153,1.788269,1.48965,,,0.3158268,1.803139,1.492177,,34.2675054897644,20.7803359997632,13.6532079690092
0.133, 2.54,2.54,,,0.3146721,1.789872,1.491068,,,0.3167402,1.80225,1.493128,,34.4940355374733,21.1937827066445,13.4474715778761
0.144, 2.98,2.98,,,0.3141902,1.7872,1.49225,,,0.3165843,1.801695,1.494619,,34.6358439210749,21.5025857957113,13.256406432672
0.155, 3.36,3.36,,,0.3149083,1.784316,1.493033,,,0.3175615,1.800722,1.495655,,34.8815087432111,22.0130485068638,12.984780062223
0.166, 3.41,3.41,,,0.3154242,1.783509,1.493708,,,0.3180896,1.800128,1.49636,,35.0306971460055,22.2245692142892,12.9271563191201
0.177, 3.48,3.48,,,0.3149965,1.783637,1.493018,,,0.3177361,1.800583,1.495756,,34.916274405119,21.9940349682908,13.0520762066952
0.188, 3.54,3.54,,,0.314614,1.783753,1.492414,,,0.3174174,1.800986,1.495226,,34.8148870799007,21.7996341295436,13.152770267732
0.2, 4.4,4.4,,,0.3122706,1.781033,1.490271,,,0.3158087,1.802428,1.493875,,34.4499295921353,21.1504280820943,13.4620463473857
0.211, 4.76,4.76,,,0.3106433,1.780753,1.488101,,,0.3145177,1.803871,1.492079,,34.0807817834306,20.5796838305521,13.6862430317843
0.222, 4.84,4.84,,,0.3096184,1.780906,1.487864,,,0.3135801,1.804428,1.491919,,33.9377986073245,20.3832424728472,13.7313043498059
0.233, 4.43,4.43,,,0.3110248,1.781881,1.489405,,,0.3146138,1.803415,1.493039,,34.1981619961455,20.8312157850221,13.5223082509821
0.244, 4.35,4.35,,,0.3112776,1.781825,1.490304,,,0.3147925,1.802985,1.493829,,34.3084422274157,21.0299059824487,13.4145218924632
0.255, 4.16,4.16,,,0.311572,1.781611,1.492991,,,0.3149011,1.80189,1.496236,,34.5885072963494,21.5865066201607,13.0878979865741
0.266, 4.08,4.08,,,0.3120875,1.781457,1.493823,,,0.3153303,1.801343,1.496968,,34.7271669628312,21.832220961167,12.9728579673585
0.277, 4.09,4.09,,,0.3117422,1.782131,1.492565,,,0.3150013,1.802038,1.495773,,34.5505109550539,21.5366325802291,13.1126377848331
0.289, 4.19,4.19,,,0.3115096,1.782188,1.491325,,,0.3148611,1.802599,1.494644,,34.4072374959161,21.3316603164882,13.1889958825344
0.299, 4.3,4.3,,,0.3096074,1.78337,1.489415,,,0.3130408,1.804305,1.492881,,33.9706825521684,20.8129808879929,13.2970622788015
0.31, 4.29,4.29,,,0.3089173,1.784586,1.487467,,,0.3123384,1.805475,1.490955,,33.6673504444746,20.4881353925594,13.3442716912572
0.322, 4.15,4.15,,,0.3084594,1.785763,1.487175,,,0.3117548,1.805953,1.490526,,33.5431434578742,20.4197259272835,13.2841378537042
0.333, 3.99,3.99,,,0.3080429,1.786932,1.487066,,,0.3112007,1.806346,1.490262,,33.440864792994,20.3829299917013,13.2101438551636
0.344, 3.65,3.65,,,0.3067704,1.789427,1.487106,,,0.3096665,1.807231,1.490005,,33.2097687639521,20.2008320308542,13.1391209888292
0.355, 3.34,3.34,,,0.304628,1.792619,1.486252,,,0.3072835,1.808881,1.488882,,32.7744227636538,19.7677826816005,13.1190188888876
0.366, 3,3,,,0.3031315,1.795773,1.48492,,,0.3055242,1.810389,1.487283,,32.3714860100654,19.3491057575078,13.1341170216278
0.378, 2.63,2.63,,,0.3010846,1.799522,1.483135,,,0.303185,1.81234,1.4852,,31.8431504018997,18.8337662914237,13.1188233747281
0.388, 2.25,2.25,,,0.2994276,1.80312,1.481385,,,0.3012132,1.814069,1.483142,,31.3680356262657,18.4159926598236,13.0669335752738
0.4, 1.95,1.95,,,0.2977711,1.806118,1.479831,,,0.2993164,1.815633,1.481349,,30.9329423429597,18.0437080868299,13.004508209318
0.41, 1.53,1.53,,,0.2952992,1.810411,1.477543,,,0.2965111,1.817884,1.47873,,30.2965497300368,17.4458292020176,12.9665434576466
0.423, 1.12,1.12,,,0.292553,1.814804,1.47512,,,0.2934372,1.820242,1.475981,,29.6165907567053,16.7643266059766,12.9661626746109
0.433, 0.74,0.74,,,0.2889085,1.819337,1.472553,,,0.2894986,1.822945,1.473118,,28.8199380046514,15.9823980338163,12.9314909278015
0.444, 0.12,0.12,,,0.286066,1.824431,1.471039,,,0.2861624,1.825019,1.471129,,28.1948117884508,15.4314988963553,12.8311520365916
0.456, 0.47,-0.47,,,0.2827803,1.829496,1.469486,,,0.2824047,1.827206,1.469145,,27.5217905795757,14.8939049670273,12.6662584680114
0.466, 1.09,-1.09,,,0.2802598,1.834478,1.46751,,,0.2793908,1.829176,1.466737,,26.9014250050942,14.3839493974066,12.5434585003409
0.477, 1.5,-1.5,,,0.2770438,1.838833,1.464726,,,0.2758406,1.831502,1.463663,,26.1508879814856,13.6550026011636,12.5190141077553
0.489, 2.01,-2.01,,,0.2733841,1.843937,1.46135,,,0.2717642,1.834142,1.459926,,25.2738968391024,12.7100894982429,12.5872237900036
0.499, 2.34,-2.34,,,0.2688624,1.848495,1.457368,,,0.2669543,1.837077,1.455686,,24.2641780493663,11.5674910894493,12.7240358903664
0.511, 2.67,-2.67,,,0.2643887,1.853044,1.45286,,,0.2621894,1.840003,1.450919,,23.2156689088659,10.4075832742332,12.8434173484523
0.522, 3.04,-3.04,,,0.2600888,1.857536,1.448541,,,0.2575715,1.842696,1.446319,,22.2095393834388,9.3387927413305,12.9152897195411
0.533, 3.58,-3.58,,,0.2554989,1.862582,1.445455,,,0.2525319,1.845102,1.442877,,21.2729531346583,8.46519705664389,12.8371318670435
0.544, 4.07,-4.07,,,0.2517047,1.866989,1.4425,,,0.2483332,1.847105,1.439648,,20.4621840895301,7.79162857887673,12.6844993414559
0.555, 4.62,-4.62,,,0.248195,1.871304,1.440442,,,0.2443893,1.848752,1.437311,,19.7720020308429,7.28714996704434,12.4868174506775
0.566, 4.99,-4.99,,,0.2441348,1.874942,1.437697,,,0.2400452,1.85057,1.434382,,18.9813547224496,6.63338604911134,12.3479469021109
0.578, 5.19,-5.19,,,0.240048,1.877921,1.433463,,,0.2358206,1.85257,1.430033,,18.0713396163483,5.79372914657927,12.2780766301669
0.589, 5.23,-5.23,,,0.2356067,1.880131,1.429038,,,0.2313873,1.854539,1.425547,,17.1292533578917,4.89861025575643,12.2390719822233
0.6, 5.32,-5.32,,,0.2318006,1.882314,1.424314,,,0.2275618,1.856319,1.420714,,16.230617346631,4.04045677457986,12.2377349727305
0.61, 5.29,-5.29,,,0.2275406,1.883852,1.419993,,,0.2233803,1.857985,1.416385,,15.3430923452934,3.26926205784487,12.1826085174733
0.622, 5.44,-5.44,,,0.2240031,1.886008,1.415855,,,0.2197917,1.859413,1.412173,,14.5400465363543,2.69093650997834,12.0444577000705
0.633, 5.52,-5.52,,,0.2205521,1.887555,1.412861,,,0.2163494,1.86055,1.409188,,13.8684203935783,2.26269689442691,11.8445500214582
0.644, 5.61,-5.61,,,0.2169598,1.889177,1.409501,,,0.2127491,1.861709,1.405847,,13.1486875222693,1.81034863276692,11.6383807670985
0.655, 5.6,-5.6,,,0.2134455,1.89015,1.406575,,,0.2093051,1.862713,1.402991,,12.4924711396056,1.42916571091453,11.4530973768659
0.666, 5.47,-5.47,,,0.2097488,1.89056,1.403284,,,0.2057475,1.863722,1.399814,,11.7964356089626,1.11750109283024,11.3290329704606
0.678, 5.33,-5.33,,,0.2053134,1.890991,1.399541,,,0.2014522,1.864838,1.396163,,10.9748834029823,1.11329060148921,11.2648607836731
0.688, 5.23,-5.23,,,0.2018858,1.891461,1.395175,,,0.1981242,1.865798,1.391828,,10.2117241901388,1.7148632311575,11.2685140810038
0.7, 4.98,-4.98,,,0.1971723,1.891333,1.38997,,,0.1936177,1.866907,1.386744,,9.25319083661847,2.60579244137137,11.2881585582837
0.711, 4.75,-4.75,,,0.1933096,1.891103,1.384581,,,0.1899614,1.867806,1.381458,,8.39262373741111,3.55853464841033,11.2900249074225
0.722, 4.55,-4.55,,,0.1898017,1.890804,1.380856,,,0.1866475,1.868453,1.377873,,7.71479919813581,4.12312297869095,11.1645423830302
0.733, 4.39,-4.39,,,0.1872441,1.890462,1.37785,,,0.1842692,1.868895,1.375051,,7.2148250959357,4.37201805332784,10.8974060080619
0.744, 4.12,-4.12,,,0.1846945,1.889508,1.37597,,,0.1819608,1.869234,1.373405,,6.80869949786727,4.48226882940806,10.6481732659573
0.755, 3.98,-3.98,,,0.1812403,1.889256,1.373137,,,0.1786486,1.869699,1.370709,,6.20478742175165,4.8557102656602,10.4644463050385
