経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.81,-0.81,,,0.392859,1.637106,1.273508,,,0.3927777,1.633076,1.273314,,45.0005395849294,43.9122924049437,3.21095444207032
0.01, 0.3,-0.3,,,0.3969433,1.630414,1.275592,,,0.39693,1.628923,1.275522,,45.0005395849294,44.5512668293011,2.96596730274699
0.021, 0.09,0.09,,,0.4013986,1.62403,1.278099,,,0.4013977,1.624455,1.278116,,45.0005395849294,45.1580778937519,2.58996988171251
0.032, 0.84,0.84,,,0.4046103,1.617074,1.279058,,,0.4045623,1.621291,1.279221,,45.0005395849294,45.693755955071,2.54260486901405
0.043, 2.07,2.07,,,0.403609,1.612046,1.277059,,,0.4034792,1.622374,1.277466,,45.0005395849294,45.763085788312,2.60932044742291
0.054, 3.3,3.3,,,0.4018526,1.607732,1.274903,,,0.4016597,1.624194,1.275602,,45.0005395849294,45.7215582393139,2.76442101910973
0.065, 4.5,4.5,,,0.3998325,1.603745,1.273694,,,0.3996442,1.626209,1.274675,,45.0005395849294,45.5338134197276,2.7916196854015
0.077, 5.78,5.78,,,0.3974366,1.599669,1.270671,,,0.3973052,1.628548,1.272075,,45.0005395849294,45.3277295427302,3.04561840531024
0.088, 7.06,7.06,,,0.393168,1.597306,1.267425,,,0.3933197,1.632534,1.269354,,45.0005395849294,44.8396237476564,3.39401823432785
0.099, 8.09,8.09,,,0.3915783,1.593647,1.265285,,,0.3918554,1.633998,1.267781,,45.0005395849294,44.7171687045294,3.80976543423496
0.111, 8.25,8.25,,,0.3862357,1.597569,1.262833,,,0.387117,1.638736,1.265545,,45.0005395849294,43.9028496686789,4.20118435476912
0.121, 8.4,8.4,,,0.3767444,1.605321,1.260608,,,0.3786845,1.647169,1.263503,,45.0005395849294,42.4950520972664,4.97027430608126
0.132, 8.05,8.05,,,0.376457,1.607214,1.261286,,,0.3785476,1.647306,1.264084,,45.0005395849294,42.1685280828912,5.1803184120266
0.143, 7.34,7.34,,,0.3780776,1.609375,1.263587,,,0.3799137,1.64594,1.266134,,45.0005395849294,42.2779033141215,5.11258897744102
0.154, 6.53,6.53,,,0.380048,1.611707,1.26627,,,0.3816292,1.644224,1.268432,,45.0005395849294,42.3546507325947,4.91322557951308
0.167, 5.52,5.52,,,0.3814735,1.615547,1.268919,,,0.3827995,1.643054,1.270568,,45.0005395849294,42.352854392893,4.59772335571738
0.177, 4.51,4.51,,,0.3826315,1.619639,1.273645,,,0.3837283,1.642125,1.274776,,45.0005395849294,42.2869806352759,4.19058902411398
0.188, 3.75,3.75,,,0.3859449,1.620382,1.275851,,,0.3867601,1.639093,1.276719,,45.0005395849294,42.5724927799211,3.82786628880543
0.199, 3.32,3.32,,,0.3912361,1.617543,1.278395,,,0.3917209,1.634133,1.279125,,45.0005395849294,43.3848413062509,3.2332533015426
0.21, 2.91,2.91,,,0.394065,1.616934,1.281401,,,0.3943933,1.63146,1.281987,,45.0005395849294,43.7537671338136,2.8665545424741
0.221, 2.97,2.97,,,0.3939282,1.616752,1.280986,,,0.3942428,1.631611,1.281595,,45.0005395849294,43.8371944771092,2.8634115883263
0.233, 3.27,3.27,,,0.3927601,1.616379,1.280773,,,0.3931525,1.632701,1.281474,,45.0005395849294,43.6780579040654,3.03621942494362
0.244, 3.45,3.45,,,0.3915086,1.616627,1.279165,,,0.3919763,1.633877,1.279946,,45.0005395849294,43.5090038966228,3.23833538903049
0.254, 3.73,3.73,,,0.3897648,1.616908,1.277687,,,0.3903411,1.635512,1.278611,,45.0005395849294,43.3003860195139,3.56524082677161
0.265, 3.97,3.97,,,0.3883874,1.616982,1.277434,,,0.3890383,1.636815,1.27849,,45.0005395849294,43.2067680342602,3.79276637452431
0.277, 4,4,,,0.3892003,1.616095,1.277059,,,0.3898136,1.63604,1.278139,,45.0005395849294,43.32759749241,3.78154650846431
0.288, 3.99,3.99,,,0.3873163,1.617901,1.277347,,,0.3880182,1.637835,1.278402,,45.0005395849294,43.0692114432986,3.84807041469492
0.299, 3.91,3.91,,,0.3901175,1.61572,1.278353,,,0.390636,1.635217,1.279365,,45.0005395849294,43.55763484216,3.5601847793792
0.31, 4.02,4.02,,,0.3907513,1.614597,1.277913,,,0.3911915,1.634662,1.278945,,45.0005395849294,43.8223012500384,3.43187946594752
0.321, 3.91,3.91,,,0.3930199,1.612969,1.280713,,,0.3933441,1.632509,1.281622,,45.0005395849294,44.1133902439857,3.06420206886424
0.332, 3.86,3.86,,,0.3953593,1.611033,1.281556,,,0.3955389,1.630315,1.282416,,45.0005395849294,44.5241509790507,2.85341304543328
0.343, 3.88,3.88,,,0.3954873,1.610837,1.281584,,,0.3956294,1.630224,1.282442,,45.0005395849294,44.6368251915583,2.81737526082784
0.354, 3.93,3.93,,,0.3967757,1.609359,1.281739,,,0.3968591,1.628994,1.282575,,45.0005395849294,44.8090688972546,2.70015897264851
0.366, 4.14,4.14,,,0.3963726,1.608704,1.28244,,,0.3964546,1.629399,1.283325,,45.0005395849294,44.82563893572,2.7084104812665
0.377, 4.21,4.21,,,0.3958544,1.608852,1.280452,,,0.3959906,1.629863,1.281412,,45.0005395849294,44.6891000429164,2.89096627821864
0.388, 4.27,4.27,,,0.3945798,1.60975,1.279953,,,0.3947837,1.63107,1.280951,,45.0005395849294,44.5158762051015,2.97887550614546
0.399, 4.47,4.47,,,0.3940514,1.609237,1.279524,,,0.3942932,1.63156,1.28059,,45.0005395849294,44.4460921642934,3.04825251037904
0.409, 4.57,4.57,,,0.3928035,1.609959,1.278929,,,0.3930855,1.632768,1.28005,,45.0005395849294,44.3622515945645,3.14472914316418
0.421, 4.56,4.56,,,0.3928111,1.609997,1.279309,,,0.3930936,1.63276,1.280408,,45.0005395849294,44.3572621415147,3.09838289584076
0.432, 4.29,4.29,,,0.3898247,1.614126,1.279422,,,0.3902801,1.635573,1.280412,,45.0005395849294,43.8472280247207,3.13812328320354
0.443, 4.02,4.02,,,0.3883089,1.616975,1.279804,,,0.3888092,1.637044,1.280738,,45.0005395849294,43.6369196758392,3.24612479267531
0.456, 4.02,4.02,,,0.3909922,1.614405,1.280008,,,0.3913658,1.634488,1.280946,,45.0005395849294,43.9989333521543,3.11388721138183
0.465, 3.89,3.89,,,0.391434,1.614692,1.28033,,,0.391744,1.63411,1.281252,,45.0005395849294,44.1518305475649,3.1044425541264
0.476, 3.71,3.71,,,0.3911873,1.615841,1.281214,,,0.3914661,1.634387,1.282081,,45.0005395849294,44.2029476818908,3.05005034418461
0.487, 3.47,3.47,,,0.3911027,1.617142,1.281738,,,0.3913683,1.634485,1.282528,,45.0005395849294,44.1838709640698,2.98871652780513
0.499, 3.5,3.5,,,0.390251,1.617827,1.282419,,,0.3905295,1.635324,1.283213,,45.0005395849294,44.1486647549727,2.98963348067569
0.51, 3.42,3.42,,,0.3887763,1.619736,1.282485,,,0.3890587,1.636795,1.283256,,45.0005395849294,44.1120651873236,2.9915316328819
0.521, 3.28,3.28,,,0.3861597,1.623017,1.283187,,,0.3864607,1.639393,1.28392,,45.0005395849294,44.0062075034179,3.00133124652087
0.533, 3.17,3.17,,,0.3833302,1.626371,1.283996,,,0.3836581,1.642195,1.284692,,45.0005395849294,43.8703789502683,3.01012383417212
0.543, 3.07,3.07,,,0.3798153,1.630337,1.284593,,,0.3801734,1.64568,1.285266,,45.0005395849294,43.7203606795127,3.06752239448212
0.555, 2.92,2.92,,,0.373773,1.637011,1.284181,,,0.3742625,1.651591,1.284827,,45.0005395849294,43.1373015972397,3.38246155457378
0.566, 3.09,3.09,,,0.3726378,1.637389,1.283855,,,0.3730543,1.652799,1.284569,,45.0005395849294,43.5167493309261,3.28735693599999
0.577, 3.09,3.09,,,0.3722391,1.637776,1.283989,,,0.3726248,1.653229,1.284699,,45.0005395849294,43.6336514304123,3.21668048831298
0.588, 3.09,3.09,,,0.3687504,1.641343,1.285784,,,0.3691014,1.656752,1.286441,,45.0005395849294,43.7493001902208,2.99068084746708
0.599, 2.94,2.94,,,0.365156,1.645699,1.286709,,,0.3654837,1.66037,1.287294,,45.0005395849294,43.7677553608446,2.83627972982049
0.61, 3.06,3.06,,,0.3612654,1.648935,1.28836,,,0.3616135,1.66424,1.288925,,45.0005395849294,43.7382045482228,2.69943390539961
0.621, 3.19,3.19,,,0.3575371,1.652009,1.288995,,,0.3578986,1.667955,1.289576,,45.0005395849294,43.7411551898622,2.6739340351732
0.632, 2.98,2.98,,,0.3497377,1.660732,1.28968,,,0.3502437,1.67561,1.290203,,45.0005395849294,43.0900879159158,2.98675092748275
0.643, 3.23,3.23,,,0.3483142,1.660986,1.289192,,,0.3487419,1.677112,1.289796,,45.0005395849294,43.5227735576064,2.83407037712888
0.655, 3.39,3.39,,,0.3445926,1.663892,1.290542,,,0.3450191,1.680834,1.291171,,45.0005395849294,43.5996268440087,2.78016673914256
0.666, 3.38,3.38,,,0.3399226,1.668596,1.292358,,,0.3403856,1.685468,1.292926,,45.0005395849294,43.4621931964488,2.68503800146394
0.677, 3.42,3.42,,,0.3337452,1.674417,1.292439,,,0.3343401,1.691513,1.292995,,45.0005395849294,43.0393532721728,2.90319637191745
