経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.11,-0.11,,,0.1883533,1.800844,1.225974,,,0.1881149,1.800352,1.226005,,44.8235181620417,28.2385471960367,26.0124212678424
0.011, 0.87,0.87,,,0.1858598,1.79657,1.226072,,,0.1877494,1.800489,1.225833,,44.8235181620417,28.3298121811867,25.8882774604902
0.023, 1.88,1.88,,,0.1836884,1.79208,1.226449,,,0.187747,1.800563,1.225936,,44.8235181620417,28.4011483824405,25.7138395565841
0.033, 2.76,2.76,,,0.1826383,1.78782,1.227077,,,0.1885304,1.800282,1.226322,,44.8235181620417,28.4704867534177,25.4547875640473
0.044, 3.57,3.57,,,0.1815213,1.784344,1.228167,,,0.1890769,1.800496,1.22717,,44.8235181620417,28.4863362069456,25.2287697805119
0.056, 4.3,4.3,,,0.1813929,1.781275,1.230107,,,0.1904216,1.800728,1.228843,,44.8235181620417,28.3795735230001,25.0765641417355
0.067, 4.69,4.69,,,0.1817886,1.779535,1.231535,,,0.1915787,1.800782,1.230077,,44.8235181620417,28.2480736021164,24.9425916924411
0.077, 5.06,5.06,,,0.1819205,1.777994,1.232824,,,0.1924408,1.800946,1.231171,,44.8235181620417,28.1176426058082,24.852817396036
0.09, 5.45,5.45,,,0.1814786,1.776247,1.233368,,,0.1927461,1.800992,1.231542,,44.8235181620417,28.0743357925808,24.724088824331
0.099, 5.72,5.72,,,0.1799749,1.775222,1.232795,,,0.1917736,1.80123,1.230906,,44.8235181620417,28.156624201864,24.6375998488252
0.111, 5.89,5.89,,,0.178745,1.774384,1.231818,,,0.1908863,1.801173,1.229937,,44.8235181620417,28.2806501884563,24.6012273849597
0.122, 5.49,5.49,,,0.1783553,1.776311,1.230629,,,0.1897506,1.801252,1.228914,,44.8235181620417,28.2977922552487,24.7626503637645
0.133, 5.33,5.33,,,0.1786427,1.777236,1.230801,,,0.1897243,1.801421,1.229125,,44.8235181620417,28.2541490552141,24.8271768666053
0.145, 5.44,5.44,,,0.1780944,1.777323,1.231381,,,0.1894014,1.802005,1.229629,,44.8235181620417,28.1724907308644,24.833643348022
0.156, 5.71,5.71,,,0.1776137,1.777111,1.233088,,,0.1894328,1.803041,1.231126,,44.8235181620417,27.9790461185744,24.7582380616834
0.167, 5.84,5.84,,,0.1787924,1.776472,1.234517,,,0.1907758,1.802999,1.232409,,44.8235181620417,27.8554231131318,24.5972470923316
0.177, 5.94,5.94,,,0.1797525,1.775985,1.235777,,,0.1918769,1.803019,1.233538,,44.8235181620417,27.7419497685135,24.4716535773684
0.188, 5.85,5.85,,,0.1800954,1.776567,1.236179,,,0.1920065,1.803184,1.233901,,44.8235181620417,27.6217947915256,24.4486580386202
0.2, 5.8,5.8,,,0.1801069,1.777371,1.236973,,,0.1919262,1.803772,1.234653,,44.8235181620417,27.50865441862,24.4768872096743
