経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.92,-0.92,,,0.5109186,1.517749,1.300129,,,0.5093753,1.513451,1.29961,,45.0005634905908,26.0149057490839,20.8342022851536
0.01, 0.66,-0.66,,,0.5101495,1.516864,1.300952,,,0.509047,1.513779,1.300581,,45.0005634905908,26.0829907803832,20.7473325266121
0.021, 0.59,-0.59,,,0.5099136,1.516656,1.302582,,,0.5089302,1.513896,1.302254,,45.0005634905908,26.1308823579634,20.6661625607745
0.032, 0.63,-0.63,,,0.5103559,1.516442,1.303997,,,0.5093158,1.513511,1.303655,,45.0005634905908,26.1737605768322,20.562432480736
0.044, 0.75,-0.75,,,0.5106526,1.516913,1.304565,,,0.5094136,1.513413,1.304162,,45.0005634905908,26.197937738274,20.4994103270181
0.055, 0.77,-0.77,,,0.5108517,1.516829,1.305654,,,0.509584,1.513243,1.305245,,45.0005634905908,26.2092058425437,20.4567131081572
0.065, 0.76,-0.76,,,0.5102108,1.51746,1.30567,,,0.5089451,1.513881,1.305262,,45.0005634905908,26.2036067951273,20.4611493158997
0.077, 0.94,-0.94,,,0.5106141,1.518171,1.305309,,,0.5090557,1.513771,1.304803,,45.0005634905908,26.186423747201,20.5014969497514
0.088, 1.02,-1.02,,,0.5104417,1.518873,1.305101,,,0.508743,1.514083,1.304549,,45.0005634905908,26.1693243690898,20.530690884999
0.1, 1.08,-1.08,,,0.5092642,1.520411,1.304558,,,0.5074654,1.515361,1.303969,,45.0005634905908,26.1063380738639,20.6249304174498
0.11, 1.05,-1.05,,,0.5083347,1.521186,1.304088,,,0.5065734,1.516253,1.303507,,45.0005634905908,26.0777793461915,20.6826660048972
0.122, 1.06,-1.06,,,0.5084524,1.521093,1.3039,,,0.5066861,1.51614,1.303315,,45.0005634905908,26.104359026607,20.6697245043275
0.132, 0.88,-0.88,,,0.5075506,1.520878,1.303178,,,0.5060814,1.516745,1.302689,,45.0005634905908,26.160976170609,20.6209740304831
0.143, 0.9,-0.9,,,0.5072706,1.521264,1.303046,,,0.5057772,1.517049,1.302547,,45.0005634905908,26.2231906544801,20.5651935846312
0.155, 0.63,-0.63,,,0.5057439,1.521047,1.302185,,,0.5047097,1.518117,1.301837,,45.0005634905908,26.2911766480392,20.5072206481166
0.166, 0.34,-0.34,,,0.5040914,1.520905,1.301869,,,0.5035264,1.5193,1.301678,,45.0005634905908,26.3434412541138,20.4675577407101
0.176, 0.04,0.04,,,0.5017913,1.520777,1.300804,,,0.5018586,1.520968,1.300827,,45.0005634905908,26.3940973506835,20.4407799848142
0.188, 0.32,0.32,,,0.5002729,1.520519,1.300102,,,0.5008004,1.522026,1.300284,,45.0005634905908,26.4785850808182,20.4025889831328
0.199, 0.6,0.6,,,0.49805,1.520949,1.300213,,,0.4990399,1.523787,1.30056,,45.0005634905908,26.5378233098413,20.3767503782217
0.21, 0.8,0.8,,,0.4961879,1.521589,1.300333,,,0.4974937,1.525333,1.300789,,45.0005634905908,26.5366912060179,20.3598354152129
0.221, 0.9,0.9,,,0.494807,1.522339,1.300789,,,0.4962774,1.526549,1.301296,,45.0005634905908,26.4991815156872,20.3567720754554
0.232, 1,1,,,0.4921528,1.524335,1.301139,,,0.493795,1.529032,1.301698,,45.0005634905908,26.4633913254323,20.3541322074146
0.243, 1.11,1.11,,,0.490088,1.525699,1.301063,,,0.4919136,1.530913,1.301683,,45.0005634905908,26.4378993526119,20.3756029064731
0.255, 1.22,1.22,,,0.4875485,1.527564,1.300092,,,0.4895489,1.533278,1.300776,,45.0005634905908,26.4461502208997,20.3836352087135
0.266, 1.22,1.22,,,0.4858649,1.529267,1.299684,,,0.4878568,1.53497,1.30037,,45.0005634905908,26.4935244116646,20.3589321227203
0.277, 1.31,1.31,,,0.4836286,1.530937,1.299303,,,0.4857624,1.537064,1.300043,,45.0005634905908,26.5526550652112,20.3169367057771
0.288, 1.21,1.21,,,0.4818501,1.533345,1.298698,,,0.4838194,1.539007,1.29938,,45.0005634905908,26.5704886886379,20.2887280252899
0.299, 1.2,1.2,,,0.4794119,1.535833,1.299308,,,0.4813669,1.54146,1.299974,,45.0005634905908,26.5628986411339,20.2353193625612
0.31, 1.08,1.08,,,0.4777228,1.538251,1.299523,,,0.4794878,1.543339,1.300112,,45.0005634905908,26.5624700467754,20.1677534256244
0.321, 0.99,0.99,,,0.4757655,1.540818,1.300065,,,0.4773738,1.545453,1.300594,,45.0005634905908,26.5327706775434,20.1474284907673
0.333, 0.9,0.9,,,0.4737471,1.543386,1.300141,,,0.4752147,1.547612,1.300621,,45.0005634905908,26.5121981483358,20.1500649437136
0.343, 0.91,0.91,,,0.4718103,1.545256,1.299796,,,0.4732954,1.549531,1.300284,,45.0005634905908,26.5159837805779,20.1628493499368
0.355, 0.84,0.84,,,0.4696257,1.547866,1.299086,,,0.4710039,1.551823,1.299543,,45.0005634905908,26.4905071756827,20.2337586643793
0.366, 0.79,0.79,,,0.4665466,1.551287,1.298575,,,0.4678409,1.554986,1.299007,,45.0005634905908,26.4180337479638,20.3307610082725
0.377, 0.63,0.63,,,0.4640794,1.554751,1.29859,,,0.465119,1.557707,1.298934,,45.0005634905908,26.3272519986841,20.4066734361429
0.388, 0.65,0.65,,,0.4612165,1.557481,1.298777,,,0.4622933,1.560533,1.29913,,45.0005634905908,26.2644859770528,20.4425302207403
