経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.23,-0.23,,,0.1025707,1.788469,1.616599,,,0.1023863,1.787356,1.61635,,38.2053450782227,26.7533960268791,15.7578538635533
0.01, 0.46,0.46,,,0.1004927,1.784118,1.617177,,,0.1008549,1.786321,1.617677,,38.4456516171042,26.8779633059481,15.8580441981529
0.022, 0.8,0.8,,,0.09957106,1.781248,1.618329,,,0.1002092,1.785107,1.619212,,38.726003553975,27.0877132868805,15.9720263918502
0.033, 1.21,1.21,,,0.09782434,1.778472,1.618918,,,0.09879209,1.784269,1.620256,,38.9184612039574,27.2656550777332,16.1054473033845
0.048, 1.54,1.54,,,0.09632207,1.776214,1.619318,,,0.09756619,1.783626,1.621047,,39.0658020406328,27.3580743648209,16.2372136016383
0.055, 2.26,2.26,,,0.09578297,1.773237,1.617871,,,0.09760602,1.784106,1.620448,,38.9557711112604,27.0533659740476,16.4009520145073
0.066, 2.84,2.84,,,0.09497924,1.770738,1.616849,,,0.09724644,1.784355,1.620133,,38.898858561585,26.7897872737642,16.5410221150136
0.077, 3.65,3.65,,,0.09506425,1.767536,1.614957,,,0.09794478,1.785056,1.619262,,38.7377446488315,26.3354140745151,16.6783191587939
0.088, 4.29,4.29,,,0.09460734,1.765497,1.612873,,,0.09793964,1.786061,1.617993,,38.5057811857891,25.9112883671636,16.7541052281682
0.1, 4.78,4.78,,,0.09438965,1.764169,1.610947,,,0.09807435,1.787088,1.616686,,38.2676534771923,25.5867263245729,16.781817012407
0.11, 5.01,5.01,,,0.09388214,1.763539,1.61005,,,0.09773587,1.787558,1.61608,,38.1581894535052,25.4631528380004,16.8022204944374
0.122, 5.36,5.36,,,0.09379692,1.762968,1.608202,,,0.09792724,1.788662,1.614658,,37.9000424610082,25.2104238929117,16.8185634291191
0.134, 5.41,5.41,,,0.09383081,1.763553,1.607101,,,0.0979953,1.789472,1.613605,,37.7097670564048,25.0437980176515,16.8035199378908
0.144, 5.19,5.19,,,0.09371057,1.765395,1.606346,,,0.09771489,1.790269,1.612557,,37.5214860669837,24.9526884193007,16.7573632283116
0.154, 5.18,5.18,,,0.093614,1.766635,1.604768,,,0.0976195,1.791481,1.610955,,37.2338804694161,24.7320972209099,16.7326498970349
0.166, 5.35,5.35,,,0.0935499,1.767868,1.601897,,,0.09768227,1.793494,1.60826,,36.7520721085818,24.3200216744664,16.7035993957559
0.177, 5.6,5.6,,,0.09341604,1.77093,1.595733,,,0.09775054,1.797782,1.602354,,35.7064623833034,23.4488583908302,16.6302978076232
0.189, 5.56,5.56,,,0.0935079,1.777164,1.587097,,,0.09784254,1.803855,1.593582,,34.1781768631902,22.2554638665927,16.4985895659756
0.2, 5.38,5.38,,,0.09258562,1.782952,1.579904,,,0.09683383,1.808775,1.586072,,32.8940193726927,21.4159841220874,16.3806680607841
0.211, 5.13,5.13,,,0.09208472,1.788824,1.572806,,,0.09620112,1.813448,1.578583,,31.6311823170961,20.6157369830828,16.2745832730949
0.222, 4.9,4.9,,,0.09151688,1.795344,1.563885,,,0.09552519,1.818921,1.569315,,30.0916987021503,19.6121243822948,16.177799495249
0.233, 4.74,4.74,,,0.0914241,1.801072,1.555254,,,0.09533793,1.823865,1.56043,,28.6361410342955,18.6003565358648,16.0924289631887
0.244, 4.88,4.88,,,0.09130023,1.806221,1.543995,,,0.09536532,1.829679,1.54925,,26.83151460579,17.3168752340763,16.0108628463902
0.255, 4.86,4.86,,,0.09097811,1.811465,1.533344,,,0.09507866,1.834848,1.538508,,25.1256236816312,16.220302053724,15.9435171830479
0.266, 4.92,4.92,,,0.09071237,1.816058,1.522384,,,0.09491193,1.839738,1.527522,,23.404750737945,15.2016305937825,15.848719282648
0.277, 5.06,5.06,,,0.09058574,1.819968,1.511076,,,0.09495048,1.844351,1.516257,,21.6618948310268,14.2446203724047,15.7200965788722
0.289, 5.25,5.25,,,0.08991389,1.823247,1.49974,,,0.09448239,1.848558,1.505008,,19.9453897931933,13.4497622525053,15.5919639411556
0.299, 5.59,5.59,,,0.09006832,1.825834,1.486962,,,0.09496135,1.852816,1.492471,,18.0475876341705,12.5294395374596,15.4621818128005
0.311, 6,6,,,0.09035075,1.827772,1.473818,,,0.09560847,1.856706,1.479633,,16.1237556249452,11.7046566520918,15.3465245152558
0.322, 6.51,6.51,,,0.09054171,1.828877,1.45975,,,0.096222,1.86033,1.465989,,14.0996957150809,10.9849604930486,15.2028019711925
0.333, 7.02,7.02,,,0.09111053,1.829459,1.446127,,,0.09721944,1.863367,1.45273,,12.1469216338267,10.547772049273,15.0424837754553
0.344, 7.41,7.41,,,0.09161741,1.830063,1.432756,,,0.09806746,1.865912,1.439585,,10.2258148700044,10.4174281378742,14.866309296001
0.355, 7.82,7.82,,,0.09208001,1.830081,1.420021,,,0.09888667,1.867912,1.427073,,8.40795836544471,10.550626214493,14.7056922794959
0.366, 8.16,8.16,,,0.0925964,1.830091,1.406317,,,0.09970842,1.869615,1.413571,,6.45615843989377,10.9876840309043,14.5944677745992
0.377, 8.67,8.67,,,0.09401791,1.828754,1.393551,,,0.1015485,1.870768,1.401178,,4.67399180718832,11.4630515235306,14.4907906285254
0.388, 8.98,8.98,,,0.09483381,1.828025,1.380252,,,0.1026027,1.871562,1.388053,,2.80316569298528,12.2907244326105,14.3694113401628
0.4, 9.32,9.32,,,0.0950004,1.826697,1.367226,,,0.1030369,1.871923,1.375187,,1.00697102605376,13.3076746849291,14.2195049137518
0.411, 9.42,9.42,,,0.09548336,1.82611,1.353912,,,0.1036123,1.871857,1.361777,,1.06716217316123,14.4782435713692,14.0635238880168
0.422, 9.52,9.52,,,0.09557363,1.825105,1.340387,,,0.1038301,1.871331,1.34816,,2.96471289585214,15.8395873199818,13.9549392511608
