経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.18,-0.18,,,-0.1103447,1.807048,1.15173,,,-0.110369,1.806152,1.151805,,45.7999961295596,41.3131117999483,4.76986503546576
0.009, 2.23,2.23,,,-0.1043987,1.795838,1.153479,,,-0.1043155,1.806953,1.152577,,45.7999961295596,41.4131228420872,4.40935528138671
0.021, 4.17,4.17,,,-0.1016618,1.786553,1.154599,,,-0.1017661,1.807355,1.152965,,45.7999961295596,41.5598967730772,4.25049575788346
0.032, 6.19,6.19,,,-0.09836029,1.774322,1.153112,,,-0.09893301,1.805201,1.150888,,45.7999961295596,41.940567110591,4.01258874976806
0.043, 7.43,7.43,,,-0.09832092,1.769293,1.15468,,,-0.09911913,1.80634,1.151986,,45.7999961295596,41.9055453165963,4.09815863796925
0.054, 8.48,8.48,,,-0.100783,1.763333,1.154335,,,-0.1015659,1.805619,1.151291,,45.7999961295596,41.9448291485145,4.00799843588672
0.066, 7.05,7.05,,,-0.1122682,1.771487,1.155109,,,-0.1119926,1.806604,1.152241,,45.7999961295596,41.3837257087175,4.44082580399862
0.076, 5.18,5.18,,,-0.1209617,1.778988,1.152689,,,-0.1201806,1.804758,1.150461,,45.7999961295596,41.138685848873,4.99927998424503
0.088, 4.96,4.96,,,-0.1225003,1.780732,1.153346,,,-0.1216131,1.805413,1.151092,,45.7999961295596,40.8748629693336,5.37304713513415
0.099, 5.23,5.23,,,-0.1208003,1.778394,1.15251,,,-0.1199901,1.804423,1.150138,,45.7999961295596,40.8748527240501,5.26462386149287
0.11, 5.16,5.16,,,-0.119877,1.778401,1.152178,,,-0.1190975,1.804091,1.149819,,45.7999961295596,40.8333422505245,5.28739016202347
0.121, 5.2,5.2,,,-0.1181814,1.778852,1.152889,,,-0.1173766,1.80473,1.150434,,45.7999961295596,40.6618806014664,5.46500709201289
0.131, 5.47,5.47,,,-0.1154079,1.778884,1.154352,,,-0.1146021,1.806082,1.151738,,45.7999961295596,40.5882579944516,5.50555621643958
0.142, 5.54,5.54,,,-0.1130729,1.779258,1.155099,,,-0.1123152,1.806831,1.152459,,45.7999961295596,40.6068087877211,5.44773183653536
0.154, 5.46,5.46,,,-0.1129134,1.779207,1.154587,,,-0.1121369,1.806376,1.152021,,45.7999961295596,40.6809573192874,5.39731821167439
0.165, 5.34,5.34,,,-0.1125272,1.779194,1.15388,,,-0.1117141,1.80575,1.151417,,45.7999961295596,40.782423191679,5.34118729175038
0.176, 5.28,5.28,,,-0.1111143,1.779204,1.153576,,,-0.1102804,1.805483,1.15116,,45.7999961295596,40.831638118374,5.31809783790368
0.187, 5.36,5.36,,,-0.1096381,1.779232,1.15399,,,-0.1087608,1.805897,1.15156,,45.7999961295596,40.8770110637678,5.30086270978641
0.198, 5.43,5.43,,,-0.1081952,1.779266,1.154394,,,-0.107274,1.806301,1.151948,,45.7999961295596,40.9197168203649,5.28753829174697
0.21, 5.66,5.66,,,-0.1062826,1.778612,1.15493,,,-0.1053211,1.806767,1.152397,,45.7999961295596,40.9471844253477,5.26380466570209
0.22, 5.68,5.68,,,-0.1045252,1.778692,1.155124,,,-0.103546,1.806952,1.152576,,45.7999961295596,40.9368298588541,5.28501752512656
0.232, 5.5,5.5,,,-0.103096,1.778907,1.154368,,,-0.1020804,1.806258,1.151908,,45.7999961295596,40.9558519351633,5.32726437840158
0.243, 5.44,5.44,,,-0.1018803,1.778397,1.15357,,,-0.1008333,1.805469,1.151146,,45.7999961295596,40.9840776911229,5.34045347332185
0.254, 5.4,5.4,,,-0.1009948,1.778072,1.153079,,,-0.09989247,1.804964,1.15066,,45.7999961295596,40.9639354638211,5.41981813483476
0.265, 5.17,5.17,,,-0.1000305,1.777812,1.151636,,,-0.09892146,1.803544,1.149291,,45.7999961295596,40.9032697253012,5.53211796760897
0.276, 5.12,5.12,,,-0.09839572,1.777461,1.151067,,,-0.09727913,1.802938,1.148707,,45.7999961295596,40.8201873065491,5.62667595762095
0.287, 5.12,5.12,,,-0.09715004,1.776795,1.150483,,,-0.09598911,1.802253,1.148047,,45.7999961295596,40.6528032803121,5.82601544988747
0.298, 4.89,4.89,,,-0.09657022,1.776697,1.149196,,,-0.09538673,1.800993,1.146832,,45.7999961295596,40.5715615974901,5.98729883670498
0.31, 4.66,4.66,,,-0.09526524,1.77663,1.147984,,,-0.09410304,1.799777,1.145659,,45.7999961295596,40.3987783068645,6.18405651753708
0.321, 4.17,4.17,,,-0.09366059,1.776977,1.145801,,,-0.09260592,1.797715,1.143671,,45.7999961295596,40.2736287541849,6.31394707514232
0.332, 3.85,3.85,,,-0.09268764,1.776863,1.144042,,,-0.09170088,1.795994,1.142013,,45.7999961295596,40.085781481764,6.50194930747576
0.343, 3.61,3.61,,,-0.09073139,1.775895,1.14185,,,-0.08981511,1.79381,1.139907,,45.7999961295596,39.9494030984014,6.61171001749667
0.354, 3.24,3.24,,,-0.0895738,1.775824,1.139844,,,-0.08872816,1.791887,1.138053,,45.7999961295596,39.7814794872349,6.80457875947831
0.365, 2.64,2.64,,,-0.08867206,1.776469,1.137316,,,-0.08795232,1.789564,1.135814,,45.7999961295596,39.6109160080278,7.0230017997548
0.376, 2.4,2.4,,,-0.08627933,1.775583,1.135199,,,-0.08562141,1.787482,1.133807,,45.7999961295596,39.4822967193464,7.1476753736398
0.387, 2.41,2.41,,,-0.08292697,1.772568,1.132321,,,-0.08231318,1.784507,1.13094,,45.7999961295596,39.5424706842597,6.9863164278567
0.398, 2.47,2.47,,,-0.08056331,1.770127,1.130307,,,-0.07994801,1.782371,1.12888,,45.7999961295596,39.4883107007432,7.00501919283103
0.409, 2.62,2.62,,,-0.07638261,1.765675,1.126811,,,-0.07580952,1.77867,1.125312,,45.7999961295596,39.5384374576671,6.80535697413521
0.421, 2.84,2.84,,,-0.07380119,1.762678,1.12511,,,-0.07320385,1.776752,1.123464,,45.7999961295596,39.439847094836,6.85889711800176
0.432, 3.36,3.36,,,-0.06865153,1.755851,1.121304,,,-0.06808805,1.772549,1.119412,,45.7999961295596,39.6239036123731,6.50381907170902
0.443, 3.9,3.9,,,-0.06579768,1.753356,1.121857,,,-0.06517965,1.772702,1.119559,,45.7999961295596,39.3117434854227,6.77074285704528
0.454, 3.69,3.69,,,-0.06429703,1.749865,1.117383,,,-0.06368439,1.76818,1.1152,,45.7999961295596,39.2912973147112,6.81693286379579
0.465, 3.68,3.68,,,-0.06293279,1.748798,1.116336,,,-0.06226776,1.767036,1.114098,,45.7999961295596,39.0988362496343,7.05710706776572
0.478, 3.55,3.55,,,-0.06100186,1.745021,1.111965,,,-0.06034721,1.762609,1.10983,,45.7999961295596,39.1744191208864,6.99958449683705
0.488, 3.7,3.7,,,-0.05868362,1.7434,1.111309,,,-0.05795848,1.761749,1.109,,45.7999961295596,38.931896185681,7.27599456089284
0.498, 3.4,3.4,,,-0.05635105,1.742035,1.108421,,,-0.05565379,1.758908,1.106261,,45.7999961295596,38.8146491616512,7.42404488344852
0.51, 3.39,3.39,,,-0.053935,1.74143,1.107845,,,-0.05318581,1.758207,1.105586,,45.7999961295596,38.4515665607608,7.83766832146967
0.52, 3.09,3.09,,,-0.05186097,1.741403,1.106252,,,-0.05111448,1.756675,1.10411,,45.7999961295596,38.1508162645013,8.21324504555167
0.532, 2.73,2.73,,,-0.04900979,1.740854,1.103789,,,-0.04831998,1.754337,1.101855,,45.7999961295596,37.982670672193,8.42273035666108
0.543, 2.62,2.62,,,-0.04460523,1.73914,1.101594,,,-0.04396081,1.752111,1.09971,,45.7999961295596,37.8747571014044,8.49107152004717
0.554, 2.26,2.26,,,-0.04163052,1.738521,1.09902,,,-0.04105212,1.749683,1.097369,,45.7999961295596,37.7331706989446,8.67217312707681
0.565, 1.97,1.97,,,-0.03755362,1.737552,1.096485,,,-0.03704147,1.747265,1.095038,,45.7999961295596,37.678891187121,8.74376887551184
0.576, 1.77,1.77,,,-0.03322541,1.735543,1.09345,,,-0.0327777,1.744272,1.092153,,45.7999961295596,37.6900312253473,8.70091285475717
0.587, 1.32,1.32,,,-0.02966514,1.734669,1.090178,,,-0.02931617,1.741209,1.0892,,45.7999961295596,37.6472844876163,8.78793714632428
0.598, 2,2,,,-0.01998594,1.723009,1.082555,,,-0.01962963,1.732925,1.081214,,45.7999961295596,38.3934211619745,7.72496849575333
0.61, 3.24,3.24,,,-0.01213292,1.716453,1.08296,,,-0.01172861,1.732499,1.080803,,45.7999961295596,38.4154109553955,7.54319326133555
0.621, 4.8,4.8,,,-0.002902355,1.705282,1.080683,,,-0.002662256,1.729073,1.0775,,45.7999961295596,38.4328415976723,7.39287104717042
0.644, 5.5,5.5,,,0.00361912,1.69702,1.076341,,,0.003693368,1.724278,1.072878,,45.7999961295596,38.810626180342,6.99131228420872
0.655, 4.82,4.82,,,0.004289942,1.696963,1.072886,,,0.004882284,1.72084,1.069564,,45.7999961295596,38.1508709060132,7.79845279144132
0.666, 4.5,4.5,,,0.006280048,1.694948,1.06935,,,0.007217234,1.717205,1.06606,,45.7999961295596,37.7050132448748,8.4985386241495
0.677, 3.89,3.89,,,0.008531883,1.690858,1.061924,,,0.009430954,1.710089,1.0592,,45.7999961295596,38.0665658834337,8.24647818380722
0.688, 3.85,3.85,,,0.01189668,1.689772,1.060742,,,0.01287332,1.708774,1.057933,,45.7999961295596,37.7361828122848,8.65984292842076
0.699, 3.48,3.48,,,0.01632228,1.68549,1.054516,,,0.01721428,1.702677,1.052055,,45.7999961295596,37.9975843898308,8.42578345113512
0.709, 3.36,3.36,,,0.02212733,1.682066,1.050536,,,0.02295602,1.69866,1.048182,,45.7999961295596,38.0661526570004,8.31668313501121
0.721, 3.34,3.34,,,0.02870147,1.676717,1.045214,,,0.02945953,1.693235,1.042953,,45.7999961295596,38.3296647629412,7.97929399751609
0.732, 3.83,3.83,,,0.03716312,1.670578,1.041908,,,0.03787696,1.68953,1.039381,,45.7999961295596,38.5048864310327,7.64855148767208
0.743, 4.89,4.89,,,0.05021389,1.657878,1.035184,,,0.05063585,1.682137,1.032254,,45.7999961295596,39.1750235926111,6.70843958071747
0.754, 6.18,6.18,,,0.05901936,1.649947,1.034536,,,0.05923068,1.680604,1.030776,,45.7999961295596,39.0593440969523,6.75363109921646
0.765, 7.65,7.65,,,0.06865832,1.642068,1.035077,,,0.0685276,1.680003,1.030197,,45.7999961295596,38.7193509499085,7.08374224346664
0.776, 7.16,7.16,,,0.06519669,1.643588,1.033962,,,0.06540384,1.679112,1.029338,,45.7999961295596,38.6349400593999,7.17386616017021
0.787, 6.79,6.79,,,0.06722429,1.643947,1.032508,,,0.06778423,1.677549,1.027831,,45.7999961295596,38.1362474714071,7.73139399603621
0.798, 3.89,3.89,,,0.05873934,1.658299,1.030757,,,0.05984287,1.677461,1.027746,,45.7999961295596,37.2415336961681,9.26673168627121
0.809, 2.23,2.23,,,0.06431869,1.656687,1.019993,,,0.0649849,1.667678,1.018316,,45.7999961295596,37.5075968776929,9.09280007012327
0.82, 1.8,1.8,,,0.0695968,1.655919,1.016886,,,0.07015426,1.664779,1.015521,,45.7999961295596,37.4365424217346,9.21737759447574
0.831, 1.32,1.32,,,0.07624382,1.654855,1.01327,,,0.07665861,1.661371,1.012236,,45.7999961295596,37.1797512217501,9.47340637461538
0.842, 1.45,1.45,,,0.08648007,1.649544,1.008869,,,0.08687602,1.656709,1.007742,,45.7999961295596,37.2223545255125,9.23071524600633
0.853, 2.85,2.85,,,0.1024714,1.63565,1.003072,,,0.1029027,1.649747,1.00103,,45.7999961295596,37.8434953264432,8.1750992938723
0.864, 4.11,4.11,,,0.1150556,1.628903,1.003547,,,0.1153777,1.64922,1.000522,,45.7999961295596,37.5931654852337,8.26464904781474
0.875, 4.99,4.99,,,0.1245199,1.622335,1.002171,,,0.1247235,1.646994,0.9983762,,45.7999961295596,37.3048768687682,8.51036253504741
0.886, 5.62,5.62,,,0.1358918,1.612383,0.9958448,,,0.1359048,1.640212,0.9918386,,45.7999961295596,37.8582792704903,7.94176296284491
0.897, 5.86,5.86,,,0.1401912,1.61205,0.9971602,,,0.1404045,1.640976,0.9925748,,45.7999961295596,37.0442710082383,8.76759513599476
0.908, 4.38,4.38,,,0.1386498,1.612122,0.9889674,,,0.1392469,1.633737,0.9855961,,45.7999961295596,37.212990336421,8.75479280052547
0.919, 3.36,3.36,,,0.1394207,1.612139,0.9833974,,,0.1401414,1.628722,0.9807615,,45.7999961295596,37.0879090856312,9.11675610419681
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.06,-0.06,,,-0.1026038,1.789894,1.135793,,,-0.1025774,1.789597,1.135846,,45.7999961295596,36.1882980648936,11.0987044839052
0.011, 1.15,1.15,,,-0.100781,1.78448,1.137324,,,-0.1012981,1.7901,1.136331,,45.7999961295596,36.3580658270847,11.0376169812158
0.022, 2.3,2.3,,,-0.09968169,1.77942,1.138875,,,-0.1007304,1.790687,1.136897,,45.7999961295596,36.417047924021,11.0205509002758
0.033, 3.27,3.27,,,-0.09846704,1.774676,1.139715,,,-0.09998336,1.790733,1.136941,,45.7999961295596,36.5824751011153,10.9201445609498
0.044, 3.45,3.45,,,-0.1011187,1.774113,1.140222,,,-0.1025839,1.791066,1.137262,,45.7999961295596,36.4293388490904,10.7992228952488
0.055, 2.65,2.65,,,-0.1053407,1.778662,1.140197,,,-0.106252,1.791696,1.137869,,45.7999961295596,36.1105329482625,10.6244161611378
0.066, 2.5,2.5,,,-0.1035734,1.778839,1.139499,,,-0.1043886,1.791117,1.137311,,45.7999961295596,36.1166801183444,10.5304831334175
0.077, 3.64,3.64,,,-0.09754321,1.777533,1.144644,,,-0.09887996,1.795398,1.141438,,45.7999961295596,36.0914835511974,10.7707521062595
0.088, 3.29,3.29,,,-0.09622969,1.781414,1.14654,,,-0.0973998,1.797538,1.143501,,45.7999961295596,35.5798477550876,11.1856177849014
0.1, 2.98,2.98,,,-0.09478533,1.78116,1.144501,,,-0.09585914,1.795794,1.14182,,45.7999961295596,35.8714148622635,10.9355466370995
0.123, 3.05,3.05,,,-0.09191729,1.780634,1.14434,,,-0.09300148,1.795625,1.141657,,45.7999961295596,36.1030641366129,10.6935624330499
0.132, 2.98,2.98,,,-0.08908509,1.780155,1.143412,,,-0.0901041,1.794798,1.14086,,45.7999961295596,36.3487767700719,10.3949858444333
0.144, 3.02,3.02,,,-0.08754004,1.780399,1.143912,,,-0.08855739,1.795263,1.141308,,45.7999961295596,36.293079994035,10.4172394539036
0.156, 2.89,2.89,,,-0.08613095,1.779641,1.142395,,,-0.08710894,1.793825,1.139922,,45.7999961295596,36.33804312809,10.3885296083
0.166, 2.82,2.82,,,-0.08531064,1.779922,1.142334,,,-0.08625355,1.793796,1.139894,,45.7999961295596,36.2488340298229,10.4464171674523
0.177, 2.61,2.61,,,-0.08469149,1.779947,1.141177,,,-0.08556291,1.792784,1.138918,,45.7999961295596,36.2453506334431,10.4474724316497
0.187, 2.42,2.42,,,-0.08314162,1.779516,1.139683,,,-0.08393674,1.7914,1.137584,,45.7999961295596,36.2052301033749,10.4605155312806
0.198, 2.12,2.12,,,-0.08127231,1.779615,1.138115,,,-0.08196835,1.790036,1.136269,,45.7999961295596,36.1784113663452,10.482669249237
0.21, 1.78,1.78,,,-0.07949817,1.779407,1.136044,,,-0.08007986,1.788171,1.134471,,45.7999961295596,36.0476473983241,10.5945528673703
0.221, 1.55,1.55,,,-0.07849534,1.778636,1.133973,,,-0.07900739,1.786244,1.132613,,45.7999961295596,36.0925012493554,10.5757015457856
0.232, 1.52,1.52,,,-0.07185712,1.770881,1.126242,,,-0.07243823,1.778338,1.124993,,45.7999961295596,36.7635331656901,10.2446115500772
0.244, 1.81,1.81,,,-0.07046023,1.768973,1.126072,,,-0.07116753,1.777875,1.124546,,45.7999961295596,36.5591363453708,10.4737114563898
0.254, 1.72,1.72,,,-0.06840347,1.763505,1.120266,,,-0.06909966,1.771987,1.11887,,45.7999961295596,36.9498709663465,10.2017213783777
0.266, 2.06,2.06,,,-0.06626503,1.760119,1.11888,,,-0.06711531,1.770244,1.11719,,45.7999961295596,36.8355540933892,10.3616963571187
0.277, 2.42,2.42,,,-0.06384084,1.751329,1.112269,,,-0.06489779,1.763232,1.11043,,45.7999961295596,37.5519896909681,9.89045942127809
0.288, 2.84,2.84,,,-0.06405057,1.749616,1.113063,,,-0.06526247,1.763598,1.110783,,45.7999961295596,37.0696861414327,10.2400020262894
0.299, 3.02,3.02,,,-0.0597895,1.739743,1.104311,,,-0.06119657,1.754598,1.102107,,45.7999961295596,37.9352145191604,9.77227580758447
0.31, 3.69,3.69,,,-0.05860705,1.737072,1.105537,,,-0.06029386,1.755244,1.10273,,45.7999961295596,37.5823123149446,10.0027605347127
0.322, 4.18,4.18,,,-0.05571788,1.732097,1.103435,,,-0.05770972,1.752667,1.100245,,45.7999961295596,37.5771760128317,10.1489086496375
0.333, 4.66,4.66,,,-0.05214442,1.727792,1.101903,,,-0.0544182,1.750695,1.098345,,45.7999961295596,37.5783303147693,10.2363325072599
0.344, 4.41,4.41,,,-0.0487521,1.723765,1.096545,,,-0.05096504,1.745461,1.093299,,45.7999961295596,37.9139692163383,10.05950147589
0.355, 3.58,3.58,,,-0.05234644,1.731544,1.099815,,,-0.05383866,1.749158,1.096863,,45.7999961295596,36.8024276768364,10.4142922273588
0.366, 2.36,2.36,,,-0.04895702,1.734746,1.096098,,,-0.04987115,1.746319,1.094126,,45.7999961295596,36.6139042157065,10.4107593121089
0.377, 1.65,1.65,,,-0.04513904,1.735124,1.092513,,,-0.04578339,1.743225,1.091143,,45.7999961295596,36.6863964264451,10.3616015882466
0.388, 1.07,1.07,,,-0.04080176,1.734317,1.088478,,,-0.04123496,1.739565,1.087615,,45.7999961295596,36.95480236279,10.2120324024165
0.399, 0.81,0.81,,,-0.03765453,1.734632,1.087362,,,-0.03799067,1.738627,1.086711,,45.7999961295596,37.0525970086049,10.1741888865995
0.41, 0.73,0.73,,,-0.02678496,1.72804,1.080487,,,-0.0271248,1.731615,1.079951,,45.7999961295596,37.8437036472071,9.86105033507769
