経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.88,-0.88,,,-0.1772268,1.541286,1.038709,,,-0.1764853,1.538653,1.042153,,44.8235181620417,25.9585771805663,52.9888690686924
0.011, 0.34,-0.34,,,-0.1757523,1.539695,1.039874,,,-0.1754635,1.538691,1.041185,,44.8235181620417,25.7688498986286,52.9897091819369
0.022, 0.04,-0.04,,,-0.1746858,1.539084,1.040591,,,-0.1746497,1.538961,1.040753,,44.8235181620417,25.6566042804794,53.0314860328327
0.032, 0.17,0.17,,,-0.1736359,1.538889,1.041134,,,-0.1737821,1.539385,1.040485,,44.8235181620417,25.5924824663357,53.0200113153464
0.044, 0.14,0.14,,,-0.1737781,1.538995,1.041181,,,-0.1739001,1.53941,1.040638,,44.8235181620417,25.6166869485334,53.0268415043264
0.055, 0.22,0.22,,,-0.1736618,1.539021,1.041817,,,-0.1738536,1.539674,1.040964,,44.8235181620417,25.6044335895034,53.0202811078111
0.066, 0.52,0.52,,,-0.172176,1.539055,1.043142,,,-0.1726418,1.540622,1.041094,,44.8235181620417,25.5094563966427,53.0213602776699
0.078, 0.99,0.99,,,-0.1710275,1.538088,1.04488,,,-0.1719232,1.541065,1.041001,,44.8235181620417,25.349134785811,52.9713598792423
0.089, 1.49,1.49,,,-0.1699186,1.536731,1.046386,,,-0.1712837,1.541213,1.040571,,44.8235181620417,25.1585469000618,52.8736608560731
0.099, 1.75,1.75,,,-0.1696714,1.535759,1.047128,,,-0.171291,1.541032,1.040323,,44.8235181620417,24.9765582222384,52.7519810393954
0.111, 1.99,1.99,,,-0.1693367,1.53506,1.047976,,,-0.1711847,1.541061,1.040258,,44.8235181620417,24.8764122838672,52.6605384693319
0.122, 1.77,1.77,,,-0.1705561,1.535233,1.047411,,,-0.1721854,1.540561,1.040552,,44.8235181620417,24.9592539384577,52.6786418852232
0.133, 1.59,1.59,,,-0.170966,1.536222,1.047593,,,-0.1724231,1.541007,1.041419,,44.8235181620417,25.0387385551646,52.7270030382957
0.144, 1.56,1.56,,,-0.1709913,1.536537,1.047771,,,-0.1724187,1.541221,1.041718,,44.8235181620417,25.0707789716695,52.7741142667849
0.157, 1.47,1.47,,,-0.1713669,1.537348,1.048518,,,-0.1727201,1.54177,1.042795,,44.8235181620417,25.0652243204816,52.8167312309253
0.167, 1.46,1.46,,,-0.1719124,1.537572,1.049261,,,-0.1732557,1.54195,1.043586,,44.8235181620417,25.0810515758954,52.8642351952808
0.177, 1.42,1.42,,,-0.1717883,1.538427,1.050022,,,-0.173101,1.542693,1.044483,,44.8235181620417,25.0911858687943,52.9081635557053
0.189, 1.39,1.39,,,-0.1716971,1.539262,1.050769,,,-0.1729764,1.543411,1.045373,,44.8235181620417,25.1027545013791,52.9465901989065
0.199, 1.31,1.31,,,-0.1720779,1.539977,1.051459,,,-0.1732886,1.543893,1.046366,,44.8235181620417,25.0869494440795,52.9619034825995
0.212, 1.31,1.31,,,-0.1718763,1.540538,1.052059,,,-0.1730903,1.544456,1.046965,,44.8235181620417,25.0596457636322,52.953048142587
0.222, 1.49,1.49,,,-0.1707973,1.540959,1.053211,,,-0.1721863,1.545418,1.047421,,44.8235181620417,24.9907974587144,52.9309968774653
0.233, 1.43,1.43,,,-0.1703773,1.542046,1.053781,,,-0.1717163,1.546323,1.048231,,44.8235181620417,24.9329611259794,52.9191328392071
0.243, 1.31,1.31,,,-0.1702159,1.543441,1.054504,,,-0.1714444,1.547356,1.049419,,44.8235181620417,24.9311716164667,52.9446640856141
0.254, 1.17,1.17,,,-0.169711,1.54574,1.055983,,,-0.1708065,1.549233,1.051436,,44.8235181620417,24.984863732038,53.0033115032904
0.266, 0.85,0.85,,,-0.1679568,1.550933,1.058672,,,-0.1687508,1.55346,1.055358,,44.8235181620417,25.1310673422482,53.1962131155566
0.277, 0.65,0.65,,,-0.1666948,1.5544,1.060471,,,-0.167298,1.556317,1.057946,,44.8235181620417,25.2174214215217,53.3162639321626
0.288, 0.56,0.56,,,-0.1658071,1.556652,1.06195,,,-0.1663273,1.558298,1.059777,,44.8235181620417,25.2251634407305,53.3710522930652
0.299, 0.65,0.65,,,-0.164165,1.55852,1.063836,,,-0.1647794,1.560456,1.061282,,44.8235181620417,25.1798024481674,53.3630678021476
0.311, 0.53,0.53,,,-0.1634864,1.560103,1.064314,,,-0.1639881,1.561687,1.06223,,44.8235181620417,25.1464540504728,53.3119062715934
0.321, 0.55,0.55,,,-0.1628608,1.561278,1.06551,,,-0.1633791,1.562914,1.063357,,44.8235181620417,25.1387939935318,53.295496742569
0.333, 0.41,0.41,,,-0.1616233,1.563996,1.066887,,,-0.1620134,1.565228,1.065264,,44.8235181620417,25.1601058906965,53.3190438190774
0.344, 0.36,0.36,,,-0.1594582,1.567994,1.069881,,,-0.1597979,1.569061,1.068469,,44.8235181620417,25.2083714211233,53.4342759373581
0.355, 0.26,0.26,,,-0.1574281,1.571262,1.071573,,,-0.1576746,1.572033,1.070549,,44.8235181620417,25.2610407158949,53.5350656210406
0.366, 0.25,0.25,,,-0.1554224,1.574017,1.073363,,,-0.1556604,1.574753,1.072381,,44.8235181620417,25.2624887159586,53.6707404949383
0.377, 0.27,0.27,,,-0.1539907,1.576496,1.075611,,,-0.1542494,1.577286,1.074553,,44.8235181620417,25.2371009035202,53.7818915753034
0.389, 0.38,0.38,,,-0.1520399,1.578645,1.077669,,,-0.1524048,1.579748,1.07619,,44.8235181620417,25.1903721656139,53.8435886723593
0.402, 0.37,0.37,,,-0.1502825,1.581356,1.079685,,,-0.1506429,1.582438,1.078233,,44.8235181620417,25.1583539472231,53.8868920704921
0.411, 0.3,0.3,,,-0.149193,1.583567,1.081102,,,-0.149486,1.584448,1.079917,,44.8235181620417,25.2061977134804,53.9265105816703
0.422, 0.17,0.17,,,-0.148154,1.585624,1.081821,,,-0.1483229,1.586133,1.081137,,44.8235181620417,25.2456215642726,53.9481827713036
0.433, 0.09,0.09,,,-0.1472264,1.587814,1.083215,,,-0.1473117,1.588071,1.082868,,44.8235181620417,25.3087905670537,53.9826615652744
0.444, 0.04,0.04,,,-0.1460828,1.589929,1.084583,,,-0.1461167,1.590032,1.084445,,44.8235181620417,25.3412203043305,54.0062598682001
0.455, 0.02,-0.02,,,-0.1450211,1.59199,1.085916,,,-0.1449995,1.591925,1.086004,,44.8235181620417,25.3780025795347,54.0253263407376
0.466, 0.18,0.18,,,-0.1432188,1.593376,1.087878,,,-0.1433905,1.593893,1.087179,,44.8235181620417,25.3301263698798,54.047186360568
0.478, 0.35,0.35,,,-0.1403307,1.596292,1.090648,,,-0.1406709,1.597302,1.08928,,44.8235181620417,25.2646641311487,54.1368735720636
0.488, 0.64,0.64,,,-0.1379276,1.598159,1.093515,,,-0.1385612,1.600009,1.091,,44.8235181620417,25.2027979869156,54.2512382563438
0.499, 0.82,0.82,,,-0.13545,1.600799,1.096466,,,-0.1362809,1.603185,1.09321,,44.8235181620417,25.1477005599617,54.3796628846392
0.511, 1,1,,,-0.133591,1.602522,1.098602,,,-0.1346019,1.605401,1.094665,,44.8235181620417,25.1277461628567,54.4516803972438
0.522, 1.04,1.04,,,-0.1318623,1.604316,1.099797,,,-0.1329144,1.60732,1.095692,,44.8235181620417,25.1310109931892,54.4254422262773
0.533, 0.96,0.96,,,-0.1315207,1.605787,1.100811,,,-0.1324879,1.608564,1.097025,,44.8235181620417,25.120080983274,54.3487904304499
0.544, 0.94,0.94,,,-0.1307687,1.606728,1.101244,,,-0.1317143,1.609463,1.097523,,44.8235181620417,25.1393574841227,54.2863351824173
0.555, 0.87,0.87,,,-0.1287883,1.60998,1.10319,,,-0.1296597,1.612499,1.099762,,44.8235181620417,25.137959002929,54.2903718241044
0.566, 0.82,0.82,,,-0.1274654,1.612257,1.104653,,,-0.1282893,1.614635,1.101411,,44.8235181620417,25.1684028627599,54.3447093925344
0.578, 0.85,0.85,,,-0.1255777,1.615387,1.107498,,,-0.1264419,1.617857,1.10412,,44.8235181620417,25.1654146550811,54.4537704350717
0.589, 0.88,0.88,,,-0.1234108,1.61791,1.109102,,,-0.1243011,1.620438,1.10563,,44.8235181620417,25.1982098074684,54.5604579869384
0.6, 0.74,0.74,,,-0.1217005,1.621225,1.110807,,,-0.1224521,1.623342,1.107887,,44.8235181620417,25.2323436768956,54.6912800115658
0.611, 0.59,0.59,,,-0.1202473,1.624328,1.112384,,,-0.1208472,1.62601,1.110056,,44.8235181620417,25.2711767163411,54.7800588079271
0.622, 0.61,0.61,,,-0.1188938,1.626611,1.114457,,,-0.1195163,1.628354,1.112041,,44.8235181620417,25.2976044250518,54.8254624891713
0.633, 0.44,0.44,,,-0.1186659,1.629224,1.116355,,,-0.1191086,1.630471,1.114626,,44.8235181620417,25.3499083047129,54.8225494135714
0.644, 0.19,0.19,,,-0.117638,1.632057,1.117155,,,-0.1178352,1.632613,1.116383,,44.8235181620417,25.4047871656196,54.8571955471721
0.655, 0.02,0.02,,,-0.1157618,1.635171,1.118114,,,-0.1157829,1.63523,1.118031,,44.8235181620417,25.4640031965284,54.9426480415002
0.666, 0.12,-0.12,,,-0.1148583,1.638227,1.120276,,,-0.114738,1.637889,1.120747,,44.8235181620417,25.4928453770435,55.0284864415057
0.678, 0.14,-0.14,,,-0.1138236,1.640614,1.122414,,,-0.1136797,1.640213,1.122975,,44.8235181620417,25.5044823115181,55.1175145397648
0.689, 0.21,-0.21,,,-0.113013,1.64252,1.123684,,,-0.1127991,1.641926,1.124517,,44.8235181620417,25.489607867467,55.1232723890749
0.7, 0.27,-0.27,,,-0.1122957,1.644225,1.124847,,,-0.1120214,1.643464,1.125913,,44.8235181620417,25.4652975173401,55.1030721051667
0.711, 0.41,-0.41,,,-0.1115089,1.646175,1.125527,,,-0.1110875,1.645008,1.127163,,44.8235181620417,25.458180460423,55.1194235775847
0.722, 0.55,-0.55,,,-0.1113535,1.649036,1.12819,,,-0.1107917,1.647484,1.13037,,44.8235181620417,25.4828459803769,55.1774665235363
0.733, 0.7,-0.7,,,-0.110005,1.652008,1.129686,,,-0.1092873,1.650032,1.132469,,44.8235181620417,25.5228145387403,55.2576734327278
0.744, 1.03,-1.03,,,-0.1087997,1.655595,1.130564,,,-0.107741,1.652686,1.134675,,44.8235181620417,25.5782244468401,55.3369343607455
0.756, 1.41,-1.41,,,-0.1074422,1.660153,1.132242,,,-0.105992,1.656186,1.137876,,44.8235181620417,25.6527383935168,55.46345678141
