経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.74,-0.74,,,0.1047185,1.801307,1.603588,,,0.103949,1.798265,1.601667,,35.5870604346505,11.9875195371864,34.4469891957794
0.011, 0.54,-0.54,,,0.1050688,1.799631,1.604246,,,0.1045107,1.797415,1.602852,,35.7968701797364,11.9554799744551,34.3471830593099
0.022, 0.35,-0.35,,,0.104882,1.798493,1.604287,,,0.1045154,1.797042,1.603374,,35.8888489196349,12.0083345381028,34.3581796635677
0.033, 0.34,-0.34,,,0.1039095,1.799038,1.603426,,,0.1035559,1.797645,1.602545,,35.7402820640376,12.1059703820239,34.5030513869268
0.046, 0.08,0.08,,,0.1032905,1.797572,1.60194,,,0.1033788,1.79792,1.602161,,35.6724343818053,12.0732119419024,34.6219888827291
0.056, 0.83,0.83,,,0.1022475,1.795031,1.599267,,,0.1031099,1.798431,1.601444,,35.5460144139755,11.9897222731324,34.7964558149383
0.068, 1.39,1.39,,,0.1013692,1.792911,1.597458,,,0.1028164,1.798641,1.60115,,35.4939410531924,11.9187924681229,34.9210999336333
0.078, 1.92,1.92,,,0.1009684,1.79062,1.596231,,,0.1029563,1.798511,1.601332,,35.5260497715871,11.8494233612954,34.9826092004922
0.089, 2.04,2.04,,,0.100546,1.789899,1.596256,,,0.1026514,1.798275,1.601668,,35.5845571703893,11.8807662447507,34.9699357848399
0.099, 2.14,2.14,,,0.1013512,1.789,1.596693,,,0.1035533,1.797781,1.602354,,35.7066911946342,11.7756701269163,34.907234650004
0.11, 2.56,2.56,,,0.1013777,1.785946,1.597346,,,0.104007,1.796505,1.60413,,36.0206818122313,11.7408455546284,34.8027088529494
0.122, 3.09,3.09,,,0.1016146,1.782024,1.598362,,,0.104757,1.794771,1.606505,,36.4432382836646,11.7050101143715,34.6346418078144
0.133, 3.39,3.39,,,0.1015131,1.779565,1.599237,,,0.1049421,1.793569,1.608136,,36.7338491643833,11.7604157536032,34.4886635938405
0.144, 3.38,3.38,,,0.1014354,1.779616,1.599211,,,0.1048619,1.793599,1.608098,,36.7266706357654,11.776138848635,34.492918801575
0.155, 3.25,3.25,,,0.1014883,1.78143,1.597872,,,0.1047965,1.794828,1.606426,,36.4293900755077,11.7182179923115,34.626274826314
0.166, 3.43,3.43,,,0.1013432,1.781075,1.596831,,,0.1048443,1.795222,1.605887,,36.333938184513,11.6793960519231,34.6975171124693
0.178, 3.62,3.62,,,0.1010372,1.780928,1.595498,,,0.1047389,1.795815,1.605072,,36.1892918573902,11.6569708339547,34.819893608423
0.189, 3.87,3.87,,,0.1008046,1.780679,1.593711,,,0.1047761,1.7966,1.603984,,35.9972030376127,11.6044919307009,34.9097208387927
0.2, 3.95,3.95,,,0.1007376,1.780826,1.592836,,,0.1047932,1.797068,1.603333,,35.8824114665213,11.5707601886498,34.9486938971123
0.211, 3.92,3.92,,,0.1007252,1.781428,1.592261,,,0.1047489,1.797541,1.602672,,35.7659635746022,11.5532100180658,34.9441996327635
0.222, 3.88,3.88,,,0.1013184,1.781974,1.591824,,,0.1053021,1.797927,1.60212,,35.6707268345603,11.4638762688499,34.9206832921056
0.233, 3.9,3.9,,,0.1012082,1.782538,1.590852,,,0.10522,1.798584,1.601195,,35.5080078273966,11.4655599104335,34.8937689324301
0.244, 3.85,3.85,,,0.1017428,1.784171,1.588976,,,0.1057046,1.80001,1.599154,,35.1525374721243,11.3588433302635,34.8204810046753
0.256, 3.57,3.57,,,0.1023387,1.786847,1.587452,,,0.1060219,1.801586,1.59687,,34.7560518320274,11.2760785152991,34.6891057347405
0.266, 3.43,3.43,,,0.1022809,1.789488,1.584854,,,0.1058153,1.80365,1.593842,,34.2306668655011,11.2592822268237,34.5264584445611
0.278, 3.19,3.19,,,0.1026847,1.791887,1.583388,,,0.1059773,1.805061,1.591729,,33.8672359249727,11.2238608667737,34.4759901781882
0.289, 2.99,2.99,,,0.102037,1.79465,1.580999,,,0.1051446,1.806993,1.588813,,33.3640046764027,11.3833534634181,34.4971296130812
0.3, 2.79,2.79,,,0.1020782,1.797421,1.578491,,,0.1049982,1.808947,1.58579,,32.848110257464,11.4532869146101,34.5283743125699
0.311, 2.59,2.59,,,0.1015175,1.800181,1.576004,,,0.1042413,1.810867,1.582772,,32.334165857479,11.6334365640507,34.5564907855059
0.322, 2.52,2.52,,,0.1014028,1.802053,1.573612,,,0.104059,1.812465,1.580203,,31.9004659327249,11.6871192881122,34.5458698416421
0.333, 2.51,2.51,,,0.1015386,1.80316,1.571881,,,0.1041801,1.813542,1.578445,,31.6053812782243,11.6618211219041,34.5087170286857
0.351, 2.37,2.37,,,0.1018778,1.805328,1.569666,,,0.104354,1.815114,1.575839,,31.1698986741465,11.6166752802939,34.435715968868
0.357, 2.35,2.35,,,0.1024669,1.807234,1.566544,,,0.1049121,1.816987,1.572668,,30.6438409340056,11.5002470251681,34.2995220006079
0.367, 2.27,2.27,,,0.1025611,1.808326,1.565517,,,0.1049128,1.817722,1.571409,,30.4350352266997,11.510879068089,34.2586125837125
0.379, 2.1,2.1,,,0.1027336,1.811066,1.562395,,,0.1049047,1.819776,1.567834,,29.844514162966,11.5672861837799,34.1471199938984
0.39, 1.88,1.88,,,0.1026157,1.813273,1.560685,,,0.1045605,1.821076,1.565534,,29.4652645047601,11.6833430473799,34.0367509701714
0.401, 1.66,1.66,,,0.1019765,1.81536,1.559161,,,0.103694,1.822257,1.563423,,29.1168224139482,11.8582351588531,33.9048122096458
0.412, 1.45,1.45,,,0.1020937,1.817421,1.557514,,,0.1035931,1.82346,1.561226,,28.7579369641859,11.9130038829624,33.7776477512172
