経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.69,-0.69,,,0.3761013,1.808978,1.287872,,,0.3744511,1.805989,1.287595,,33.3496032229385,9.19675981526616,29.2836361194054
0.01, 0.17,-0.17,,,0.376202,1.805941,1.289267,,,0.3758025,1.805214,1.2892,,33.5529720998164,9.15291683220389,29.1699407936452
0.021, 0.35,0.35,,,0.3764929,1.802712,1.289875,,,0.3773336,1.804252,1.290017,,33.8022466768285,9.28177688504678,29.0198917870393
0.033, 0.68,0.68,,,0.377473,1.800139,1.290548,,,0.3790921,1.803125,1.290819,,34.0923111424288,9.37856920062883,28.8443047038373
0.043, 0.97,0.97,,,0.3784483,1.797881,1.293148,,,0.3807459,1.802164,1.293512,,34.3400216061645,9.19590518787004,28.5441810774168
0.055, 1.26,1.26,,,0.3800441,1.795178,1.295477,,,0.3829874,1.800751,1.295914,,34.6998803578564,9.24126874175397,28.1385037105002
0.066, 1.65,1.65,,,0.3826694,1.791148,1.298355,,,0.3864454,1.798465,1.298868,,35.2741387416287,9.62197835285439,27.5429129389962
0.076, 2.18,2.18,,,0.3839681,1.78711,1.300346,,,0.3888642,1.79682,1.30097,,35.6824474388499,10.1342655782381,26.9779641028035
0.087, 2.54,2.54,,,0.3854023,1.783928,1.300709,,,0.3910122,1.795282,1.301405,,36.0588693988181,10.7942274657836,26.4988434213327
0.099, 2.97,2.97,,,0.3852401,1.781409,1.300882,,,0.3917453,1.794756,1.301686,,36.1868978761527,11.1585616988046,26.1874926717764
0.115, 3.24,3.24,,,0.3843203,1.78046,1.299734,,,0.391376,1.79499,1.300624,,36.1288822509571,11.2620458920398,26.1108459985907
0.122, 3.57,3.57,,,0.3815947,1.780306,1.297755,,,0.3894183,1.796341,1.298787,,35.7976215005242,11.0475480759927,26.2381351079682
0.132, 3.83,3.83,,,0.3802427,1.779707,1.297244,,,0.3886275,1.796892,1.298368,,35.6619978530439,10.9801383796287,26.2452163063932
0.142, 4.01,4.01,,,0.3792064,1.779371,1.296883,,,0.3879934,1.797333,1.298072,,35.5531212256091,10.8712719974774,26.3080711204811
0.154, 3.75,3.75,,,0.3796124,1.780667,1.29768,,,0.3878791,1.797444,1.298788,,35.5265176395322,10.6548250162502,26.4681502596041
0.165, 3.74,3.74,,,0.379308,1.780937,1.297822,,,0.3875737,1.797667,1.298924,,35.4716439012673,10.538010855447,26.5263861583944
0.176, 3.9,3.9,,,0.3785123,1.780504,1.297977,,,0.3871565,1.797971,1.299121,,35.3966859923069,10.417541689766,26.5619509524129
0.187, 4.01,4.01,,,0.3785169,1.779914,1.298721,,,0.3873878,1.797836,1.299889,,35.4309154843799,10.3857642355368,26.5634245656854
0.198, 4.11,4.11,,,0.3786797,1.779226,1.29962,,,0.3877665,1.797599,1.300805,,35.4904508266236,10.3790749192046,26.5412776779179
0.21, 4.14,4.14,,,0.3795851,1.778425,1.300483,,,0.3887279,1.79694,1.30167,,35.6536035507876,10.4916748534071,26.5035972328628
0.22, 4.35,4.35,,,0.3797238,1.777101,1.301749,,,0.3893269,1.796549,1.303003,,35.7510293663975,10.5073988022125,26.5054174782259
