経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.66,-0.66,,,-0.1878262,1.643963,1.329058,,,-0.1870335,1.640944,1.327937,,45.0005395849294,35.6382151350158,24.6616079630897
0.01, 0.5,-0.5,,,-0.1875056,1.643331,1.328571,,,-0.1869124,1.641066,1.32773,,45.0005395849294,35.6652421928094,24.6245627256097
0.022, 0.55,-0.55,,,-0.1877816,1.643346,1.328514,,,-0.1871294,1.640849,1.327587,,45.0005395849294,35.6998234396149,24.6088293852944
0.032, 0.39,-0.39,,,-0.1874413,1.64275,1.327851,,,-0.186984,1.640994,1.327199,,45.0005395849294,35.7376114601464,24.595179252618
0.044, 0.28,-0.28,,,-0.1868329,1.642748,1.327859,,,-0.1865017,1.641476,1.327387,,45.0005395849294,35.7395239130608,24.595172422429
0.054, 0.16,-0.16,,,-0.1867287,1.642142,1.32783,,,-0.186544,1.641434,1.327567,,45.0005395849294,35.7357160827045,24.6101663947872
0.066, 0.34,0.34,,,-0.1850484,1.640952,1.327043,,,-0.1854587,1.642519,1.327627,,45.0005395849294,35.6988398924018,24.6701918030902
0.077, 0.65,0.65,,,-0.1844658,1.63976,1.326871,,,-0.185248,1.64273,1.327978,,45.0005395849294,35.6390245124099,24.7353227776557
0.088, 0.88,0.88,,,-0.1837733,1.639147,1.326879,,,-0.1848286,1.643149,1.32837,,45.0005395849294,35.6225432664013,24.7376962683263
0.099, 0.99,0.99,,,-0.1837094,1.638549,1.326814,,,-0.1849036,1.643074,1.3285,,45.0005395849294,35.6130049074908,24.7473251272407
0.11, 0.97,0.97,,,-0.1838461,1.638545,1.326842,,,-0.1850113,1.642967,1.328489,,45.0005395849294,35.6278025119158,24.7335418058792
0.121, 1.13,1.13,,,-0.1835724,1.637919,1.326935,,,-0.1849214,1.643057,1.328848,,45.0005395849294,35.665566626786,24.6980128703528
0.133, 1.23,1.23,,,-0.183057,1.637871,1.327213,,,-0.1845142,1.643464,1.329291,,45.0005395849294,35.7383491205563,24.6134722062535
0.143, 1.23,1.23,,,-0.1830833,1.637852,1.327963,,,-0.1845312,1.643447,1.330039,,45.0005395849294,35.8099807274834,24.5498711940195
0.155, 1.16,1.16,,,-0.1828758,1.638466,1.328586,,,-0.1842355,1.643742,1.330544,,45.0005395849294,35.8602816542262,24.518775051141
0.165, 1.4,1.4,,,-0.1821228,1.637852,1.328591,,,-0.183764,1.644214,1.330953,,45.0005395849294,35.8497495028192,24.5326625328845
0.177, 1.52,1.52,,,-0.1814286,1.637855,1.329182,,,-0.183212,1.644766,1.33175,,45.0005395849294,35.8555278426962,24.5489183826568
0.187, 1.92,1.92,,,-0.1790428,1.637916,1.328841,,,-0.1813121,1.646666,1.332106,,45.0005395849294,35.8343303511969,24.6440868208089
0.199, 2.2,2.2,,,-0.1773861,1.637964,1.328575,,,-0.1799962,1.647982,1.332322,,45.0005395849294,35.8007394817936,24.7100818142803
0.21, 2.07,2.07,,,-0.1775857,1.638536,1.328777,,,-0.1800325,1.647945,1.332289,,45.0005395849294,35.8044072932758,24.6670499161594
0.221, 2.14,2.14,,,-0.1771865,1.638497,1.328985,,,-0.1797194,1.648259,1.332622,,45.0005395849294,35.8137270861389,24.6246446878774
0.233, 2.17,2.17,,,-0.1759128,1.639636,1.329431,,,-0.1784607,1.649517,1.333099,,45.0005395849294,35.8574881069334,24.5314860328327
0.243, 2.06,2.06,,,-0.1753915,1.640813,1.329706,,,-0.1777899,1.650188,1.33318,,45.0005395849294,35.933429563107,24.4499199160342
