経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.76,-0.76,,,-0.09434771,1.775762,1.519324,,,-0.09340194,1.772325,1.518073,,46.050527461344,35.7397458942026,24.7232230978777
0.011, 0.49,-0.49,,,-0.09398397,1.774574,1.518546,,,-0.09337129,1.772357,1.517738,,46.050527461344,35.7001273830245,24.7690741565001
0.022, 0.57,-0.57,,,-0.09433005,1.774684,1.517415,,,-0.09361824,1.772101,1.516471,,46.050527461344,35.7611619517493,24.7943219500645
0.032, 0.61,-0.61,,,-0.09450133,1.774762,1.517042,,,-0.09373537,1.771979,1.516022,,46.050527461344,35.8001213496909,24.8211987437006
0.044, 0.51,-0.51,,,-0.09391011,1.774786,1.516323,,,-0.09327045,1.772461,1.515471,,46.050527461344,35.8050117650005,24.8301053101304
0.055, 0.48,-0.48,,,-0.09375109,1.774745,1.516513,,,-0.09315467,1.772582,1.515721,,46.050527461344,35.7760005373082,24.821898838071
0.066, 0.31,-0.31,,,-0.09346361,1.774089,1.516119,,,-0.09307122,1.772668,1.5156,,46.050527461344,35.7339163279083,24.8233383003985
0.077, 0.08,0.08,,,-0.09249316,1.772811,1.515779,,,-0.09259143,1.773166,1.515909,,46.050527461344,35.6826284388579,24.8261045269354
0.088, 0.12,0.12,,,-0.09228229,1.772804,1.515812,,,-0.09242946,1.773334,1.516006,,46.050527461344,35.6582310038215,24.8411548483527
0.099, 0.24,0.24,,,-0.09216536,1.772213,1.515103,,,-0.09246618,1.773296,1.515498,,46.050527461344,35.6502635883764,24.8622020756944
0.111, 0.24,0.24,,,-0.09214227,1.772235,1.514998,,,-0.09244382,1.773319,1.515394,,46.050527461344,35.6534806073859,24.8759410008276
0.121, 0.22,0.22,,,-0.09221558,1.77225,1.514315,,,-0.0924972,1.773263,1.514686,,46.050527461344,35.6672980796924,24.878620142455
0.133, 0.41,0.41,,,-0.09173651,1.771648,1.514276,,,-0.09225474,1.773515,1.514959,,46.050527461344,35.684267684213,24.8717438496994
0.144, 0.46,0.46,,,-0.09204641,1.771026,1.513725,,,-0.09262794,1.773128,1.514494,,46.050527461344,35.7159495157965,24.8385047350285
0.155, 0.41,0.41,,,-0.09296294,1.770412,1.513751,,,-0.09347096,1.772253,1.514424,,46.050527461344,35.7511796305551,24.8106204885179
0.165, 0.38,0.38,,,-0.09310044,1.770423,1.513088,,,-0.09357493,1.772146,1.513718,,46.050527461344,35.7720697635502,24.8060220637871
0.177, 0.38,0.38,,,-0.0930531,1.770442,1.512996,,,-0.09353428,1.772188,1.513635,,46.050527461344,35.7736065560707,24.821466828618
0.187, 0.63,0.63,,,-0.09283759,1.769242,1.512892,,,-0.0936252,1.772093,1.513937,,46.050527461344,35.7557729326441,24.8519158110906
0.199, 0.92,0.92,,,-0.09237175,1.768008,1.512338,,,-0.09353197,1.77219,1.513871,,46.050527461344,35.698938930142,24.8848048785763
0.21, 1.17,1.17,,,-0.09216249,1.766731,1.511991,,,-0.09365338,1.772064,1.513943,,46.050527461344,35.5898198309984,24.9245275501364
