経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.3,-0.3,,,0.1755458,1.849135,1.221353,,,0.1751192,1.847708,1.221579,,45.0005634905908,29.5338566775912,18.5763159782026
0.011, 1.78,-1.78,,,0.1822041,1.851506,1.220976,,,0.1797617,1.843065,1.222345,,45.0005634905908,30.0782227392928,18.2298734252146
0.022, 3.2,-3.2,,,0.1885846,1.853675,1.219862,,,0.1843427,1.838484,1.222434,,45.0005634905908,30.6987624835933,17.9560801773117
0.033, 4.55,-4.55,,,0.1938897,1.856537,1.218009,,,0.1879424,1.834884,1.221778,,45.0005634905908,31.0025248931929,17.8818548061194
0.044, 5.78,-5.78,,,0.1987239,1.859092,1.212402,,,0.1912446,1.831582,1.217054,,45.0005634905908,31.0715302924573,17.6224237380941
0.056, 7.17,-7.17,,,0.2029932,1.863337,1.209091,,,0.1935849,1.829242,1.214824,,45.0005634905908,30.8491564147427,17.7791253487665
0.066, 8.78,-8.78,,,0.2077166,1.868542,1.207299,,,0.1959855,1.826841,1.214517,,45.0005634905908,30.6483488587323,18.1486966291879
0.077, 10.41,-10.41,,,0.2129138,1.873425,1.203877,,,0.1987513,1.824075,1.212515,,45.0005634905908,30.389962809621,18.4512227745821
0.088, 11.93,-11.93,,,0.2182327,1.877471,1.200046,,,0.2018481,1.820979,1.209874,,45.0005634905908,30.2189075568073,18.5588546000754
0.1, 13.47,-13.47,,,0.2244377,1.88085,1.195604,,,0.2057273,1.817099,1.206556,,45.0005634905908,30.0104911702732,18.6566236326815
0.11, 15.07,-15.07,,,0.2310856,1.884146,1.190965,,,0.2099924,1.812834,1.203128,,45.0005634905908,29.8757930133997,18.7284123339553
0.122, 16.82,-16.82,,,0.2383488,1.887774,1.187133,,,0.2145897,1.808237,1.200751,,45.0005634905908,29.7376558563748,18.8754133687289
0.132, 18.66,-18.66,,,0.245079,1.892586,1.184519,,,0.2183205,1.804506,1.199793,,45.0005634905908,29.5159445069913,19.1576111641716
0.143, 20.59,-20.59,,,0.2524757,1.897396,1.179867,,,0.2224218,1.800405,1.196749,,45.0005634905908,29.2222941921765,19.4440402616873
0.155, 22.4,-22.4,,,0.261848,1.899215,1.175876,,,0.2291331,1.793694,1.194231,,45.0005634905908,29.21205915399,19.4490160543592
0.166, 24.42,-24.42,,,0.2722925,1.900991,1.173903,,,0.2368944,1.785932,1.194291,,45.0005634905908,29.3826738596146,19.4230084022708
0.177, 26.77,-26.77,,,0.2839424,1.903568,1.171712,,,0.2453962,1.77743,1.194603,,45.0005634905908,29.554849263421,19.4391464312832
0.188, 29,-29,,,0.2953805,1.905586,1.169921,,,0.2538251,1.769001,1.195202,,45.0005634905908,29.681388759558,19.4732581025963
0.199, 31.2,-31.2,,,0.3067249,1.907794,1.168203,,,0.2618998,1.760927,1.195683,,45.0005634905908,29.6668028909913,19.5676444841101
0.211, 33.15,-33.15,,,0.3170936,1.909697,1.165862,,,0.268993,1.753834,1.195178,,45.0005634905908,29.5139330163367,19.7411773879764
0.221, 35.1,-35.1,,,0.3267959,1.912764,1.163045,,,0.2747815,1.748045,1.194046,,45.0005634905908,29.160460491341,20.0570770433933
0.233, 36.93,-36.93,,,0.3372398,1.914376,1.160458,,,0.2814557,1.741371,1.192844,,45.0005634905908,28.8140128157113,20.3231709607685
0.243, 38.82,-38.82,,,0.3485712,1.915559,1.15849,,,0.28893,1.733897,1.191928,,45.0005634905908,28.4718920648003,20.5044817423357
0.255, 40.73,-40.73,,,0.3607272,1.916039,1.15659,,,0.2971757,1.725651,1.191014,,45.0005634905908,28.1469611920046,20.6700916269852
0.265, 42.54,-42.54,,,0.373741,1.915105,1.156417,,,0.3063783,1.716448,1.191498,,45.0005634905908,27.8166464227454,20.8084353972267
0.277, 44.26,-44.26,,,0.3868289,1.913648,1.157146,,,0.3156833,1.707143,1.19287,,45.0005634905908,27.4910957102998,20.9713968760992
0.288, 45.99,-45.99,,,0.4007876,1.911253,1.157494,,,0.3260127,1.696814,1.193629,,45.0005634905908,27.2131497074972,21.0628565216352
0.299, 47.68,-47.68,,,0.4144405,1.908524,1.159604,,,0.3366394,1.686187,1.196409,,45.0005634905908,27.1051610046297,21.0558999741591
0.31, 49.27,-49.27,,,0.4278409,1.90543,1.161298,,,0.347069,1.675758,1.198867,,45.0005634905908,26.9877193202141,21.0951786834355
0.322, 51.02,-51.02,,,0.4419381,1.902556,1.163616,,,0.3579951,1.664831,1.202529,,45.0005634905908,26.9198272417534,21.1622665071438
0.332, 52.7,-52.7,,,0.4563687,1.89886,1.167149,,,0.3695061,1.65332,1.207275,,45.0005634905908,26.8837570137503,21.1863753666958
0.344, 54.23,-54.23,,,0.4703415,1.894578,1.170947,,,0.380822,1.642004,1.212255,,45.0005634905908,26.8533268142974,21.2193395662602
0.355, 55.78,-55.78,,,0.4838627,1.890897,1.17494,,,0.3916728,1.631154,1.217541,,45.0005634905908,26.8364699078949,21.2512843601194
0.366, 57.2,-57.2,,,0.4975853,1.886226,1.178355,,,0.4030432,1.619783,1.221659,,45.0005634905908,26.8174000202629,21.2168858208692
0.377, 58.61,-58.61,,,0.5103993,1.882522,1.180173,,,0.4134595,1.609367,1.223513,,45.0005634905908,26.7533721212176,21.1423530911728
0.388, 59.83,-59.83,,,0.5221176,1.878889,1.180864,,,0.4228697,1.599957,1.223787,,45.0005634905908,26.6342604555964,21.0915074568588
0.4, 60.95,-60.95,,,0.532012,1.876707,1.18061,,,0.43026,1.592566,1.222865,,45.0005634905908,26.4440414000521,21.0993263156936
0.411, 61.8,-61.8,,,0.5399002,1.874861,1.180866,,,0.4359361,1.58689,1.222674,,45.0005634905908,26.2490326744857,21.1700119414471
0.421, 62.97,-62.97,,,0.5484784,1.874542,1.181859,,,0.4412001,1.581626,1.224531,,45.0005634905908,26.0014468616989,21.4208011128655
0.433, 63.95,-63.95,,,0.5557888,1.874532,1.181986,,,0.4451107,1.577716,1.225365,,45.0005634905908,25.685519885526,21.7362209475066
0.444, 64.82,-64.82,,,0.5615443,1.875543,1.182529,,,0.4472955,1.575531,1.226923,,45.0005634905908,25.3300239170451,22.1332973989502
0.455, 65.72,-65.72,,,0.568176,1.875179,1.184071,,,0.4513835,1.571443,1.229672,,45.0005634905908,25.1853810050168,22.3405560684522
0.466, 66.47,-66.47,,,0.5749183,1.873117,1.185082,,,0.4569901,1.565836,1.231232,,45.0005634905908,25.2217022424649,22.3076243122853
0.477, 67.34,-67.34,,,0.5825505,1.870451,1.186007,,,0.4640739,1.558753,1.232667,,45.0005634905908,25.3909953065218,22.1303433422164
0.488, 67.97,-67.97,,,0.5884832,1.867715,1.187547,,,0.4701813,1.552645,1.234681,,45.0005634905908,25.6123275804169,21.9163022950573
0.499, 68.27,-68.27,,,0.5930212,1.864778,1.189495,,,0.4747805,1.548046,1.236747,,45.0005634905908,25.7106191224801,21.8095276582811
0.51, 68.41,-68.41,,,0.5966668,1.862202,1.190393,,,0.4779888,1.544838,1.237274,,45.0005634905908,25.6577005258107,21.8128351772946
0.522, 67.99,-67.99,,,0.5981154,1.858462,1.192118,,,0.4796934,1.543133,1.237928,,45.0005634905908,25.5432470490738,21.8441737918819
0.532, 67.65,-67.65,,,0.5995753,1.855264,1.193702,,,0.4813104,1.541516,1.238412,,45.0005634905908,25.434621431084,21.8612663398042
0.544, 67.17,-67.17,,,0.6008177,1.851073,1.193744,,,0.4834474,1.539379,1.237058,,45.0005634905908,25.4016657692557,21.784086911878
0.555, 66.71,-66.71,,,0.6011829,1.84755,1.195014,,,0.4850481,1.537778,1.237578,,45.0005634905908,25.4594747812347,21.6815265017024
0.566, 66.25,-66.25,,,0.6024445,1.842996,1.19713,,,0.4876497,1.535177,1.239615,,45.0005634905908,25.5643386726438,21.5996461962108
0.577, 65.82,-65.82,,,0.6033443,1.838897,1.199236,,,0.489985,1.532841,1.241581,,45.0005634905908,25.6929408858527,21.4868797761519
0.589, 65.17,-65.17,,,0.6039358,1.833898,1.200837,,,0.49225,1.530576,1.242003,,45.0005634905908,25.7620538605936,21.3410449961466
0.6, 64.31,-64.31,,,0.6035963,1.828759,1.201028,,,0.4936888,1.529138,1.240229,,45.0005634905908,25.7630374078067,21.1960315463662
0.611, 63.47,-63.47,,,0.6026409,1.824686,1.201384,,,0.4939047,1.528922,1.238799,,45.0005634905908,25.6650259034917,21.1660026205158
0.622, 62.72,-62.72,,,0.601424,1.821504,1.202015,,,0.4935523,1.529274,1.238028,,45.0005634905908,25.549646936148,21.1861294798925
0.633, 61.98,-61.98,,,0.6006944,1.817895,1.201669,,,0.4936329,1.529194,1.236574,,45.0005634905908,25.4361565160572,21.232093236633
0.644, 61.31,-61.31,,,0.5995585,1.815035,1.20257,,,0.4932627,1.529564,1.236877,,45.0005634905908,25.3527069746475,21.29316366385
0.655, 60.68,-60.68,,,0.5986674,1.812065,1.202957,,,0.4932511,1.529575,1.236748,,45.0005634905908,25.3055940386111,21.3237526651967
0.666, 60.31,-60.31,,,0.5988069,1.809536,1.203562,,,0.494078,1.528749,1.23708,,45.0005634905908,25.3115858218937,21.3113336740839
0.679, 60.22,-60.22,,,0.5994121,1.808061,1.203851,,,0.4952553,1.527571,1.237479,,45.0005634905908,25.3987919672424,21.2408700294723
0.688, 60.07,-60.07,,,0.5996729,1.806743,1.204004,,,0.4959379,1.526889,1.237635,,45.0005634905908,25.4350039216668,21.2134416980761
0.7, 59.86,-59.86,,,0.5988985,1.806257,1.204061,,,0.4953606,1.527466,1.237589,,45.0005634905908,25.4014198824524,21.2483627467833
0.711, 59.45,-59.45,,,0.5981836,1.804801,1.20329,,,0.494728,1.528098,1.236441,,45.0005634905908,25.2727220465978,21.3606322705939
0.721, 58.9,-58.9,,,0.5958406,1.804174,1.202431,,,0.4924604,1.530366,1.235094,,45.0005634905908,25.0861588497051,21.5276150232283
0.733, 58.43,-58.43,,,0.5933641,1.804496,1.200638,,,0.489486,1.53334,1.232739,,45.0005634905908,24.8049241109086,21.7767154304214
0.744, 58.13,-58.13,,,0.5913839,1.805171,1.19834,,,0.4871126,1.535714,1.230064,,45.0005634905908,24.608108800357,21.9508801267683
0.755, 58.06,-58.06,,,0.5909046,1.805335,1.196777,,,0.4865157,1.536311,1.228296,,45.0005634905908,24.5493862506019,21.9931128927786
0.767, 58.06,-58.06,,,0.5910328,1.80488,1.196812,,,0.4871807,1.535646,1.228306,,45.0005634905908,24.658669274281,21.8820027935473
0.777, 58.38,-58.38,,,0.5925568,1.805045,1.197746,,,0.4887573,1.534069,1.229592,,45.0005634905908,24.7957562897503,21.762884297737
0.789, 58.41,-58.41,,,0.5927294,1.804967,1.196598,,,0.4890196,1.533807,1.228519,,45.0005634905908,24.8269907439556,21.7377526173853
0.799, 58.57,-58.57,,,0.592988,1.805532,1.195052,,,0.489246,1.533581,1.227322,,45.0005634905908,24.8873457088769,21.7038219460802
0.811, 58.73,-58.73,,,0.593098,1.806304,1.194394,,,0.4891816,1.533645,1.227221,,45.0005634905908,24.9265287955076,21.7118730313403
0.822, 59.03,-59.03,,,0.5935187,1.8079,1.193181,,,0.4888905,1.533936,1.226681,,45.0005634905908,24.9127096156539,21.7759043454801
0.833, 59.44,-59.44,,,0.5945157,1.809562,1.192679,,,0.4889379,1.533888,1.226962,,45.0005634905908,24.8875642749242,21.8569838113138
0.844, 59.79,-59.79,,,0.5955378,1.810948,1.191553,,,0.4891189,1.533708,1.226085,,45.0005634905908,24.84786892412,21.9007892283366
0.855, 60.23,-60.23,,,0.5971462,1.812297,1.190303,,,0.489716,1.53311,1.225023,,45.0005634905908,24.7994360540632,21.9424550886615
0.866, 60.82,-60.82,,,0.5984936,1.815011,1.188389,,,0.4895764,1.53325,1.223357,,45.0005634905908,24.7105565124144,22.0216477147895
0.877, 61.68,-61.68,,,0.6007866,1.818632,1.185542,,,0.4896402,1.533186,1.221148,,45.0005634905908,24.5824580256428,22.1631282493201
0.889, 62.53,-62.53,,,0.6028407,1.822527,1.183585,,,0.489277,1.533549,1.220093,,45.0005634905908,24.4299364906261,22.3551163238102
0.9, 63.13,-63.13,,,0.6044703,1.825143,1.182367,,,0.4890918,1.533735,1.219766,,45.0005634905908,24.31554448559,22.521955642476
