経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.83,-0.83,,,-0.1137034,1.799664,1.141412,,,-0.1144547,1.795598,1.141631,,45.7999961295596,43.9868234270929,10.8245833869313
0.011, 1.06,1.06,,,-0.1099731,1.796308,1.147666,,,-0.1090553,1.801521,1.147341,,45.7999961295596,43.4196650247651,10.4968504291066
0.022, 1.1,1.1,,,-0.1100323,1.795999,1.147575,,,-0.109071,1.801412,1.147236,,45.7999961295596,43.414248684904,10.5861722254919
0.033, 0.05,-0.05,,,-0.1127138,1.797074,1.142818,,,-0.1127563,1.796843,1.142831,,45.7999961295596,43.993926823632,10.783409300213
0.044, 0.75,-0.75,,,-0.1152769,1.796176,1.138491,,,-0.1159884,1.792501,1.138646,,45.7999961295596,44.719528534822,11.1579794251941
0.055, 0.68,-0.68,,,-0.1159623,1.795296,1.137998,,,-0.1166211,1.791958,1.138122,,45.7999961295596,45.0298137748975,11.3131322905153
0.066, 0.41,-0.41,,,-0.1158888,1.795036,1.139055,,,-0.1162933,1.793005,1.139132,,45.7999961295596,45.0254458690448,11.4200973188093
0.077, 0.34,-0.34,,,-0.1156711,1.79462,1.139034,,,-0.1160013,1.792969,1.139097,,45.7999961295596,45.0043269247188,11.4700430757252
0.089, 0.13,-0.13,,,-0.1147511,1.793675,1.139145,,,-0.1148756,1.793045,1.13917,,45.7999961295596,44.878757315417,11.3507085751884
0.1, 0.03,0.03,,,-0.113542,1.792748,1.139054,,,-0.1135089,1.792917,1.139047,,45.7999961295596,44.8644890506379,11.253666103935
0.111, 0.05,-0.05,,,-0.1127991,1.793453,1.139328,,,-0.1128448,1.79322,1.139338,,45.7999961295596,44.7488334606405,11.2641086091117
0.122, 0.13,0.13,,,-0.1111535,1.793017,1.139775,,,-0.1110304,1.793644,1.139748,,45.7999961295596,44.6948647224154,11.3076817997093
0.134, 0.12,-0.12,,,-0.1095818,1.792801,1.138323,,,-0.1097023,1.792194,1.138349,,45.7999961295596,44.7378231960048,11.4295972579068
0.144, 0.47,-0.47,,,-0.1074314,1.792869,1.136671,,,-0.107893,1.790553,1.136768,,45.7999961295596,44.808778614223,11.4609888064586
0.155, 0.84,-0.84,,,-0.104448,1.792786,1.1348,,,-0.1052667,1.788682,1.134964,,45.7999961295596,44.9075636374399,11.4530461504486
0.166, 1.1,-1.1,,,-0.1004969,1.792358,1.133077,,,-0.1015828,1.786947,1.133291,,45.7999961295596,44.9379101670778,11.5152427050736
0.177, 1.76,-1.76,,,-0.09484319,1.791732,1.129273,,,-0.09658659,1.7831,1.129582,,45.7999961295596,45.1584057428229,11.5504813575684
0.188, 2.27,-2.27,,,-0.09103416,1.791881,1.126953,,,-0.09329367,1.780768,1.127335,,45.7999961295596,45.2524745205492,11.6125191102996
0.199, 2.76,-2.76,,,-0.08676416,1.791534,1.124236,,,-0.08953437,1.778025,1.124691,,45.7999961295596,45.3127304477303,11.7012056991097
0.212, 3.23,-3.23,,,-0.08118432,1.790553,1.121017,,,-0.08445086,1.774752,1.121536,,45.7999961295596,45.3780168090951,11.78607421228
0.222, 3.94,-3.94,,,-0.07607087,1.790005,1.117096,,,-0.08013727,1.770756,1.117684,,45.7999961295596,45.554133231943,12.0156360101223
0.233, 4.92,-4.92,,,-0.07031864,1.789658,1.112053,,,-0.07546465,1.765592,1.112705,,45.7999961295596,45.7718762415291,12.1341414964716
0.244, 5.92,-5.92,,,-0.06401729,1.789128,1.106802,,,-0.07033703,1.760203,1.10751,,45.7999961295596,45.969453118152,12.373663417394
0.255, 6.57,-6.57,,,-0.05703902,1.787673,1.102362,,,-0.06413668,1.755601,1.103073,,45.7999961295596,46.1270153326359,12.5164775463229
0.266, 7.2,-7.2,,,-0.05010501,1.78676,1.098452,,,-0.05805038,1.751634,1.099249,,45.7999961295596,46.1557567678635,12.7848433553076
0.277, 8.01,-8.01,,,-0.04251247,1.786398,1.094285,,,-0.05151492,1.747403,1.095171,,45.7999961295596,46.2096093928759,13.0383236211841
0.288, 8.64,-8.64,,,-0.03475837,1.785089,1.089958,,,-0.0445776,1.74303,1.090955,,45.7999961295596,46.1884802032664,13.1830527643482
0.299, 9.44,-9.44,,,-0.02670757,1.783957,1.085024,,,-0.03758736,1.73805,1.086155,,45.7999961295596,46.1806425614119,13.3786454710724
0.311, 10.51,-10.51,,,-0.01955237,1.783386,1.079463,,,-0.03185722,1.732324,1.080634,,45.7999961295596,46.3219181902731,13.5861756405863
0.321, 11.29,-11.29,,,-0.01221078,1.783062,1.075301,,,-0.02562898,1.728267,1.076724,,45.7999961295596,46.2073690908905,13.8100120325163
0.333, 9.47,-9.47,,,0.00310367,1.767556,1.068947,,,-0.006990567,1.721307,1.070014,,45.7999961295596,46.0429971779936,12.3548120958093
0.344, 4.08,-4.08,,,0.02526587,1.743441,1.071337,,,0.02194403,1.723333,1.071968,,45.7999961295596,45.0346768694512,9.50185325794322
0.355, 0.41,0.41,,,0.04135311,1.727643,1.078209,,,0.0416288,1.729696,1.078102,,45.7999961295596,43.5982539760238,8.11236998450685
0.366, 0.85,0.85,,,0.04846098,1.71735,1.070465,,,0.04899446,1.721549,1.070247,,45.7999961295596,43.5679620878977,7.72293566075817
