経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.57,-0.57,,,0.428206,1.594452,1.121771,,,0.4272588,1.591757,1.121677,,45.8734855478893,36.2490013694529,19.4755120649597
0.01, 0.05,-0.05,,,0.4256225,1.594817,1.123842,,,0.4255443,1.594598,1.123836,,45.8734855478893,35.7952924060821,19.7642975776735
0.021, 2.58,-2.58,,,0.4147705,1.606508,1.108808,,,0.4100884,1.594482,1.108222,,45.8734855478893,36.1495845537553,21.4572316333372
0.033, 1.33,-1.33,,,0.4165417,1.603652,1.116571,,,0.4141467,1.59744,1.116313,,45.8734855478893,35.8665585978988,21.2226607456517
0.044, 1.05,-1.05,,,0.4189366,1.601259,1.11794,,,0.4170741,1.596332,1.117729,,45.8734855478893,36.0834683244294,20.8567367861456
0.055, 0.14,0.14,,,0.4217789,1.591724,1.117263,,,0.4220172,1.592384,1.11729,,45.8734855478893,36.3351539581514,20.0173270510773
0.066, 1.04,1.04,,,0.4251406,1.584409,1.117765,,,0.4268375,1.589339,1.117959,,45.8734855478893,36.6366009336868,19.138223672752
0.077, 2.18,2.18,,,0.425284,1.577153,1.116944,,,0.4287441,1.587474,1.117324,,45.8734855478893,36.7134849559396,18.6656753406272
0.088, 5.01,5.01,,,0.4324649,1.559867,1.122609,,,0.4397003,1.583827,1.123307,,45.8734855478893,37.150804880853,16.9030562818956
0.099, 7.56,7.56,,,0.4356141,1.54723,1.128578,,,0.4459128,1.583589,1.129195,,45.8734855478893,37.0525013859592,15.8585701227043
0.112, 9.22,9.22,,,0.4379273,1.535427,1.12746,,,0.4497975,1.579969,1.128145,,45.8734855478893,37.4322530630552,14.9624305455158
0.122, 9.94,9.94,,,0.4338965,1.532433,1.125125,,,0.4469655,1.580371,1.125862,,45.8734855478893,37.2636635084632,15.2887513617689
0.133, 9.07,9.07,,,0.4253763,1.536048,1.114503,,,0.4382164,1.579534,1.115971,,45.8734855478893,37.54454478498,16.5818888432278
0.144, 7.28,7.28,,,0.413954,1.550636,1.10924,,,0.4255736,1.585068,1.110873,,45.8734855478893,37.1840030143901,18.8544685942219
0.156, 6.85,6.85,,,0.4133593,1.551083,1.105632,,,0.424476,1.58342,1.107528,,45.8734855478893,37.5903719379409,19.2693342728638
0.278, 6.55,6.55,,,0.4146536,1.549994,1.102692,,,0.4251629,1.580954,1.104853,,45.8734855478893,38.2350120040571,19.1655802871639
0.284, 4.33,4.33,,,0.4084783,1.567941,1.104274,,,0.4152679,1.58849,1.105233,,45.8734855478893,37.3100643972984,18.4896408800471
0.312, 2.5,2.5,,,0.3993906,1.581253,1.098972,,,0.4033663,1.593076,1.099583,,45.8734855478893,37.4220043644908,18.8289510081928
0.346, 0.57,-0.57,,,0.3760114,1.606135,1.085553,,,0.3750668,1.60343,1.085398,,45.8734855478893,37.4002741182511,19.5217165858617
0.367, 1.96,-1.96,,,0.3607817,1.621805,1.080785,,,0.357427,1.612602,1.080263,,45.8734855478893,37.0428195930801,20.288540195093
0.388, 1.69,-1.69,,,0.3523544,1.629175,1.084467,,,0.3494904,1.621216,1.084071,,45.8734855478893,36.8034726957504,20.0010285126239
0.399, 1.17,-1.17,,,0.3525972,1.626238,1.084852,,,0.3506746,1.620726,1.084586,,45.8734855478893,36.9703410427194,19.4345189782493
0.409, 1.81,-1.81,,,0.3422706,1.635173,1.081694,,,0.3392878,1.626659,1.081288,,45.8734855478893,36.9077970022301,19.5069036135115
0.42, 1.4,-1.4,,,0.3364992,1.636328,1.08068,,,0.3342397,1.6297,1.080386,,45.8734855478893,36.9598020611234,19.0067681480967
0.432, 0.7,-0.7,,,0.3331072,1.636285,1.082706,,,0.3320112,1.632948,1.082586,,45.8734855478893,36.8427087163457,18.3166475611103
0.443, 0.28,0.28,,,0.3297545,1.633167,1.082846,,,0.330173,1.634517,1.082887,,45.8734855478893,37.0060151197617,17.322324017335
0.454, 0.88,0.88,,,0.3234529,1.634735,1.083391,,,0.3247355,1.638947,1.083488,,45.8734855478893,36.7863255063162,17.0048158524133
0.465, 1.61,1.61,,,0.3156308,1.634789,1.08136,,,0.3179248,1.642487,1.081504,,45.8734855478893,36.7437665987822,16.6410570628138
0.476, 1.51,1.51,,,0.3150638,1.635518,1.081022,,,0.3172412,1.642738,1.081162,,45.8734855478893,36.687963954816,16.8331219769299
0.486, 1.11,1.11,,,0.3045758,1.642307,1.076674,,,0.3062239,1.647613,1.076791,,45.8734855478893,36.5926691581678,17.3175514227853
0.498, 0.53,0.53,,,0.2944832,1.648265,1.070065,,,0.2952761,1.65077,1.070147,,45.8734855478893,36.9669669293633,17.6832824294527
0.508, 0.69,0.69,,,0.2866332,1.65332,1.07037,,,0.2876804,1.656585,1.070479,,45.8734855478893,36.9010863415573,17.9004978069402
0.519, 1.18,1.18,,,0.2782659,1.657345,1.071381,,,0.2800744,1.662955,1.071558,,45.8734855478893,36.7611186938857,17.9725341025644
0.531, 0.86,0.86,,,0.2711085,1.662203,1.068327,,,0.272439,1.666292,1.068472,,45.8734855478893,36.8871903220776,18.1523456576504
0.542, 1.1,1.1,,,0.2628662,1.666714,1.068151,,,0.2645766,1.671956,1.06833,,45.8734855478893,36.8020178654976,18.1940764047707
0.552, 1.82,1.82,,,0.2576354,1.666345,1.067997,,,0.260371,1.675007,1.068284,,45.8734855478893,37.0007729497196,17.6452314466454
0.565, 2.46,2.46,,,0.2499024,1.670737,1.071426,,,0.2536092,1.682483,1.071715,,45.8734855478893,36.5960808375633,17.5853084911771
0.575, 1.85,1.85,,,0.240153,1.678149,1.066978,,,0.2429669,1.686983,1.067207,,45.8734855478893,36.5884754221341,17.7461457812769
0.586, 1.99,1.99,,,0.2317622,1.682061,1.064993,,,0.2347947,1.691544,1.065253,,45.8734855478893,36.6308396692823,17.8179259448143
0.598, 2.33,2.33,,,0.2222642,1.6877,1.065891,,,0.2258382,1.69877,1.066149,,45.8734855478893,36.3530934495073,17.9561467716543
0.609, 2.1,2.1,,,0.211396,1.695364,1.063749,,,0.2146887,1.705351,1.063971,,45.8734855478893,36.1363134965673,18.3043634662298
0.619, 1.77,1.77,,,0.2034332,1.70051,1.060136,,,0.2062188,1.70892,1.060366,,45.8734855478893,36.3483054870323,18.4067479990392
0.63, 1.16,1.16,,,0.1907186,1.711093,1.057061,,,0.1926193,1.716585,1.057217,,45.8734855478893,36.0574248138489,19.1707695232414
0.641, 1.6,1.6,,,0.1830769,1.714982,1.058171,,,0.1856554,1.722537,1.058367,,45.8734855478893,36.0455027189844,18.9164867101598
0.652, 2.02,2.02,,,0.1733481,1.719709,1.058258,,,0.1766207,1.729248,1.058482,,45.8734855478893,35.8855396930741,18.9944328267989
0.663, 2.73,2.73,,,0.1670705,1.721759,1.060465,,,0.1713697,1.73471,1.060676,,45.8734855478893,35.7971502174846,18.3988932817123
0.674, 2.48,2.48,,,0.1570624,1.728841,1.058164,,,0.1610125,1.740596,1.058344,,45.8734855478893,35.6551949848199,18.6052486587216
0.686, 3.09,3.09,,,0.1487135,1.732279,1.059384,,,0.1535696,1.746928,1.059534,,45.8734855478893,35.514687752219,18.356681006269
0.697, 3.13,3.13,,,0.1392561,1.737341,1.057196,,,0.1441857,1.752196,1.057332,,45.8734855478893,35.4540185986046,18.3733637428525
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.3,-0.3,,,0.4486283,1.583553,1.129355,,,0.4478232,1.582316,1.12937,,45.8734855478893,30.1446770629732,33.0591596818498
0.011, 0.55,0.55,,,0.4482777,1.579544,1.130732,,,0.4497539,1.581867,1.130689,,45.8734855478893,29.9270911477336,32.4453886548284
0.021, 1.49,1.49,,,0.4476854,1.574304,1.131031,,,0.4516255,1.580647,1.130897,,45.8734855478893,29.8686008244038,31.855997987371
0.033, 2.32,2.32,,,0.4467095,1.569817,1.130972,,,0.4527448,1.579731,1.130769,,45.8734855478893,29.9653880173441,31.3377539834231
0.046, 3.05,3.05,,,0.4447375,1.566088,1.130085,,,0.4525867,1.579171,1.129847,,45.8734855478893,30.1285270811301,30.9669566840799
0.057, 3.6,3.6,,,0.4437481,1.562835,1.129254,,,0.4528812,1.578317,1.128976,,45.8734855478893,30.2094135941251,30.542381891803
0.067, 4.29,4.29,,,0.4430026,1.559717,1.130181,,,0.4537669,1.578273,1.129803,,45.8734855478893,30.1594234409809,30.1258872130894
0.079, 4.94,4.94,,,0.4427566,1.556247,1.130744,,,0.4549596,1.577718,1.130239,,45.8734855478893,30.0971696835232,29.622966738118
0.09, 5.76,5.76,,,0.4416645,1.552627,1.131783,,,0.4556417,1.577821,1.131061,,45.8734855478893,29.9652923946984,29.0411507502393
0.102, 5.83,5.83,,,0.4391295,1.553368,1.130919,,,0.4532974,1.578846,1.130114,,45.8734855478893,29.8090449915932,29.1043197530204
0.112, 5.34,5.34,,,0.4347289,1.557624,1.128098,,,0.4479019,1.580834,1.127429,,45.8734855478893,29.8468603328806,29.5971178879234
0.123, 5.16,5.16,,,0.4324663,1.559685,1.127072,,,0.4452587,1.582055,1.126451,,45.8734855478893,29.8628395599992,29.7809831601691
0.134, 5.56,5.56,,,0.4329798,1.558616,1.129619,,,0.4467144,1.582745,1.128847,,45.8734855478893,29.678670344344,29.6742682875464
0.145, 4.92,4.92,,,0.4305506,1.563921,1.129109,,,0.4429323,1.585192,1.128401,,45.8734855478893,29.5191717712843,30.2304881422227
0.158, 5.05,5.05,,,0.4315796,1.561961,1.128452,,,0.44421,1.583831,1.127823,,45.8734855478893,29.7710657257702,30.0262518313444
0.166, 5.16,5.16,,,0.4263964,1.565718,1.129473,,,0.4394285,1.587995,1.128718,,45.8734855478893,29.4687718068013,30.356409506257
0.178, 5.17,5.17,,,0.4285074,1.563276,1.12822,,,0.4414871,1.585631,1.127553,,45.8734855478893,29.6965825149439,30.1619642712814
0.19, 5.52,5.52,,,0.4259725,1.562663,1.127792,,,0.4397774,1.586555,1.127104,,45.8734855478893,29.7667524614294,30.0393999451308
0.201, 5.65,5.65,,,0.4226536,1.563301,1.126441,,,0.4367927,1.587767,1.125771,,45.8734855478893,29.8361062003317,30.0417905112738
0.211, 5.78,5.78,,,0.4211163,1.562883,1.125348,,,0.435528,1.587902,1.124691,,45.8734855478893,29.9038343542569,29.958960809514
0.222, 5.88,5.88,,,0.4207489,1.56275,1.125664,,,0.4353883,1.588209,1.12497,,45.8734855478893,29.8628190694323,29.9165385057596
0.233, 5.81,5.81,,,0.4209597,1.563278,1.12605,,,0.4354198,1.588455,1.125337,,45.8734855478893,29.8172378032746,29.8891801838004
