経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.74,-0.74,,,-0.02593098,1.803905,1.302192,,,-0.0243529,1.800598,1.301799,,45.0005634905908,20.3928986525176,26.2478664197174
0.01, 0.03,-0.03,,,-0.0247612,1.800391,1.306566,,,-0.02469549,1.800256,1.306551,,45.0005634905908,19.8632055442921,26.5201911769895
0.022, 0.71,0.71,,,-0.02381165,1.796408,1.310039,,,-0.0253798,1.799571,1.310352,,45.0005634905908,19.2845502263638,26.865639937481
0.032, 1.59,1.59,,,-0.02113057,1.793182,1.31414,,,-0.02471133,1.80024,1.314769,,45.0005634905908,18.6436599339976,27.297067116852
0.043, 2.36,2.36,,,-0.01981206,1.789295,1.318451,,,-0.02521016,1.799741,1.319294,,45.0005634905908,18.1262287225384,27.6512226607457
0.054, 2.81,2.81,,,-0.01950864,1.78651,1.322221,,,-0.02601179,1.798939,1.32314,,45.0005634905908,17.768910801147,27.8881004447591
0.066, 3.02,3.02,,,-0.02039547,1.784178,1.324341,,,-0.0274198,1.797531,1.325275,,45.0005634905908,17.6033162844227,27.9871825811967
0.077, 2.97,2.97,,,-0.0227082,1.782264,1.325343,,,-0.02958222,1.795369,1.326266,,45.0005634905908,17.673554532798,27.924503644475
0.088, 2.79,2.79,,,-0.02593934,1.780218,1.324902,,,-0.03237089,1.79258,1.325805,,45.0005634905908,17.8902286178088,27.752505825582
0.099, 2.56,2.56,,,-0.02952131,1.778246,1.324095,,,-0.03537635,1.789575,1.324969,,45.0005634905908,18.0839737584139,27.6270540370401
0.11, 2.35,2.35,,,-0.0303343,1.778805,1.321671,,,-0.03570583,1.789245,1.322523,,45.0005634905908,18.2374259066791,27.5560251942904
0.121, 2.34,2.34,,,-0.03465706,1.774566,1.321514,,,-0.0399996,1.784951,1.322376,,45.0005634905908,18.2546379829086,27.5641599493655
0.133, 2.65,2.65,,,-0.0373084,1.76984,1.322007,,,-0.04337984,1.781571,1.322958,,45.0005634905908,18.0951377023017,27.6885154925762
0.145, 3.1,3.1,,,-0.03813351,1.765917,1.323848,,,-0.04532338,1.779628,1.324913,,45.0005634905908,17.7551855363918,27.9663470897134
0.156, 3.52,3.52,,,-0.03931018,1.761923,1.324821,,,-0.04752768,1.777423,1.325953,,45.0005634905908,17.4518073249223,28.1890214957431
0.166, 3.79,3.79,,,-0.04165827,1.757733,1.325363,,,-0.05053763,1.774413,1.326515,,45.0005634905908,17.3171040454071,28.2593075554412
0.177, 3.77,3.77,,,-0.04614319,1.75339,1.32599,,,-0.05496574,1.769985,1.327096,,45.0005634905908,17.3237003004145,28.2144878553548
