経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.56,-0.56,,,0.07419436,1.779648,1.019688,,,0.07315557,1.777099,1.020252,,45.8734855478893,23.0728872233347,24.7565424672692
0.011, 1.86,1.86,,,0.07770911,1.768148,1.029463,,,0.08102582,1.776624,1.027475,,45.8734855478893,22.888854611459,24.3920494323544
0.022, 3.54,3.54,,,0.07929605,1.762678,1.038829,,,0.08552241,1.778751,1.034871,,45.8734855478893,22.4942028771033,24.5237952400413
0.034, 4.76,4.76,,,0.07944327,1.755219,1.039886,,,0.08780777,1.776897,1.034628,,45.8734855478893,22.6866571119912,24.3687858086887
0.045, 5.88,5.88,,,0.07878385,1.748274,1.039772,,,0.08908933,1.775065,1.033412,,45.8734855478893,22.929719632126,24.1931679896363
0.055, 6.15,6.15,,,0.0754866,1.748322,1.039153,,,0.08669235,1.77622,1.03259,,45.8734855478893,22.6082824009936,24.836131244358
0.066, 6.2,6.2,,,0.0726603,1.74839,1.036869,,,0.08429047,1.776419,1.03046,,45.8734855478893,22.5883211736997,25.2298762711266
0.077, 6.54,6.54,,,0.0725171,1.749852,1.041901,,,0.08508941,1.779259,1.035131,,45.8734855478893,22.2518933853035,25.7817145595723
0.088, 5.84,5.84,,,0.07031196,1.758318,1.045167,,,0.08212327,1.784303,1.039041,,45.8734855478893,21.4791309267542,27.0004507924727
0.099, 5.64,5.64,,,0.06997058,1.758849,1.043688,,,0.08157152,1.783892,1.037928,,45.8734855478893,21.5769989971006,27.2370536613797
0.111, 5.76,5.76,,,0.07224534,1.75638,1.043594,,,0.08405078,1.782022,1.037858,,45.8734855478893,21.9053381341973,26.9976282168767
0.121, 5.93,5.93,,,0.07384212,1.755421,1.045364,,,0.085963,1.781814,1.039487,,45.8734855478893,21.970387146495,26.9308016478969
0.133, 6.07,6.07,,,0.07509963,1.755471,1.048126,,,0.08753444,1.782494,1.041986,,45.8734855478893,21.7543619294373,27.0558743609504
0.144, 6.06,6.06,,,0.07590793,1.755736,1.049153,,,0.08833727,1.782673,1.043033,,45.8734855478893,21.7315371454136,27.108473646285
0.155, 6.17,6.17,,,0.07796038,1.754453,1.050459,,,0.09055254,1.781926,1.044229,,45.8734855478893,21.8052792807356,26.9742450649039
0.166, 6.2,6.2,,,0.07809985,1.754628,1.051109,,,0.09073975,1.78221,1.044804,,45.8734855478893,21.7269797018167,27.0064903870782
0.178, 6.3,6.3,,,0.07866319,1.754867,1.05296,,,0.09157553,1.782849,1.04651,,45.8734855478893,21.5848451766913,27.1748750360008
0.188, 6.2,6.2,,,0.07854024,1.754666,1.051678,,,0.09126101,1.782241,1.045367,,45.8734855478893,21.6599140762226,27.1366174399769
0.2, 6.34,6.34,,,0.0784269,1.754446,1.052573,,,0.09155702,1.782593,1.046143,,45.8734855478893,21.5890867240478,27.3389105620904
0.211, 6.25,6.25,,,0.07907154,1.754027,1.051713,,,0.09198548,1.781763,1.04544,,45.8734855478893,21.7060280971207,27.2581691906112
0.223, 6.29,6.29,,,0.07965192,1.75366,1.052195,,,0.09265871,1.781567,1.045846,,45.8734855478893,21.6364182261316,27.3048262115332
0.233, 6.06,6.06,,,0.08116855,1.753711,1.051706,,,0.0937279,1.780612,1.045614,,45.8734855478893,21.6697666238262,27.3162958063778
0.244, 6.08,6.08,,,0.08183537,1.753818,1.052661,,,0.09442312,1.780776,1.046532,,45.8734855478893,21.6291013861869,27.3364414487742
0.255, 5.88,5.88,,,0.08517127,1.753542,1.053936,,,0.09735587,1.77964,1.047916,,45.8734855478893,21.4839240118709,27.3985039609404
0.266, 5.65,5.65,,,0.09016193,1.753046,1.056143,,,0.1018135,1.778091,1.050262,,45.8734855478893,21.3270123728873,27.4146778484449
0.277, 5.34,5.34,,,0.09391433,1.753332,1.057536,,,0.1049303,1.777013,1.05191,,45.8734855478893,21.2085427450302,27.4664045771373
0.288, 4.95,4.95,,,0.09836517,1.753256,1.058315,,,0.1085653,1.775213,1.05309,,45.8734855478893,21.2006402163804,27.4506883122945
0.3, 4.74,4.74,,,0.1027175,1.752911,1.060249,,,0.1124768,1.773902,1.055215,,45.8734855478893,21.1145849578748,27.5013922201871
0.31, 4.25,4.25,,,0.1094351,1.752757,1.062268,,,0.1181583,1.771579,1.057729,,45.8734855478893,21.0815029375504,27.4701816716432
0.322, 3.58,3.58,,,0.1164413,1.753396,1.064081,,,0.1237958,1.76928,1.060232,,45.8734855478893,21.0401632187493,27.4751403888427
0.333, 3,3,,,0.1234659,1.753287,1.065637,,,0.1296222,1.766602,1.062408,,45.8734855478893,21.0415804829627,27.4544517464224
0.344, 2.42,2.42,,,0.1308289,1.753449,1.067877,,,0.1357936,1.764174,1.065269,,45.8734855478893,21.0074363682519,27.4871751818253
0.355, 1.87,1.87,,,0.1391087,1.752804,1.070256,,,0.1429455,1.761102,1.068233,,45.8734855478893,20.9861142258038,27.4808555494716
0.366, 1.21,1.21,,,0.1470259,1.752883,1.072222,,,0.1495124,1.758253,1.070916,,45.8734855478893,20.992932461953,27.4994917201034
0.378, 0.66,0.66,,,0.1550539,1.752422,1.07453,,,0.1564034,1.755331,1.073823,,45.8734855478893,20.9798594802454,27.5330296555422
0.388, 0.05,-0.05,,,0.1639623,1.752399,1.076962,,,0.1638675,1.752195,1.077012,,45.8734855478893,20.9733912912814,27.5320683064433
0.4, 0.81,-0.81,,,0.1729962,1.752091,1.078593,,,0.1713334,1.748517,1.079464,,45.8734855478893,20.9364553368251,27.5952799979054
0.411, 1.67,-1.67,,,0.1821761,1.752137,1.079951,,,0.17874,1.744759,1.081747,,45.8734855478893,20.9424180918046,27.6074052908921
0.422, 2.4,-2.4,,,0.1911651,1.751352,1.081163,,,0.1862112,1.740752,1.083756,,45.8734855478893,20.8650132676421,27.6950263702213
0.433, 3.16,-3.16,,,0.199517,1.751068,1.082102,,,0.1929669,1.737095,1.085526,,45.8734855478893,20.8191229354331,27.76152509013
0.444, 3.81,-3.81,,,0.2084124,1.749638,1.083072,,,0.2004951,1.732808,1.087209,,45.8734855478893,20.758783338437,27.8419642257469
0.455, 2.77,-2.77,,,0.2227451,1.732725,1.08411,,,0.2173355,1.720306,1.087006,,45.8734855478893,21.9567455515548,26.176741954322
0.466, 1.09,-1.09,,,0.2398027,1.713315,1.090063,,,0.2378514,1.708349,1.09122,,45.8734855478893,22.917208433462,24.4205381505897
0.478, 0.7,-0.7,,,0.252395,1.705899,1.096102,,,0.2512044,1.702713,1.09689,,45.8734855478893,22.8064859474554,23.9972576791246
0.489, 0.7,-0.7,,,0.2578864,1.700995,1.094867,,,0.2566794,1.697793,1.095658,,45.8734855478893,22.735598831127,24.1215193072367
0.5, 1.47,-1.47,,,0.2613012,1.697831,1.087025,,,0.2586988,1.691127,1.088589,,45.8734855478893,23.0108417866408,24.2387868218334
0.511, 2.81,-2.81,,,0.2598574,1.703683,1.08133,,,0.2545048,1.691022,1.084252,,45.8734855478893,22.3293323604109,25.5975965703344
0.522, 3.26,-3.26,,,0.265853,1.702864,1.082098,,,0.2595165,1.688219,1.085442,,45.8734855478893,22.2273952049797,25.9527015104963
0.533, 3.81,-3.81,,,0.2721115,1.703505,1.084182,,,0.264509,1.68647,1.08805,,45.8734855478893,22.0170305070391,26.4840987508723
0.544, 3.23,-3.23,,,0.2807638,1.690736,1.080845,,,0.2744528,1.676198,1.08399,,45.8734855478893,22.7249403212238,25.7625336813694
0.555, 1.52,-1.52,,,0.2964356,1.668594,1.082,,,0.2937369,1.661635,1.08342,,45.8734855478893,24.2663141909698,23.5486662348469
0.566, 0.22,0.22,,,0.3087148,1.654398,1.090509,,,0.3090786,1.655416,1.090283,,45.8734855478893,24.3068257493571,22.6684375828872
0.577, 0.39,0.39,,,0.3126159,1.64965,1.089419,,,0.3132543,1.651427,1.089021,,45.8734855478893,24.133098185105,22.8235016557516
0.589, 0.63,0.63,,,0.3192723,1.641007,1.086495,,,0.3203066,1.64394,1.085867,,45.8734855478893,24.7368561550817,22.2831654055482
0.6, 1.1,1.1,,,0.3279674,1.634846,1.090963,,,0.3297339,1.639935,1.089833,,45.8734855478893,24.5542527602501,22.2605574800245
0.611, 0.02,-0.02,,,0.3250308,1.639529,1.084365,,,0.3249899,1.639421,1.084388,,45.8734855478893,23.8571090314451,23.4204106537288
0.622, 1.01,-1.01,,,0.3262366,1.641244,1.079054,,,0.324414,1.636645,1.080029,,45.8734855478893,23.7272073747827,24.081904211153
0.633, 1.54,-1.54,,,0.3317523,1.643738,1.083097,,,0.3288798,1.636732,1.084613,,45.8734855478893,23.2214643242154,24.7586290900025
0.645, 2.74,-2.74,,,0.3350039,1.647045,1.079952,,,0.3297393,1.634668,1.082658,,45.8734855478893,22.8009449566454,25.4447745070027
0.655, 3.21,-3.21,,,0.3414564,1.644229,1.078402,,,0.3353137,1.629726,1.081495,,45.8734855478893,23.0725644969054,25.2579432251925
0.667, 3.49,-3.49,,,0.3474785,1.643355,1.080672,,,0.3408078,1.627598,1.084089,,45.8734855478893,22.9197082826287,25.3250173885228
0.677, 2.16,-2.16,,,0.361859,1.625671,1.083135,,,0.3580586,1.615771,1.085215,,45.8734855478893,24.0996251364615,23.5152990541327
