経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.87,-0.87,,,0.1881853,1.58372,0.9329311,,,0.1882977,1.579404,0.9332192,,45.7999961295596,42.2512211808714,3.86715695091257
0.012, 0.4,0.4,,,0.192605,1.577281,0.9332449,,,0.1925291,1.579292,0.933111,,45.7999961295596,42.2837670313608,4.16273636722739
0.022, 2.25,2.25,,,0.1993425,1.569201,0.9349257,,,0.1987177,1.580411,0.9341903,,45.7999961295596,42.3941941116941,4.73176496067519
0.034, 3.9,3.9,,,0.2026613,1.564301,0.9387139,,,0.2014305,1.583699,0.9373596,,45.7999961295596,42.1832744608989,5.20676533064376
0.045, 4.13,4.13,,,0.2007319,1.564521,0.9401881,,,0.1995519,1.585057,0.9386685,,45.7999961295596,41.9227232418809,5.15700484260399
0.055, 2.81,2.81,,,0.1961046,1.568351,0.9370521,,,0.1954381,1.582371,0.936079,,45.7999961295596,42.1508208179607,4.60479003999076
0.065, 4.06,4.06,,,0.1928659,1.563146,0.9383779,,,0.1920786,1.583368,0.9370409,,45.7999961295596,42.3149297685818,4.17396519791042
0.077, 2.79,2.79,,,0.185751,1.568609,0.9371358,,,0.1854741,1.582549,0.9362506,,45.7999961295596,42.4286011886806,3.56902816656099
0.088, 2.64,2.64,,,0.1834421,1.569348,0.9370242,,,0.1832615,1.582534,0.9362361,,45.7999961295596,42.6354090657098,3.26560705296698
0.099, 3.66,3.66,,,0.1863552,1.566053,0.9390275,,,0.1859563,1.584334,0.9379714,,45.7999961295596,42.7580587692227,3.30138187529669
0.11, 4.13,4.13,,,0.1856353,1.565707,0.9411561,,,0.1851769,1.586336,0.9399015,,45.7999961295596,42.584933969148,3.47102093111413
0.121, 3.97,3.97,,,0.1871268,1.566886,0.9415148,,,0.1866134,1.58671,0.9402626,,45.7999961295596,42.4562702842383,3.67562265710288
0.134, 4.76,4.76,,,0.1850794,1.569568,0.9482813,,,0.1845227,1.593325,0.9466393,,45.7999961295596,42.1137260616106,3.93795783610506
0.143, 5.23,5.23,,,0.1855765,1.569312,0.9504325,,,0.1848554,1.595373,0.9486135,,45.7999961295596,42.0814636639638,4.06264293593397
0.155, 5.41,5.41,,,0.1847357,1.569096,0.951147,,,0.183957,1.596077,0.9492918,,45.7999961295596,42.1430104968621,4.03507330500323
0.166, 5.48,5.48,,,0.1846013,1.569021,0.9513913,,,0.1838214,1.596332,0.9495379,,45.7999961295596,42.1932977632269,3.98157627670462
0.177, 5.6,5.6,,,0.1839025,1.569059,0.9520725,,,0.1831137,1.596992,0.9501745,,45.7999961295596,42.1880214422399,3.97862392751803
0.188, 5.89,5.89,,,0.182248,1.569036,0.9535074,,,0.1814441,1.598403,0.9515342,,45.7999961295596,42.2294021421749,3.91946552632867
0.199, 6.25,6.25,,,0.1813703,1.569114,0.9554286,,,0.1805401,1.600266,0.9533299,,45.7999961295596,42.2180332926178,3.91241463686731
0.21, 6.68,6.68,,,0.1802374,1.569171,0.9576924,,,0.1793993,1.602485,0.9554693,,45.7999961295596,42.2519656714702,3.84633981556213
0.221, 7.03,7.03,,,0.1784424,1.569324,0.9596561,,,0.177615,1.604392,0.9573079,,45.7999961295596,42.2368299726906,3.82581936654551
0.233, 7.4,7.4,,,0.1749337,1.569994,0.9621333,,,0.1741687,1.606897,0.9597227,,45.7999961295596,42.3261142030365,3.68291345695216
0.244, 7.6,7.6,,,0.1735235,1.569979,0.9631532,,,0.1727417,1.607891,0.9606806,,45.7999961295596,42.3317012976221,3.67556929625148
0.255, 7.99,7.99,,,0.1688797,1.57128,0.9663646,,,0.1681462,1.611126,0.9637996,,45.7999961295596,42.3773235449136,3.59068712270321
0.266, 8.11,8.11,,,0.1672547,1.571838,0.967551,,,0.1664844,1.612314,0.9649445,,45.7999961295596,42.3766507712991,3.60266385907954
0.277, 8.22,8.22,,,0.1617028,1.575023,0.9711884,,,0.1609716,1.616031,0.9685277,,45.7999961295596,42.3475370907721,3.60912564474138
0.288, 8.28,8.28,,,0.1576384,1.577688,0.974136,,,0.1569375,1.619005,0.9713949,,45.7999961295596,42.2633618417832,3.67572895191888
0.3, 8.08,8.08,,,0.1519123,1.582485,0.9778333,,,0.1513054,1.622766,0.9750208,,45.7999961295596,42.0631655876865,3.84160222573092
0.31, 8.05,8.05,,,0.1461889,1.586751,0.9819322,,,0.1457156,1.626898,0.9790031,,45.7999961295596,41.8814210891192,3.98029732381812
0.322, 7.9,7.9,,,0.1405127,1.590793,0.9851056,,,0.1401146,1.630156,0.9821447,,45.7999961295596,41.7515108947206,4.09265948206677
0.333, 7.71,7.71,,,0.1340126,1.595437,0.9886792,,,0.133712,1.63387,0.9857247,,45.7999961295596,41.6562570792063,4.16964638404104
0.344, 7.4,7.4,,,0.1272324,1.60016,0.9916868,,,0.1270485,1.637039,0.9887796,,45.7999961295596,41.543446262919,4.26682161709278
0.355, 6.97,6.97,,,0.1195336,1.604981,0.9941614,,,0.1194833,1.639701,0.9913456,,45.7999961295596,41.4134199553078,4.3874461695731
0.366, 6.93,6.93,,,0.1129705,1.60834,0.997297,,,0.1129479,1.642888,0.9944182,,45.7999961295596,41.2866721384069,4.51344906898832
0.378, 6.97,6.97,,,0.1056904,1.611019,1.000101,,,0.1056998,1.645728,0.9971559,,45.7999961295596,41.1994984364559,4.60049171668831
0.388, 6.99,6.99,,,0.09857506,1.613626,1.002789,,,0.0986034,1.648462,0.999791,,45.7999961295596,41.1315824523338,4.66866639421802
0.399, 7.32,7.32,,,0.0923852,1.61487,1.00573,,,0.09235366,1.651307,1.002534,,45.7999961295596,41.0362193537958,4.76398851162214
0.411, 7.87,7.87,,,0.0864616,1.615426,1.009224,,,0.08632482,1.654606,1.005715,,45.7999961295596,40.9323936511117,4.87206301873862
0.422, 8.37,8.37,,,0.07966679,1.615342,1.011795,,,0.07944351,1.657003,1.008025,,45.7999961295596,40.8801529506986,4.93022250478967
0.433, 8.89,8.89,,,0.07289647,1.615225,1.014404,,,0.07263083,1.659476,1.010409,,45.7999961295596,40.8930620078707,4.91999984632075
0.444, 9.31,9.31,,,0.06612465,1.615161,1.016582,,,0.06582914,1.66154,1.012398,,45.7999961295596,40.8972967250382,4.91745047828398
0.455, 9.75,9.75,,,0.05893264,1.615258,1.018975,,,0.0586579,1.663796,1.014573,,45.7999961295596,40.8696378747639,4.9418914557751
0.466, 10.2,10.2,,,0.05257457,1.615338,1.021491,,,0.05229069,1.666146,1.016839,,45.7999961295596,40.8193950046275,4.99178897448128
0.477, 10.7,10.7,,,0.04613825,1.616156,1.024987,,,0.04586474,1.669447,1.020021,,45.7999961295596,40.7269927930123,5.08226251148325
0.488, 11.23,11.23,,,0.04076696,1.616298,1.028004,,,0.04044473,1.672214,1.022689,,45.7999961295596,40.6210565619333,5.1904074549236
0.5, 11.77,11.77,,,0.03642591,1.616919,1.031519,,,0.03598623,1.6755,1.025856,,45.7999961295596,40.529552520169,5.28953911023128
0.511, 12.31,12.31,,,0.03250365,1.617608,1.035105,,,0.03197498,1.678847,1.029082,,45.7999961295596,40.4361428556792,5.38881590705479
0.522, 12.73,12.73,,,0.02899097,1.61897,1.038745,,,0.02840759,1.682294,1.032406,,45.7999961295596,40.3365416248792,5.49137119458867
0.533, 13.2,13.2,,,0.02526077,1.619638,1.041934,,,0.02465696,1.685321,1.035324,,45.7999961295596,40.3055667178551,5.52204813461847
0.544, 13.53,13.53,,,0.02112921,1.620965,1.044978,,,0.02057258,1.688285,1.038181,,45.7999961295596,40.2868520000501,5.5354822625684
0.555, 13.64,13.64,,,0.0178664,1.62342,1.047913,,,0.01733902,1.69129,1.041077,,45.7999961295596,40.3007070383959,5.51903047174977
0.566, 13.87,13.87,,,0.01443176,1.625357,1.05102,,,0.0139606,1.694378,1.044055,,45.7999961295596,40.2894850379019,5.52566685411741
0.577, 13.96,13.96,,,0.01182731,1.628663,1.054791,,,0.01138378,1.698113,1.047655,,45.7999961295596,40.1849114295244,5.62817390344162
0.589, 13.96,13.96,,,0.008770507,1.632796,1.058915,,,0.008432174,1.70219,1.051585,,45.7999961295596,40.0213352336437,5.7861122052062
0.599, 13.87,13.87,,,0.005181897,1.637011,1.062742,,,0.004954621,1.705967,1.055226,,45.7999961295596,39.8300762818273,5.9732363313689
0.611, 13.65,13.65,,,0.002660416,1.642411,1.066928,,,0.002566919,1.71024,1.059345,,45.7999961295596,39.6716056522091,6.12890274152402
0.621, 13.29,13.29,,,-0.001373123,1.648107,1.070729,,,-0.001198743,1.71414,1.063105,,45.7999961295596,39.4637151902265,6.33827706206251
0.633, 12.99,12.99,,,-0.004771343,1.653477,1.074434,,,-0.004532315,1.71796,1.066788,,45.7999961295596,39.2880461447567,6.51580776091607
0.644, 12.59,12.59,,,-0.008271737,1.658842,1.077563,,,-0.00788017,1.72132,1.070027,,45.7999961295596,39.1740844416264,6.63675546671251
0.655, 12.28,12.28,,,-0.0124841,1.664195,1.081167,,,-0.0119325,1.725141,1.073711,,45.7999961295596,39.0773450600089,6.74502975685666
0.667, 11.92,11.92,,,-0.0152217,1.669384,1.084322,,,-0.01464082,1.728528,1.076975,,45.7999961295596,38.9715351874261,6.85446304469334
0.677, 11.68,11.68,,,-0.01863857,1.674649,1.088256,,,-0.0180301,1.732601,1.080902,,45.7999961295596,38.821714992151,7.00745500897601
0.689, 11.35,11.35,,,-0.02245652,1.680115,1.091867,,,-0.02176439,1.736375,1.08454,,45.7999961295596,38.6348751726046,7.20426647754632
0.699, 11.02,11.02,,,-0.02652417,1.68547,1.095408,,,-0.02580149,1.740094,1.088125,,45.7999961295596,38.4621123725458,7.38219460802115
0.711, 10.73,10.73,,,-0.03053895,1.690911,1.099232,,,-0.02978613,1.744063,1.091951,,45.7999961295596,38.2566056465172,7.59297850881037
0.722, 10.35,10.35,,,-0.03483562,1.696179,1.10232,,,-0.0340368,1.747429,1.095196,,45.7999961295596,38.1445563963012,7.71467198586606
0.733, 9.98,9.98,,,-0.03852786,1.70125,1.105286,,,-0.03776884,1.750677,1.098327,,45.7999961295596,38.0440535805558,7.81281070245079
0.744, 9.64,9.64,,,-0.0433685,1.706606,1.108668,,,-0.04258177,1.754294,1.101813,,45.7999961295596,37.8795792148242,7.98485206379852
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.27,-0.27,,,0.2066569,1.565937,0.9188502,,,0.2065112,1.564572,0.9189209,,45.7999961295596,43.4261024778787,6.65988163282498
0.01, 0.61,0.61,,,0.2084463,1.562415,0.9199142,,,0.208756,1.565438,0.9197555,,45.7999961295596,43.3617108712703,6.45752533146338
0.022, 1.41,1.41,,,0.2104771,1.558083,0.9197909,,,0.2111681,1.565104,0.9194339,,45.7999961295596,43.4318398366219,6.21063022153718
0.032, 2.22,2.22,,,0.2123085,1.553817,0.9197503,,,0.213343,1.564853,0.9191922,,45.7999961295596,43.4200372700645,5.96473103854162
0.044, 2.75,2.75,,,0.2133332,1.55106,0.9197946,,,0.2145801,1.564758,0.9191003,,45.7999961295596,43.3987509861085,5.83052166706699
0.056, 3.18,3.18,,,0.2138502,1.54943,0.9204156,,,0.2152984,1.565266,0.9195899,,45.7999961295596,43.3185918882399,5.88955925928877
0.068, 2.31,2.31,,,0.2109278,1.552242,0.9187181,,,0.2120596,1.563728,0.9181074,,45.7999961295596,43.3014959252231,6.27332367241048
0.078, 1.99,1.99,,,0.208158,1.552835,0.917658,,,0.2092325,1.562724,0.9171391,,45.7999961295596,43.4031906089455,6.77560765914625
0.089, 1.73,1.73,,,0.2067291,1.553517,0.9169918,,,0.2077096,1.562105,0.9165429,,45.7999961295596,43.4513161204982,7.05668999935113
0.1, 1.49,1.49,,,0.2060891,1.553871,0.9160962,,,0.2069565,1.561248,0.9157166,,45.7999961295596,43.5212948216922,7.21746240265558
0.112, 1.53,1.53,,,0.2066057,1.553401,0.915876,,,0.2075031,1.561001,0.9154791,,45.7999961295596,43.4800370651589,7.25985226301236
0.122, 1.67,1.67,,,0.2079426,1.553324,0.9165051,,,0.2089076,1.561606,0.9160618,,45.7999961295596,43.3969341558399,7.20592792101569
0.133, 1.78,1.78,,,0.2089487,1.553074,0.9168522,,,0.2099566,1.561926,0.9163706,,45.7999961295596,43.3283897943316,7.08759062807003
