経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.88,-0.88,,,-0.1219204,1.794072,1.1357,,,-0.1229261,1.789787,1.136029,,45.7999961295596,43.3317365869318,13.7946091025929
0.011, 0.68,-0.68,,,-0.1219551,1.791805,1.134556,,,-0.122721,1.788516,1.134804,,45.7999961295596,43.3780725889717,13.6794145503516
0.023, 0.44,-0.44,,,-0.1217774,1.789438,1.133473,,,-0.1222699,1.7873,1.133632,,45.7999961295596,43.4105706281383,13.5353889166523
0.034, 0.38,-0.38,,,-0.1208683,1.788708,1.133058,,,-0.121295,1.786849,1.133197,,45.7999961295596,43.3690738149907,13.4985981037119
0.045, 0.39,-0.39,,,-0.1207717,1.788805,1.133114,,,-0.1212058,1.786913,1.133258,,45.7999961295596,43.2699131313798,13.5161141233509
0.055, 0.32,-0.32,,,-0.1208304,1.788942,1.133577,,,-0.1211913,1.78737,1.133699,,45.7999961295596,43.2058869398818,13.5479607332436
0.066, 0.46,-0.46,,,-0.1204089,1.789052,1.132998,,,-0.1209222,1.786822,1.133171,,45.7999961295596,43.2088444117101,13.5783371449582
0.077, 0.49,-0.49,,,-0.1206232,1.789153,1.132926,,,-0.1211753,1.78676,1.133111,,45.7999961295596,43.2236454312297,13.6069351462173
0.088, 0.66,-0.66,,,-0.1203614,1.78933,1.132255,,,-0.121103,1.78613,1.132504,,45.7999961295596,43.2419879037353,13.6566802663318
0.101, 0.86,-0.86,,,-0.1197634,1.789653,1.13157,,,-0.1207349,1.785495,1.131891,,45.7999961295596,43.2805340752436,13.7487887798209
0.11, 0.91,-0.91,,,-0.119037,1.789922,1.131555,,,-0.1200771,1.785499,1.131896,,45.7999961295596,43.3137253785917,13.8255549813137
0.122, 0.92,-0.92,,,-0.1184585,1.789938,1.131549,,,-0.1195044,1.785494,1.131891,,45.7999961295596,43.3270305867246,13.8318985193289
0.133, 0.94,-0.94,,,-0.1184252,1.789268,1.130758,,,-0.119504,1.784683,1.131108,,45.7999961295596,43.3554031917473,13.8186505140286
0.144, 0.96,-0.96,,,-0.1177323,1.789184,1.130589,,,-0.1188308,1.784511,1.130943,,45.7999961295596,43.381579891013,13.7986474518272
0.155, 0.97,-0.97,,,-0.1170502,1.788526,1.129942,,,-0.1181508,1.78384,1.130296,,45.7999961295596,43.3891545705917,13.7866579088466
0.166, 0.94,-0.94,,,-0.1157545,1.788512,1.13006,,,-0.1168246,1.783953,1.130405,,45.7999961295596,43.3798757588625,13.7824872247007
0.178, 0.91,-0.91,,,-0.1151085,1.787921,1.129623,,,-0.1161484,1.783491,1.12996,,45.7999961295596,43.3629437203812,13.7868158569667
0.188, 0.9,-0.9,,,-0.1145845,1.787397,1.129181,,,-0.1156111,1.783029,1.129515,,45.7999961295596,43.3481631914286,13.8090677588898
0.2, 0.77,-0.77,,,-0.1135179,1.786915,1.129371,,,-0.114398,1.783179,1.129659,,45.7999961295596,43.3321976246879,13.8427798641475
0.211, 0.78,-0.78,,,-0.1130795,1.786418,1.128844,,,-0.1139727,1.782636,1.129135,,45.7999961295596,43.3344993983742,13.8743174079888
0.222, 0.8,-0.8,,,-0.1120596,1.785933,1.128294,,,-0.1129741,1.782072,1.128592,,45.7999961295596,43.3448198139229,13.9098779331393
0.233, 0.84,-0.84,,,-0.1110164,1.784784,1.12696,,,-0.1119853,1.780704,1.127273,,45.7999961295596,43.3774100606407,13.9332132737893
0.245, 0.9,-0.9,,,-0.1099168,1.784174,1.126059,,,-0.1109601,1.779788,1.12639,,45.7999961295596,43.4340050065285,13.9396789014324
0.255, 0.97,-0.97,,,-0.1087821,1.782928,1.124517,,,-0.1099057,1.77821,1.124869,,45.7999961295596,43.4900671976759,13.9389420947962
0.267, 0.98,-0.98,,,-0.108139,1.782285,1.123839,,,-0.1092758,1.77751,1.124194,,45.7999961295596,43.503310934108,13.9315680520187
0.278, 1.11,-1.11,,,-0.107487,1.782253,1.123185,,,-0.1087657,1.776878,1.123585,,45.7999961295596,43.5045062171795,13.9225718393585
0.288, 1.23,-1.23,,,-0.1060995,1.780929,1.121308,,,-0.1075134,1.774974,1.12175,,45.7999961295596,43.5073270852282,13.8951810740017
