経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.45,-0.45,,,0.2975648,1.616699,1.067924,,,0.2973889,1.614454,1.068099,,44.8234874261913,38.6807877029278,6.14560938376897
0.01, 1.04,-1.04,,,0.295741,1.62087,1.06743,,,0.2953065,1.615724,1.067812,,44.8234874261913,38.5891026611555,6.26300154931453
0.021, 0.19,0.19,,,0.2894775,1.616308,1.064326,,,0.289578,1.617265,1.064263,,44.8234874261913,38.1641590386737,6.91049151178265
0.032, 2.4,2.4,,,0.2954175,1.606767,1.074019,,,0.2964733,1.618665,1.073139,,44.8234874261913,38.4452554661433,6.42833908017845
0.043, 5.09,5.09,,,0.3060514,1.592664,1.085354,,,0.3076119,1.617997,1.083333,,44.8234874261913,39.2974137489427,5.55932815984464
0.054, 6.85,6.85,,,0.30919,1.582655,1.087437,,,0.3107836,1.616776,1.084777,,44.8234874261913,39.9801560242836,4.9785845116358
0.066, 7.98,7.98,,,0.3107908,1.576724,1.088966,,,0.3124076,1.616492,1.085999,,44.8234874261913,40.3608195316084,4.63747164048617
0.077, 8.82,8.82,,,0.309261,1.571848,1.086599,,,0.3111206,1.615803,1.083738,,44.8234874261913,40.6667095450753,4.23063655653746
0.088, 9.7,9.7,,,0.3074437,1.569686,1.088515,,,0.3096622,1.618061,1.085474,,44.8234874261913,40.6091276368798,4.24948190170675
0.099, 8.5,8.5,,,0.2974833,1.579718,1.084239,,,0.3005474,1.622034,1.081977,,44.8234874261913,39.921255889615,4.99751608794096
0.11, 7.76,7.76,,,0.2920229,1.58606,1.082471,,,0.295529,1.624651,1.08066,,44.8234874261913,39.470166303718,5.72693630165757
0.121, 7.81,7.81,,,0.2924804,1.587763,1.085525,,,0.2958663,1.626642,1.083812,,44.8234874261913,39.7347473342342,5.4649353750286
0.132, 7.82,7.82,,,0.2942114,1.58807,1.087345,,,0.2972448,1.627044,1.085759,,44.8234874261913,40.2331564693842,4.90767989294817
0.144, 7.66,7.66,,,0.2962312,1.591041,1.092207,,,0.2988871,1.629187,1.090432,,44.8234874261913,40.3137151333082,4.65223210575865
0.156, 7.51,7.51,,,0.2957597,1.596979,1.099307,,,0.2982578,1.634389,1.09716,,44.8234874261913,39.9852103641288,4.87125876398624
0.167, 6.66,6.66,,,0.2924021,1.605217,1.101352,,,0.2947915,1.638393,1.099356,,44.8234874261913,39.66276055748,5.20409301920535
0.177, 5.79,5.79,,,0.287892,1.615081,1.104327,,,0.2901625,1.643857,1.102455,,44.8234874261913,39.1915253291866,5.68254818413734
0.187, 4.81,4.81,,,0.2825054,1.625471,1.1063,,,0.2845734,1.649388,1.104687,,44.8234874261913,38.7967130853899,6.10595757541952
0.198, 3.59,3.59,,,0.2781378,1.636917,1.108709,,,0.2797922,1.654735,1.107469,,44.8234874261913,38.4573107496929,6.47129627310738
0.209, 2.5,2.5,,,0.2732598,1.648143,1.111261,,,0.2744697,1.66055,1.110368,,44.8234874261913,38.1816306620844,6.76132231889469
0.22, 1.45,1.45,,,0.269486,1.659334,1.11508,,,0.2702097,1.666507,1.114534,,44.8234874261913,37.8843125357873,7.04845706030943
0.232, 0.38,0.38,,,0.2661185,1.670947,1.119759,,,0.2663123,1.672847,1.119603,,44.8234874261913,37.6085812217614,7.28679991985912
0.243, 0.36,-0.36,,,0.2628109,1.681404,1.125363,,,0.2626299,1.679635,1.125519,,44.8234874261913,37.308165604762,7.55465687976477
0.254, 1.1,-1.1,,,0.2593586,1.692613,1.131851,,,0.2587962,1.68719,1.132371,,44.8234874261913,36.9659287406384,7.87414665326432
0.265, 1.75,-1.75,,,0.2549062,1.703229,1.137092,,,0.2539864,1.694552,1.137973,,44.8234874261913,36.6480824813621,8.18323661026828
0.276, 2.3,-2.3,,,0.2501331,1.713101,1.141854,,,0.2488972,1.701739,1.143047,,44.8234874261913,36.4002285836579,8.42953578620598
0.287, 2.77,-2.77,,,0.2451627,1.722313,1.146079,,,0.2436337,1.708644,1.147549,,44.8234874261913,36.1805287249289,8.65015259780546
0.298, 2.29,-2.29,,,0.2430324,1.725419,1.152236,,,0.2418667,1.714083,1.153474,,44.8234874261913,36.4716211339707,8.35263468848077
0.309, 2.35,-2.35,,,0.2384527,1.733095,1.158018,,,0.2372506,1.721481,1.159319,,44.8234874261913,36.3348909958757,8.4911637275984
0.32, 1.99,-1.99,,,0.2366867,1.737488,1.165378,,,0.2357323,1.727649,1.166525,,44.8234874261913,36.4159892447291,8.4359399421483
0.331, 1.35,-1.35,,,0.2331553,1.741842,1.17313,,,0.2325278,1.735161,1.173942,,44.8234874261913,36.34363363777,8.54470045637046
0.343, 0.66,-0.66,,,0.2284812,1.745614,1.179326,,,0.2281755,1.742332,1.179732,,44.8234874261913,36.287629503229,8.61652757745719
0.354, 0.63,-0.63,,,0.2207877,1.753292,1.182738,,,0.2204613,1.750182,1.18312,,44.8234874261913,35.8441521629501,9.00121406609119
0.365, 0.25,-0.25,,,0.2145672,1.75868,1.187219,,,0.2144322,1.757449,1.187367,,44.8234874261913,35.7281960446376,9.10085713179874
0.376, 0.29,-0.29,,,0.2055067,1.766351,1.188677,,,0.2053282,1.764926,1.188838,,44.8234874261913,35.4252020312982,9.4254601555234
0.387, 0.03,-0.03,,,0.1972129,1.772955,1.191828,,,0.1971929,1.772804,1.191844,,44.8234874261913,35.2240017394215,9.69787114393143
