経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.76,-0.76,,,0.2045751,1.780198,1.207995,,,0.2042818,1.776401,1.208301,,44.8235181620417,38.632341172493,6.1911855272849
0.01, 0.99,-0.99,,,0.203505,1.78144,1.206926,,,0.2031226,1.776527,1.207319,,44.8235181620417,38.6264193986474,6.19745265256081
0.021, 0.74,-0.74,,,0.2016213,1.781226,1.206707,,,0.2013377,1.777561,1.206996,,44.8235181620417,38.7025042887895,6.12195771999185
0.033, 0.69,-0.69,,,0.2002564,1.781989,1.206821,,,0.1999978,1.778569,1.207082,,44.8235181620417,38.8640006921258,5.96098297233887
0.046, 0.49,-0.49,,,0.1990499,1.781936,1.207068,,,0.1988727,1.779483,1.20725,,44.8235181620417,39.0952333249474,5.72885259655326
0.055, 0.31,-0.31,,,0.1983153,1.781804,1.207547,,,0.19821,1.780242,1.20766,,44.8235181620417,39.3503442984428,5.47339157587259
0.066, 0.17,-0.17,,,0.197661,1.781814,1.208001,,,0.1976072,1.780953,1.208063,,44.8235181620417,39.5538839300452,5.27555472518165
0.078, 0.2,-0.2,,,0.1969325,1.783262,1.209148,,,0.196876,1.782288,1.20922,,44.8235181620417,39.6787329544096,5.16983065684789
0.089, 0.13,-0.13,,,0.1958438,1.78505,1.21111,,,0.1958092,1.784414,1.211159,,44.8235181620417,39.6829232753488,5.203829203156
0.1, 0.09,-0.09,,,0.1943477,1.787024,1.21266,,,0.1943232,1.786553,1.212699,,44.8235181620417,39.624627612405,5.31101834702597
0.11, 0.17,-0.17,,,0.1935012,1.788164,1.212816,,,0.1934588,1.787298,1.212888,,44.8235181620417,39.6495817078432,5.33667253683464
0.122, 0.13,-0.13,,,0.1927948,1.788449,1.212837,,,0.1927648,1.787792,1.212893,,44.8235181620417,39.7656846752188,5.26648423421629
0.133, 0.17,0.17,,,0.1922033,1.787352,1.213,,,0.192239,1.788191,1.21293,,44.8235181620417,39.9443077774224,5.12239029862725
0.143, 0.16,0.16,,,0.192607,1.787025,1.212875,,,0.1926388,1.787822,1.212809,,44.8235181620417,40.0670121224471,5.03446612966203
0.155, 0.15,0.15,,,0.192849,1.786974,1.212941,,,0.1928777,1.787704,1.212881,,44.8235181620417,40.0874173120247,5.0225047612109
0.166, 0.12,0.12,,,0.1921913,1.78746,1.212766,,,0.1922167,1.788055,1.212716,,44.8235181620417,39.9065812285916,5.16455988538943
0.178, 0.11,0.11,,,0.1919506,1.787728,1.212837,,,0.1919753,1.788278,1.21279,,44.8235181620417,39.8070756204373,5.23596140032535
0.188, 0.17,0.17,,,0.1913377,1.787234,1.212,,,0.1913774,1.788091,1.211928,,44.8235181620417,39.7624232599809,5.25829270319528
0.2, 0.1,0.1,,,0.1917872,1.786527,1.210869,,,0.1918097,1.787008,1.210829,,44.8235181620417,39.7967483746996,5.20909826706722
0.21, 0.15,0.15,,,0.1931915,1.784223,1.209391,,,0.1932238,1.78495,1.209332,,44.8235181620417,39.9706723068849,5.03839519587274
0.221, 0.29,0.29,,,0.1970439,1.77978,1.208061,,,0.197101,1.781229,1.207948,,44.8235181620417,40.2629839046597,4.79264585014793
0.233, 0.21,0.21,,,0.2007174,1.776862,1.207008,,,0.2007544,1.777923,1.206925,,44.8235181620417,40.4472384976772,4.6797300197051
0.243, 0.02,0.02,,,0.2042063,1.774859,1.206234,,,0.2042103,1.774983,1.206224,,44.8235181620417,40.5172445196271,4.66539259926257
0.255, 0.15,-0.15,,,0.2067363,1.773201,1.205123,,,0.2067127,1.772477,1.205181,,44.8235181620417,40.4566504980915,4.74487038578046
0.266, 0.41,-0.41,,,0.2058123,1.77485,1.204507,,,0.2057379,1.772806,1.204673,,44.8235181620417,40.2902363586897,4.84334890426693
0.277, 0.75,-0.75,,,0.2076639,1.773185,1.201427,,,0.2075165,1.769462,1.201722,,44.8235181620417,40.2256535067898,4.83679192284619
0.288, 1.08,-1.08,,,0.2109444,1.769672,1.197231,,,0.2107097,1.764317,1.197639,,44.8235181620417,40.1707900138084,4.80277203219751
0.299, 1.41,-1.41,,,0.2133408,1.767757,1.194381,,,0.21302,1.760743,1.194894,,44.8235181620417,40.2066587512365,4.72132074795123
0.31, 1.55,-1.55,,,0.2163538,1.765191,1.192654,,,0.2159964,1.757445,1.193207,,44.8235181620417,40.2569289421289,4.65433665773809
0.322, 1.7,-1.7,,,0.2192457,1.762598,1.190743,,,0.2188598,1.754103,1.191343,,44.8235181620417,40.3170721711919,4.59444144991252
0.333, 1.74,-1.74,,,0.2212847,1.759397,1.187969,,,0.2208925,1.750706,1.188573,,44.8235181620417,40.3752039096002,4.53055869238309
0.344, 1.81,-1.81,,,0.2237617,1.756116,1.185308,,,0.223356,1.747086,1.185917,,44.8235181620417,40.4634397059376,4.42925503697978
0.355, 1.85,-1.85,,,0.2254794,1.752949,1.182301,,,0.2250641,1.743752,1.182909,,44.8235181620417,40.508768255103,4.37313777743374
0.366, 1.71,-1.71,,,0.2269986,1.749802,1.180438,,,0.2266203,1.7413,1.180998,,44.8235181620417,40.5448111623502,4.3404553231647
0.377, 1.61,-1.61,,,0.2287854,1.747225,1.179321,,,0.2284396,1.739202,1.179851,,44.8235181620417,40.5947739947385,4.3029311186825
0.389, 1.31,-1.31,,,0.2324476,1.741432,1.177065,,,0.232184,1.73489,1.177497,,44.8235181620417,40.7083976035144,4.2154248719055
0.399, 1.12,-1.12,,,0.2353578,1.737473,1.175874,,,0.2351467,1.731906,1.17624,,44.8235181620417,40.8230389104483,4.12274304942894
0.41, 0.79,-0.79,,,0.2377423,1.732962,1.174334,,,0.2375972,1.729006,1.174589,,44.8235181620417,40.9162470843631,4.03322872709183
0.421, 0.67,-0.67,,,0.2394779,1.729052,1.171444,,,0.2393534,1.725688,1.171652,,44.8235181620417,41.0148340320996,3.90565189600354
0.433, 0.38,-0.38,,,0.2400576,1.725197,1.168769,,,0.2399838,1.723282,1.16888,,44.8235181620417,41.0946584507082,3.78542819023898
0.444, 0.04,-0.04,,,0.2406807,1.720783,1.16571,,,0.240672,1.720562,1.165722,,44.8235181620417,41.1552183212989,3.69983482326317
0.455, 0.27,0.27,,,0.2419448,1.716986,1.163999,,,0.2419993,1.718353,1.163925,,44.8235181620417,41.2109902294147,3.63749611533002
