1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall2, 3.61,3.61,,,-0.1117696,1.697317,0.9833004,,,-0.1114307,1.714939,0.9793352,,50.9561365263708,41.5690389810269,12.4772107898772, 2.353
PointPlane1, 6.77,6.77,,,0.07217045,1.640012,1.062498,,,0.07591639,1.671811,1.051505,,44.750001422956,26.6453578051415,19.8255404671622, 1.955
PointPlane3, 8.48,8.48,,,0.1495493,1.616798,0.9852972,,,0.1544814,1.656744,0.9719085,,59.7499809323891,41.9080349204795,19.4219411852427, 2.034
PointPyramid, 3.16,3.16,,,0.06611226,1.828784,1.2906,,,0.06777084,1.844311,1.288157,,48.7770808455319,57.6707484634921,10.5610661583488, 1.888
PointPlane2, 4.3,4.3,,,-0.1097087,1.794345,1.290885,,,-0.1077606,1.814829,1.284706,,29.7499911776726,14.1824758979706,17.3151198755084, 1.711
PointBall3, 3.57,3.57,,,0.07836634,1.85382,1.260584,,,0.08025375,1.871257,1.257246,,2.27812757199304,11.6897497646431,12.1864914799084, 1.6
PointBall1, 9.65,9.65,,,0.2567529,1.72978,1.087118,,,0.2609529,1.776797,1.07716,,39.0881060227468,27.9752809768992,12.7146051069323, 1.744
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall3, 3.33,3.33,,,0.06588958,1.855213,1.256891,,,0.06719135,1.871562,1.253925,,0.444113561710188,10.831418698553,10.9778434361315, 1.767
PointBall1, 11.93,11.93,,,0.2425627,1.728738,1.091113,,,0.2456523,1.787339,1.080483,,36.750805108526,28.0854946138268,10.4574112103892, 1.689
PointPyramid, 2.83,2.83,,,0.07122088,1.819056,1.30002,,,0.07249556,1.833037,1.298122,,48.7770808455319,56.4113743137083,9.0783320223165, 1.8
