経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.24,0.24,,,0.4075542,1.616919,1.250855,,,0.407791,1.618062,1.2507,,45.0005395849294,34.0431201213952,13.7584125160936
0.011, 1.6,1.6,,,0.4089684,1.607546,1.250991,,,0.4105349,1.615318,1.24998,,45.0005395849294,34.2925893587932,13.3566505550098
0.022, 2.71,2.71,,,0.4051149,1.604804,1.252568,,,0.4078805,1.617973,1.250811,,45.0005395849294,33.8719111893294,13.84011011403
0.033, 4.54,4.54,,,0.3983891,1.600579,1.251056,,,0.4033099,1.622543,1.248194,,45.0005395849294,33.0873205510141,14.4069995776666
0.044, 5.63,5.63,,,0.3945222,1.597654,1.250475,,,0.4010017,1.624852,1.247004,,45.0005395849294,32.3023474221159,15.0076276135434
0.055, 5.32,5.32,,,0.3855635,1.608082,1.256517,,,0.3923368,1.633517,1.252661,,45.0005395849294,31.1169066529456,16.9142219333305
0.066, 5.85,5.85,,,0.3781457,1.611724,1.252796,,,0.386333,1.63952,1.248733,,45.0005395849294,29.5908306989674,18.0926190701153
0.078, 6.04,6.04,,,0.3787561,1.609855,1.252169,,,0.3873116,1.638542,1.248075,,45.0005395849294,29.3558448773013,18.1887488573663
0.088, 6.03,6.03,,,0.3794633,1.609231,1.252842,,,0.3879992,1.637854,1.248756,,45.0005395849294,29.3578017264441,18.1891313479492
0.099, 5.55,5.55,,,0.3823946,1.609333,1.253987,,,0.3901378,1.635715,1.25019,,45.0005395849294,29.6140943226331,17.9931083393192
0.11, 5.12,5.12,,,0.3849187,1.609542,1.254916,,,0.391959,1.633894,1.251364,,45.0005395849294,29.8649295978271,17.830734256699
0.121, 4.67,4.67,,,0.3874443,1.609877,1.255346,,,0.3937154,1.632138,1.252082,,45.0005395849294,30.2552373319916,17.5057709405056
0.133, 4.66,4.66,,,0.3868523,1.610524,1.25605,,,0.3931049,1.632748,1.252781,,45.0005395849294,30.279948955721,17.4975730061825
0.143, 4.57,4.57,,,0.3867899,1.611171,1.256071,,,0.3929154,1.632938,1.252868,,45.0005395849294,30.2774217857984,17.5039438649535
0.155, 4.49,4.49,,,0.3873348,1.611124,1.257684,,,0.3933327,1.632521,1.254517,,45.0005395849294,30.3452011661409,17.473634901355
0.166, 4.51,4.51,,,0.387361,1.61097,1.25854,,,0.3933601,1.632493,1.255343,,45.0005395849294,30.4341302266598,17.4118165684448
0.177, 4.47,4.47,,,0.3873971,1.611235,1.259609,,,0.3933024,1.632551,1.256456,,45.0005395849294,30.5126227584174,17.318504234148
0.188, 4.7,4.7,,,0.3860512,1.611175,1.258677,,,0.3922501,1.633603,1.255452,,45.0005395849294,30.4931396443521,17.1905201530418
0.199, 4.61,4.61,,,0.3859035,1.611888,1.259773,,,0.3919248,1.633929,1.256616,,45.0005395849294,30.6515692928364,17.0296248063357
0.211, 4.55,4.55,,,0.3858165,1.612433,1.261093,,,0.3916523,1.634201,1.257974,,45.0005395849294,30.9172055875499,16.7918215317154
0.221, 4.52,4.52,,,0.3859447,1.612567,1.262398,,,0.3916297,1.634224,1.259258,,45.0005395849294,31.2288807710828,16.5735116164439
0.233, 4.67,4.67,,,0.3849214,1.612758,1.263334,,,0.3906994,1.635154,1.260067,,45.0005395849294,31.4755598762825,16.3869279289843
0.243, 4.91,4.91,,,0.3827718,1.613512,1.262581,,,0.3888024,1.637051,1.259191,,45.0005395849294,31.5462659926029,16.2568299043887
0.254, 5.09,5.09,,,0.3809372,1.614304,1.262787,,,0.3871364,1.638717,1.259297,,45.0005395849294,31.6515977519571,16.1251575212334
0.266, 5.26,5.26,,,0.3801144,1.614163,1.263154,,,0.3864128,1.639441,1.259563,,45.0005395849294,31.8898586492391,15.8817603218385
0.277, 5.6,5.6,,,0.3769435,1.615292,1.262851,,,0.3836344,1.642219,1.259038,,45.0005395849294,31.9210623675939,15.8382605557725
0.288, 5.59,5.59,,,0.37563,1.616709,1.26352,,,0.3822313,1.643622,1.259709,,45.0005395849294,32.0891191674455,15.6899173888643
