経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.27,-0.27,,,0.09421636,1.809716,1.19564,,,0.09402689,1.808496,1.196142,,44.7500116682395,23.9978450753768,23.4970863552176
0.01, 0.31,0.31,,,0.09656608,1.807938,1.197615,,,0.09678528,1.809375,1.197021,,44.7500116682395,23.8777532776369,23.5263895734888
0.022, 1.03,1.03,,,0.09785579,1.805404,1.199722,,,0.09856784,1.810124,1.19777,,44.7500116682395,23.8261529074407,23.519176893926
0.033, 1.5,1.5,,,0.09921354,1.803341,1.2007,,,0.1002482,1.810217,1.197864,,44.7500116682395,23.8670879375448,23.4671581746548
0.044, 1.65,1.65,,,0.09890208,1.802525,1.200836,,,0.1000457,1.810084,1.19773,,44.7500116682395,23.9556481678587,23.4090827853055
0.055, 2.3,2.3,,,0.1001778,1.798618,1.201126,,,0.1017907,1.809192,1.196838,,44.7500116682395,24.223917500424,23.1930643984368
0.066, 2.59,2.59,,,0.1001726,1.796725,1.201015,,,0.1020019,1.808603,1.19625,,44.7500116682395,24.4570233125734,23.0182747397983
0.077, 2.86,2.86,,,0.100413,1.795208,1.201207,,,0.1024688,1.808336,1.195983,,44.7500116682395,24.6494109531187,22.9214704713855
0.088, 2.99,2.99,,,0.1004202,1.794657,1.201531,,,0.1025998,1.808419,1.196066,,44.7500116682395,24.7187476165486,22.9160507164299
0.099, 3.16,3.16,,,0.1013758,1.794094,1.202044,,,0.1036886,1.808629,1.196275,,44.7500116682395,24.7412547967848,22.9200139335855
0.11, 3.21,3.21,,,0.1016912,1.794323,1.202568,,,0.104024,1.809052,1.196698,,44.7500116682395,24.6504337739185,22.9810143513654
0.121, 3.24,3.24,,,0.1019922,1.79446,1.202951,,,0.1043414,1.809353,1.196999,,44.7500116682395,24.5889603655517,23.0175763529751
0.132, 3.55,3.55,,,0.1028297,1.793936,1.204436,,,0.1053973,1.810256,1.197903,,44.7500116682395,24.5520329488316,23.0388079954192
0.143, 3.86,3.86,,,0.1042978,1.792714,1.205197,,,0.1070761,1.810446,1.198093,,44.7500116682395,24.5237457211712,23.0442089673551
