経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.38,-0.38,,,-0.1647327,1.54946,1.042578,,,-0.164673,1.547626,1.04303,,44.8235181620417,34.7565948320513,13.7098652403714
0.011, 1.27,1.27,,,-0.1627935,1.542095,1.043789,,,-0.1630246,1.548275,1.0423,,44.8235181620417,34.7000374522029,13.4482348514946
0.022, 2.63,2.63,,,-0.1615445,1.535538,1.044464,,,-0.162065,1.548349,1.041445,,44.8235181620417,34.7051874146938,13.206153317252
0.033, 3.88,3.88,,,-0.1610999,1.529275,1.045401,,,-0.1618952,1.548169,1.04102,,44.8235181620417,34.7570797754689,13.0132474361178
0.044, 5.04,5.04,,,-0.1610048,1.523146,1.046128,,,-0.1620872,1.547674,1.040512,,44.8235181620417,34.753644190412,12.8799315387391
0.056, 6.32,6.32,,,-0.159918,1.517937,1.04832,,,-0.1613634,1.548738,1.041293,,44.8235181620417,34.6513484500594,12.8677763636757
0.067, 7.72,7.72,,,-0.1574114,1.513441,1.051085,,,-0.1593505,1.551011,1.042494,,44.8235181620417,34.4233089305859,12.9490743955567
0.077, 8.97,8.97,,,-0.1548489,1.509012,1.052781,,,-0.1573148,1.552639,1.042761,,44.8235181620417,34.1698611081071,13.0648640280129
0.089, 9.99,9.99,,,-0.1528066,1.505753,1.054737,,,-0.1557266,1.554336,1.043574,,44.8235181620417,34.0050759687769,13.1191998888956
0.1, 10.91,10.91,,,-0.1513669,1.502461,1.056365,,,-0.1546632,1.555539,1.044211,,44.8235181620417,33.9399808527036,13.1063745015385
0.111, 11.73,11.73,,,-0.1499973,1.498887,1.056716,,,-0.1536512,1.555957,1.04379,,44.8235181620417,33.9324471542587,13.0046149310208
0.122, 12.31,12.31,,,-0.1494018,1.495609,1.056275,,,-0.1533376,1.555592,1.042961,,44.8235181620417,34.0060356103286,12.7923727848843
0.133, 12.85,12.85,,,-0.1483936,1.49309,1.056075,,,-0.1525718,1.555744,1.04241,,44.8235181620417,34.0822741797228,12.6087995032176
0.144, 13.05,13.05,,,-0.1475837,1.492323,1.055792,,,-0.1518591,1.555935,1.041967,,44.8235181620417,34.0840500288575,12.5770801055947
