経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 1,-1,,,0.2226776,1.80585,1.301695,,,0.2218884,1.800938,1.301788,,45.0005634905908,35.8849898628612,9.16478087046205
0.01, 0.34,-0.34,,,0.2230312,1.801729,1.301914,,,0.2227726,1.800054,1.301942,,45.0005634905908,36.2357098216979,8.8014506752211
0.021, 0.1,-0.1,,,0.2240488,1.799362,1.303365,,,0.2239723,1.798854,1.303373,,45.0005634905908,36.446168434737,8.5919431659975
0.033, 0.03,0.03,,,0.2245248,1.798113,1.305143,,,0.2245495,1.798277,1.30514,,45.0005634905908,36.4676596243624,8.57455265108093
0.044, 0.17,0.17,,,0.2250795,1.796757,1.306008,,,0.225208,1.797619,1.305992,,45.0005634905908,36.5246336457386,8.51938009204818
0.055, 0,0,,,0.2226188,1.800221,1.304409,,,0.2226169,1.80021,1.304409,,45.0005634905908,36.1273113074917,8.91541750099322
0.066, 0.68,0.68,,,0.2185914,1.800356,1.302321,,,0.2191388,1.803688,1.302277,,45.0005634905908,35.6763514951853,9.34333823209665
0.077, 0.75,0.75,,,0.215802,1.802679,1.301838,,,0.2164382,1.806388,1.301786,,45.0005634905908,35.2764097794646,9.74551939602916
0.09, 0.64,0.64,,,0.2145779,1.804544,1.301886,,,0.2151301,1.807697,1.301838,,45.0005634905908,35.0733072799569,9.95473149957937
0.1, 0.71,0.71,,,0.2139824,1.804718,1.301974,,,0.2145976,1.808229,1.301914,,45.0005634905908,35.0738536950753,9.96318300466843
0.111, 0.56,0.56,,,0.2136598,1.805913,1.303731,,,0.2141478,1.808679,1.303672,,45.0005634905908,35.0145813151074,10.0496617348908
0.121, 0.82,0.82,,,0.215787,1.802293,1.302453,,,0.2164666,1.80636,1.302385,,45.0005634905908,35.5257594885555,9.50987616867379
0.132, 1.06,1.06,,,0.217515,1.799281,1.303692,,,0.2183351,1.804492,1.303597,,45.0005634905908,36.0681823614923,8.97892203680789
0.143, 1.17,1.17,,,0.2183822,1.797767,1.305888,,,0.2192712,1.803555,1.305767,,45.0005634905908,36.2856248427634,8.7791927968827
0.154, 1.14,1.14,,,0.2195354,1.796813,1.308882,,,0.2203927,1.802434,1.308741,,45.0005634905908,36.3524309211762,8.74945073896953
0.166, 1.14,1.14,,,0.2203883,1.795962,1.311817,,,0.2212443,1.801582,1.311652,,45.0005634905908,36.374294356101,8.77082069274053
0.177, 1.51,1.51,,,0.2198801,1.794337,1.313109,,,0.2210274,1.801799,1.31289,,45.0005634905908,36.2924242958929,8.85290419635427
0.188, 1.66,1.66,,,0.2190465,1.794286,1.311166,,,0.2203262,1.8025,1.310951,,45.0005634905908,36.1717109509558,8.93758061045952
0.206, 2.6,2.6,,,0.2178469,1.790093,1.311963,,,0.2199021,1.802925,1.311699,,45.0005634905908,35.9166033925549,9.14458229410111
0.212, 3.27,3.27,,,0.2151394,1.788833,1.310191,,,0.2178792,1.804947,1.310002,,45.0005634905908,35.3565552169553,9.65740312799888
0.221, 3.9,3.9,,,0.2164728,1.78388,1.310408,,,0.2197121,1.803115,1.31027,,45.0005634905908,35.4427078056538,9.56038541618049
0.232, 4.15,4.15,,,0.2163315,1.78256,1.310045,,,0.2198045,1.803022,1.309972,,45.0005634905908,35.3674152174334,9.63312778259053
