経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.2,-0.2,,,-0.2885578,1.570863,1.256177,,,-0.2885513,1.569889,1.256051,,46.050527461344,46.1164387850004,7.58307388101583
0.011, 0.57,0.57,,,-0.2873721,1.568258,1.255571,,,-0.2873952,1.571088,1.255939,,46.050527461344,46.0504181783203,7.67736378611036
0.022, 0.83,0.83,,,-0.2877949,1.566505,1.254416,,,-0.287825,1.570642,1.254959,,46.050527461344,46.1085635771066,7.73885341617594
0.033, 0.35,0.35,,,-0.2886256,1.568066,1.254283,,,-0.2886326,1.569804,1.254511,,46.050527461344,46.2953009438183,7.72971803841526
0.044, 0.33,0.33,,,-0.2891784,1.567582,1.254077,,,-0.2891829,1.569233,1.254294,,46.050527461344,46.3697431735107,7.74947265249251
0.055, 0.57,0.57,,,-0.2886341,1.566978,1.253837,,,-0.2886411,1.569795,1.254209,,46.050527461344,46.3841480420694,7.78442102195564
0.066, 0.77,0.77,,,-0.2883291,1.56629,1.253759,,,-0.2883412,1.570107,1.254265,,46.050527461344,46.3482519838853,7.80265421143761
0.078, 1.76,1.76,,,-0.2861485,1.563617,1.253767,,,-0.2861953,1.572333,1.254924,,46.050527461344,46.2265448464517,7.82041953297445
0.089, 2.89,2.89,,,-0.2833588,1.560812,1.254025,,,-0.2834866,1.575142,1.255926,,46.050527461344,46.0249927998425,7.82067054241946
0.101, 3.4,3.4,,,-0.2821714,1.559458,1.254692,,,-0.2823429,1.576329,1.256932,,46.050527461344,45.9556151552787,7.83213159952781
0.111, 3.14,3.14,,,-0.2827602,1.560199,1.255112,,,-0.2828953,1.575756,1.257185,,46.050527461344,46.0430825553558,7.85582894019373
0.122, 2.99,2.99,,,-0.2833763,1.560334,1.254817,,,-0.2834823,1.575147,1.256802,,46.050527461344,46.1347778424116,7.89324386165225
0.134, 3.09,3.09,,,-0.2832833,1.559963,1.254638,,,-0.2833501,1.575284,1.256722,,46.050527461344,46.3058433405088,7.99794553607307
0.148, 2.92,2.92,,,-0.2839871,1.560117,1.254197,,,-0.2840269,1.574582,1.256178,,46.050527461344,46.4029788730871,8.04727657598073
0.156, 3,3,,,-0.2836696,1.560043,1.25428,,,-0.2837233,1.574897,1.256309,,46.050527461344,46.352613059549,8.03106170734234
0.168, 3.09,3.09,,,-0.2833102,1.559962,1.254447,,,-0.283379,1.575254,1.25653,,46.050527461344,46.2998771704348,8.00920339505927
0.179, 3.74,3.74,,,-0.281543,1.558474,1.254699,,,-0.2816795,1.577017,1.257213,,46.050527461344,46.1340401820018,7.98022887963272
0.191, 4.25,4.25,,,-0.2799253,1.557511,1.256064,,,-0.2801645,1.578588,1.258881,,46.050527461344,45.8955675488615,7.88928918223286
0.201, 4.63,4.63,,,-0.2782473,1.557301,1.256986,,,-0.2785713,1.580241,1.259994,,46.050527461344,45.7209469374002,7.76265662477105
0.213, 4.44,4.44,,,-0.2785129,1.557983,1.25785,,,-0.2788111,1.579993,1.26072,,46.050527461344,45.748260863131,7.71739381617457
0.223, 4.25,4.25,,,-0.2787017,1.55877,1.258226,,,-0.2789438,1.579855,1.26099,,46.050527461344,45.8695342835644,7.74676192124109
0.234, 4.32,4.32,,,-0.2783512,1.558835,1.258934,,,-0.2785814,1.580231,1.261737,,46.050527461344,45.9094806438136,7.73626648209978
0.245, 4.26,4.26,,,-0.2779979,1.559504,1.259489,,,-0.2782103,1.580616,1.26226,,46.050527461344,45.9508545135596,7.74660994953629
0.257, 4.25,4.25,,,-0.276769,1.560858,1.26113,,,-0.2769455,1.581928,1.263911,,46.050527461344,46.0506606500291,7.78232842280691
0.267, 4.36,4.36,,,-0.2749507,1.562237,1.263188,,,-0.275096,1.583846,1.266031,,46.050527461344,46.1411913898638,7.75446039799511
0.278, 4.47,4.47,,,-0.2725226,1.564251,1.266415,,,-0.2726349,1.586399,1.269289,,46.050527461344,46.2215827141577,7.64811520935098
0.289, 4.74,4.74,,,-0.2692642,1.566267,1.271977,,,-0.269351,1.589806,1.274931,,46.050527461344,46.2702580559233,7.40703088269947
0.301, 4.93,4.93,,,-0.2664648,1.568247,1.276745,,,-0.2665303,1.592732,1.279727,,46.050527461344,46.3024248309244,7.19350209971393
0.311, 5.27,5.27,,,-0.2636088,1.569575,1.281499,,,-0.2636559,1.595714,1.284625,,46.050527461344,46.3379383985256,7.06929938198173
0.323, 5.73,5.73,,,-0.2601794,1.570862,1.285962,,,-0.2602036,1.599295,1.289363,,46.050527461344,46.3915758725851,7.07110297875925
0.334, 5.96,5.96,,,-0.2572291,1.572846,1.289856,,,-0.2571904,1.602421,1.293438,,46.050527461344,46.5232004444176,7.15634331034216
0.345, 6.36,6.36,,,-0.254021,1.574301,1.293624,,,-0.2538796,1.605855,1.29751,,46.050527461344,46.7155146604315,7.27408040043121
0.356, 6.49,6.49,,,-0.2509308,1.576996,1.29712,,,-0.2506746,1.60918,1.301171,,46.050527461344,46.9299928396852,7.43677379438627
0.367, 6.76,6.76,,,-0.2477094,1.579093,1.302018,,,-0.2473378,1.612641,1.306263,,46.050527461344,47.1103678853621,7.48710545697949
0.378, 6.78,6.78,,,-0.2444994,1.582455,1.307037,,,-0.2440221,1.616081,1.311251,,46.050527461344,47.2783597984184,7.4359550254823
0.389, 7.09,7.09,,,-0.2405082,1.585182,1.312324,,,-0.2399153,1.620341,1.316662,,46.050527461344,47.4167086913016,7.34614487058499
0.4, 7.43,7.43,,,-0.2363649,1.587887,1.318424,,,-0.235658,1.624757,1.322884,,46.050527461344,47.5316266208892,7.22908738429944
0.411, 7.62,7.62,,,-0.2323772,1.59122,1.324094,,,-0.2315474,1.629021,1.32862,,46.050527461344,47.6811018916208,7.18616220788136
0.422, 8.13,8.13,,,-0.2275347,1.593843,1.328526,,,-0.2265608,1.634194,1.333371,,46.050527461344,47.8067261424345,7.22859817201376
0.433, 8.42,8.42,,,-0.2232024,1.597017,1.33302,,,-0.2221111,1.63881,1.338114,,46.050527461344,47.9293860912308,7.34937640374613
0.444, 8.62,8.62,,,-0.2192446,1.600314,1.337253,,,-0.2180051,1.643069,1.342501,,46.050527461344,48.0974941174997,7.43183812907463
