経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.63,-0.63,,,0.3305499,1.767662,1.548864,,,0.3298974,1.764626,1.548461,,43.1536633149412,29.401607143467,14.3090427148635
0.011, 0.17,0.17,,,0.3296879,1.763045,1.54952,,,0.3298625,1.763862,1.549632,,43.3145893974976,29.423736955762,14.3871800767941
0.022, 0.96,0.96,,,0.3299726,1.757399,1.550614,,,0.3309461,1.762042,1.551267,,43.6946996595151,29.7966823495395,14.3100373611337
0.033, 1.52,1.52,,,0.3318485,1.751457,1.552582,,,0.3333437,1.758812,1.553626,,44.3624838209899,30.6199318574813,14.0703660298274
0.044, 1.95,1.95,,,0.332496,1.747058,1.554518,,,0.3343777,1.756529,1.555862,,44.8302493132814,31.2551018665768,13.8680643699777
0.055, 2.55,2.55,,,0.3319872,1.743091,1.55551,,,0.3344259,1.75548,1.557276,,45.0441981528892,31.5169064252726,13.8077085512828
0.068, 3.1,3.1,,,0.3298327,1.74073,1.556254,,,0.3327999,1.755767,1.558411,,44.9871216786783,31.4267137797924,13.8588854497623
0.078, 3.6,3.6,,,0.3278744,1.738521,1.556866,,,0.3313561,1.756023,1.5594,,44.9360523556753,31.2870808113809,13.9705641622261
0.088, 4.21,4.21,,,0.3263403,1.736117,1.556577,,,0.3304073,1.756535,1.559571,,44.8323325209203,31.1050938411048,14.0428915946556
0.099, 4.61,4.61,,,0.3260595,1.733481,1.557132,,,0.3304868,1.755845,1.560443,,44.9730924705135,31.2315752806354,14.0374436651705
0.11, 4.72,4.72,,,0.3272602,1.730579,1.559124,,,0.3317276,1.75348,1.562509,,45.4521892463228,31.8208771556361,13.906481621669
0.121, 4.72,4.72,,,0.3292116,1.727642,1.561271,,,0.333619,1.750565,1.564654,,46.0371232154708,32.5100056576732,13.7784582669762
0.133, 4.78,4.78,,,0.3301914,1.725454,1.562743,,,0.3346254,1.748693,1.566178,,46.4096314771536,32.9254792231343,13.7228425994333
0.144, 5.04,5.04,,,0.3295262,1.724208,1.562873,,,0.3342119,1.748711,1.566531,,46.406434948711,32.8502959179376,13.79137244679
0.155, 5.33,5.33,,,0.3280429,1.724479,1.561522,,,0.3330424,1.750374,1.565428,,46.0756796322626,32.3933118789508,13.9219332166889
0.166, 5.5,5.5,,,0.3263912,1.725446,1.560362,,,0.331602,1.752134,1.564415,,45.7236858431811,31.930409481213,14.0481405948867
0.177, 5.65,5.65,,,0.3251239,1.725932,1.559588,,,0.3305544,1.753345,1.563752,,45.4803023041643,31.5943983343446,14.1702609587536
0.188, 5.6,5.6,,,0.3242737,1.726713,1.559793,,,0.3296681,1.753862,1.56386,,45.3764800165746,31.5714386540885,14.1245149142868
0.199, 5.39,5.39,,,0.3243184,1.727379,1.560577,,,0.3295135,1.753528,1.564443,,45.4441876799328,31.7295950950136,14.059461633121
0.211, 5.23,5.23,,,0.3246477,1.727295,1.561673,,,0.3296746,1.752698,1.565398,,45.6116024420202,31.9807240683338,13.9858475638423
0.221, 5.21,5.21,,,0.3250659,1.727135,1.56173,,,0.3300448,1.752419,1.565436,,45.6675382746715,32.0667946947645,13.9429676374262
0.233, 5.3,5.3,,,0.3256969,1.726258,1.561552,,,0.3307318,1.752024,1.565343,,45.7466250328703,32.1632540386338,13.8976834844892
0.244, 5.45,5.45,,,0.3259507,1.726105,1.560374,,,0.3311029,1.752557,1.564306,,45.63892319794,32.0025123711798,13.9196340043235
0.255, 5.46,5.46,,,0.3250597,1.726801,1.560113,,,0.330242,1.753318,1.564071,,45.4861489459311,31.8072440984321,13.9684988838333
0.265, 5.42,5.42,,,0.3245362,1.728238,1.559,,,0.3297104,1.754539,1.562916,,45.2393127463848,31.5283504069085,14.0124161452007
0.278, 5.13,5.13,,,0.3223186,1.732028,1.558204,,,0.3273134,1.756926,1.561839,,44.7548747627932,31.0582353296078,14.0830035869876
0.288, 4.83,4.83,,,0.3209629,1.734874,1.558055,,,0.3256987,1.758299,1.561402,,44.4745399013948,30.8764396046231,14.0514745808825
0.299, 4.71,4.71,,,0.3211748,1.736053,1.557263,,,0.325776,1.758906,1.560498,,44.3494381600382,30.8274910552983,13.9726149264673
0.311, 4.82,4.82,,,0.3222722,1.734967,1.556901,,,0.3269182,1.758353,1.560237,,44.4622933725538,30.9648564009685,13.8904588520957
0.322, 4.79,4.79,,,0.32293,1.735294,1.55607,,,0.3275166,1.758564,1.559406,,44.4183718423183,30.9286495691858,13.8455341378537
0.333, 4.95,4.95,,,0.3225707,1.736139,1.553882,,,0.3272645,1.760195,1.557358,,44.0816947520243,30.5957666488702,13.7966718196648
0.343, 5.07,5.07,,,0.3220368,1.737294,1.551685,,,0.3268418,1.76194,1.55527,,43.719421528528,30.1849785930494,13.8223106415483
0.355, 5.11,5.11,,,0.3209138,1.738704,1.550337,,,0.3257819,1.763534,1.553952,,43.386856212,29.8096426331289,13.8740467617505
