経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.39,-0.39,,,0.0595489,1.836608,1.221998,,,0.05879572,1.834906,1.222553,,44.7500116682395,34.7447615296436,28.6490159405227
0.01, 0.03,0.03,,,0.05921114,1.834519,1.22234,,,0.05926856,1.83465,1.222297,,44.7500116682395,34.5700418804421,28.4571098283004
0.022, 0.27,0.27,,,0.05823666,1.833135,1.222366,,,0.05875689,1.83433,1.221976,,44.7500116682395,34.5233370481972,28.4158281661056
0.032, 0.29,0.29,,,0.05703073,1.832815,1.22215,,,0.05758685,1.834087,1.221734,,44.7500116682395,34.5610909177839,28.4703364892601
0.044, 0.34,0.34,,,0.05562244,1.832005,1.221656,,,0.05628383,1.833518,1.221164,,44.7500116682395,34.6267734301095,28.4362470160612
0.056, 0.47,0.47,,,0.05587351,1.831059,1.221435,,,0.05677199,1.83312,1.220766,,44.7500116682395,34.6273983924012,28.3689662395142
0.067, 0.49,0.49,,,0.05668711,1.830712,1.221191,,,0.05761382,1.83285,1.220496,,44.7500116682395,34.5384488413154,28.2947528211526
0.078, 0.78,0.78,,,0.05844278,1.829804,1.221977,,,0.05990937,1.833215,1.220862,,44.7500116682395,34.3606419466949,28.2189667517784
0.088, 1.04,1.04,,,0.05947562,1.828834,1.222544,,,0.06142348,1.8334,1.221047,,44.7500116682395,34.2170782045255,28.1343031442775
0.099, 1.47,1.47,,,0.06037254,1.827095,1.223339,,,0.06311429,1.833569,1.221216,,44.7500116682395,34.1295425025585,28.0232937903337
0.11, 1.63,1.63,,,0.06091351,1.82604,1.223257,,,0.0639523,1.83325,1.220897,,44.7500116682395,34.1030277089383,27.933201890141
0.122, 1.96,1.96,,,0.06112969,1.824424,1.223515,,,0.06475934,1.833056,1.220702,,44.7500116682395,34.138893031272,27.8596919812443
0.132, 1.67,1.67,,,0.06125804,1.825152,1.222571,,,0.06437135,1.832528,1.220175,,44.7500116682395,34.2200595820152,27.8919099826627
0.143, 1.78,1.78,,,0.06133361,1.824367,1.222393,,,0.06463936,1.832205,1.219852,,44.7500116682395,34.240905318782,27.8599037171027
0.155, 1.67,1.67,,,0.0613543,1.824301,1.221707,,,0.06446221,1.831673,1.219319,,44.7500116682395,34.2483160738252,27.8474932637261
0.166, 1.8,1.8,,,0.06216768,1.823545,1.221706,,,0.06551108,1.831488,1.219134,,44.7500116682395,34.2376165827881,27.8180807624312
0.177, 1.82,1.82,,,0.06234063,1.822811,1.221095,,,0.06571865,1.830848,1.218494,,44.7500116682395,34.2272039596882,27.7928090632054
0.188, 1.94,1.94,,,0.06248347,1.822093,1.221086,,,0.06608403,1.830667,1.218313,,44.7500116682395,34.2256159407504,27.7725797509941
0.199, 1.83,1.83,,,0.06239222,1.822181,1.220509,,,0.06578419,1.830251,1.217898,,44.7500116682395,34.2278972238697,27.7902016385623
0.211, 1.8,1.8,,,0.06280327,1.821666,1.21983,,,0.06614923,1.829613,1.21726,,44.7500116682395,34.2540261118125,27.8123946301054
