経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.78,-0.78,,,0.451056,1.577135,1.28507,,,0.4490418,1.573785,1.285329,,45.0005634905908,14.480019420504,31.1921275241817
0.011, 0.62,-0.62,,,0.4509191,1.576124,1.285037,,,0.4493393,1.573487,1.285241,,45.0005634905908,14.5624478486612,31.1050152939315
0.022, 0.8,-0.8,,,0.4511105,1.577212,1.285348,,,0.4490473,1.573779,1.285616,,45.0005634905908,14.4955529777916,31.1917962600162
0.033, 0.8,-0.8,,,0.4506955,1.577583,1.28481,,,0.4486451,1.574181,1.285077,,45.0005634905908,14.4276147955554,31.2669215086066
0.044, 0.8,-0.8,,,0.4506545,1.577622,1.285434,,,0.448604,1.574222,1.285702,,45.0005634905908,14.4192665970746,31.2760978675012
0.055, 0.71,-0.71,,,0.4506667,1.576999,1.285427,,,0.4488463,1.57398,1.285664,,45.0005634905908,14.4188277574327,31.2756846410679
0.066, 0.61,-0.61,,,0.4506406,1.576381,1.285362,,,0.4490622,1.573764,1.285567,,45.0005634905908,14.410445408007,31.2801754903222
0.078, 0.51,-0.51,,,0.4505651,1.575785,1.285864,,,0.4492389,1.573588,1.286035,,45.0005634905908,14.3876342843613,31.2963083966928
0.089, 0.42,-0.42,,,0.4503958,1.57528,1.285789,,,0.4493223,1.573504,1.285927,,45.0005634905908,14.3521463299687,31.3280585301661
0.099, 0.41,-0.41,,,0.450182,1.575471,1.286435,,,0.4491161,1.57371,1.286572,,45.0005634905908,14.3183522624432,31.3656177393668
0.111, 0.42,-0.42,,,0.4501329,1.575579,1.286588,,,0.4490447,1.573782,1.286729,,45.0005634905908,14.3159497434695,31.3774168908297
0.121, 0.25,-0.25,,,0.4496181,1.574947,1.286718,,,0.4489626,1.573864,1.286804,,45.0005634905908,14.3357555839641,31.3644087959174
0.133, 0.26,-0.26,,,0.4497876,1.574821,1.286747,,,0.4491162,1.57371,1.286834,,45.0005634905908,14.363976217282,31.3364118512886
0.144, 0.08,-0.08,,,0.4493801,1.574027,1.286708,,,0.4491614,1.573665,1.286736,,45.0005634905908,14.3915360298161,31.3042860574214
0.155, 0.08,-0.08,,,0.4493862,1.573954,1.286552,,,0.4491928,1.573634,1.286577,,45.0005634905908,14.3894613599134,31.2975549061817
0.167, 0.12,0.12,,,0.4486077,1.573416,1.286402,,,0.4489102,1.573916,1.286363,,45.0005634905908,14.3573253207627,31.3223655676513
0.177, 0.23,0.23,,,0.4476029,1.573661,1.286222,,,0.4481925,1.574634,1.286147,,45.0005634905908,14.2943193887436,31.3792610418543
0.189, 0.44,0.44,,,0.4459953,1.573826,1.285872,,,0.4471305,1.575696,1.28573,,45.0005634905908,14.2345543813955,31.4242173457203
0.199, 0.65,0.65,,,0.4453237,1.573074,1.284823,,,0.4469959,1.575831,1.284616,,45.0005634905908,14.2303034425291,31.4069745336404
0.21, 0.75,0.75,,,0.4449,1.572797,1.284538,,,0.446835,1.575992,1.284301,,45.0005634905908,14.2589919437921,31.361980663735
0.222, 0.92,0.92,,,0.4439862,1.572544,1.284535,,,0.4463582,1.576468,1.284244,,45.0005634905908,14.3119301772548,31.3069566613126
0.233, 1,1,,,0.443449,1.572538,1.284659,,,0.446025,1.576802,1.284342,,45.0005634905908,14.3258774231518,31.2990404722848
0.244, 1.07,1.07,,,0.4422194,1.573298,1.284375,,,0.4449721,1.577854,1.28403,,45.0005634905908,14.3423330559518,31.3019262271288
0.255, 1.15,1.15,,,0.440102,1.574815,1.284516,,,0.4430835,1.579743,1.28414,,45.0005634905908,14.3123724319912,31.3438601723712
0.266, 1.26,1.26,,,0.4383109,1.575876,1.284472,,,0.4415739,1.581253,1.284061,,45.0005634905908,14.2380258249445,31.4231620815229
0.277, 1.46,1.46,,,0.4362105,1.576622,1.283663,,,0.4399879,1.582839,1.283189,,45.0005634905908,14.2042035828895,31.4502267053559
0.289, 1.46,1.46,,,0.4357021,1.577093,1.283537,,,0.4394912,1.583335,1.283065,,45.0005634905908,14.2214378572331,31.4257507231463
